城镇ID,城镇名称,产出（策划用）,目的地,旅行时间（分钟）
11,石林镇,,15,1
11,石林镇,,16,5
11,石林镇,,17,1
11,石林镇,,18,2
11,石林镇,,19,2
11,石林镇,,20,1
11,石林镇,,21,6
11,石林镇,,22,6
11,石林镇,,23,8
11,石林镇,,24,2
11,石林镇,,25,4
12,卡洛斯发电厂,电,1,4
12,卡洛斯发电厂,,2,7
12,卡洛斯发电厂,,3,6
12,卡洛斯发电厂,,4,5
12,卡洛斯发电厂,,5,3
12,卡洛斯发电厂,,6,4
12,卡洛斯发电厂,,7,5
12,卡洛斯发电厂,,8,5
12,卡洛斯发电厂,,9,6
12,卡洛斯发电厂,,10,7
12,卡洛斯发电厂,,11,1
12,卡洛斯发电厂,,13,1
12,卡洛斯发电厂,,14,2
12,卡洛斯发电厂,,15,1
12,卡洛斯发电厂,,16,6
12,卡洛斯发电厂,,17,1
12,卡洛斯发电厂,,18,2
12,卡洛斯发电厂,,19,3
12,卡洛斯发电厂,,20,2
12,卡洛斯发电厂,,21,7
12,卡洛斯发电厂,,22,7
12,卡洛斯发电厂,,23,9
12,卡洛斯发电厂,,24,2
12,卡洛斯发电厂,,25,5
13,废弃旅馆,恶,1,5
13,废弃旅馆,,2,8
13,废弃旅馆,,3,7
13,废弃旅馆,,4,6
13,废弃旅馆,,5,4
13,废弃旅馆,,6,5
13,废弃旅馆,,7,6
13,废弃旅馆,,8,6
13,废弃旅馆,,9,7
13,废弃旅馆,,10,8
13,废弃旅馆,,11,2
13,废弃旅馆,,12,1
13,废弃旅馆,,14,1
13,废弃旅馆,,15,2
13,废弃旅馆,,16,7
13,废弃旅馆,,17,2
13,废弃旅馆,,18,3
13,废弃旅馆,,19,4
13,废弃旅馆,,20,3
13,废弃旅馆,,21,8
13,废弃旅馆,,22,8
13,废弃旅馆,,23,10
13,废弃旅馆,,24,3
13,废弃旅馆,,25,6
14,铃铛塔,飞行,1,6
14,铃铛塔,,2,9
14,铃铛塔,,3,8
14,铃铛塔,,4,7
14,铃铛塔,,5,5
14,铃铛塔,,6,6
14,铃铛塔,,7,7
14,铃铛塔,,8,7
14,铃铛塔,,9,8
14,铃铛塔,,10,9
14,铃铛塔,,11,3
14,铃铛塔,,12,2
14,铃铛塔,,13,1
14,铃铛塔,,15,3
14,铃铛塔,,16,8
14,铃铛塔,,17,3
14,铃铛塔,,18,4
14,铃铛塔,,19,5
14,铃铛塔,,20,4
14,铃铛塔,,21,9
14,铃铛塔,,22,9
14,铃铛塔,,23,11
14,铃铛塔,,24,4
14,铃铛塔,,25,7
15,无名洞穴,岩石,1,4
15,无名洞穴,,2,7
15,无名洞穴,,3,6
15,无名洞穴,,4,5
15,无名洞穴,,5,3
15,无名洞穴,,6,4
15,无名洞穴,,7,5
15,无名洞穴,,8,5
15,无名洞穴,,9,6
15,无名洞穴,,10,7
15,无名洞穴,,11,1
15,无名洞穴,,12,1
15,无名洞穴,,13,2
15,无名洞穴,,14,3
15,无名洞穴,,16,6
15,无名洞穴,,17,1
15,无名洞穴,,18,1
15,无名洞穴,,19,3
15,无名洞穴,,20,2
15,无名洞穴,,21,7
15,无名洞穴,,22,7
15,无名洞穴,,23,9
15,无名洞穴,,24,1
15,无名洞穴,,25,5
16,虚空之间,鬼,1,2
16,虚空之间,,2,3
16,虚空之间,,3,4
16,虚空之间,,4,3
16,虚空之间,,5,3
16,虚空之间,,6,4
16,虚空之间,,7,5
16,虚空之间,,8,5
16,虚空之间,,9,6
16,虚空之间,,10,1
16,虚空之间,,11,5
16,虚空之间,,12,6
16,虚空之间,,13,7
16,虚空之间,,14,8
16,虚空之间,,15,6
16,虚空之间,,17,5
16,虚空之间,,18,7
16,虚空之间,,19,5
16,虚空之间,,20,4
16,虚空之间,,21,7
16,虚空之间,,22,7
16,虚空之间,,23,9
16,虚空之间,,24,7
16,虚空之间,,25,1
17,古香镇,超能力,1,3
17,古香镇,,2,6
17,古香镇,,3,5
17,古香镇,,4,4
17,古香镇,,5,2
17,古香镇,,6,3
17,古香镇,,7,4
17,古香镇,,8,4
17,古香镇,,9,5
17,古香镇,,10,6
17,古香镇,,11,1
17,古香镇,,12,1
17,古香镇,,13,2
17,古香镇,,14,3
17,古香镇,,15,1
17,古香镇,,16,5
17,古香镇,,18,2
17,古香镇,,19,2
17,古香镇,,20,1
17,古香镇,,21,6
17,古香镇,,22,6
17,古香镇,,23,8
17,古香镇,,24,2
17,古香镇,,25,4
18,蔚蓝湾,龙,1,5
18,蔚蓝湾,,2,8
18,蔚蓝湾,,3,7
18,蔚蓝湾,,4,6
18,蔚蓝湾,,5,4
18,蔚蓝湾,,6,5
18,蔚蓝湾,,7,6
18,蔚蓝湾,,8,6
18,蔚蓝湾,,9,7
18,蔚蓝湾,,10,8
18,蔚蓝湾,,11,2
18,蔚蓝湾,,12,2
18,蔚蓝湾,,13,3
18,蔚蓝湾,,14,4
18,蔚蓝湾,,15,1
18,蔚蓝湾,,16,7
18,蔚蓝湾,,17,2
18,蔚蓝湾,,19,4
18,蔚蓝湾,,20,3
18,蔚蓝湾,,21,8
18,蔚蓝湾,,22,8
18,蔚蓝湾,,23,10
18,蔚蓝湾,,24,2
18,蔚蓝湾,,25,6
19,精灵中心,精灵球,1,3
19,精灵中心,,2,6
19,精灵中心,,3,5
19,精灵中心,,4,4
19,精灵中心,,5,2
19,精灵中心,,6,3
19,精灵中心,,7,4
19,精灵中心,,8,4
19,精灵中心,,9,5
19,精灵中心,,10,6
19,精灵中心,,11,2
19,精灵中心,,12,3
19,精灵中心,,13,4
19,精灵中心,,14,5
19,精灵中心,,15,3
19,精灵中心,,16,5
19,精灵中心,,17,2
19,精灵中心,,18,4
19,精灵中心,,20,1
19,精灵中心,,21,6
19,精灵中心,,22,6
19,精灵中心,,23,8
19,精灵中心,,24,4
19,精灵中心,,25,4
20,树果田,树果,1,2
20,树果田,,2,5
20,树果田,,3,4
20,树果田,,4,3
20,树果田,,5,1
20,树果田,,6,2
20,树果田,,7,3
20,树果田,,8,3
20,树果田,,9,4
20,树果田,,10,5
20,树果田,,11,1
20,树果田,,12,2
20,树果田,,13,3
20,树果田,,14,4
20,树果田,,15,2
20,树果田,,16,4
20,树果田,,17,1
20,树果田,,18,3
20,树果田,,19,1
20,树果田,,21,5
20,树果田,,22,5
20,树果田,,23,7
20,树果田,,24,3
20,树果田,,25,3
21,闪耀洞穴,特殊精灵,1,5
21,闪耀洞穴,,2,8
21,闪耀洞穴,,3,7
21,闪耀洞穴,,4,6
21,闪耀洞穴,,5,4
21,闪耀洞穴,,6,3
21,闪耀洞穴,,7,4
21,闪耀洞穴,,8,2
21,闪耀洞穴,,9,3
21,闪耀洞穴,,10,8
21,闪耀洞穴,,11,6
21,闪耀洞穴,,12,7
21,闪耀洞穴,,13,8
21,闪耀洞穴,,14,9
21,闪耀洞穴,,15,7
21,闪耀洞穴,,16,7
21,闪耀洞穴,,17,6
21,闪耀洞穴,,18,8
21,闪耀洞穴,,19,6
21,闪耀洞穴,,20,5
21,闪耀洞穴,,22,4
21,闪耀洞穴,,23,6
21,闪耀洞穴,,24,8
21,闪耀洞穴,,25,6
22,冰霜洞穴,特殊精灵,1,5
22,冰霜洞穴,,2,8
22,冰霜洞穴,,3,7
22,冰霜洞穴,,4,6
22,冰霜洞穴,,5,4
22,冰霜洞穴,,6,3
22,冰霜洞穴,,7,4
22,冰霜洞穴,,8,2
22,冰霜洞穴,,9,1
22,冰霜洞穴,,10,8
22,冰霜洞穴,,11,6
22,冰霜洞穴,,12,7
22,冰霜洞穴,,13,8
22,冰霜洞穴,,14,9
22,冰霜洞穴,,15,7
22,冰霜洞穴,,16,7
22,冰霜洞穴,,17,6
22,冰霜洞穴,,18,8
22,冰霜洞穴,,19,6
22,冰霜洞穴,,20,5
22,冰霜洞穴,,21,4
22,冰霜洞穴,,23,2
22,冰霜洞穴,,24,8
22,冰霜洞穴,,25,6
23,海神之穴,特殊精灵,1,7
23,海神之穴,,2,10
23,海神之穴,,3,9
23,海神之穴,,4,8
23,海神之穴,,5,6
23,海神之穴,,6,5
23,海神之穴,,7,6
23,海神之穴,,8,4
23,海神之穴,,9,3
23,海神之穴,,10,10
23,海神之穴,,11,8
23,海神之穴,,12,9
23,海神之穴,,13,10
23,海神之穴,,14,11
23,海神之穴,,15,9
23,海神之穴,,16,9
23,海神之穴,,17,8
23,海神之穴,,18,10
23,海神之穴,,19,8
23,海神之穴,,20,7
23,海神之穴,,21,6
23,海神之穴,,22,2
23,海神之穴,,24,10
23,海神之穴,,25,8
24,弗拉达利实验室,特殊精灵,1,5
24,弗拉达利实验室,,2,8
24,弗拉达利实验室,,3,7
24,弗拉达利实验室,,4,6
24,弗拉达利实验室,,5,4
24,弗拉达利实验室,,6,5
24,弗拉达利实验室,,7,6
24,弗拉达利实验室,,8,6
24,弗拉达利实验室,,9,7
24,弗拉达利实验室,,10,8
24,弗拉达利实验室,,11,2
24,弗拉达利实验室,,12,2
24,弗拉达利实验室,,13,3
24,弗拉达利实验室,,14,4
24,弗拉达利实验室,,15,1
24,弗拉达利实验室,,16,7
24,弗拉达利实验室,,17,2
24,弗拉达利实验室,,18,2
24,弗拉达利实验室,,19,4
24,弗拉达利实验室,,20,3
24,弗拉达利实验室,,21,8
24,弗拉达利实验室,,22,8
24,弗拉达利实验室,,23,10
24,弗拉达利实验室,,25,6
25,狩猎场,狩猎场,1,1
25,狩猎场,,2,2
25,狩猎场,,3,3
25,狩猎场,,4,2
25,狩猎场,,5,2
25,狩猎场,,6,3
25,狩猎场,,7,4
25,狩猎场,,8,4
25,狩猎场,,9,5
25,狩猎场,,10,2
25,狩猎场,,11,4
25,狩猎场,,12,5
25,狩猎场,,13,6
25,狩猎场,,14,7
25,狩猎场,,15,5
25,狩猎场,,16,1
25,狩猎场,,17,4
25,狩猎场,,18,6
25,狩猎场,,19,4
25,狩猎场,,20,3
25,狩猎场,,21,6
25,狩猎场,,22,6
25,狩猎场,,23,8
25,狩猎场,,24,6
