特效ID,注释,"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4，目标方随机2人，5.目标方随机3人，6.目标方随机4人，11.释放者,12.释放者方全体,13.释放者方随机单体,14. 释放者方目标单体 其它.特殊规则待扩展)",BUFF时机（1.施放技能前，2.施放技能后，3.进入战斗回合，4.死亡时）,"触发条件(-1.击中目标时,-2.没击中目标时,0.一定触发,1-100.概率触发)","效果持续回合(-2.失去目标前有效,-1.当前战斗结束前有效,0.使用完立刻失效,>0.轮到作用对象行动时减1回合，减到0则效果消失)",每减少一个回合时触发的效果，引用本表id,效果结束时触发的效果，0则不触发任何效果，引用本表id(例如预知未来),类别ID,"同效果叠加(0:新生成,1:回合相加,2:无效,3:覆盖,4:同类型叠加,5:同类型无效,6:同类型覆盖)","效果类型(1正面效果,2负面效果)",效果(说明文字，程序不用),效果的持续特效资源,物攻提升百分比,物防提升百分比,特攻提升百分比,特防提升百分比,速度提升百分比,命中提升百分比,闪避提升百分比,暴击率提升百分比,暴击伤害提升百分比,最终伤害提升百分比,回复（释放者）物攻值百分比的生命值,回复（释放者）特攻值百分比的生命值,回复（释放者）生命上限百分比的生命值,回复（释放者）当前生命值百分比的生命值,回复（目标）物攻值百分比的生命值,回复（目标）特攻值百分比的生命值,回复（目标）生命上限百分比的生命值,回复（目标）当前生命值百分比的生命值,回复造成伤害百分比的生命值,随机使用技能,随机攻击目标,不能行动,解除所有负面效果,恢复SP,火系技能威力提升百分比,水系技能威力提升百分比,草系技能威力提升百分比,妖系技能威力提升百分比,恶系技能威力提升百分比,龙系技能威力提升百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,物理系技能威力提升百分比,特攻系技能威力提升百分比
104,,1,2,10,1,,,,1,2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,1,2,20,1,,,,1,2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,1,2,30,1,,,,1,2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,1,2,20,1,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,1,2,40,1,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,1,2,60,1,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,1,2,5,2,,,,1,2,物攻降低群,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,1,2,10,2,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,1,2,15,2,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,1,2,5,1,,,,1,2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,1,2,10,1,,,,1,2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,1,2,15,1,,,,1,2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,1,2,5,1,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,1,2,10,1,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,1,2,15,1,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,1,2,0,3,,,,1,2,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,11,2,0,3,,,,1,2,,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,11,2,0,3,,,,1,2,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,1,2,50,1,,,,1,2,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,11,2,10,2,,,,1,1,特攻增加单,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,11,2,20,2,,,,1,1,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,11,2,30,2,,,,1,1,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,11,2,10,1,,,,1,1,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,11,2,20,1,,,,1,1,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,11,2,30,1,,,,1,1,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,1,2,0,3,,,,1,1,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,11,2,0,3,,,,1,1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,11,2,0,3,,,,1,1,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,11,2,0,1,,,,1,1,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,1,2,10,2,,,,1,2,特攻降低（单）,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,1,2,20,2,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,1,2,30,2,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,1,2,10,1,,,,1,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,1,2,20,1,,,,1,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,1,2,30,1,,,,1,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,1,2,20,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,1,2,40,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,1,2,60,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,1,2,5,2,,,,1,2,特攻降低群,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,1,2,10,2,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,1,2,15,2,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,1,2,5,1,,,,1,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,1,2,10,1,,,,1,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,1,2,15,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,1,2,5,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,1,2,10,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,1,2,15,1,,,,1,2,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,1,2,0,2,,,,1,2,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,11,2,0,2,,,,1,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,11,2,0,2,,,,1,2,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,1,2,0,1,,,,1,2,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,11,2,10,2,,,,1,1,物防增加单,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,11,2,20,2,,,,1,1,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,11,2,30,2,,,,1,1,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,11,2,10,1,,,,1,1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,11,2,20,1,,,,1,1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,11,2,30,1,,,,1,1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,1,2,0,3,,,,1,1,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,1,2,0,3,,,,1,1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,11,2,0,3,,,,1,1,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,11,2,0,2,,,,1,1,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,,1,2,10,2,,,,1,2,物防降低单,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,1,2,20,2,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,1,2,30,2,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,,1,2,10,1,,,,1,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,1,2,20,1,,,,1,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,,1,2,30,1,,,,1,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,1,2,20,1,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,,1,2,40,1,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,,1,2,60,1,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,1,2,5,2,,,,1,2,物防降低群,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,1,2,10,2,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,,1,2,15,2,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,1,2,5,1,,,,1,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,1,2,10,1,,,,1,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,,1,2,15,1,,,,1,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,,1,2,10,1,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,,1,2,20,1,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,,1,2,30,1,,,,1,2,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,1,2,10,1,,,,1,2,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,1,2,0,3,,,,1,2,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,11,2,0,2,,,,1,2,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,11,2,10,2,,,,1,1,特防增加单,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,11,2,20,2,,,,1,1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,11,2,30,2,,,,1,1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,,11,2,10,1,,,,1,1,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,11,2,20,1,,,,1,1,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,11,2,30,1,,,,1,1,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,1,2,0,3,,,,1,1,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,1,2,0,3,,,,1,1,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,,11,2,0,3,,,,1,1,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,11,2,0,2,,,,1,1,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,,1,2,10,2,,,,1,2,特防降低单,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,,1,2,20,2,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,,1,2,30,2,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,,1,2,10,1,,,,1,2,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,,1,2,20,1,,,,1,2,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,,1,2,30,1,,,,1,2,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,,1,2,5,2,,,,1,2,特防降低群,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,,1,2,10,2,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,,1,2,15,2,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,,1,2,5,1,,,,1,2,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,,1,2,10,1,,,,1,2,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,,1,2,15,1,,,,1,2,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,,1,2,10,1,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,,1,2,20,1,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,,1,2,30,1,,,,1,2,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,,1,2,10,1,,,,1,2,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,,1,2,0,3,,,,1,2,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,,11,2,0,2,,,,1,2,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,11,2,10,2,,,,1,1,速度增加,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,11,2,20,2,,,,1,1,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,11,2,30,2,,,,1,1,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,11,2,10,1,,,,1,1,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,11,2,20,1,,,,1,1,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,11,2,30,1,,,,1,1,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,,1,2,0,2,,,,1,1,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,1,2,0,2,,,,1,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,,12,2,0,2,,,,1,1,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,,1,2,10,2,,,,1,2,速度降低,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,,1,2,20,2,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,,1,2,30,2,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,,1,2,10,1,,,,1,2,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,,1,2,20,1,,,,1,2,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,,1,2,30,1,,,,1,2,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,,1,2,5,2,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,,1,2,10,2,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,,1,2,15,2,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,,1,2,5,1,,,,1,2,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,,1,2,10,1,,,,1,2,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,,1,2,15,1,,,,1,2,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,,1,2,0,3,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,,12,2,0,3,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,,2,2,0,2,,,,1,2,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,,2,2,0,2,,,,1,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,11,2,10,3,,,,1,1,命中增加,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,11,2,5,3,,,,1,1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,,1,2,0,3,,,,1,1,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,1,2,10,3,,,,1,2,命中降低,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,,1,2,5,3,,,,1,2,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,,1,2,0,3,,,,1,2,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,,2,2,0,3,,,,1,2,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,,11,2,10,3,,,,1,1,闪避增加,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,,11,2,5,3,,,,1,1,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,,12,2,0,2,,,,1,1,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,,1,2,0,3,,,,1,1,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,,11,2,0,2,,,,1,1,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,,1,2,10,3,,,,1,2,闪避降低,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,,1,2,5,3,,,,1,2,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,,1,2,0,3,,,,1,2,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,,2,2,0,2,,,,1,2,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,,2,2,0,2,,,,1,2,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,,11,2,0,1,,,,1,1,暴击率增加,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,,11,2,0,1,,,,1,1,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,,11,2,0,1,,,,1,1,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,,1,2,0,3,,,,1,1,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,,1,2,10,3,,,,1,2,暴击率降低,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,,1,2,5,3,,,,1,2,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
