文本内容ID,注释,注释辅助分类,文本内容,是否逐字显示,文本坐标X,文本坐标Y,文本宽度W,文本高度H,文本描边颜色(16进制表示）,文本描边像素,字体大小,音频内容(文件名字表示）,从上方计算坐标（1为从上方计算，2为从中间计算，不填或者填0从下方计算）
6501,,装备附魔,[#FFFFFF]  点击附魔页签看看吧~,,135,530,450,50,#000000,3,24,teachhua6501,2
6502,,装备附魔,[#FFFFFF]  我们先选择第一个装备试试看~,,135,750,450,50,#000000,3,24,teachhua6302,2
6503,,装备附魔,[#FFFFFF]  点击附魔按钮就可以附魔啦~,,135,530,450,50,#000000,3,24,teachhua6503,2
6600,,装备饰品,[#FFFFFF]  我们去看看有什么饰品可以穿戴吧~,,135,750,450,50,#000000,3,24,teachhua6600,2
6601,,装备饰品,"[#FFFFFF]  有新头饰,点击头饰页签看看。",,135,750,450,50,#000000,3,24,teachhua6601,2
6602,,装备饰品,"[#FFFFFF]  需要1星穿戴,点击升级吧~",,135,530,450,50,#000000,3,24,teachhua6602,2
6603,,装备饰品,"[#FFFFFF]  头饰可以穿戴了,点击穿戴戴上它吧~",,135,530,450,50,#000000,3,24,teachhua6603,2
6700,,装备翅膀,[#FFFFFF]  我们去看看有什么饰品可以穿戴吧~,,135,750,450,50,#000000,3,24,teachhua6600,2
6701,,装备翅膀,"[#FFFFFF]  有新翅膀,点击翅膀页签看看。",,135,750,450,50,#000000,3,24,teachhua6701,2
6702,,装备翅膀,"[#FFFFFF]  需要1星穿戴,点击升级吧~",,135,530,450,50,#000000,3,24,teachhua6602,2
6703,,装备翅膀,"[#FFFFFF]  翅膀可以穿戴了,点击穿戴戴上它吧~",,135,530,450,50,#000000,3,24,teachhua6703,2
6800,,装备徽章,"[#FFFFFF]  好像可以激活徽章了,去看看吧~",,135,750,450,50,#000000,3,24,teachhua6800,2
6801,,装备徽章,[#FFFFFF]  徽章需要升满级一个才开启下一个。,,135,750,450,50,#000000,3,24,teachhua6801,2
6802,,装备徽章,[#FFFFFF]  点击升级开始激活徽章吧~,,135,750,450,50,#000000,3,24,teachhua6802,2
6900,,自动闯关,[#FFFFFF]  开启自动闯关时会自动进入关卡。,,135,750,450,50,#000000,3,24,teachhua6900,2
6901,,自动闯关,[#FFFFFF]  点击自动闯关就开启了。,,135,750,450,50,#000000,3,24,teachhua6901,2
7000,,特殊副本,[#FFFFFF]  点击主城的特殊副本进入。,,135,310,450,50,#000000,3,24,teachhua7000,2
7001,,特殊副本,"[#FFFFFF]  亲密副本产精灵果实,我们去看看~",,135,530,450,50,#000000,3,24,teachhua7001,2
7002,,特殊副本,[#FFFFFF]  点击挑战就可以进入战斗了~,,135,750,450,50,#000000,3,24,teachhua7002,2
7100,,地底挑战,"[#FFFFFF]  啊！门口有个卡比兽,打败它才能进去探险~",,135,750,450,50,#000000,3,24,teachhua7100,2
7101,,地底挑战,[#FFFFFF]  我们点击它开始战斗吧~,,135,750,450,50,#000000,3,24,teachhua7101,2
7200,,布阵,[#FFFFFF]  点击阵型看看有什么吧~,,135,750,450,50,#000000,3,24,teachhua7200,2
7201,,布阵,[#FFFFFF]  我们先看看强攻阵型。,,135,750,450,50,#000000,3,24,teachhua7201,2
7202,,布阵,"[#FFFFFF]  每个格子有不同的作用,摆摆看吧~",,135,750,450,50,#000000,3,24,teachhua7202,2
7203,,布阵,[#FFFFFF]  点击升级按钮就可以强化阵型了。,,135,750,450,50,#000000,3,24,teachhua7203,2
7300,,性格,[#FFFFFF]  点击性格看看精灵的性格吧~,,135,750,450,50,#000000,3,24,teachhua7300,2
7301,,性格,"[#FFFFFF]  性格有很多种,对应的效果也不同。",,135,310,450,50,#000000,3,24,teachhua7301,2
7302,,性格,[#FFFFFF]  点击洗性格试试吧~,,135,750,450,50,#000000,3,24,teachhua7302,2
7400,,个体,[#FFFFFF]  点击个体值。,,135,750,450,50,#000000,3,24,teachhua7400,2
7401,,个体,"[#FFFFFF]  这里是精灵的资质,值越高属性成长越高~",,135,750,450,50,#000000,3,24,teachhua7401,2
7402,,个体,"[#FFFFFF]  满意的资质可以锁住,下次洗练这条资质就不会变了。",,135,750,450,50,#000000,3,24,teachhua7402,2
7403,,个体,[#FFFFFF]  觉得不满意可以点击洗练洗洗看~,,135,750,450,50,#000000,3,24,teachhua7403,2
7500,,公会,[#FFFFFF]  点击公会去进一个公会吧~,,135,750,450,50,#000000,3,24,teachhua7500,2
7501,,公会,[#FFFFFF]  找一个公会申请加入或者自己成为会长。,,135,750,450,50,#000000,3,24,teachhua7501,2
7600,,助阵,"[#FFFFFF]  点击助阵吧,让更多的精灵帮助你吧~",,135,750,450,50,#000000,3,24,teachhua7600,2
7601,,助阵,[#FFFFFF]  可以拖动精灵到助阵格子上帮助你的精灵战斗~,,135,750,450,50,#000000,3,24,teachhua7601,2
7602,,助阵,[#FFFFFF]  这里显示的属性由助阵精灵提供加成到所有上阵精灵上。,,135,750,450,50,#000000,3,24,teachhua7602,2
7603,,助阵,[#FFFFFF]  你试试看拖动精灵上去吧~,,135,750,450,50,#000000,3,24,teachhua7603,2
7700,,秘境,[#FFFFFF]  掷骰子会遇到很多随即事件的。,,135,530,450,50,#000000,3,24,teachhua7700,2
7701,,秘境,[#FFFFFF]  点击普通骰子试试吧~,,135,530,450,50,#000000,3,24,teachhua7701,2
7800,,挖矿,[#FFFFFF]  这里的每一个矿石下面都有宝藏。,,135,750,450,50,#000000,3,24,teachhua7800,2
7801,,挖矿,[#FFFFFF]  每挖一次会消耗一个锄头。,,135,750,450,50,#000000,3,24,teachhua7801,2
7802,,挖矿,[#FFFFFF]  试试挖一个吧~,,135,750,450,50,#000000,3,24,teachhua7802,2
7900,,努力值,[#FFFFFF]  点击努力值页签强化精灵吧~,,135,750,450,50,#000000,3,24,teachhua7900,2
7901,,努力值,[#FFFFFF]  点击生命培养精灵的生命值吧~,,135,530,450,50,#000000,3,24,teachhua7901,2
7902,,努力值,"[#FFFFFF]  有努力石头可以使用,点击使用一次吧~",,135,530,450,50,#000000,3,24,teachhua7902,2
8000,,排行榜,"[#FFFFFF]  这里可以查看您的排名,去超越其他训练师吧~",,135,750,450,50,#000000,3,24,teachhua8000,2
8100,,排位赛,[#FFFFFF]  点击精灵大赛开始冠军争夺战吧~,,135,530,450,50,#000000,3,24,teachhua8100,2
8101,,排位赛,"[#FFFFFF]  目前我们还是属于新手区,点击这里报名吧~",,135,530,450,50,#000000,3,24,teachhua8101,2
8102,,排位赛,"[#FFFFFF]  接下来看你的咯,开始征战吧~",,135,750,450,50,#000000,3,24,teachhua8102,2
8200,,家园,[#FFFFFF]  点击家园进入属于你的家吧~,,135,750,450,50,#000000,3,24,teachhua8200,2
8201,,家园,[#FFFFFF]  点击探索看看有什么宝物吧~,,135,530,450,50,#000000,3,24,teachhua8201,2
8202,,家园,[#FFFFFF]  先寻个宝先~,,135,530,450,50,#000000,3,24,teachhua8202,2
8203,,家园,[#FFFFFF]  点击免费寻宝就可以寻宝啦~,,135,530,450,50,#000000,3,24,teachhua8203,2
8204,,家园,"[#FFFFFF]  有图纸了,我们去打造家具去~",,135,530,450,50,#000000,3,24,teachhua8204,2
8205,,家园,[#FFFFFF]  点击打造页签~,,135,530,450,50,#000000,3,24,teachhua8205,2
8206,,家园,[#FFFFFF]  选中红点家具~（可以打造的家具）,,135,750,450,50,#000000,3,24,teachhua8206,2
8207,,家园,[#FFFFFF]  点击打造就可以获得家具啦~,,135,530,450,50,#000000,3,24,teachhua8207,2
8208,,家园,"[#FFFFFF]  点击确定后家具就放到仓库中啦,去看看吧~",,135,530,450,50,#000000,3,24,teachhua8208,2
8300,,超进化,[#FFFFFF]  点击进化页签看看精灵超进化的样子吧,,135,750,450,50,#000000,3,24,teachhua8300,
8301,,超进化,"[#FFFFFF]  顶级形态的部分精灵可以超进化,精灵超进化属性会大幅度提升~",,135,750,450,50,#000000,3,24,teachhua8301,
8400,,狩猎场高级,"[#FFFFFF]  听说高级狩猎区有很多稀有精灵,我们去看看吧~",,135,750,450,50,#000000,3,24,teachhua8400,
8401,,狩猎场高级,"[#FFFFFF]  点击高级狩猎区,看看今天有哪些稀有精灵吧~",,135,750,450,50,#000000,3,24,teachhua8401,
8500,,战斗地铁,"[#FFFFFF]  战斗地铁挑战成功后可以开启新功能,点击战斗地铁看看吧~",,135,750,450,50,#000000,3,24,,2
8501,,战斗地铁,"[#FFFFFF]  战斗地铁分三条线,国内线打通后解锁道馆战,国际线打通后解锁精灵大赛，东京湾打通后解锁资源战~",,135,310,450,50,#000000,3,24,,2
8600,,生蛋,"[#FFFFFF]  这是孵蛋区域,解锁成功的空闲的格子可以孵化精灵蛋~",,135,750,450,50,#000000,3,24,teachhua8600,2
8601,,生蛋,"[#FFFFFF]  这是我们精灵蛋存放的地方,获得的精灵蛋都在这,要记得及时孵化哦~",,135,515,450,50,#000000,3,24,teachhua8601,2
8602,,生蛋,[#FFFFFF]  点击女生管理员去看看精灵生蛋吧~,,135,750,450,50,#000000,3,24,teachhua8602,2
8603,,生蛋,"[#FFFFFF]  这就是精灵生蛋的地方,把满足等级的两个异性精灵拖进这里等待一段时间后就有可能获得精灵蛋啦~",,135,735,450,50,#000000,3,24,teachhua8603,2
8700,,道馆,"[#FFFFFF]  道馆有强大的馆主,我们点击道馆去看看吧~",,135,530,450,50,#000000,3,24,teachhua8700,2
8701,,道馆,"[#FFFFFF]  我们点击华蓝道馆,先从简单的开始挑战吧~",,135,530,450,50,#000000,3,24,teachhua8701,2
8702,,道馆,"[#FFFFFF]  这是挑战道馆的队伍调整区域,道馆训练师很强,要设置多的队伍进去挑战哦~",,135,310,450,50,#000000,3,24,teachhua8702,2
8703,,道馆,[#FFFFFF]  调整好了队伍后我们点击进入道馆就可以挑战道馆啦~,,135,750,450,50,#000000,3,24,teachhua8703,2
8800,,抓宠,"[#FFFFFF]  遇到野生的神奇宝贝啦,快点击看看吧~",,135,750,450,50,#000000,3,24,,2
8801,,抓宠,[#FFFFFF]  点击捕获去抓取小精灵吧~,,135,750,450,50,#000000,3,24,,2
8802,,抓宠,[#FFFFFF]  这里就是和野生小精灵战斗的场景了~,,135,530,450,50,#000000,3,24,,2
8803,,抓宠,"[#FFFFFF]  我们可以用最下方的撞击,丢石头,刀背打来消耗小精灵~",,135,530,450,50,#000000,3,24,,2
8804,,抓宠,"[#FFFFFF]  记住了,小精灵的血量越低越容易捕获哦~",,135,530,450,50,#000000,3,24,,2
8900,,地图,[#FFFFFF]  让我们去看看地图功能吧~,,135,310,450,50,#000000,3,24,,2
8901,,古木镇,"[#FFFFFF]  这里就是地图的界面了,点击一个地点就可以飞过去了哦~",,135,310,450,50,#000000,3,24,,2
8902,,古木镇,"[#FFFFFF]  现在已经进入古木镇的区域了,能捕获的怪物和之前的都不一样了哦~",,135,530,450,50,#000000,3,24,,2
8903,,古木镇,[#FFFFFF]  这就是地图界面啦，在新的地区解锁之后就可以飞行过去，现在先让我们点击古木镇试试看吧~,,135,295,450,50,#000000,3,24,,2
9000,,扭蛋,[#FFFFFF]  点击这里可以跳过扭蛋动画哦~,,135,750,450,50,#000000,3,24,,2
