强化ID,页签位置,开启关卡限制,等级,"升级下级所需道具数量（经验）(奶糖,道具id：12601）",下一级id,效果引用id,作用属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼。。）(;分隔）
2052,3,,51,8996,2053,410051,3;11
2053,3,,52,9328,2054,410052,3;11
2054,3,,53,9666,2055,410053,3;11
2055,3,,54,10010,2056,410054,3;11
2056,3,,55,10360,2057,410055,3;11
2057,3,,56,10716,2058,410056,3;11
2058,3,,57,11078,2059,410057,3;11
2059,3,,58,11446,2060,410058,3;11
2060,3,,59,11820,2061,410059,3;11
2061,3,,60,12200,2062,410060,3;11
2062,3,,61,12586,2063,410061,3;11
2063,3,,62,12978,2064,410062,3;11
2064,3,,63,13376,2065,410063,3;11
2065,3,,64,13780,2066,410064,3;11
2066,3,,65,14190,2067,410065,3;11
2067,3,,66,14606,2068,410066,3;11
2068,3,,67,15028,2069,410067,3;11
2069,3,,68,15456,2070,410068,3;11
2070,3,,69,15890,2071,410069,3;11
2071,3,,70,16330,2072,410070,3;11
2072,3,,71,16776,2073,410071,3;11
2073,3,,72,17228,2074,410072,3;11
2074,3,,73,17686,2075,410073,3;11
2075,3,,74,18150,2076,410074,3;11
2076,3,,75,18620,2077,410075,3;11
2077,3,,76,19096,2078,410076,3;11
2078,3,,77,19578,2079,410077,3;11
2079,3,,78,20066,2080,410078,3;11
2080,3,,79,20560,2081,410079,3;11
2081,3,,80,21060,2082,410080,3;11
2082,3,,81,21566,2083,410081,3;11
2083,3,,82,22078,2084,410082,3;11
2084,3,,83,22596,2085,410083,3;11
2085,3,,84,23120,2086,410084,3;11
2086,3,,85,23650,2087,410085,3;11
2087,3,,86,24186,2088,410086,3;11
2088,3,,87,24728,2089,410087,3;11
2089,3,,88,25276,2090,410088,3;11
2090,3,,89,25830,2091,410089,3;11
2091,3,,90,26390,2092,410090,3;11
2092,3,,91,26956,2093,410091,3;11
2093,3,,92,27528,2094,410092,3;11
2094,3,,93,28106,2095,410093,3;11
2095,3,,94,28690,2096,410094,3;11
2096,3,,95,29280,2097,410095,3;11
2097,3,,96,29876,2098,410096,3;11
2098,3,,97,30478,2099,410097,3;11
2099,3,,98,31086,2100,410098,3;11
2100,3,,99,,,410099,3;11
3001,4,,0,20,3002,,4;10;16
3002,4,,1,46,3003,410001,4;10;16
3003,4,,2,78,3004,410002,4;10;16
3004,4,,3,116,3005,410003,4;10;16
3005,4,,4,160,3006,410004,4;10;16
3006,4,,5,210,3007,410005,4;10;16
3007,4,,6,266,3008,410006,4;10;16
3008,4,,7,328,3009,410007,4;10;16
3009,4,,8,396,3010,410008,4;10;16
3010,4,,9,470,3011,410009,4;10;16
3011,4,,10,550,3012,410010,4;10;16
3012,4,,11,636,3013,410011,4;10;16
3013,4,,12,728,3014,410012,4;10;16
3014,4,,13,826,3015,410013,4;10;16
3015,4,,14,930,3016,410014,4;10;16
3016,4,,15,1040,3017,410015,4;10;16
3017,4,,16,1156,3018,410016,4;10;16
3018,4,,17,1278,3019,410017,4;10;16
3019,4,,18,1406,3020,410018,4;10;16
3020,4,,19,1540,3021,410019,4;10;16
3021,4,,20,1680,3022,410020,4;10;16
3022,4,,21,1826,3023,410021,4;10;16
3023,4,,22,1978,3024,410022,4;10;16
3024,4,,23,2136,3025,410023,4;10;16
3025,4,,24,2300,3026,410024,4;10;16
3026,4,,25,2470,3027,410025,4;10;16
3027,4,,26,2646,3028,410026,4;10;16
3028,4,,27,2828,3029,410027,4;10;16
3029,4,,28,3016,3030,410028,4;10;16
3030,4,,29,3210,3031,410029,4;10;16
3031,4,,30,3410,3032,410030,4;10;16
3032,4,,31,3616,3033,410031,4;10;16
3033,4,,32,3828,3034,410032,4;10;16
3034,4,,33,4046,3035,410033,4;10;16
3035,4,,34,4270,3036,410034,4;10;16
3036,4,,35,4500,3037,410035,4;10;16
3037,4,,36,4736,3038,410036,4;10;16
3038,4,,37,4978,3039,410037,4;10;16
3039,4,,38,5226,3040,410038,4;10;16
3040,4,,39,5480,3041,410039,4;10;16
3041,4,,40,5740,3042,410040,4;10;16
3042,4,,41,6006,3043,410041,4;10;16
3043,4,,42,6278,3044,410042,4;10;16
3044,4,,43,6556,3045,410043,4;10;16
3045,4,,44,6840,3046,410044,4;10;16
3046,4,,45,7130,3047,410045,4;10;16
3047,4,,46,7426,3048,410046,4;10;16
3048,4,,47,7728,3049,410047,4;10;16
3049,4,,48,8036,3050,410048,4;10;16
3050,4,,49,8350,3051,410049,4;10;16
3051,4,,50,8670,3052,410050,4;10;16
3052,4,,51,8996,3053,410051,4;10;16
3053,4,,52,9328,3054,410052,4;10;16
3054,4,,53,9666,3055,410053,4;10;16
3055,4,,54,10010,3056,410054,4;10;16
3056,4,,55,10360,3057,410055,4;10;16
3057,4,,56,10716,3058,410056,4;10;16
3058,4,,57,11078,3059,410057,4;10;16
3059,4,,58,11446,3060,410058,4;10;16
3060,4,,59,11820,3061,410059,4;10;16
3061,4,,60,12200,3062,410060,4;10;16
3062,4,,61,12586,3063,410061,4;10;16
3063,4,,62,12978,3064,410062,4;10;16
3064,4,,63,13376,3065,410063,4;10;16
3065,4,,64,13780,3066,410064,4;10;16
3066,4,,65,14190,3067,410065,4;10;16
3067,4,,66,14606,3068,410066,4;10;16
3068,4,,67,15028,3069,410067,4;10;16
3069,4,,68,15456,3070,410068,4;10;16
3070,4,,69,15890,3071,410069,4;10;16
3071,4,,70,16330,3072,410070,4;10;16
3072,4,,71,16776,3073,410071,4;10;16
3073,4,,72,17228,3074,410072,4;10;16
3074,4,,73,17686,3075,410073,4;10;16
3075,4,,74,18150,3076,410074,4;10;16
3076,4,,75,18620,3077,410075,4;10;16
3077,4,,76,19096,3078,410076,4;10;16
3078,4,,77,19578,3079,410077,4;10;16
3079,4,,78,20066,3080,410078,4;10;16
3080,4,,79,20560,3081,410079,4;10;16
3081,4,,80,21060,3082,410080,4;10;16
3082,4,,81,21566,3083,410081,4;10;16
3083,4,,82,22078,3084,410082,4;10;16
3084,4,,83,22596,3085,410083,4;10;16
3085,4,,84,23120,3086,410084,4;10;16
3086,4,,85,23650,3087,410085,4;10;16
3087,4,,86,24186,3088,410086,4;10;16
3088,4,,87,24728,3089,410087,4;10;16
3089,4,,88,25276,3090,410088,4;10;16
3090,4,,89,25830,3091,410089,4;10;16
3091,4,,90,26390,3092,410090,4;10;16
3092,4,,91,26956,3093,410091,4;10;16
3093,4,,92,27528,3094,410092,4;10;16
3094,4,,93,28106,3095,410093,4;10;16
3095,4,,94,28690,3096,410094,4;10;16
3096,4,,95,29280,3097,410095,4;10;16
3097,4,,96,29876,3098,410096,4;10;16
3098,4,,97,30478,3099,410097,4;10;16
3099,4,,98,31086,3100,410098,4;10;16
3100,4,,99,,,410099,4;10;16
4001,5,,0,20,4002,,5;14;17
4002,5,,1,46,4003,410001,5;14;17
4003,5,,2,78,4004,410002,5;14;17
4004,5,,3,116,4005,410003,5;14;17
4005,5,,4,160,4006,410004,5;14;17
4006,5,,5,210,4007,410005,5;14;17
4007,5,,6,266,4008,410006,5;14;17
4008,5,,7,328,4009,410007,5;14;17
4009,5,,8,396,4010,410008,5;14;17
4010,5,,9,470,4011,410009,5;14;17
4011,5,,10,550,4012,410010,5;14;17
4012,5,,11,636,4013,410011,5;14;17
4013,5,,12,728,4014,410012,5;14;17
4014,5,,13,826,4015,410013,5;14;17
4015,5,,14,930,4016,410014,5;14;17
4016,5,,15,1040,4017,410015,5;14;17
4017,5,,16,1156,4018,410016,5;14;17
4018,5,,17,1278,4019,410017,5;14;17
4019,5,,18,1406,4020,410018,5;14;17
4020,5,,19,1540,4021,410019,5;14;17
4021,5,,20,1680,4022,410020,5;14;17
4022,5,,21,1826,4023,410021,5;14;17
4023,5,,22,1978,4024,410022,5;14;17
4024,5,,23,2136,4025,410023,5;14;17
4025,5,,24,2300,4026,410024,5;14;17
4026,5,,25,2470,4027,410025,5;14;17
4027,5,,26,2646,4028,410026,5;14;17
4028,5,,27,2828,4029,410027,5;14;17
4029,5,,28,3016,4030,410028,5;14;17
4030,5,,29,3210,4031,410029,5;14;17
4031,5,,30,3410,4032,410030,5;14;17
4032,5,,31,3616,4033,410031,5;14;17
4033,5,,32,3828,4034,410032,5;14;17
4034,5,,33,4046,4035,410033,5;14;17
4035,5,,34,4270,4036,410034,5;14;17
4036,5,,35,4500,4037,410035,5;14;17
4037,5,,36,4736,4038,410036,5;14;17
4038,5,,37,4978,4039,410037,5;14;17
4039,5,,38,5226,4040,410038,5;14;17
4040,5,,39,5480,4041,410039,5;14;17
4041,5,,40,5740,4042,410040,5;14;17
4042,5,,41,6006,4043,410041,5;14;17
4043,5,,42,6278,4044,410042,5;14;17
4044,5,,43,6556,4045,410043,5;14;17
4045,5,,44,6840,4046,410044,5;14;17
4046,5,,45,7130,4047,410045,5;14;17
4047,5,,46,7426,4048,410046,5;14;17
4048,5,,47,7728,4049,410047,5;14;17
4049,5,,48,8036,4050,410048,5;14;17
4050,5,,49,8350,4051,410049,5;14;17
4051,5,,50,8670,4052,410050,5;14;17
4052,5,,51,8996,4053,410051,5;14;17
4053,5,,52,9328,4054,410052,5;14;17
4054,5,,53,9666,4055,410053,5;14;17
4055,5,,54,10010,4056,410054,5;14;17
4056,5,,55,10360,4057,410055,5;14;17
4057,5,,56,10716,4058,410056,5;14;17
4058,5,,57,11078,4059,410057,5;14;17
4059,5,,58,11446,4060,410058,5;14;17
4060,5,,59,11820,4061,410059,5;14;17
4061,5,,60,12200,4062,410060,5;14;17
4062,5,,61,12586,4063,410061,5;14;17
4063,5,,62,12978,4064,410062,5;14;17
4064,5,,63,13376,4065,410063,5;14;17
4065,5,,64,13780,4066,410064,5;14;17
4066,5,,65,14190,4067,410065,5;14;17
4067,5,,66,14606,4068,410066,5;14;17
4068,5,,67,15028,4069,410067,5;14;17
4069,5,,68,15456,4070,410068,5;14;17
4070,5,,69,15890,4071,410069,5;14;17
4071,5,,70,16330,4072,410070,5;14;17
4072,5,,71,16776,4073,410071,5;14;17
4073,5,,72,17228,4074,410072,5;14;17
4074,5,,73,17686,4075,410073,5;14;17
4075,5,,74,18150,4076,410074,5;14;17
4076,5,,75,18620,4077,410075,5;14;17
4077,5,,76,19096,4078,410076,5;14;17
4078,5,,77,19578,4079,410077,5;14;17
4079,5,,78,20066,4080,410078,5;14;17
4080,5,,79,20560,4081,410079,5;14;17
4081,5,,80,21060,4082,410080,5;14;17
4082,5,,81,21566,4083,410081,5;14;17
4083,5,,82,22078,4084,410082,5;14;17
4084,5,,83,22596,4085,410083,5;14;17
4085,5,,84,23120,4086,410084,5;14;17
4086,5,,85,23650,4087,410085,5;14;17
4087,5,,86,24186,4088,410086,5;14;17
4088,5,,87,24728,4089,410087,5;14;17
4089,5,,88,25276,4090,410088,5;14;17
4090,5,,89,25830,4091,410089,5;14;17
4091,5,,90,26390,4092,410090,5;14;17
4092,5,,91,26956,4093,410091,5;14;17
4093,5,,92,27528,4094,410092,5;14;17
4094,5,,93,28106,4095,410093,5;14;17
4095,5,,94,28690,4096,410094,5;14;17
4096,5,,95,29280,4097,410095,5;14;17
4097,5,,96,29876,4098,410096,5;14;17
4098,5,,97,30478,4099,410097,5;14;17
4099,5,,98,31086,4100,410098,5;14;17
4100,5,,99,,,410099,5;14;17
5001,6,,0,20,5002,,6;12
5002,6,,1,46,5003,410001,6;12
5003,6,,2,78,5004,410002,6;12
5004,6,,3,116,5005,410003,6;12
5005,6,,4,160,5006,410004,6;12
5006,6,,5,210,5007,410005,6;12
5007,6,,6,266,5008,410006,6;12
5008,6,,7,328,5009,410007,6;12
5009,6,,8,396,5010,410008,6;12
5010,6,,9,470,5011,410009,6;12
5011,6,,10,550,5012,410010,6;12
5012,6,,11,636,5013,410011,6;12
5013,6,,12,728,5014,410012,6;12
5014,6,,13,826,5015,410013,6;12
5015,6,,14,930,5016,410014,6;12
5016,6,,15,1040,5017,410015,6;12
5017,6,,16,1156,5018,410016,6;12
5018,6,,17,1278,5019,410017,6;12
5019,6,,18,1406,5020,410018,6;12
5020,6,,19,1540,5021,410019,6;12
5021,6,,20,1680,5022,410020,6;12
5022,6,,21,1826,5023,410021,6;12
5023,6,,22,1978,5024,410022,6;12
5024,6,,23,2136,5025,410023,6;12
5025,6,,24,2300,5026,410024,6;12
5026,6,,25,2470,5027,410025,6;12
5027,6,,26,2646,5028,410026,6;12
5028,6,,27,2828,5029,410027,6;12
5029,6,,28,3016,5030,410028,6;12
5030,6,,29,3210,5031,410029,6;12
5031,6,,30,3410,5032,410030,6;12
5032,6,,31,3616,5033,410031,6;12
5033,6,,32,3828,5034,410032,6;12
5034,6,,33,4046,5035,410033,6;12
5035,6,,34,4270,5036,410034,6;12
5036,6,,35,4500,5037,410035,6;12
5037,6,,36,4736,5038,410036,6;12
5038,6,,37,4978,5039,410037,6;12
5039,6,,38,5226,5040,410038,6;12
5040,6,,39,5480,5041,410039,6;12
5041,6,,40,5740,5042,410040,6;12
5042,6,,41,6006,5043,410041,6;12
5043,6,,42,6278,5044,410042,6;12
5044,6,,43,6556,5045,410043,6;12
5045,6,,44,6840,5046,410044,6;12
5046,6,,45,7130,5047,410045,6;12
5047,6,,46,7426,5048,410046,6;12
5048,6,,47,7728,5049,410047,6;12
5049,6,,48,8036,5050,410048,6;12
5050,6,,49,8350,5051,410049,6;12
5051,6,,50,8670,5052,410050,6;12
5052,6,,51,8996,5053,410051,6;12
5053,6,,52,9328,5054,410052,6;12
5054,6,,53,9666,5055,410053,6;12
5055,6,,54,10010,5056,410054,6;12
5056,6,,55,10360,5057,410055,6;12
5057,6,,56,10716,5058,410056,6;12
5058,6,,57,11078,5059,410057,6;12
5059,6,,58,11446,5060,410058,6;12
5060,6,,59,11820,5061,410059,6;12
5061,6,,60,12200,5062,410060,6;12
5062,6,,61,12586,5063,410061,6;12
5063,6,,62,12978,5064,410062,6;12
5064,6,,63,13376,5065,410063,6;12
5065,6,,64,13780,5066,410064,6;12
5066,6,,65,14190,5067,410065,6;12
5067,6,,66,14606,5068,410066,6;12
5068,6,,67,15028,5069,410067,6;12
5069,6,,68,15456,5070,410068,6;12
5070,6,,69,15890,5071,410069,6;12
5071,6,,70,16330,5072,410070,6;12
5072,6,,71,16776,5073,410071,6;12
5073,6,,72,17228,5074,410072,6;12
5074,6,,73,17686,5075,410073,6;12
5075,6,,74,18150,5076,410074,6;12
5076,6,,75,18620,5077,410075,6;12
5077,6,,76,19096,5078,410076,6;12
5078,6,,77,19578,5079,410077,6;12
5079,6,,78,20066,5080,410078,6;12
5080,6,,79,20560,5081,410079,6;12
5081,6,,80,21060,5082,410080,6;12
5082,6,,81,21566,5083,410081,6;12
5083,6,,82,22078,5084,410082,6;12
5084,6,,83,22596,5085,410083,6;12
5085,6,,84,23120,5086,410084,6;12
5086,6,,85,23650,5087,410085,6;12
5087,6,,86,24186,5088,410086,6;12
5088,6,,87,24728,5089,410087,6;12
5089,6,,88,25276,5090,410088,6;12
5090,6,,89,25830,5091,410089,6;12
5091,6,,90,26390,5092,410090,6;12
5092,6,,91,26956,5093,410091,6;12
5093,6,,92,27528,5094,410092,6;12
5094,6,,93,28106,5095,410093,6;12
5095,6,,94,28690,5096,410094,6;12
5096,6,,95,29280,5097,410095,6;12
5097,6,,96,29876,5098,410096,6;12
5098,6,,97,30478,5099,410097,6;12
5099,6,,98,31086,5100,410098,6;12
5100,6,,99,,,410099,6;12
6001,7,,0,20,6002,,7;13
6002,7,,1,46,6003,410001,7;13
6003,7,,2,78,6004,410002,7;13
6004,7,,3,116,6005,410003,7;13
6005,7,,4,160,6006,410004,7;13
6006,7,,5,210,6007,410005,7;13
6007,7,,6,266,6008,410006,7;13
6008,7,,7,328,6009,410007,7;13
6009,7,,8,396,6010,410008,7;13
6010,7,,9,470,6011,410009,7;13
6011,7,,10,550,6012,410010,7;13
6012,7,,11,636,6013,410011,7;13
6013,7,,12,728,6014,410012,7;13
6014,7,,13,826,6015,410013,7;13
6015,7,,14,930,6016,410014,7;13
6016,7,,15,1040,6017,410015,7;13
6017,7,,16,1156,6018,410016,7;13
6018,7,,17,1278,6019,410017,7;13
6019,7,,18,1406,6020,410018,7;13
6020,7,,19,1540,6021,410019,7;13
6021,7,,20,1680,6022,410020,7;13
6022,7,,21,1826,6023,410021,7;13
6023,7,,22,1978,6024,410022,7;13
6024,7,,23,2136,6025,410023,7;13
6025,7,,24,2300,6026,410024,7;13
6026,7,,25,2470,6027,410025,7;13
6027,7,,26,2646,6028,410026,7;13
6028,7,,27,2828,6029,410027,7;13
6029,7,,28,3016,6030,410028,7;13
6030,7,,29,3210,6031,410029,7;13
6031,7,,30,3410,6032,410030,7;13
6032,7,,31,3616,6033,410031,7;13
6033,7,,32,3828,6034,410032,7;13
6034,7,,33,4046,6035,410033,7;13
6035,7,,34,4270,6036,410034,7;13
6036,7,,35,4500,6037,410035,7;13
6037,7,,36,4736,6038,410036,7;13
6038,7,,37,4978,6039,410037,7;13
6039,7,,38,5226,6040,410038,7;13
6040,7,,39,5480,6041,410039,7;13
6041,7,,40,5740,6042,410040,7;13
6042,7,,41,6006,6043,410041,7;13
6043,7,,42,6278,6044,410042,7;13
6044,7,,43,6556,6045,410043,7;13
6045,7,,44,6840,6046,410044,7;13
6046,7,,45,7130,6047,410045,7;13
6047,7,,46,7426,6048,410046,7;13
6048,7,,47,7728,6049,410047,7;13
6049,7,,48,8036,6050,410048,7;13
6050,7,,49,8350,6051,410049,7;13
