自增长ID,区域名字,产出（策划用）,描述,挂机用的地图资源,解锁关卡（除开场4城镇外，每35关开放一个点）,白天宝可梦预览(|分割）,夜晚宝可梦预览(|分割）,白天区域道具预览,夜晚区域道具预览, 游泳,场景特效
13,废弃旅馆,恶,原本是为参观铃铛塔的游客而建立的，但自从发生野生宝可梦袭击人类的事件后，这里就荒废了,23,431,1559|1261|1434|1551|1132|1980|1050|1046|1235|1023,1559|1261|1434|1551|1132|1980|1050|1046|1235|1023,12105|10001|10011|12001|10002|10012|12002|19002,12105|10001|10011|12001|10002|10012|12002|19002,,0
14,铃铛塔,飞行,为了感谢宝可梦与人类的羁绊而修建的铃铛塔，塔上住着不少鸟类宝可梦,17,466,1629|1580|1084|1017|1046|1010|1041|1043|1211|1019,1629|1580|1084|1017|1046|1010|1041|1043|1211|1019,12123|10001|10011|12001|10002|10012|12002|19002,12123|10001|10011|12001|10002|10012|12002|19002,,0
15,无名洞穴,岩石,深邃的岩洞，时常有人能看见石头莫名其妙的滚动、或是长出手脚之类的,2,361,1185|1304|1524|1140|1074|1235|1019|1211|1312|1013,1185|1304|1524|1140|1074|1235|1019|1211|1312|1013,12125|10001|10011|12001|10002|10012|12002|19002,12125|10001|10011|12001|10002|10012|12002|19002,,0
16,虚空之间,鬼,一道黑色虚空裂痕，时不时会有幽灵从里面跑出来——曾经有好事者走进去想一探究竟，但再也没有出来过,8,221,1562|1679|1092|1355|1010|1043|1021|1132|1052|1211,1562|1679|1092|1355|1010|1043|1021|1132|1052|1211,12108|10001|10011|12001|10002|10012|12002|19002,12108|10001|10011|12001|10002|10012|12002|19002,,effect_cjxk
17,古香镇,超能力,根据传说，古香镇的地底沉睡着超古代宝可梦，但没有人知道是不是真的,17,326,1122|1527|1574|1577|1023|1235|1013|1050|1235|1016,1122|1527|1574|1577|1023|1235|1013|1050|1235|1016,12127|10001|10011|12001|10002|10012|12002|19002,12127|10001|10011|12001|10002|10012|12002|19002,,0
18,蔚蓝湾,龙,没有受到污染的环境吸引了不少龙系宝可梦前来,22,501,1621|1102|1333|1782|1129|1019|1116|1235|1013|1980,1621|1102|1333|1782|1129|1019|1116|1235|1013|1980,12106|10001|10011|12001|10002|10012|12002|19002,12106|10001|10011|12001|10002|10012|12002|19002,,0
19,精灵中心,精灵球,提供训练师捕捉与培养精灵所需的道具，每天中午12时刷新捕捉任务。[#FF0000]（注意：该区域无法获得金币和宝可梦经验！）,19,1,,,,,,0
20,树果田,树果,四季如春，非常适合栽培树果——即使没有到树果收获的季节，这里也是个外出游玩的好去处,,151,,,,,,0
21,闪耀洞穴,特殊精灵,据说地底封印着神秘的宝可梦,2,301,1146|1016|1052|1050,1146|1069|1046|1132,601146|12111|10001|10011|12001|10002|10012|12002|19002,601146|12111|10001|10011|12001|10002|10012|12002|19002,,0
22,冰霜洞穴,特殊精灵,据说冰层里封印着神秘的宝可梦,15,601,1144|1312|1235|1023,1144|1041|1235|1052,601144|12111|10001|10011|12001|10002|10012|12002|19002,601144|12111|10001|10011|12001|10002|10012|12002|19002,,0
23,海神之穴,特殊精灵,据说漩涡下封印着神秘的宝可梦,18,901,1377|1010|1019|1060,1377|1174|1211|1046,601377|12111|10001|10011|12001|10002|10012|12002|19002,601377|12111|10001|10011|12001|10002|10012|12002|19002,1,effect_ship
24,弗拉达利实验室,特殊精灵,据说实验室的深处关押着神秘的宝可梦,21,1201,1145|1019|1132|1235,1145|1523|1311|1312|1976,601145|12111|10001|10011|12001|10002|10012|12002|19002,12111|10001|10011|12001|10002|10012|12002|19002,,0
25,狩猎场,狩猎场,一个特殊的自然地带，在这里训练家可以捉到特定的精灵,,1,,,,,,0
