掉落ID,id分段注释,掉落权重,掉落ID,掉落数量,,
201,,100,2383,1,,
201,,100,2384,1,,
201,,100,2385,1,,
201,,100,2646,1,,
201,,340,2,30,,
201,,60,2,60,,
301,301~400是亲密度相关,100,12005,1,,
301,,100,12006,1,,
301,,100,12007,1,,
301,,100,12008,1,,
401,401~500是孵蛋掉落,100,1010,1,绿毛虫,
401,,100,1013,1,独角虫,
401,,100,1019,1,小拉达,
401,,100,1021,1,烈雀,
401,,100,1023,1,阿柏蛇,
401,,100,1037,1,六尾,
401,,100,1043,1,走路草,
401,,100,1046,1,派拉斯,
401,,100,1050,1,地鼠,
401,,100,1052,1,喵喵,
401,,100,1069,1,喇叭芽,
401,,100,1074,1,小拳石,
401,,100,1132,1,百变怪,
401,,100,1187,1,毽子草,
401,,100,1173,1,皮宝宝,
401,,100,1174,1,宝宝丁,
402,,100,1011,1,铁甲蛹,
402,,100,1014,1,铁壳蛹,
402,,100,1188,1,毽子花,
402,,100,1027,1,穿山鼠,
402,,100,1270,1,莲叶童子,
402,,100,1231,1,小小象,
402,,100,1035,1,皮皮,
402,,100,1039,1,胖丁,
402,,100,1574,1,哥德宝宝,
402,,100,1044,1,臭臭花,
402,,100,1296,1,幕下力士,
402,,100,1048,1,毛球,
402,,100,1054,1,可达鸭,
402,,100,1396,1,姆克儿,
402,,100,1056,1,猴怪,
402,,100,1070,1,口呆花,
402,,100,1075,1,隆隆石,
402,,100,1081,1,小磁怪,
402,,100,1083,1,大葱鸭,
402,,100,1084,1,嘟嘟,
402,,100,1086,1,小海狮,
402,,100,1088,1,臭泥,
402,,100,1096,1,素利普,
402,,100,1098,1,大钳蟹,
402,,100,1100,1,雷电球,
402,,100,1102,1,蛋蛋,
402,,100,1104,1,卡拉卡拉,
402,,100,1108,1,大舌头,
402,,100,1109,1,瓦斯弹,
402,,100,1403,1,小猫怪,
402,,100,1111,1,铁甲犀牛,
402,,100,1118,1,角金鱼,
402,,100,1137,1,3D龙,
402,,100,1138,1,菊石兽,
402,,100,1140,1,化石盔,
402,,100,1175,1,波克比,
402,,100,1179,1,咩利羊,
402,,100,1220,1,小山猪,
402,,100,1627,1,毛头小鹰,
402,,100,1273,1,橡实果,
402,,100,1304,1,可可多拉,
402,,100,1343,1,天秤偶,
402,,100,1363,1,海豹球,
402,,100,1501,1,水水獭,
402,,100,1535,1,圆蝌蚪,
402,,100,1540,1,虫宝包,
402,,100,1548,1,百合根娃娃,
402,,100,1564,1,原盖海龟,
402,,100,1582,1,迷你冰,
402,,100,1577,1,单卵细胞球,
402,,100,1597,1,种子铁球,
402,,100,1607,1,烛光灵,
402,,100,1613,1,喷嚏熊,
403,,100,1012,1,巴大蝴,
403,,100,1077,1,小火马,
403,,100,1204,1,榛果球,
403,,100,1120,1,海星星,
403,,100,1559,1,滑滑小子,
403,,100,1020,1,拉达,
403,,100,1022,1,大嘴雀,
403,,100,1024,1,阿柏怪,
403,,100,1028,1,穿山王,
403,,100,1036,1,皮可西,
403,,100,1040,1,胖可丁,
403,,100,1042,1,大嘴蝠,
403,,100,1045,1,霸王花,
403,,100,1047,1,派拉斯特,
403,,100,1049,1,摩鲁蛾,
403,,100,1051,1,三地鼠,
403,,100,1053,1,猫老大,
403,,100,1294,1,吼爆弹,
403,,100,1055,1,哥达鸭,
403,,100,1271,1,莲帽小童,
403,,100,1575,1,哥德小童,
403,,100,1057,1,火爆猴,
403,,100,1064,1,勇基拉,
403,,100,1071,1,大食花,
403,,100,1076,1,隆隆岩,
403,,100,1082,1,三合一磁怪,
403,,100,1085,1,嘟嘟利,
403,,100,1522,1,斑斑马,
403,,100,1087,1,白海狮,
403,,100,1089,1,臭臭泥,
403,,100,1097,1,素利柏,
403,,100,1451,1,钳尾蝎,
403,,100,1099,1,巨钳蟹,
403,,100,1101,1,顽皮弹,
403,,100,1105,1,嘎拉嘎拉,
403,,100,1331,1,刺球仙人掌,
403,,100,1404,1,勒克猫,
403,,100,1341,1,龙虾小兵,
403,,100,1106,1,沙瓦朗,
403,,100,1107,1,艾比朗,
403,,100,1110,1,双弹瓦斯,
403,,100,1397,1,姆克鸟,
403,,100,1112,1,铁甲暴龙,
403,,100,1122,1,吸盘魔偶,
403,,100,1123,1,飞天螳螂,
403,,100,1124,1,迷唇姐,
403,,100,1128,1,肯泰罗,
403,,100,1139,1,多刺菊石兽,
403,,100,1141,1,镰刀盔,
403,,100,1180,1,茸茸羊,
403,,100,1215,1,狃拉,
403,,100,1221,1,长毛猪,
403,,100,1228,1,戴鲁比,
403,,100,1241,1,大奶罐,
403,,100,1274,1,长鼻叶,
403,,100,1281,1,奇鲁莉安,
403,,100,1291,1,铁面忍者,
403,,100,1305,1,可多拉,
403,,100,1307,1,玛沙那,
403,,100,1309,1,落雷兽,
403,,100,1318,1,利牙鱼,
403,,100,1320,1,吼吼鲸,
403,,100,1347,1,太古羽虫,
403,,100,1344,1,念力土偶,
403,,100,1345,1,触手百合,
403,,100,1361,1,雪童子,
403,,100,1364,1,海魔狮,
403,,100,1436,1,铜镜怪,
403,,100,1394,1,波皇子,
403,,100,1425,1,飘飘球,
403,,100,1427,1,卷卷耳,
403,,100,1554,1,火红不倒翁,
403,,100,1459,1,雪笠怪,
403,,100,1463,1,大舌舔,
403,,100,1453,1,不良蛙,
403,,100,1541,1,宝包茧,
403,,100,1562,1,哭哭面具,
403,,100,1176,1,波克基古,
403,,100,1200,1,梦妖,
403,,100,1565,1,肋骨海龟,
403,,100,1198,1,黑暗鸦,
403,,100,1408,1,头盖龙,
403,,100,1578,1,双卵细胞球,
403,,100,1595,1,电电虫,
403,,100,1572,1,泡沫栗鼠,
403,,100,1585,1,四季鹿,
403,,100,1629,1,秃鹰丫头,
403,,100,1598,1,坚果哑铃,
403,,100,1583,1,多多冰,
403,,100,1608,1,灯火幽灵,
403,,100,1619,1,功夫鼬,
403,,100,1614,1,冻原熊,
403,,100,1621,1,赤面龙,
403,,100,1622,1,泥偶小人,
404,,100,1015,1,大针蜂,
404,,100,1038,1,九尾,
404,,100,1059,1,风速狗,
404,,100,1078,1,烈焰马,
404,,100,1115,1,袋兽,
404,,100,1121,1,宝石海星,
404,,100,1127,1,大甲,
404,,100,1186,1,蚊香蛙皇,
404,,100,1189,1,毽子棉,
404,,100,1196,1,太阳伊布,
404,,100,1197,1,月亮伊布,
404,,100,1205,1,佛烈托斯,
404,,100,1229,1,黑鲁加,
404,,100,1232,1,顿甲,
404,,100,1272,1,乐天河童,
404,,100,1292,1,脱壳忍者,
404,,100,1295,1,爆音怪,
404,,100,1297,1,铁掌力士,
404,,100,1302,1,勾魂眼,
404,,100,1303,1,大嘴娃,
404,,100,1308,1,恰雷姆,
404,,100,1310,1,雷电兽,
404,,100,1319,1,巨牙鲨,
404,,100,1321,1,吼鲸王,
404,,100,1332,1,梦歌仙人掌,
404,,100,1342,1,铁螯龙虾,
404,,100,1346,1,摇篮百合,
404,,100,1348,1,太古盔甲,
404,,100,1354,1,诅咒娃娃,
404,,100,1357,1,热带龙,
404,,100,1365,1,帝牙海狮,
404,,100,1398,1,姆克鹰,
404,,100,1405,1,伦琴猫,
404,,100,1409,1,战槌龙,
404,,100,1426,1,随风球,
404,,100,1428,1,长耳兔,
404,,100,1429,1,梦妖魔,
404,,100,1430,1,乌鸦头头,
404,,100,1437,1,青铜钟,
404,,100,1442,1,鬼盆栽,
404,,100,1452,1,龙王蝎,
404,,100,1454,1,毒骷蛙,
404,,100,1468,1,波克基斯,
404,,100,1473,1,象牙猪,
404,,100,1474,1,3D龙 Z,
404,,100,1479,1,洛托姆,
404,,100,1481,1,洗衣机,
404,,100,1482,1,电风扇,
404,,100,1518,1,梦梦蚀,
404,,100,1523,1,雷电斑马,
404,,100,1531,1,差不多娃娃,
404,,100,1542,1,保姆虫,
404,,100,1555,1,达摩狒狒,
404,,100,1560,1,头巾混混,
404,,100,1563,1,死神棺,
404,,100,1573,1,奇诺栗鼠,
404,,100,1576,1,哥德小姐,
404,,100,1579,1,人造细胞卵,
404,,100,1584,1,双倍多多冰,
404,,100,1587,1,电飞鼠,
404,,100,1596,1,电蜘蛛,
404,,100,1614,1,冻原熊,
404,,100,1620,1,师父鼬,
404,,100,1628,1,勇士雄鹰,
404,,100,1630,1,秃鹰娜,
404,,100,1632,1,铁蚁,
404,,100,1700,1,仙子伊布,
404,,100,1900,1,天气小子,
404,,100,1901,1,水系小子,
404,,100,1902,1,冰系小子,
404,,100,1903,1,太阳小子,
404,,100,1982,1,长颈椰蛋树,
404,,100,1991,1,鬼伊布,
501,努力值宝箱掉落,100,12221,1,,
501,,100,12226,1,,
501,,100,12231,1,,
501,,100,12236,1,,
501,,100,12241,1,,
501,,100,12246,1,,
502,努力小福袋,100,12221,1,,
502,,100,12226,1,,
502,,100,12231,1,,
502,,100,12236,1,,
502,,100,12241,1,,
502,,100,12246,1,,
503,努力中福袋,100,12221,3,,
503,,100,12226,3,,
503,,100,12231,3,,
503,,100,12236,3,,
503,,100,12241,3,,
503,,100,12246,3,,
504,努力大福袋,100,12221,5,,
504,,100,12226,5,,
504,,100,12231,5,,
504,,100,12236,5,,
504,,100,12241,5,,
504,,100,12246,5,,
601,特惠商店礼包,100,601002,30,,
601,,100,601005,30,,
601,,100,601008,30,,
601,,100,601012,30,,
601,,100,601020,30,,
601,,100,601022,30,,
601,,100,601024,30,,
601,,100,601025,30,,
601,,100,601028,30,,
601,,100,601031,30,,
601,,100,601034,30,,
601,,100,601036,30,,
601,,100,601040,30,,
601,,100,601042,30,,
601,,100,601045,30,,
601,,100,601047,30,,
601,,100,601049,30,,
601,,100,601051,30,,
601,,100,601053,30,,
601,,100,601055,30,,
601,,100,601057,30,,
601,,100,601058,30,,
601,,100,601064,30,,
601,,100,601068,30,,
601,,100,601071,30,,
601,,100,601073,30,,
601,,100,601076,30,,
601,,100,601078,30,,
601,,100,601080,30,,
601,,100,601082,30,,
601,,100,601085,30,,
601,,100,601087,30,,
601,,100,601089,30,,
601,,100,601091,30,,
601,,100,601093,30,,
601,,100,601097,30,,
601,,100,601099,30,,
601,,100,601101,30,,
601,,100,601105,30,,
601,,100,601106,30,,
601,,100,601107,30,,
601,,100,601110,30,,
601,,100,601112,30,,
601,,100,601113,30,,
601,,100,601114,30,,
601,,100,601117,30,,
601,,100,601119,30,,
601,,100,601121,30,,
601,,100,601122,30,,
601,,100,601123,30,,
601,,100,601124,30,,
601,,100,601125,30,,
601,,100,601126,30,,
601,,100,601128,30,,
601,,100,601133,30,,
601,,100,601139,30,,
601,,100,601141,30,,
601,,100,601459,30,,
601,,100,601502,30,,
601,,100,601562,30,,
601,,100,601611,30,,
601,,100,601621,30,,
601,,100,601622,30,,
601,,100,601634,30,,
601,,100,601651,30,,
601,,100,601654,30,,
601,,100,601657,30,,
602,,100,801001,1,,
602,,40,801001,1,,
602,,10,801001,1,,
602,,100,801001,1,,
602,,40,801001,1,,
602,,10,801001,1,,
602,,100,801001,1,,
602,,40,801001,1,,
602,,10,801001,1,,
602,,100,801001,1,,
602,,40,801001,1,,
602,,10,801001,1,,
602,,100,801001,1,,
602,,100,801001,1,,
602,,100,801001,1,,
602,,100,801001,1,,
603,,100,801001,1,,
603,,40,801001,1,,
603,,10,801001,1,,
603,,100,801001,1,,
603,,40,801001,1,,
603,,10,801001,1,,
603,,100,801001,1,,
603,,40,801001,1,,
603,,10,801001,1,,
603,,100,801001,1,,
603,,40,801001,1,,
603,,10,801001,1,,
603,,100,801001,1,,
603,,100,801001,1,,
603,,100,801001,1,,
604,,100,801001,1,,
604,,40,801001,1,,
604,,10,801001,1,,
604,,100,801001,1,,
604,,40,801001,1,,
604,,10,801001,1,,
604,,100,801001,1,,
604,,40,801001,1,,
604,,10,801001,1,,
604,,100,801001,1,,
604,,40,801001,1,,
604,,10,801001,1,,
604,,100,801001,1,,
604,,100,801001,1,,
604,,100,801001,1,,
604,,100,801001,1,,
605,,100,801001,1,,
605,,40,801001,1,,
605,,10,801001,1,,
605,,100,801001,1,,
605,,40,801001,1,,
605,,10,801001,1,,
605,,100,801001,1,,
605,,40,801001,1,,
605,,10,801001,1,,
605,,100,801001,1,,
605,,40,801001,1,,
605,,10,801001,1,,
605,,100,801001,1,,
605,,100,801001,1,,
605,,100,801001,1,,
605,,100,801001,1,,
606,,100,801001,1,,
606,,40,801001,1,,
606,,10,801001,1,,
606,,100,801001,1,,
606,,40,801001,1,,
606,,10,801001,1,,
606,,100,801001,1,,
606,,40,801001,1,,
606,,10,801001,1,,
606,,100,801001,1,,
606,,40,801001,1,,
606,,10,801001,1,,
606,,100,801001,1,,
606,,100,801001,1,,
606,,100,801001,1,,
607,,100,801001,1,,
607,,40,801001,1,,
607,,10,801001,1,,
607,,100,801001,1,,
607,,40,801001,1,,
607,,10,801001,1,,
607,,100,801001,1,,
607,,40,801001,1,,
607,,10,801001,1,,
607,,100,801001,1,,
607,,40,801001,1,,
607,,10,801001,1,,
607,,100,801001,1,,
607,,100,801001,1,,
607,,100,801001,1,,
608,,100,801001,1,,
608,,40,801001,1,,
608,,10,801001,1,,
608,,100,801001,1,,
608,,40,801001,1,,
608,,10,801001,1,,
608,,100,801001,1,,
608,,40,801001,1,,
608,,10,801001,1,,
608,,100,801001,1,,
608,,40,801001,1,,
608,,10,801001,1,,
608,,100,801001,1,,
608,,100,801001,1,,
608,,100,801001,1,,
609,,100,801001,1,,
609,,40,801001,1,,
609,,10,801001,1,,
609,,100,801001,1,,
609,,40,801001,1,,
609,,10,801001,1,,
609,,100,801001,1,,
609,,40,801001,1,,
609,,10,801001,1,,
609,,40,801001,1,,
609,,40,801001,1,,
609,,10,801001,1,,
609,,10,801001,1,,
610,技能礼包,100,801001,1,,
610,,100,801001,1,,
610,,100,801001,1,,
610,,100,801001,1,,
700,扭蛋礼包,25,601015,3,,
700,,25,601018,3,,
700,,25,601026,3,,
700,,25,601038,3,,
700,,25,601059,3,,
700,,25,601062,3,,
700,,25,601065,3,,
700,,25,601094,3,,
700,,25,601103,3,,
700,,25,601115,3,,
700,,25,601130,3,,
700,,25,601134,3,,
700,,25,601135,3,,
700,,25,601136,3,,
700,,25,601143,3,,
700,,25,601157,3,,
700,,25,601169,3,,
700,,25,601181,3,,
700,,25,601186,3,,
700,,25,601196,3,,
700,,25,601197,3,,
700,,25,601199,3,,
700,,25,601208,3,,
700,,25,601212,3,,
700,,25,601214,3,,
700,,25,601229,3,,
700,,25,601230,3,,
700,,25,601242,3,,
700,,25,601275,3,,
700,,25,601282,3,,
700,,25,601292,3,,
700,,25,601302,3,,
700,,25,601303,3,,
700,,25,601306,3,,
700,,25,601308,3,,
700,,25,601310,3,,
700,,25,601321,3,,
700,,25,601323,3,,
700,,25,601334,3,,
700,,25,601350,3,,
700,,25,601354,3,,
700,,25,601362,3,,
700,,25,601426,3,,
700,,25,601448,3,,
700,,25,601460,3,,
700,,25,601461,3,,
700,,25,601462,3,,
700,,25,601464,3,,
700,,25,601466,3,,
700,,25,601467,3,,
700,,25,601468,3,,
700,,25,601470,3,,
700,,25,601471,3,,
700,,25,601475,3,,
700,,25,601477,3,,
700,,25,601478,3,,
700,,25,601531,3,,
700,,25,601549,3,,
700,,25,601563,3,,
700,,25,601623,3,,
700,,25,601637,3,,
700,,25,601428,3,,
701,,1000,10160,1,,
800,道馆宝箱,10,601380,1,,
800,,10,601381,1,,
800,,5,10086,1,,
800,,15,6,200,,
800,,10,12004,10,,
800,,10,10144,1,,
800,,5,2,200,,
800,,10,10121,3,,
800,,10,10113,1,,
800,,15,10051,1,,
900,碎片宝箱,10,601037,1,六尾,
900,,10,601129,1,鲤鱼王,
900,,10,601983,1,寒冰六尾,
900,,10,601132,1,百变怪,
900,,6,601014,1,铁壳蛹,
900,,6,601017,1,比比鸟,
900,,6,601061,1,蚊香蛙,
900,,6,601102,1,蛋蛋,
900,,6,601188,1,毽子花,
900,,6,601095,1,大岩蛇,
900,,6,601231,1,小小象,
900,,6,601296,1,幕下力士,
900,,6,601322,1,呆火驼,
900,,6,601333,1,青绵鸟,
900,,6,601349,1,丑丑鱼,
900,,6,601415,1,三蜜蜂,
900,,6,601447,1,利欧路,
900,,6,601548,1,百合根娃娃,
900,,6,601613,1,喷嚏熊,
900,,6,601627,1,毛头小鹰,
900,,6,601636,1,燃烧虫,
900,,6,601310,1,雷电兽,
900,,11,601002,1,妙蛙草,
900,,11,601005,1,火恐龙,
900,,11,601008,1,卡咪龟,
900,,11,601025,1,皮卡丘,
900,,11,601030,1,尼多娜,
900,,11,601033,1,尼多力诺,
900,,11,601058,1,卡蒂狗,
900,,11,601064,1,勇基拉,
900,,11,601067,1,豪力,
900,,11,601072,1,玛瑙水母,
900,,11,601077,1,小火马,
900,,11,601090,1,大舌贝,
900,,11,601093,1,鬼斯通,
900,,11,601120,1,海星星,
900,,11,601133,1,伊布,
900,,11,601446,1,小卡比兽,
900,,11,601148,1,哈克龙,
900,,11,601153,1,月桂叶,
900,,11,601156,1,火岩鼠,
900,,11,601159,1,蓝鳄,
900,,11,601042,1,大嘴蝠,
900,,11,601180,1,茸茸羊,
900,,11,601080,1,呆河马,
900,,11,601204,1,榛果球,
900,,11,601123,1,飞天螳螂,
900,,11,601228,1,戴鲁比,
900,,11,601117,1,海刺龙,
900,,11,601113,1,吉利蛋,
900,,11,601247,1,沙基拉斯,
900,,11,601253,1,森林蜥蜴,
900,,11,601256,1,力壮鸡,
900,,11,601259,1,沼跃鱼,
900,,11,601271,1,莲帽小童,
900,,11,601274,1,长鼻叶,
900,,11,601281,1,奇鲁莉安,
900,,11,601288,1,过动猿,
900,,11,601291,1,铁面忍者,
900,,11,601294,1,吼爆弹,
900,,11,601305,1,可多拉,
900,,11,601307,1,玛沙那,
900,,11,601309,1,落雷兽,
900,,11,601318,1,利牙鱼,
900,,11,601320,1,吼吼鲸,
900,,11,601329,1,超音波幼虫,
900,,11,601331,1,刺球仙人掌,
900,,11,601341,1,龙虾小兵,
900,,11,601345,1,触手百合,
900,,11,601347,1,太古羽虫,
900,,11,601361,1,雪童子,
900,,11,601364,1,海魔狮,
900,,11,601372,1,甲壳龙,
900,,11,601375,1,金属怪,
900,,11,601391,1,猛火猴,
900,,11,601394,1,波皇子,
900,,11,601397,1,姆克鸟,
900,,11,601404,1,勒克猫,
900,,11,601408,1,头盖龙,
900,,11,601425,1,飘飘球,
900,,11,601427,1,卷卷耳,
900,,11,601200,1,梦妖,
900,,11,601198,1,黑暗鸦,
900,,11,601436,1,铜镜怪,
900,,11,601444,1,尖牙陆鲨,
900,,11,601449,1,沙河马,
900,,11,601451,1,钳尾蝎,
900,,11,601453,1,不良蛙,
900,,11,601459,1,雪笠怪,
900,,11,601215,1,狃拉,
900,,11,601082,1,三合一磁怪,
900,,11,601112,1,铁甲暴龙,
900,,11,601114,1,蔓藤怪,
900,,11,601125,1,电击兽,
900,,11,601126,1,鸭嘴火兽,
900,,11,601176,1,波克基古,
900,,11,601207,1,天蝎,
900,,11,601221,1,长毛猪,
900,,11,601233,1,3D龙 Ⅱ,
900,,11,601299,1,朝北鼻,
900,,11,601356,1,彷徨夜灵,
900,,11,601496,1,青藤蛇,
900,,11,601499,1,炒炒猪,
900,,11,601502,1,双刃丸,
900,,11,601507,1,哈约克,
900,,11,601517,1,食梦梦,
900,,11,601522,1,斑斑马,
900,,11,601529,1,螺钉地鼠,
900,,11,601536,1,蓝蟾蜍,
900,,11,601541,1,宝包茧,
900,,11,601544,1,车轮球,
900,,11,601552,1,混混鳄,
900,,11,601554,1,火红不倒翁,
900,,11,601559,1,滑滑小子,
900,,11,601562,1,哭哭面具,
900,,11,601566,1,始祖小鸟,
900,,11,601570,1,索罗亚,
900,,11,601572,1,泡沫栗鼠,
900,,11,601575,1,哥德小童,
900,,11,601578,1,双卵细胞球,
900,,11,601583,1,多多冰,
900,,11,601595,1,电电虫,
900,,11,601600,1,齿轮组,
900,,11,601603,1,麻麻鳗,
900,,11,601608,1,灯火幽灵,
900,,11,601611,1,斧牙龙,
900,,11,601619,1,功夫鼬,
900,,11,601622,1,泥偶小人,
900,,11,601624,1,驹刀小兵,
900,,11,601629,1,秃鹰丫头,
900,,11,601634,1,双首暴龙,
900,,11,601651,1,胖胖哈力,
900,,11,601654,1,长尾火狐,
900,,11,601657,1,呱头蛙,
900,,11,601680,1,双剑鞘,
900,,11,601698,1,冰雪龙,
900,,11,601705,1,黏美儿,
900,,11,601723,1,投羽枭,
900,,11,601726,1,炎热喵,
900,,11,601729,1,花漾海狮,
900,,11,601783,1,鳞甲龙,
900,,11,601585,1,四季鹿,
900,,11,601024,1,阿柏怪,
900,,11,601040,1,胖可丁,
900,,11,601051,1,三地鼠,
900,,11,601053,1,猫老大,
900,,11,601057,1,火爆猴,
900,,11,601089,1,臭臭泥,
900,,11,601110,1,双弹瓦斯,
900,,11,601101,1,顽皮弹,
900,,11,601141,1,镰刀盔,
900,,11,601185,1,树才怪,
900,,11,601119,1,金鱼王,
900,,11,601344,1,念力土偶,
900,,11,601581,1,舞天鹅,
900,,11,601621,1,赤面龙,
900,,11,601104,1,卡拉卡拉,
900,,11,601533,1,铁骨土人,
900,,5,601479,1,洛托姆,
900,,5,601900,1,天气小子,
900,,5,601003,1,妙蛙花,
900,,5,601006,1,喷火龙,
900,,5,601009,1,水箭龟,
900,,5,601015,1,大针蜂,
900,,5,601018,1,大比鸟,
900,,5,601026,1,雷丘,
900,,5,601031,1,尼多后,
900,,5,601034,1,尼多王,
900,,5,601065,1,胡地,
900,,5,601073,1,毒刺水母,
900,,5,601091,1,铁甲贝,
900,,5,601094,1,耿鬼,
900,,5,601115,1,袋兽,
900,,5,601127,1,大甲,
900,,5,601130,1,暴鲤龙,
900,,5,601131,1,乘龙,
900,,5,601142,1,化石翼龙,
900,,5,601149,1,快龙,
900,,5,601154,1,大竺葵,
900,,5,601157,1,火暴兽,
900,,5,601160,1,大力鳄,
900,,5,601169,1,叉字蝠,
900,,5,601181,1,电龙,
900,,5,601189,1,毽子棉,
900,,5,601199,1,呆呆王,
900,,5,601208,1,大钢蛇,
900,,5,601212,1,巨钳螳螂,
900,,5,601214,1,赫拉克罗斯,
900,,5,601229,1,黑鲁加,
900,,5,601230,1,刺龙王,
900,,5,601242,1,幸福蛋,
900,,5,601248,1,班基拉斯,
900,,5,601254,1,蜥蜴王,
900,,5,601257,1,火焰鸡,
900,,5,601260,1,巨沼怪,
900,,5,601275,1,狡猾天狗,
900,,5,601282,1,沙奈朵,
900,,5,601302,1,勾魂眼,
900,,5,601303,1,大嘴娃,
900,,5,601306,1,波士可多拉,
900,,5,601308,1,恰雷姆,
900,,5,601319,1,巨牙鲨,
900,,5,601321,1,吼鲸王,
900,,5,601323,1,喷火驼,
900,,5,601330,1,沙漠蜻蜓,
900,,5,601334,1,七夕青鸟,
900,,5,601346,1,摇篮百合,
900,,5,601350,1,美纳斯,
900,,5,601354,1,诅咒娃娃,
900,,5,601357,1,热带龙,
900,,5,601359,1,阿勃梭鲁,
900,,5,601362,1,冰鬼护,
900,,5,601373,1,暴飞龙,
900,,5,601376,1,巨金怪,
900,,5,601395,1,帝王拿波,
900,,5,601428,1,长耳兔,
900,,5,601442,1,鬼盆栽,
900,,5,601445,1,烈咬陆鲨,
900,,5,601448,1,路卡利欧,
900,,5,601452,1,龙王蝎,
900,,5,601460,1,暴雪王,
900,,5,601461,1,玛狃拉,
900,,5,601466,1,电击魔兽,
900,,5,601467,1,鸭嘴焰龙,
900,,5,601468,1,波克基斯,
900,,5,601475,1,艾路雷朵,
900,,5,601478,1,雪妖女,
900,,5,601531,1,差不多娃娃,
900,,5,601549,1,裙儿小姐,
900,,5,601555,1,达摩狒狒,
900,,5,601560,1,头巾混混,
900,,5,601563,1,死神棺,
900,,5,601571,1,索罗亚克,
900,,5,601576,1,哥德小姐,
900,,5,601609,1,水晶灯火灵,
900,,5,601612,1,双斧战龙,
900,,5,601635,1,三首恶龙,
900,,5,601658,1,甲贺忍蛙,
900,,5,601699,1,冰雪巨龙,
900,,5,601706,1,黏美龙,
901,新手碎片,1,601106,1,沙瓦郎,26.31578947
901,,1,601107,1,艾比郎,26.31578947
901,,1,601122,1,吸盘魔偶,26.31578947
901,,1,601014,2,铁壳蛹,52.63157895
901,,1,601017,2,比比鸟,52.63157895
901,,1,601030,2,尼多娜,52.63157895
901,,1,601033,2,尼多力诺,52.63157895
901,,1,601061,2,蚊香蛙,52.63157895
901,,1,601080,2,呆河马,52.63157895
901,,1,601067,2,豪力,52.63157895
901,,1,601072,2,玛瑙水母,52.63157895
901,,1,601077,2,小火马,52.63157895
901,,1,601090,2,大舌贝,52.63157895
901,,1,601102,2,蛋蛋,52.63157895
901,,1,601120,2,海星星,52.63157895
901,,1,601202,1,果然翁,26.31578947
901,,1,601203,1,麒麟奇,26.31578947
901,,1,601207,1,天蝎,26.31578947
901,,1,601185,2,树才怪,52.63157895
901,,1,601198,2,黑暗鸦,52.63157895
901,,1,601215,2,纽拉,52.63157895
901,,1,601228,2,戴鲁比,52.63157895
10001,携带品掉落,50,700101,1,,
10001,,50,700102,1,,
10001,,50,700103,1,,
10001,,50,700104,1,,
10001,,20,700105,1,,
10001,,20,700106,1,,
