关卡id,关卡id分段注释,宝可梦id（填-1是随机宝可梦）,等级,阵型所属格子,携带技能(不填为宝可梦该等级所拥有的技能）,BOSS缩放,固定血量值,血量个体值,物攻个体值,特攻个体值,物防个体值,特防个体值,速度个体值,血量努力值,物攻努力值,特攻努力值,物防努力值,特防努力值,速度努力值,亲密度等级,星级,增益效果1,增益效果1参数,增益效果2,增益效果2参数,死亡时增加的血量努力值,死亡时增加的物攻努力值,死亡时增加的特攻努力值,死亡时增加的物防努力值,死亡时增加的特防努力值,死亡时增加的速度努力值,亲密度增加经验
23,,1320,11,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
23,,1066,11,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
24,,1148,11,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
24,,1681,11,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
24,,1088,11,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
25,,1043,12,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
25,,1069,12,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
25,,1187,12,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
25,,1285,12,1,,1.6,3000,40,40,40,20,20,40,20,20,20,20,20,20,2,,,,,,,,,,,,
26,,1009,12,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
26,,1050,12,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
26,,1723,12,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
26,,1390,12,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
27,,1091,13,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
27,,1356,13,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
27,,1624,13,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
27,,1522,13,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
28,,1980,13,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
28,,1078,13,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
28,,1275,13,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
29,,1292,14,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
29,,1112,14,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
29,,1576,14,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
30,,1173,14,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
30,,1174,14,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
30,,1175,14,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
30,,1039,14,1,,1.6,3500,40,40,40,20,20,40,20,20,20,20,20,20,3,,,,,,,,,,,,
31,,1280,15,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
31,,1679,15,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
31,,1989,15,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
31,,1541,15,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
32,,1976,15,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
32,,1584,15,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
32,,1992,15,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
32,,1199,15,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
33,,1208,15,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
33,,1118,15,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
33,,1140,15,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
33,,1984,15,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
34,,1570,16,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
34,,1280,16,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
34,,1608,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
34,,1040,16,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
35,,1633,16,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
35,,1551,16,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
35,,1261,16,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
35,,1624,16,3,,1.6,4000,40,40,40,20,20,40,20,20,20,20,20,20,3,,,,,,,,,,,,
36,,1625,16,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
36,,1021,16,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
36,,1330,16,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
36,,1023,16,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
37,,1208,17,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
37,,1172,17,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
37,,1205,17,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
37,,1607,17,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
38,,1392,17,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
38,,1299,17,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
38,,1350,17,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
38,,1081,17,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
39,,1373,17,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
39,,1553,17,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
39,,1565,17,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
39,,1035,17,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
40,,1443,18,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
40,,1610,18,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
40,,1704,18,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
40,,1782,18,1,,1.6,4000,40,40,40,20,20,40,20,20,20,20,20,20,3,,,,,,,,,,,,
41,,1575,18,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
41,,1115,18,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
41,,1530,18,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
41,,1463,18,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
42,,1542,18,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
42,,1070,18,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
42,,1363,18,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
42,,1650,18,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
43,,1036,19,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
43,,1039,19,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
43,,1553,19,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
43,,1453,19,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
44,,1474,19,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
44,,1730,19,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
44,,1017,19,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
44,,1998,19,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
45,,1613,19,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
45,,1582,19,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
45,,1363,19,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
45,,1086,19,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
45,,1698,19,1,,1.6,4500,40,40,40,20,20,40,20,20,20,20,20,20,4,,,,,,,,,,,,
46,,1108,20,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
46,,1241,20,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
46,,1636,20,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
46,,1031,20,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
47,,1572,20,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
47,,1050,20,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
47,,1005,20,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
47,,1450,20,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
48,,1341,20,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
48,,1577,20,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
48,,1004,20,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
48,,1047,20,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
49,,1980,21,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
49,,1498,21,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
49,,1121,21,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
49,,1443,21,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
50,,1679,21,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
50,,1607,21,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
50,,1355,21,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
50,,1092,21,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,
50,,1093,21,1,,1.6,5000,40,40,40,20,20,40,20,20,20,20,20,20,4,,,,,,,,,,,,
51,,1445,21,2,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
51,,1033,21,4,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
51,,1181,21,6,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
51,,1597,21,8,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
52,,1256,22,3,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
52,,1346,22,6,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
52,,1142,22,7,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
52,,1416,22,8,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
53,,1391,22,1,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
53,,1728,22,2,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
53,,1331,22,4,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
53,,1611,22,7,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
54,,1635,22,2,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
54,,1061,22,4,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
54,,1023,22,5,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
54,,1123,22,9,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
55,,1287,23,2,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
55,,1333,23,4,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
55,,1396,23,6,,,2100,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
55,,1463,23,1,,1.6,6000,40,50,50,20,20,40,20,20,20,20,20,20,4,,,,,,,,,,,,
55,,1506,23,8,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
56,,1622,23,1,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
56,,1624,23,3,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
56,,1141,23,6,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
56,,1133,23,8,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
57,,1447,23,2,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
57,,1031,23,3,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
57,,1061,23,4,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
57,,1246,23,7,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
58,,1049,24,2,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
58,,1199,24,4,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
58,,1025,24,6,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
58,,1233,24,8,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
59,,1978,24,1,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
59,,1261,24,2,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
59,,1155,24,3,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
59,,1980,24,4,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
60,,1602,24,4,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
60,,1403,24,3,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
60,,1025,24,2,,,2450,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
60,,1309,24,1,,1.6,7000,40,55,55,20,20,40,20,20,20,20,20,20,4,,,,,,,,,,,,
61,,1248,25,3,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
61,,1310,25,6,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
61,,1080,25,7,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
61,,1123,25,8,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,4,,,,,,,,,,,,
62,,1602,25,1,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
62,,1013,25,2,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
62,,1404,25,4,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
62,,1699,25,7,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
63,,1900,25,2,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
63,,1601,25,4,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
63,,1541,25,5,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
63,,1175,25,9,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
64,,1035,25,1,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
64,,1984,25,3,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
64,,1350,25,6,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
64,,1142,25,8,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
65,,1048,25,8,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
65,,1415,25,6,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
65,,1636,25,4,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
65,,1012,25,2,,,2800,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
65,,1049,25,1,,1.6,8000,40,60,60,20,20,40,20,20,20,20,20,20,5,,,,,,,,,,,,
66,,1102,26,2,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
66,,1051,26,3,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
66,,1374,26,4,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
66,,1057,26,7,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
67,,1187,26,3,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
67,,1305,26,5,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
67,,1106,26,7,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
67,,1055,26,9,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
68,,1198,26,2,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
68,,1991,26,4,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
68,,1977,26,6,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
68,,1058,26,8,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
69,,1272,26,1,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
69,,1981,26,2,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
69,,1430,26,3,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
69,,1611,26,4,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
70,,1085,26,2,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
70,,1629,26,3,,,3150,40,20,20,20,20,20,0,0,0,0,0,0,5,,,,,,,,,,,,
