阵型id,阵型类型id(对应面板上阵型顺序）,阵型等级,阵型名字,升下一级级所需资源,升下一级id
number,number,number,string,string,number
id,typeid,level,name,itmes,nextId
338,4,38,,13034;1030,339
339,4,39,,13034;1065,340
340,4,40,,13034;1100,341
341,4,41,,13034;1140,342
342,4,42,,13034;1180,343
343,4,43,,13034;1220,344
344,4,44,,13034;1260,345
345,4,45,,13034;1300,346
346,4,46,,13034;1340,347
347,4,47,,13034;1380,348
348,4,48,,13034;1420,349
349,4,49,,13034;1460,350
350,4,50,,13034;1500,351
351,4,51,,13034;1545,352
352,4,52,,13034;1590,353
353,4,53,,13034;1635,354
354,4,54,,13034;1680,355
355,4,55,,13034;1725,356
356,4,56,,13034;1770,357
357,4,57,,13034;1815,358
358,4,58,,13034;1860,359
359,4,59,,13034;1905,360
360,4,60,,13034;1950,361
361,4,61,,13034;2000,362
362,4,62,,13034;2050,363
363,4,63,,13034;2100,364
364,4,64,,13034;2150,365
365,4,65,,13034;2200,366
366,4,66,,13034;2250,367
367,4,67,,13034;2300,368
368,4,68,,13034;2350,369
369,4,69,,13034;2400,370
370,4,70,,13034;2450,371
371,4,71,,13034;2505,372
372,4,72,,13034;2560,373
373,4,73,,13034;2615,374
374,4,74,,13034;2670,375
375,4,75,,13034;2725,376
376,4,76,,13034;2780,377
377,4,77,,13034;2835,378
378,4,78,,13034;2890,379
379,4,79,,13034;2945,380
380,4,80,,13034;3000,381
381,4,81,,13034;3060,382
382,4,82,,13034;3120,383
383,4,83,,13034;3180,384
384,4,84,,13034;3240,385
385,4,85,,13034;3300,386
386,4,86,,13034;3360,387
387,4,87,,13034;3420,388
388,4,88,,13034;3480,389
389,4,89,,13034;3540,390
390,4,90,,13034;3600,391
391,4,91,,13034;3665,392
392,4,92,,13034;3730,393
393,4,93,,13034;3795,394
394,4,94,,13034;3860,395
395,4,95,,13034;3925,396
396,4,96,,13034;3990,397
397,4,97,,13034;4055,398
398,4,98,,13034;4120,399
399,4,99,,13034;4185,400
400,4,100,,,
401,5,1,消耗lv.1,13035;20,402
402,5,2,消耗lv.2,13035;40,403
403,5,3,消耗lv.3,13035;60,404
404,5,4,消耗lv.4,13035;80,405
405,5,5,消耗lv.5,13035;100,406
406,5,6,消耗lv.6,13035;120,407
407,5,7,消耗lv.7,13035;140,408
408,5,8,消耗lv.8,13035;160,409
409,5,9,消耗lv.9,13035;180,410
410,5,10,消耗lv.10,13035;200,411
411,5,11,,13035;225,412
412,5,12,,13035;250,413
413,5,13,,13035;275,414
414,5,14,,13035;300,415
415,5,15,,13035;325,416
416,5,16,,13035;350,417
417,5,17,,13035;375,418
418,5,18,,13035;400,419
419,5,19,,13035;425,420
420,5,20,,13035;450,421
421,5,21,,13035;480,422
422,5,22,,13035;510,423
423,5,23,,13035;540,424
424,5,24,,13035;570,425
425,5,25,,13035;600,426
426,5,26,,13035;630,427
427,5,27,,13035;660,428
428,5,28,,13035;690,429
429,5,29,,13035;720,430
430,5,30,,13035;750,431
431,5,31,,13035;785,432
432,5,32,,13035;820,433
433,5,33,,13035;855,434
434,5,34,,13035;890,435
435,5,35,,13035;925,436
436,5,36,,13035;960,437
437,5,37,,13035;995,438
438,5,38,,13035;1030,439
439,5,39,,13035;1065,440
440,5,40,,13035;1100,441
441,5,41,,13035;1140,442
442,5,42,,13035;1180,443
443,5,43,,13035;1220,444
444,5,44,,13035;1260,445
445,5,45,,13035;1300,446
446,5,46,,13035;1340,447
447,5,47,,13035;1380,448
448,5,48,,13035;1420,449
449,5,49,,13035;1460,450
450,5,50,,13035;1500,451
451,5,51,,13035;1545,452
452,5,52,,13035;1590,453
453,5,53,,13035;1635,454
454,5,54,,13035;1680,455
455,5,55,,13035;1725,456
456,5,56,,13035;1770,457
457,5,57,,13035;1815,458
458,5,58,,13035;1860,459
459,5,59,,13035;1905,460
460,5,60,,13035;1950,461
461,5,61,,13035;2000,462
462,5,62,,13035;2050,463
463,5,63,,13035;2100,464
464,5,64,,13035;2150,465
465,5,65,,13035;2200,466
466,5,66,,13035;2250,467
467,5,67,,13035;2300,468
468,5,68,,13035;2350,469
469,5,69,,13035;2400,470
470,5,70,,13035;2450,471
471,5,71,,13035;2505,472
472,5,72,,13035;2560,473
473,5,73,,13035;2615,474
474,5,74,,13035;2670,475
475,5,75,,13035;2725,476
476,5,76,,13035;2780,477
477,5,77,,13035;2835,478
478,5,78,,13035;2890,479
479,5,79,,13035;2945,480
480,5,80,,13035;3000,481
481,5,81,,13035;3060,482
482,5,82,,13035;3120,483
483,5,83,,13035;3180,484
484,5,84,,13035;3240,485
485,5,85,,13035;3300,486
486,5,86,,13035;3360,487
487,5,87,,13035;3420,488
488,5,88,,13035;3480,489
489,5,89,,13035;3540,490
490,5,90,,13035;3600,491
491,5,91,,13035;3665,492
492,5,92,,13035;3730,493
493,5,93,,13035;3795,494
494,5,94,,13035;3860,495
495,5,95,,13035;3925,496
496,5,96,,13035;3990,497
497,5,97,,13035;4055,498
498,5,98,,13035;4120,499
499,5,99,,13035;4185,500
500,5,100,,,
