技能,技能图标,技能名字,注释,注释2,伤害类型（默认0.物理伤害 1.特殊伤害 ）,技能分类（1:单体伤害，2：群体伤害，3：单体治疗，4：群体治疗，5：变化，6弹射，7连击）,威力,命中,技能能量,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢系 18.毒,技能描述,效果注释（不用处理，策划看）,触发效果(|分割),"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4.目标方1人+随机1人，5目标方1人+随机2人，6.目标方1人+随机3人，7目标放1人+随机4人.8.连击1次，9连击2次.10连击3次.11.释放者,12.释放者方全体,13.释放者方随机单体,14.释放者方目标单体 其它.特殊规则待扩展)",蓄力动画,释放时播放在释放者身上的特效资源（群体特效）,释放时从释放者飞向目标的特效资源,释放后播放在目标身上的特效资源，若有resFly，则需要飞行特效飞行到目标身上后播放此特效（单体特效）,"抖屏(0:抖,1:不抖)",释放后的音效资源,释放后技能背景资源,释放后出技能名,每场战斗使用次数限制,"是否预览（1是,2否）"
69,69,大晴天,特高群,全体火系威力增加20%，自身双攻增加20%,1,2,50,1,75,1,"攻击敌方全体,所有宝可梦的火系技能威力增加20%,持续3回合,释放者额外增加10%物攻和特攻,3回合",,13251|13252,2,5,42,,,0,Skillhuo02,,1,,2
101,101,水枪,特初单,,1,1,70,1,15,2,"用力喷水,对敌方1人造成伤害",,,1,,,9,47,1,bing,,1,,2
102,102,水炮,特中单,降低特防,1,1,115,1,40,2,"喷出高压水柱攻击敌方1人,20%的概率降低目标特防20%1回合",,605,1,1,,13,47,1,bing,,1,,2
103,103,水柱光线,特高单,混乱,1,1,160,1,60,2,"喷射快速结冰光线敌方1人,18%的概率混乱敌人1回合",,10303,1,1,,29,47,0,Skillbing01,,1,,2
121,121,水波动,特初群,,1,2,45,1,20,2,"喷射范围小型水波浪,攻击3个敌人",,,5,,,30,10,1,bing,,1,,2
122,122,潮漩,特中群,,1,2,54,1,40,2,"喷射范围型的水漩涡,攻击4个敌人",,,6,1,9,,11,1,Skillfeng01,,1,,2
123,123,水冰崩裂,特高群,降低特攻,1,2,72,1,65,2,"喷射范围大型雪暴攻击4个敌人,15%几率会降低敌人特攻20%1回合",,316,6,1,1,,2,0,Skillfeng01,,1,,2
141,141,冰牙,普初单,,0,1,70,1,15,2,用牙齿给敌人注入寒气，攻击敌方1人,,,1,,,,25,1,bing,,1,,2
142,142,激流拳,普中单,降低物防,0,1,115,1,40,2,"用寒冰的拳头攻击敌方1人,20%几率降低目标物防20%1回合",,505,1,1,,,2,1,Skillbing01,,1,,2
143,143,水柱尾,普高单,麻痹,0,1,160,1,60,2,"用狂暴海浪尾巴攻击敌方1人,18%几率会麻痹敌人1回合",,10403,1,1,,,41,0,bing,,1,,2
161,161,群水撞,普初群,,0,2,45,1,20,2,召唤大量水珠撞击3个敌人,,,5,,,,20,1,Skillshui01,,1,,2
162,162,冲浪,普中群,,0,2,54,1,40,2,召唤巨大浪花攻击4个敌人,,,6,1,10,,11,1,bing,,1,,2
163,163,大水柱,普高群,降低物攻,0,2,72,1,65,2,"召唤巨大水柱攻击4个敌人,15%几率会降低敌人20%物攻1回合",,116,6,1,12,,41,0,bing,,1,,2
164,164,水流裂破,普中单,5回合内，每回合降低随机单位物防20%,0,1,100,1,50,2,"攻击敌方单体,在接下来的5回合内,每回合开始会有一个随机敌方单位会降低物防20%,持续2回合,不可叠加",,13141,1,1,,,59,1,bing,,1,,2
165,165,潜水,普中群,第1回合无敌，第2回合停止行动并造成伤害,0,2,20,1,45,2,"攻击敌方3人,自身1回合不会被命中,对目标单位和额外2个单位造成物攻12%的真实伤害,但麻痹1回合",,13151|13153,5,1,,,60,1,Skillshui01,,1,,2
166,166,求雨,普高群,全体水系威力增加，自身提高10%的双攻,0,2,50,1,75,2,"攻击敌方全体,双方所有宝可梦的水系技能威力增加10%,持续5回合,自身额外增加10%双攻,持续3回合",,13161|13162,2,1,43,,,0,Skillshui01,,1,,2
167,167,蒸汽爆炸,特高群,解除所有异常效果，,1,2,65,1,75,2,"解除己方所有宝可梦的所有效果,并对敌方目标和额外3个目标造成伤害,并有10%概率灼伤3回合",,13171|13172,6,1,44,,,0,bing,,1,,2
168,168,水之誓约,群特高,2回合内不能动，造成特攻伤害，每回合回复血量,1,2,40,1,70,2,"攻击敌方全体,自身麻痹2回合,期间每回合回复友方全体特攻10%血量,2回合后,回复友方全体特攻15%血量",,13181,2,1,,,61,0,Skillshui01,,1,,2
169,169,加农水炮,特高单,概率麻痹目标，自己麻痹1回合，2回合后，特攻速度增加15%,1,1,200,1,75,2,"攻击敌方单体,并有20%概率麻痹目标1回合,自身下回合麻痹,苏醒时,提升自身特攻和速度15%2回合",,13191|13192,1,1,,,62,0,bing,,1,,2
201,201,吸收,特初单,吸收伤害,1,1,60,1,15,3,"用初级种子攻击敌人,并吸收其伤害的15%血量",,11101,1,,,15,17,1,shouji01,,1,,2
202,202,种子爆弹,特中单,降低特攻,1,1,110,1,40,3,"召唤毒种子炸开攻击,40%几率会使敌人特攻下降10%1回合",,308,1,6,,16,40,1,shouji01,,1,,2
203,203,百万吸收,特高单,吸收伤害,1,1,150,1,60,3,"用超级种子攻击敌人,并吸收其伤害的25%血量",,11103,1,6,,21,17,0,SkillATT01,,1,,2
221,221,棉孢攻击,特初群,,1,2,45,1,20,3,召唤大量棉孢子攻击2个敌人,,,4,,,17,39,1,shouji01,,1,,2
222,222,叶之舞,特中群,,1,2,60,1,40,3,"用优美的花叶舞蹈,攻击3个敌人",,,5,6,17,,19,1,SkillATT02,,1,,2
223,223,阳光烈焰,特高群,必定命中,1,2,75,1,65,3,"吸收大量阳光然后爆发出巨大光波,攻击4个敌人,必定命中",,,6,6,4,,6,0,shouji01,5,1,,2
241,241,藤鞭,普初单,下回合极易发生暴击,0,1,60,1,15,3,"用鞭子攻击敌人,下1回合暴击率增加10%",,1401,1,,,,26,1,SkillATT01,,1,,2
242,242,叶撞击,普中单,降低物攻,0,1,110,1,40,3,"毒素身体撞击敌人,40%几率会使敌人物攻下降10%1回合",,108,1,6,,,39,1,Skillzhuangji01,,1,,2
243,243,日光刃,普高单,下回合极易发生暴击,0,1,150,1,65,3,"用特有的爪子重击敌人,下次攻击暴击率增加30%",,1403,1,6,,,24,0,SkillATT03,,1,,2
261,261,叶片针,普初群,,0,2,37,1,20,3,"投掷大量的飞针,攻击3个敌人",,,5,,,15,39,1,shouji01,,1,,2
262,262,飞叶快刀,普中群,,0,2,52,1,40,3,"召唤大量叶片刀,攻击4个敌人",,,6,6,,21,16,1,Skillfeng01,,1,,2
263,263,奇异爆弹,普高群,下回合极易发生暴击,0,2,72,1,65,3,"用奇怪炸弹攻击4个敌人,下次攻击暴击率增加30%",,1403,6,6,,27,40,0,SkillATT02,,1,,2
271,271,跳跃种子,普初弹,,1,6,60,1,20,3,"释放一个弹跳的种子攻击敌人,弹射1次",,,4,,,15,16,1,shouji02,,1,,2
272,272,弹射果实,特中弹,,1,6,65,1,40,3,"丢出橡皮果实攻击多个敌人,弹射2次",,,5,6,,21,16,1,shouji03,,1,,2
273,273,弹射波,普高弹,,0,6,90,1,65,3,"召唤弹射光波攻击多个敌人,弹射2次",,,5,6,,16,16,0,shouji04,,1,,2
274,274,落英缤纷,普中群,加草系威力，物攻真实伤害,0,2,30,1,45,3,"攻击敌方4个单位,增加己方全体草系威力10%,1回合,下回合对敌方4个单位造成自身物攻的10%伤害",,13071|13072,6,6,,,63,1,shouji01,,1,,2
275,275,种子机关枪,普中单,降低目标暴击伤害,0,1,100,1,45,3,"攻击敌方单体,被击中的目标每回合减少暴击伤害3%,直到战斗结束",,13081,1,6,,,64,1,shouji01,,1,,2
276,276,尖刺防守,普高群,闪避增加，物攻真实伤害,0,2,40,1,70,3,"攻击敌方3人,自身1回合内不会被命中,下回合对敌方3人造成自身物攻12%伤害,但自身麻痹1回合",,13091|13093,5,6,,,65,0,shouji01,,1,,2
277,277,吸取力量 ,特中单,吸收物攻血量，目标物攻降低10%，自身威力降低20%,1,1,40,1,50,3,"随机攻击1个目标,并吸取目标特攻值15%的生命,降低目标10%的特攻直到目标死亡,自身草系威力下降20%3回合",,13101|13102|13103|13104,3,6,,,66,1,shouji01,,1,,2
278,278,日光束,特高单,第1回合特防增加，第2回合造成特攻真实伤害，第3回合降低敌方全体特攻,1,1,50,1,75,3,"攻击敌方单体,自身提升50%特防1回合,在第2回合对目标造成30%特攻伤害,3回合降低敌方3人特攻20%,3回合",,13111|13112|13114,1,6,,,67,0,shouji01,,1,,2
279,279,花瓣舞,特高群,3回合内无法行动，每回合造成特攻真实伤害，3回合后陷入混乱直到死亡,1,2,30,1,70,3,"攻击敌方全体,3回合内每回合对敌方全体造成特攻15%伤害,3回合后自身陷入混乱,直到死亡或战斗结束",,13121|13123,2,6,,,68,0,shouji01,,1,,2
301,301,妖精之风,特初单,,1,1,70,1,15,4,刮起妖精之风，吹向对手攻击敌人单体,,,1,,,3,6,1,Skillyao01,,1,,2
302,302,吸取之吻,特中单,吸血,1,1,110,1,40,4,"用一个吻吸取对手单体,50%几率吸收伤害30%的血量",,11105,1,3,,6,85,1,shouji02,,1,,2
303,303,花朵加农炮,特高单,必定命中+自身掉血,1,1,240,1,65,4,"放出强力光束攻击敌人单体，消耗自身最大生命值10%，技能威力得到大幅度提升,且必定命中",,11001,1,3,,4,50,0,shouji02,,1,,2
321,321,魔法闪耀,特初群,,1,2,45,1,20,4,"向对手发射强光,攻击2个敌人",,,4,,3,,5,1,Skilldian01,,1,,2
322,322,月亮之力,特中群,降低特攻,1,2,54,1,40,4,"借用月亮的力量攻击3个敌人,10%几率会降低敌人特攻20%1回合",,315,5,3,59,,5,1,Skilldian01,,1,,2
323,323,天使之吻,特高群,自身掉血,1,2,120,1,65,4,"借用永恒之花的力量，发射出强力光线攻击3个敌人，消耗自身最大生命值10%,技能威力得到大幅度提升",,11001,5,3,60,,6,0,SkillATT03,,1,,2
341,341,闪击,普初单,,0,1,70,1,15,4,快速撞击敌人攻击敌人单体,,,1,,,,4,1,Skilldian01,,1,,2
342,342,雷光拳,普中单,（麻痹）,0,1,110,1,40,4,"用闪电拳头攻击,12%几率会麻痹敌人,效果持续1回合",,10402,1,3,,,5,1,Skilldian01,,1,,2
343,343,电光一闪,普高单,加速,0,1,160,1,60,4,"电光般速度撞击,30%几率增加30%自身速度1回合",,806,1,3,,,4,0,Skilldian01,,1,,2
351,351,跳跃闪电,普初弹,,0,6,50,1,20,4,"丢出一个弹跳的电球攻击敌人,弹射1次",,,4,,,6,6,1,Skilldian01,,1,,2
352,352,闪电链,普中弹,,0,6,65,1,40,4,"释放跳跃闪电攻击敌人,弹跳2次",,,5,3,,3,6,1,Skilldian01,,1,,2
353,353,雷光链,普高弹,,0,6,90,1,65,4,"召唤雷光链攻击敌人,弹跳2次",,,5,3,,6,6,0,Skilldian01,,1,,2
361,361,异向光,普初群,,0,2,45,1,20,4,发出怪异的光芒对2个敌人攻击,,,4,,,24,6,1,shouji02,,1,,2
362,362,撒娇,普中群,（减物攻）,0,2,54,1,40,4,"用撒娇造成伤害,10%几率降低3个敌人20%物攻1回合",,115,5,3,,4,5,1,Skillshui01,,1,,2
363,363,魅力之音,普高群,混乱,0,2,72,1,65,4,"用充满魅惑的声音攻击4个敌人,9%几率使敌人混乱1回合",,10313,6,3,13,,6,0,Skillyao01,,1,,2
364,364,芳香薄雾,变化（中档治疗）,加血加双防,,4,,1,65,4,"用芳香回复我方全体特攻的10%血量,并提高我方全体的双防20%,持续1回合",,13131|13132,12,3,46,,,1,shouji02,,1,,2
365,365,圆瞳,特高群,自身降双攻，速度提高,1,2,95,1,65,4,"用瞳孔对3个敌人攻击,之后降低自身双攻20%2回合,同时提升自身速度30%3回合",,13041|13042,5,3,,,71,0,shouji02,,1,,2
366,366,大地掌控,特高单,吸收sp，自身特攻，速度增加,1,1,120,1,65,4,"对敌方单体攻击,并吸收目标的sp10点,下1回合提高自身特攻和速度20%,持续1回合",,13051|13052|13053,1,3,,,70,0,shouji02,,1,,2
401,401,恶意追击,特初单,,1,1,70,1,15,5,用黑夜的诅咒笼罩敌人进行攻击,,,1,,,2,1,1,shouji03,,1,,2
402,402,暗袭光线,特中单,下次攻击概率1.5倍伤害,1,1,100,1,40,5,"用奇异黑色光线攻击,20%几率下次攻击伤害X1.5",,1862,1,4,,1,1,1,SkillATT01,,1,,2
403,403,恶域临头,特高单,（麻痹）,1,1,160,1,60,5,"召唤瘟神进行攻击,18%几率麻痹敌人1回合",,10403,1,4,,14,48,0,SkillATT03,,1,,2
421,421,暗之雾,特初群,,1,2,30,1,20,5,释放毒雾进行攻击4个敌人,,,6,,16,,,1,Skillhuo01,,1,,2
422,422,黑暗眼,特中群,概率降低特防,1,2,48,1,40,5,"用眼睛溶解4个敌人,10%几率会降低敌人30%特防1回合",,721,6,4,13,,,1,Skillshui01,,1,,2
423,423,黑暗爆炸,特高群（麻痹）,降低双攻,1,2,72,1,65,5,"释放出黑暗爆炸物质攻击4个敌人,50%几率降低敌人物攻和特攻15%1回合",,161|361,6,4,11,,19,0,shouji03,,1,,2
441,441,巨针,普初单,,0,1,70,1,15,5,"释放出巨大的飞针攻击敌人,",,,1,,,,1,1,SkillATT02,,1,,2
442,442,啃咬,普中单,下次攻击概率1.5倍伤害,0,1,100,1,40,5,"用牙齿进行撕咬,20%几率下次攻击伤害X1.5",,1862,1,4,,,21,1,Skillzhuangji01,,1,,2
443,443,咬碎,普高单,混乱,0,1,160,1,60,5,"用邪恶力咬碎敌人脑袋,18%几率使敌人混乱1回合",,10303,1,4,,,21,0,Skillzhuangji01,,1,,2
451,451,黑暗球,普初弹,,0,6,40,1,20,5,"丢出一个弹跳的电球攻击敌人,弹射2次",,,5,,,20,1,1,shouji03,,1,,2
461,461,恶之舔,普初群,,0,2,32,1,20,5,用舌头攻击3个敌人,,,5,,,1,1,1,Skillshui01,,1,,2
462,462,影子球,普中群,概率降低物防,0,2,48,1,40,5,"用影子球攻击4个敌人,10%几率降低敌人30%物防1回合",,521,6,4,,19,19,1,shouji03,,1,,2
463,463,恶魔爆弹,普高群,下次攻击概率1.5倍伤害,0,2,50,1,65,5,"用恶魔特制炸弹轰炸5个敌人,30%几率下次攻击伤害X1.5",,1863,7,4,,14,19,0,SkillATT02,,1,,2
464,464,暗黑爆破,特中群,降低自身命中，目标命中,1,2,75,1,40,5,"攻击敌方2人,有20%概率降低目标命中20%,也有20%概率降低自身命中20%,持续2回合",,13061|13062,4,4,45,,,1,SkillATT02,,1,,2
465,465,出奇一击,普中单,,0,1,100,100,40,5,"对敌方单体造成伤害,伤害必定命中",,,1,4,,,69,1,Skillzhuangji01,,1,,2
501,501,空裂斩,特初单,,1,1,70,1,15,6,制造出刀刃旋风对敌人进行攻击,,,1,,,6,6,1,SkillATT02,,1,,2
502,502,怒龙之光,特中单,减速,1,1,115,1,40,6,"用死亡光线破环敌人身体构造,30%几率降低敌人速度30%1回合",,906,1,2,,4,6,1,SkillATT01,,1,,2
503,503,神龙降临,特高单,混乱,1,1,155,1,60,6,"召唤龙神对敌人进行打击,18%几率使敌人混乱1回合",,10303,1,2,4,,9,0,SkillATT03,,1,,2
521,521,龙怒,特初群,,1,2,36,1,20,6,愤怒后怒气对3个敌人造成伤害,,,5,,,18,,1,SkillATT01,,1,,2
522,522,龙息,特中群,麻痹,1,2,48,1,40,6,"喷出的鼻息对4个敌人造成伤害,6%几率会麻痹敌人1回合",,10412,6,2,13,,,1,SkillATT02,,1,,2
523,523,龙卷风,特高群,减双攻,1,2,72,1,65,6,"用龙卷风攻击4个敌人,15%几率降低敌人物攻、特攻10%2回合",,113|313,6,2,5,,1,0,Skillfeng01,,1,,2
541,541,龙牙,普初单,,0,1,70,1,15,6,用龙的牙齿撕咬敌人,,,1,,,,21,1,SkillATT03,,1,,2
542,542,神速,普中单,加速,0,1,110,1,40,6,"用神的速度攻击,30%的几率增加自身速度30%1回合",,806,1,2,,,4,1,Skillfeng01,,1,,2
543,543,龙猛撞,普高单,麻痹,0,1,155,1,60,6,"狂暴的龙对敌人疯狂撞击,18%几率使敌人麻痹1回合",,10403,1,2,,,9,0,Skillzhuangji01,,1,,2
561,561,龙光斩,普初群,,0,2,32,1,15,6,释放出龙族特有光波斩击4个敌人,,,6,,,6,7,1,SkillATT02,,1,,2
562,562,龙爪击,普中群,下次攻击概率1.5倍伤害,0,2,53,1,40,6,用变大的龙爪攻击4个敌人，20%的几率下次攻击伤害X1.5,,1862,6,2,,,18,1,SkillATT02,,1,,2
563,563,龙之狂扫,普高群,减双防,0,2,72,1,65,6,"龙用尾巴扫击4个敌人,15%几率降低敌人物防、特防10%2回合",,513|713,6,2,,,18,0,SkillATT03,,1,,2
564,564,流星群,特高群,高伤，降低自己特攻,1,2,80,1,65,6,"从天空中落下陨石攻击敌方全体,使用后,自身特攻会降低50%,持续1回合",,13021,2,2,47,,,0,shouji04,,1,,2
565,565,时光咆哮,普高单,高伤，自己麻痹,0,1,220,1,70,6,"释放出扭曲时间般的强大力量攻击对手,技能威力得到大幅度提升，下一回合自己将无法动弹",,13291,1,2,,,72,0,SkillATT01,,1,,2
601,601,细雪,特初单,冰冻,1,1,70,1,15,7,用小雪球冰冻敌人进行攻击，50%几率冰冻敌人1回合,,10211,1,,,26,44,1,bing,,1,,2
602,602,极冰射线,特中单,冰冻,1,1,110,1,40,7,"射出极冷的光线冰冻敌人,70%几率冰冻敌人1回合",,10212,1,1,,30,44,1,Skillbing01,,1,,2
603,603,冰冷闪光,特高单,普攻吸血,1,1,155,1,60,7,"用寒冷的闪光吸取敌人血液,恢复自身血量基于伤害的25%",,11103,1,1,,8,2,0,Skillbing01,,1,,2
621,621,冰冻之风,特初群,冰冻,1,2,36,1,20,7,"制作出冷冻的风攻击3个敌人,10%几率冰冻敌人2回合",,10201,5,,,31,10,1,Skillfeng01,,1,,2
622,622,绝对零度,特中群,降双攻,1,2,54,1,40,7,"制造出零度环境攻击3个敌人,10%几率降低敌人物攻、特攻20%1回合",,115|315,5,1,9,,11,1,Skillbing01,,1,,2
623,623,冰眠空间,特高群,睡眠,1,2,72,1,65,7,"让世界冬眠,攻击4个敌人,9%几率敌人睡眠1回合",,10506,6,1,1,,2,0,bing,,1,,2
641,641,冰之拳,普初单,冰冻,0,1,70,1,15,7,"挥舞自己冰冻的拳头攻击敌人,50%几率冰冻敌人1回合",,10211,1,,,,25,1,SkillATT02,,1,,2
642,642,极寒拳,普中单,冰冻,0,1,110,1,40,7,"用极寒的拳头攻击敌人,70%几率冰冻敌人1回合",,10212,1,1,,,2,1,SkillATT02,,1,,2
643,643,冰柱坠落,普高单,普攻回血,0,1,155,1,60,7,"用冰柱攻击敌人并治疗自己,20%几率回复自身10%生命上限",,10953,1,1,,,41,0,Skillbing01,,1,,2
644,644,冰锤,普中单,双防提高，速度降低,0,1,110,1,40,7,"挥舞冰锤子攻击敌方单体,自身速度会降低10%,但是双防提高10%,持续2回合",,13011,1,1,50,,,1,bing,,1,,2
645,645,黑雾,特高群,解除全体异常状态，敌方掉血，我方加血,1,2,30,1,70,7,"攻击敌方全体,驱除全体精灵所有状态,并对目标附加特攻10%的真实伤害,回复己方全体生命上限12%的血量",,13187|13263|13261,2,1,48,,,0,Skillfeng01,,1,,2
646,646,冰雹,普高群,全体持续掉血，我方掉血少，对方掉血多,0,2,20,1,70,7,无视敌我，3回合内，敌方受到施法者20%特攻值的真实伤害，己方受到10%特攻值的真实伤害,,13271|13272,2,1,49,,,0,bing,,1,,2
661,661,冰球,普初群,冰冻,0,2,36,1,20,7,"滚动冰球,攻击3个敌人,10%几率冰冻敌人2回合",,10201,5,,,,20,1,bing,,1,,2
662,662,冰砾箭,普中群,降双防,0,2,54,1,45,7,"冰砾的箭射击3个敌人,10%几率降低敌人物攻、特攻20%1回合",,502|702,5,1,10,,11,1,SkillATT03,,1,,2
663,663,雪崩漩涡,普高群,大冰冻,0,2,62,1,65,7,"雪崩后形成的空间漩涡,对敌方4人造成伤害，有30%几率冰冻敌人,持续2回合",,10203,6,1,12,,41,0,bing,,1,,2
664,664,蓄能爆发,群6特,自身减特攻,1,2,70,1,75,4,"释放体内的全部电流对全敌造成特攻,但2回合内特攻-20%",,352,2,3,37,,,0,Skilldian01,,1,,2
665,665,Ｖ热焰,变化,加特攻,,5,,1,50,1,"使用火焰之力,将自身35%的物攻转化为自身特攻3回合",,253|152,11,5,34,,,1,SkillATT01,,1,,2
666,666,闪雷,群3物,加物攻，减速度,1,2,80,1,75,5,"使用迅捷的雷攻击3个敌人,提高己方15%的攻击力,但速度-15%",,952|1851,5,4,26,,,0,Skilldian01,,1,,2
667,667,贪婪本能,,吸血,1,1,135,1,70,5,飞扑目标，在撕咬中附加自身12%物攻的真实伤害，并恢复自身30%的最大生命值,,13094|10965,1,4,,,21,1,shouji03,,1,,2
668,668,巨剑,单物,斩杀,1,1,140,1,70,3,最佳的出手时机！对目标造成恐怖的伤害，并提升自身速度50%3回合,,852,1,6,,,13,1,SkillATT02,,1,,2
669,669,猛踏,单物,,0,7,85,1,75,6,"极速冲向1名敌军,对其造成物攻打击并进行1次连击",,,8,2,,,54,0,SkillATT01,,1,,2
670,670,强袭电击,群3特,麻痹,1,2,85,1,75,4,"发出强劲的电流攻击3名敌人,30%几率麻痹1个回合",,10452,5,3,3,,5,0,shouji02,,1,,2
671,671,石化吐息,群3特,麻痹,0,2,85,1,75,6,"向3个目标喷射出石化气流,30%几率麻痹1个回合",,10452,5,2,16,,,0,shouji05,,1,,2
672,672,精准打击,单物,必定暴击无法闪避,0,1,160,100,70,2,"发射极速水流,攻击敌方1人，这次攻击和下次攻击必定命中,并且暴击率增加50%1回合",,12103,1,1,,13,11,0,SkillATT03,,1,,2
673,673,牺牲,,群体治疗,,4,,1,65,2,"消耗自身大量hp,为全队回复自身15%特攻的hp和10点sp",,29001|29002,12,1,,,43,1,jiaxue,,1,,2
674,674,寒霜步履,,减速减回避,,5,,1,65,7,"召唤寒冷气,降低全敌50%的速度和20%的闪避2回合",,1352|953,2,1,23,,,0,Skillfeng01,,1,,2
675,675,战吼,群6物,减速减回避,0,2,60,1,75,1,"张开火焰之环,灼烧全敌,并减少敌方15%的速度和闪避",,1353|954,2,5,39,,,0,SkillATT01,,1,,2
676,676,颠倒,,加防 治疗,,4,,1,65,2,"帮友军双防增加35%2回合,并基于自身血量恢复15%的HP",,10966|12002,12,1,21,,,1,jiaxue,,1,,2
677,677,鲜花防守,,加防 减功,,5,,1,60,4,"提高全队物防、特防提高50%,但物攻、特攻-15%,持续2回合",,353|153|454|654,12,3,36,,,1,shouji05,,1,,2
