效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,2012,805,805,805,805,805
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,2815,1126,1126,1126,1126,1126
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,3660,1464,1464,1464,1464,1464
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,4470,1788,1788,1788,1788,1788
611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,5345,2138,2138,2138,2138,2138
651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,72,29,29,29,29,29
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,145,58,58,58,58,58
653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,275,110,110,110,110,110
654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,495,198,198,198,198,198
655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,840,336,336,336,336,336
656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,1342,537,537,537,537,537
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,2012,805,805,805,805,805
658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,2815,1126,1126,1126,1126,1126
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,3660,1464,1464,1464,1464,1464
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,4470,1788,1788,1788,1788,1788
661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,5345,2138,2138,2138,2138,2138
701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,72,29,29,29,29,29
702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,145,58,58,58,58,58
703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,275,110,110,110,110,110
704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,495,198,198,198,198,198
705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,840,336,336,336,336,336
706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1342,537,537,537,537,537
707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2012,805,805,805,805,805
708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,2815,1126,1126,1126,1126,1126
709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,3660,1464,1464,1464,1464,1464
710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4470,1788,1788,1788,1788,1788
711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,5345,2138,2138,2138,2138,2138
1001,1001~1501是角色,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1003,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
1004,,0.05,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,300,,,,,
1006,,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,,,,200,,,
1008,,,,,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,50
1009,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.01,,,,,,
1011,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,500,,,,,
1012,,,,,,,,,,,0.05,,,,0.05,,,,,,,0.03,,,,0.02,,,,,,,,,,,
1013,,,,,,,,,,,0.05,,,,0.05,,,,,,,0.03,,,,0.02,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,100
1015,,,,,,,,,0.05,,,0.05,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,100
1016,,,,,,,,,,,,,,,,,,,,0.1,0.03,0.03,,,,,,,,,,1000,,,,,
1017,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,0.01,,,,,,,,,,
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,1500,,500,,,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,,,,
1021,,,,,,,0.05,,,,,,,,,,,,0.05,,,,,,,0.02,,,,,,800,,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,80
1023,,,,,,0.05,,,0.05,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,
1024,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,300,,,
1026,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.03,0.03,,,,,,,
1028,,0.05,,,,0.05,,,,,0.05,,,,,,,,,0.1,,,,,,0.02,,,,,,,,,,,
1029,,,0.05,,,,,,,,,,0.05,,0.05,,,,,,,,0.03,,,,,,,,,,,,,,
1030,,,,,,,,,,,,0.05,,,,0.05,,,,0.1,,0.03,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,
1032,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,,,,,,,,,,,,,,
1033,,,,0.05,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1034,,,0.05,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,,,,,0.01,,200,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,1000,,,,,
1036,,,,,,,0.05,,,0.05,,,0.05,,,,0.05,,,,,0.03,,,,,,,,,,,,,,,
1501,1501~2000是称号属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,10,,10
1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,20,,5
1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,10,100,100,
1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,
1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,10
1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,20
1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,50
1508,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.005,,50,50,,,
1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,200,,,,,
1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,150,150,
1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,40
1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,50
1513,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,200,,,,75,
1514,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,200,,,200
1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,
1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50,,
1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,50
1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,200,
1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,
1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,
1521,,,,,,,,,,,,,,,,,,,,0.005,0.005,,,,,0.005,0.005,0.005,0.005,0.005,0.005,,,,,,
1522,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,200
1524,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.005,0.005,0.005,50,,,50,50,
1525,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,200,200,,,50
1526,,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,,0.005,,,,,,,,,,,,,,,,,,0.005,0.005,,,,,0.005,0.005,0.005,0.005,,,,,,,,
1528,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.005,0.005,,,,200,,
1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,200,
1530,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,200,200,200,200,200,200
1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,200,,
2000,2000~5000是徽章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,1,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,10,,10,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,15,,15,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,20,,20,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,25,,25,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,30,,30,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,35,,35,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,40,,40,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,45,,45,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,50,,50,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,55,,55,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,60,,60,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,65,,65,,
2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,1,
2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,10,
2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,15,,15,
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,20,,20,
2104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,25,,25,
2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,30,,30,
2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,35,,35,
2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,40,,40,
2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,45,,45,
2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,50,,50,
2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,55,,55,
2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,60,,60,
2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,65,,65,
2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,1
2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,50,,,10
2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,90,,,15
2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,140,,,20
2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,200,,,25
2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,270,,,30
2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,350,,,35
2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,440,,,40
2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,540,,,45
2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,650,,,50
2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,770,,,55
2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,900,,,60
2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,1040,,,65
2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,1,
2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,50,10,
2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,90,15,
2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,140,20,
2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,200,25,
2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,270,30,
2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,350,35,
2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,440,40,
2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,540,45,
2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,650,50,
2310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,770,55,
2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,900,60,
2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,1040,65,
2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,5,
