月份,活动ID(日期）,注释(策划看）,送道具(道具;数量）
11,19,草莓,12007;10
11,20,万能铃铛,10089;5
11,21,碎片,601379;40
11,22,钻石,2;800
11,23,金币,1;100000
11,24,蓝水晶,6;400
11,25,进阶卡,12152;5
11,26,草莓,12007;20
11,27,万能铃铛,10089;5
11,28,碎片,601379;40
12,1,钻石,2;200
12,2,金币,1;100000
12,3,蓝水晶,6;100
12,4,进阶卡,12152;5
12,5,草莓,12007;5
12,6,万能铃铛,10089;5
12,7,碎片,601642;35
12,8,钻石,2;400
12,9,金币,1;100000
12,10,蓝水晶,6;200
12,11,进阶卡,12152;5
12,12,草莓,12007;10
12,13,万能铃铛,10089;5
12,14,碎片,601642;35
12,15,钻石,2;600
12,16,金币,1;100000
12,17,蓝水晶,6;300
12,18,进阶卡,12152;5
12,19,草莓,12007;10
12,20,万能铃铛,10089;5
12,21,碎片,601642;40
12,22,钻石,2;800
12,23,金币,1;100000
12,24,蓝水晶,6;400
12,25,进阶卡,12152;5
12,26,草莓,12007;20
12,27,万能铃铛,10089;5
12,28,碎片,601642;40
