道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
2251,雪拉比碎片,用于在神兽中兑换雪拉比,,4,,11,0,4,35,,,1251,,,,,,,,,,,,,,,,,,
2382,盖欧卡碎片,用于在神兽中兑换盖欧卡,,4,,11,0,4,35,,,1382,,,,,,,,,,,,,,,,,,
2383,固拉多碎片,用于在神兽中兑换固拉多,,4,,11,0,4,35,,,1383,,,,,,,,,,,,,,,,,,
2384,烈空坐碎片,用于在神兽中兑换烈空坐,,4,,11,0,4,35,,,1384,,,,,,,,,,,,,,,,,,
2385,基拉祈碎片,用于在神兽中兑换基拉祈,,4,,11,0,4,35,,,1385,,,,,,,,,,,,,,,,,,
2487,骑拉帝纳碎片,用于在神兽中兑换骑拉帝纳,,4,,11,0,4,35,,,1487,,,,,,,,,,,,,,,,,,
2646,酋雷姆碎片,用于在神兽中兑换酋雷姆,,4,,11,0,4,35,,,1646,,,,,,,,,,,,,,,,,,
2647,凯路迪欧碎片,用于在神兽中兑换凯路迪欧,,4,,11,0,4,35,,,1647,,,,,,,,,,,,,,,1644,,,
10001,普通钱袋,使用后可以增加金币，金币+1000,,0,1,2,1,1,1;7,,1;1000,,,,,,,,,,,,,,,,,,,
10002,高级钱袋,使用后可以增加金币，金币+10000,,1,2,2,1,1,1;7,,1;10000,,,,,,,,,,,,,,,,,,,
10003,特级钱袋,使用后可以增加金币，金币+100000,,2,3,2,1,1,1;7,,1;100000,,,,,,,,,,,,,,,,,,,
10011,普通经验卡,使用后可以增加经验池经验，精灵经验池+1000,,0,100,2,1,1,1;7,,3;1000,,,,,,,,,,,,,,,,,,,
10012,高级经验卡,使用后可以增加经验池经验，精灵经验池+10000,,1,101,2,1,1,1;7,,3;10000,,,,,,,,,,,,,,,,,,,
10013,特级经验卡,使用后可以增加经验池经验，精灵经验池+100000,,2,102,2,1,1,1;7,,3;100000,,,,,,,,,,,,,,,,,,,
10021,普通晋升卡,使用后主角经验+1000,,0,4,2,1,1,1;7,,8;1000,,,,,,,,,,,,,,,,,,,
10022,高级晋升卡,使用后主角经验+10000,,1,5,2,1,1,1;7,,8;10000,,,,,,,,,,,,,,,,,,,
10023,特级晋升卡,使用后主角经验+100000,,2,6,2,1,1,1;7,,8;100000,,,,,,,,,,,,,,,,,,,
10031,VIP经验卡,使用后VIP经验+1,,3,9,2,1,1,18,,10;1,,,,,,,,,,,,,,,,,,,
10032,VIP经验卡,使用后VIP经验+10,,3,10,2,1,1,18,,10;10,,,,,,,,,,,,,,,,,,,
10033,名望经验卡,使用后名望经验+1000,,3,10,2,1,1,72,,11;1000,,,,,,,,,,,,,,,,,,,
10040,道馆币,"货币类型,主要在道馆玩法中产出",,2,,1,0,0,72,,,,,,,,,,,,,,,,,,,,,
10041,道馆宝箱,参与道馆玩法获得的宝箱，有几率获得拉帝亚斯和拉帝欧斯的碎片和稀有材料,,3,,2,1,1,72,800;1,,,,,,,,,,,,,,,,,,,,
10042,挑战者木箱,帮助道馆挑战者的宝箱，开启后，获得2枚专属橙宠拉帝亚斯和拉帝欧斯碎片、少量道馆经验和1000道馆币,,3,,2,1,1,72,,601380;2|601381;2|10053;4|10040;1000,,,,,,,,,,,,,,,,,,,
10043,挑战者银箱,帮助道馆挑战者的宝箱，开启后，获得3枚专属橙宠拉帝亚斯和拉帝欧斯碎片、大量道馆经验和2000道馆币,,3,,2,1,1,72,,601380;3|601381;3|10053;12|10040;2000,,,,,,,,,,,,,,,,,,,
10044,挑战者金箱,帮助道馆挑战者的宝箱，开启后，获得5枚专属橙宠拉帝亚斯和拉帝欧斯碎片、巨量道馆经验和3000道馆币,,4,,2,1,1,72,,601380;5|601381;5|10053;18|10040;3000,,,,,,,,,,,,,,,,,,,
10051,普通道馆券,使用后道馆经验+100,,0,20,2,1,1,1;72,,11;100,,,,,,,,,,,,,,,,,,,
10052,高级道馆券,使用后道馆经验+1000,,1,21,2,1,1,1;72,,11;1000,,,,,,,,,,,,,,,,,,,
10053,特级道馆券,使用后道馆经验+10000,,2,22,2,1,1,1;72,,11;10000,,,,,,,,,,,,,,,,,,,
10101,亲密度宝箱,"包含亲密度果实的葡萄,苹果,草莓，菠萝",,3,7,2,1,1,3;7,301;1,,,,,,,,,,,,,,,,,,,,
10111,进化石宝箱,包含属性进化石和超进化石,,3,10,2,1,1,3;7,1;1,,,,,,,,,,,,,,,,,,,,
10112,普通进化福袋,开启后，随机获得1颗进化石,,3,,2,1,1,3;7,2;1,,,,,,,,,,,,,,,,,,,,
10113,精致进化福袋,开启后，随机获得3颗进化石,,3,,2,1,1,3;7,3;1,,,,,,,,,,,,,,,,,,,,
10114,华丽进化福袋,开启后，随机获得5颗进化石,,3,,2,1,1,3;7,4;1,,,,,,,,,,,,,,,,,,,,
10121,携带品宝箱,包含随机携带品,,3,13,2,1,1,3;7,101;1,,,,,,,,,,,,,,,,,,,,
10131,神兽宝箱,包含随机神兽碎片和钻石,,4,16,2,1,1,3;7,201;1,,,,,,,,,,,,,,,,,,,,
10141,努力值宝箱,会随机产出努力值石头，喂养精灵可以增加六维属性,,3,17,2,1,1,3;7,501;1,,,,,,,,,,,,,,,,,,,,
10142,扭蛋礼包,内含1张礼品券和橙色宝可梦碎片（随机10-50枚）,,3,,2,1,1,3;7,700;1|701;1,,,,,,,,,,,,,,,,,,,,
10143,努力石小福袋,开启后，随机获得1枚的努力石,,3,,2,1,1,3;7,502;1,,,,,,,,,,,,,,,,,,,,
10144,努力石中福袋,开启后，随机获得3枚的努力石,,3,,2,1,1,3;7,503;1,,,,,,,,,,,,,,,,,,,,
10145,努力石大福袋,开启后，随机获得5枚的努力石,,3,,2,1,1,3;7,504;1,,,,,,,,,,,,,,,,,,,,
10151,钥匙,可以开启精灵球的物品,,3,8,3,0,3,3;7,,,,,,,,,,,,,,,,,,,,,
10152,月饼,参加中秋活动的道具,,3,11,3,0,3,3;7,,,,,,,,,,,,,,,,,,,,,
10160,礼品券,赠与参与活动训练师的礼券，可在特惠商店中兑换各种珍稀礼品,,3,,3,0,3,3,,,,,,,,,,,,,,,,,,,,,
10161,成长礼包,帮助训练师迅速成长的礼包，内含高级经验卡*10、特级经验卡*10、金币*50万、Vip经验卡*3,,3,,2,1,1,7,,10012;10|10013;10|10031;3|1;500000,,,,,,,,,,,,,,,,,,,
10162,进化礼包I,"帮助宝可梦迅速进化的礼包，内含火之石*30,水之石*30，草之石*30",,3,,2,1,1,7,,12101;30|12102;30|12103;30,,,,,,,,,,,,,,,,,,,
10164,进化礼包II,"帮助宝可梦迅速进化的礼包，内含妖之石*30,恶之石*30，龙之石*30",,3,,2,1,1,7,,12104;30|12105;30|12106;30,,,,,,,,,,,,,,,,,,,
10165,进化卡补充包,帮助宝可梦迅速进化的礼包，内含中级进化卡*20，低级进化卡*300,,3,,2,1,1,7,,12152;20|12151;300,,,,,,,,,,,,,,,,,,,
10185,进化礼包III,"帮助宝可梦迅速进化的礼包，内含冰之石*30,鬼之石*30，普之石*30",,3,,2,1,1,7,,12107;30|12108;30|12109;30,,,,,,,,,,,,,,,,,,,
10186,进化礼包IV,"帮助宝可梦迅速进化的礼包，内含电之石*30,虫之石*30，飞之石*30",,3,,2,1,1,7,,12121;30|12122;30|12123;30,,,,,,,,,,,,,,,,,,,
10187,进化礼包V,"帮助宝可梦迅速进化的礼包，内含地之石*30,岩之石*30，格之石*30",,3,,2,1,1,7,,12124;30|12125;30|12126;30,,,,,,,,,,,,,,,,,,,
10188,进化礼包VI,"帮助宝可梦迅速进化的礼包，内含超之石*30,钢之石*30，毒之石*30",,3,,2,1,1,7,,12127;30|12128;30|12129;30,,,,,,,,,,,,,,,,,,,
10166,急冻鸟支援包,获得急冻鸟的支援，内含急冻鸟碎片*15、蓝水晶*200,,4,,2,1,1,7,,601144;15|6;200,,,,,,,,,,,,,,,,,,,
10167,火焰鸟支援包,获得火焰鸟的支援，内含火焰鸟碎片*15、蓝水晶*200,,4,,2,1,1,7,,601146;15|6;200,,,,,,,,,,,,,,,,,,,
10168,闪电鸟支援包,获得闪电鸟的支援，内含闪电鸟碎片*15、蓝水晶*200,,4,,2,1,1,7,,601145;15|6;200,,,,,,,,,,,,,,,,,,,
10169,大师训练包,大师训练师的专用包，内含万能橙色碎片*3,,4,,2,1,1,7,,10087;3,,,,,,,,,,,,,,,,,,,
10170,亲密礼包,让训练师和宝可梦更加亲密的礼包，内含菠萝*1、草莓*3、苹果*10、葡萄*10,,3,,2,1,1,7,,12008;1|12007;3|12006;5|12005;10,,,,,,,,,,,,,,,,,,,
10171,努力礼包,让宝可梦快速获得战力的礼包，内含血量、物攻、特攻、物防、特防、速度努力石各5个,,3,,2,1,1,7,,12221;5|12226;5|12231;5|12236;5|12241;5|12246;5,,,,,,,,,,,,,,,,,,,
10172,训练师皮肤包,可以让你的训练师看上去与众不同，内含时装-红鸢真菰*1，本月限定，重复购买时装属性不叠加！,,4,,2,1,1,7,,5022;1,,,,,,,,,,,,,,,,,,,
10173,学习机-火,开启后，可以随机获得一本火系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,602;1,,,,,,,,,,,,,,,,,,,,
10174,学习机-水,开启后，可以随机获得一本水系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,603;1,,,,,,,,,,,,,,,,,,,,
10175,学习机-草,开启后，可以随机获得一本草系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,604;1,,,,,,,,,,,,,,,,,,,,
10176,学习机-妖,开启后，可以随机获得一本妖系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,605;1,,,,,,,,,,,,,,,,,,,,
10177,学习机-恶,开启后，可以随机获得一本恶系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,606;1,,,,,,,,,,,,,,,,,,,,
10178,学习机-龙,开启后，可以随机获得一本龙系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,607;1,,,,,,,,,,,,,,,,,,,,
10179,学习机-冰,开启后，可以随机获得一本冰系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,608;1,,,,,,,,,,,,,,,,,,,,
10180,学习机-鬼,开启后，可以随机获得一本鬼系宝可梦可使用的技能书，有小概率获得传说级技能,,4,,2,1,1,7,609;1,,,,,,,,,,,,,,,,,,,,
10181,慰问礼包,"请不要灰心，打开礼包提升自己，继续战斗吧！将获得钻石*500、中级进化卡*5、低级进化卡*5,、宝可梦经验*100万、金币*100万",,3,,2,1,1,,,2;500|12152;5|12151;100|3;1000000|1;1000000,,,,,,,,,,,,,,,,,,,
10182,公会温馨礼盒,感受伙伴的关爱吧！内含公会币*200，时装-莉佳*1，金币*500000,,3,,2,1,1,13,,7;1|10506;1|1;500000,,,,,,,,,,,,,,,,,,,
10183,中级技能秘典,"开启后，将获30张技能兑换券,可在商店-学习机中兑换想要的技能",,3,,2,1,1,13,,10308;30,,,,,,,,,,,,,,,,,,,
10184,精灵碎片礼盒,开启后，将随机获得3枚橙色宝可梦碎片,,3,,2,1,1,13,700;1,,,,,,,,,,,,,,,,,,,,
10201,开服狂欢币,一起来狂欢吧！可以用它兑换精美礼物哦！,,3,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10202,主宰进化礼包,帮助紫色宝可梦快速进化的超级礼包！,,4,,2,1,1,13,,12152;60|12101;260|12102;260|12103;260|12104;260|12105;260|12106;260|12107;260|12108;260,,,,,,,,,,,,,,,,,,,
10203,时装兑换券,可以用来兑换精美的时装,,4,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10204,妙蛙相伴礼包,开启后，将获得妙蛙草碎片*80和大量亲密度道具！,,4,,2,1,1,13,,601002;80|12007;10|10151;50,,,,,,,,,,,,,,,,,,,
10205,火龙相伴礼包,开启后，将获得火恐龙碎片*80和大量亲密度道具！,,4,,2,1,1,13,,601005;80|12007;10|10151;50,,,,,,,,,,,,,,,,,,,
10206,卡咪相伴礼包,开启后，将获得卡咪龟碎片*80和大量亲密度道具！,,4,,2,1,1,13,,601008;80|12007;10|10151;50,,,,,,,,,,,,,,,,,,,
10207,内测签到礼盒,感谢您参加内测！礼包内含钻石*100,,4,,2,1,1,13,,2;100,,,,,,,,,,,,,,,,,,,
10301,二测开服礼盒,一起狂欢吧！我们为您精心准备了礼物！快打开看看吧！,,4,,2,1,1,13,,6;2000|10151;10|10302;20|12007;100|1;300000,,,,,,,,,,,,,,,,,,,
10302,精灵糖果,快把甜食交给戴鲁比，换取精灵碎片吧！,,3,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10303,新年灯笼,可以在活动页兑换各类精美道具,,3,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10304,专场提货券,凭此劵在秒杀专场商店中兑换超值道具,,4,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10305,十连抽欢乐券_蓝色,可以用来兑换火恐龙、妙蛙草和卡咪龟中任意一只精灵,,3,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10306,十连抽欢乐券_红色,可以用来兑换强大的快龙！,,4,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10307,技能先行体验券,可在集字兑换界面下兑换高级技能！（内测玩家专有）,,2,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10308,普通技能券,可以在商店的学习机页面下兑换各种各样的神奇技能,,3,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10309,高级技能券,可以在商店的学习机和集字页面下兑换强大的稀有技能,,4,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10310,高级技能先行体验券,可在集字兑换界面下兑换高级技能！,,3,,3,,3,13,,,,,,,,,,,,,,,,,,,,,
10311,二测火焰礼盒,开启后将获得100个火系进化石,,3,,2,1,1,13,,12101;100,,,,,,,,,,,,,,,,,,,
10312,二测水源礼盒,开启后将获得100个水系进化石,,3,,2,1,1,13,,12102;100,,,,,,,,,,,,,,,,,,,
10313,二测青草礼盒,开启后将获得100个草系进化石,,3,,2,1,1,13,,12103;100,,,,,,,,,,,,,,,,,,,
10314,二测妖精礼盒,开启后将获得100个妖系进化石,,3,,2,1,1,13,,12104;100,,,,,,,,,,,,,,,,,,,
10315,二测恶兽礼盒,开启后将获得100个恶系进化石,,3,,2,1,1,13,,12105;100,,,,,,,,,,,,,,,,,,,
10316,二测龙族礼盒,开启后将获得100个龙系进化石,,3,,2,1,1,13,,12106;100,,,,,,,,,,,,,,,,,,,
10208,二测寒冰礼盒,开启后将获得100个冰系进化石,,3,,2,1,1,13,,12107;100,,,,,,,,,,,,,,,,,,,
10317,二测鬼族礼盒,开启后将获得100个鬼系进化石,,3,,2,1,1,13,,12108;100,,,,,,,,,,,,,,,,,,,
10318,技能书礼包,开启后，将随机获得1本高级技能书！,,3,,2,1,1,13,610;1,,,,,,,,,,,,,,,,,,,,
10319,内测礼包,开启后，将获得绝版时装、橙色万能碎片和200万金币（可带到公测中）,,4,,2,1,1,13,,10535;1|10087;5|1;2000000,,,,,,,,,,,,,,,,,,,
10320,精灵助力礼包,开启后，将获得大量亲密度果实和努力石！,,4,,2,1,1,13,,12004;100|10145;10,,,,,,,,,,,,,,,,,,,
10321,南瓜金币箱,开启后，将获得金币和木锤,,3,,2,1,1,13,,1;20000|10151;1,,,,,,,,,,,,,,,,,,,
10322,进化礼包-火,开启后，获得火系进化石*50、火系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12101;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10323,进化礼包-水,开启后，获得水系进化石*50、水系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12102;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10324,进化礼包-草,开启后，获得草系进化石*50、草系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12103;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10325,进化礼包-妖,开启后，获得妖系进化石*50、妖系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12104;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10326,进化礼包-恶,开启后，获得恶系进化石*50、恶系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12105;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10327,进化礼包-龙,开启后，获得龙系进化石*50、龙系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12106;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10328,进化礼包-冰,开启后，获得冰系进化石*50、冰系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12107;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10329,进化礼包-鬼,开启后，获得鬼系进化石*50、鬼系中级技能书*1、低阶进化卡*100、中阶进化卡*5,,3,,2,1,1,13,,12108;50|12151;100|12152;5,,,,,,,,,,,,,,,,,,,
10330,飞跃礼包-物,帮助物攻系宝可梦提升努力值的礼包,,3,,2,1,1,13,,12221;10|12236;10|12241;10|12246;10,,,,,,,,,,,,,,,,,,,
10331,飞跃礼包-特,帮助特攻系宝可梦提升努力值的礼包,,3,,2,1,1,13,,12226;10|12236;10|12241;10|12246;10,,,,,,,,,,,,,,,,,,,
10332,神秘人装扮包,开启后，将获得装扮-神秘人,,3,,2,1,1,13,,10507;1,,,,,,,,,,,,,,,,,,,
10333,艾莉丝装扮包,开启后，将获得装扮-艾莉丝,,3,,2,1,1,13,,10508;1,,,,,,,,,,,,,,,,,,,
10334,万圣-耿鬼,开启后，将获得精灵-耿鬼碎片*30,,3,,2,1,1,13,,601094;30,,,,,,,,,,,,,,,,,,,
10335,万圣-黑夜,开启后，将获得精灵-黑夜魔灵碎片*30,,3,,2,1,1,13,,601477;30,,,,,,,,,,,,,,,,,,,
10336,万圣-坚盾,开启后，将获得精灵-坚盾剑怪碎片*30,,3,,2,1,1,13,,601681;30,,,,,,,,,,,,,,,,,,,
10337,万圣-洛托姆,开启后，将获得精灵-洛托姆碎片*30,,3,,2,1,1,13,,601479;30,,,,,,,,,,,,,,,,,,,
10338,奇异精灵包,开启后，将获得精灵-伊布碎片*80,,3,,2,1,1,13,,601134;80,,,,,,,,,,,,,,,,,,,
10339,精灵成长包,帮助精灵成长的超值礼包，内含大量蓝水晶和神秘道具,,3,,2,1,1,13,,6;1500|10114;5|10145;5,,,,,,,,,,,,,,,,,,,
10340,超进化石礼盒,内含1000个超进化石！突破极限吧！最强的训练师！,,4,,2,1,1,13,,10310;1|12111;1000|10145;20|1;5000000,,,,,,,,,,,,,,,,,,,
10341,免费礼包,开启后，金币20万、道馆币*3000、钻石*100、紫色蛋*1,,4,,2,1,1,13,,1;200000|10040;3000|2;100|420001;1,,,,,,,,,,,,,,,,,,,
10342,公测预约礼包,开启后，钻石*300、高级技能兑换券*2、道馆币*10000、蓝水晶*1000,,4,,2,1,1,13,,2;300|10309;2|10040;10000|6;1000,,,,,,,,,,,,,,,,,,,
10351,普通通行证,持此证，可进入低级狩猎区，畅快抓宠,,2,,2,0,3,13,,,,,,,,,,,,,,,,,,,,,
10352,特邀通行证,特邀嘉宾，请前往中级狩猎区，抓捕大量紫色宝可梦,,3,,2,0,3,13,,,,,,,,,,,,,,,,,,,,,
10353,豪华通行证,豪华通行证，可进入高级狩猎区，抓捕橙色宝可梦！,,4,,2,0,3,13,,,,,,,,,,,,,,,,,,,,,
10354,携带品礼包,"6级猛击携带品,装备后可激活套装属性",,4,,2,1,1,13,,700121;1|700122;1|700123;1|700124;1,,,,,,,,,,,,,,,,,,,
10355,携带品礼包,"6级强袭携带品,装备后可激活套装属性",,4,,2,1,1,13,,700221;1|700222;1|700223;1|700224;1,,,,,,,,,,,,,,,,,,,
10356,携带品礼包,"6级疾走携带品,装备后可激活套装属性",,4,,2,1,1,13,,700321;1|700322;1|700323;1|700324;1,,,,,,,,,,,,,,,,,,,
10357,携带品礼包,"6级生命携带品,装备后可激活套装属性",,4,,2,1,1,13,,700421;1|700422;1|700423;1|700424;1,,,,,,,,,,,,,,,,,,,
10358,携带品礼包,"5级猛击携带品,装备后可激活套装属性",,4,,2,1,1,13,,700117;1|700118;1|700119;1|700120;1,,,,,,,,,,,,,,,,,,,
10359,携带品礼包,"5级强袭携带品,装备后可激活套装属性",,4,,2,1,1,13,,700217;1|700218;1|700219;1|700220;1,,,,,,,,,,,,,,,,,,,
10360,携带品礼包,"5级疾走携带品,装备后可激活套装属性",,4,,2,1,1,13,,700317;1|700318;1|700319;1|700320;1,,,,,,,,,,,,,,,,,,,
10361,携带品礼包,"5级生命携带品,装备后可激活套装属性",,4,,2,1,1,13,,700417;1|700418;1|700419;1|700420;1,,,,,,,,,,,,,,,,,,,
10400,成长兑换券,训练师可凭此券在集字兑换中换取进化石道具,,3,,2,1,3,,,,,,,,,,,,,,,,,,,,,,
10401,3级成长礼包,礼包内有道具！,,3,,2,1,1,,,12003;20|12104;30|12105;30|12151;100,,,,,,,,,,,,,,,,,,,
10402,6级成长礼包,礼包内有道具！,,3,,2,1,1,,,12003;30|12101;30|12102;30|12151;100,,,,,,,,,,,,,,,,,,,
10403,10级成长礼包,礼包内有道具！,,3,,2,1,1,,,601012;40|12003;40|12103;30|12106;30,,,,,,,,,,,,,,,,,,,
10404,20级成长礼包,礼包内有道具！,,3,,2,1,1,,,10012;10|1;1000000|12107;30|12108;30,,,,,,,,,,,,,,,,,,,
