副本ID(不能和关卡重复),"类型(1:金币副本,2:经验副本,3:徽章副本,4:努力值副本,5:亲密度副本,6:超进化石副本,7进化石副本,8携带品副本)",战斗背景,副本名,限制等级（改成人物等级，人物等级>=X开启）,关卡可能掉落的道具，格式为 掉率;道具ID;数量|其它…,阵型,掉落预览(道具1;道具2;道具3),集字活动掉落(普通lootid;数量|lootid;数量）,中秋集字掉落(普通lootid;数量|lootid;数量）
10607,7,1,进化副本,23,100;12107;10|10;12107;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12107;12151;12152,10010004;1,10010008;1
10608,7,1,进化副本,23,100;12108;10|10;12108;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12108;12151;12152,10010004;1,10010008;1
10609,7,1,进化副本,23,100;12109;10|10;12109;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12109;12151;12152,10010004;1,10010008;1
10610,7,1,进化副本,23,100;12121;10|10;12121;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12121;12151;12152,10010004;1,10010008;1
10611,7,1,进化副本,23,100;12122;10|10;12122;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12122;12151;12152,10010004;1,10010008;1
10612,7,1,进化副本,23,100;12123;10|10;12123;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12123;12151;12152,10010004;1,10010008;1
10613,7,1,进化副本,23,100;12124;10|10;12124;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12124;12151;12152,10010004;1,10010008;1
10614,7,1,进化副本,23,100;12125;10|10;12125;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12125;12151;12152,10010004;1,10010008;1
10615,7,1,进化副本,23,100;12126;10|10;12126;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12126;12151;12152,10010004;1,10010008;1
10616,7,1,进化副本,23,100;12127;10|10;12127;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12127;12151;12152,10010004;1,10010008;1
10617,7,1,进化副本,23,100;12128;10|10;12128;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12128;12151;12152,10010004;1,10010008;1
10618,7,1,进化副本,23,100;12129;10|10;12129;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12129;12151;12152,10010004;1,10010008;1
10801,8,1,携带品副本,25,100;10601;1,1,10601,10010004;1,10010008;1
10802,8,1,携带品副本,45,100;10602;2,1,10602,10010004;1,10010008;1
10803,8,1,携带品副本,65,100;10603;2,1,10603,10010004;1,10010008;1
10804,8,1,携带品副本,85,100;10604;3,1,10604,10010004;1,10010008;1
