"新手任务进度,同一阶段任务采用相同的进度(弱引导ID>=10000，每个不同的弱引导ID应以10000为单位增加)",引导序列ID,进入界面时触发，此时玩家最后进入的关卡为TimeLevel，Wave应为0,事件触发关卡,事件触发的功能开发id,玩家在关卡某一波怪时触发，波数为0时表示进入界面时触发,功能筛选辅助,注释,固定背景图,体验关卡时的人物装备（战士武器ID;衣服ID;戒指ID|骑士..|法师..|牧师..）ID填-1则使用玩家默认的装备，0则不装备,背景图2，层级大于前两个图，多张图片ID用';'隔开,高亮显示背景图，此时除了背景图外的部分变灰色,"强制点击图，出现时玩家必须点击这个位置才能继续，多个ID用','隔开",强制点击图，出现时玩家必须点击任意位置才能继续,"文字内容，多个内容ID用','隔开",是否图片中断(1为中断）,仅用于保存进度,是否不保存（填了1就不保存进度）
1008,19,挂机,3,,,,挂机收益说明,1,,3101;3102;3104;3105,3106,,,,,,
1008,20,挂机,3,,,,引导收取宝箱内的东西,,,3101;3102;3107;3108,3110,3109,,,1,,
1008,21,挂机,3,,,,说明别忘记收取之后的东西,1,,3101;3102;3111;3112,3113,,,,,,
1009,22,挂机,3,,,,引导玩家跟着手指继续,,,5101;5102;5104,3207,,,,1,,
1010,23,战斗,3,,,,第3关引导点击攻击1,1,,5501;5502;5506,,,,,,,
1010,24,战斗,3,,,,第3关引导点击攻击2,,,5501;5502;5504;5505;5509,,5507,,,1,,
1011,25,战斗,4,,,,引导玩家点击自动战斗,,,5201;5202;5203;5204,5211,5212,,,,,
1012,26,战斗,5,,,,引导玩家点击速度*2,,,5207;5208;5206;5205,5209,5210,,,,,
1013,27,挂机,7,,,,引导玩家点精灵球,,,40000;45000;54000;54001,54002,54003,,8800,,,
1013,28,挂机,7,,,,引导捕获,,,40000;45000;54004;54005,54006,54007,,8801,,,
1013,29,挂机,7,,,,介绍,,,40001;45001,,,,8802,,,
1013,30,挂机,7,,,,介绍,,,40001;45001,,,,8803,,,
1013,31,挂机,7,,,,介绍,,,40001;45001,,,,8804,,,
1013,32,挂机,7,,,,引导撞击,,,54008;54009,54010,54011,,,,,
1013,33,挂机,7,,,,引导丢石头,,,54012;54013,54014,54015,,,,,
1013,34,挂机,7,,,,引导丢球,,,54016;54017,54018,54019,,,,,
1014,35,挂机,8,,,,引导点击地图,,,40002;45002;51077;51078,,51080,,8900,,,
1014,36,挂机,8,,,,引导点击古木镇,,,40002;45002;55000;55001,55002,55003,,8903,,,
1014,37,挂机,8,,,,前往,,,51081;51082,51083,51084,,,,,
1014,38,挂机,8,,,,瞬飞,,,40000;45000;51085;51086,51087,51088,,6007,,,
1014,39,挂机,8,,,,瞬飞确认,,,51089;51090,51091,51092,,,,,
1014,40,挂机,8,,,,点击古木镇,,,40002;45002;55000;55001,55002,55003,,8901,,,
1014,41,挂机,8,,,,进入,,,51081;51082,51083,51084,,,,,
1014,42,挂机,8,,,,点击冒险,,,4201;4202,4203,4204,,,,,
1014,43,挂机,8,,,,介绍,,,40001;45001,,,,8902,,,
1015,44,战斗失败,12,,,,引导玩家点击确认按钮,,,40001;45001;50033;50034,50035,50036,,500,,,1
1015,45,战斗失败,12,,,,引导玩家点击展开按钮,,,40000;45000;10000;10001,10002,10003,,501,1,,1
1015,46,战斗失败,12,,,,引导玩家点击好友,,,40000;45000;10004;10005,10006,10007,,502,1,,1
1015,47,战斗失败,12,,,,介绍好友列表,1,,40000;45000,10016,,,503,,,1
1015,48,战斗失败,12,,,,介绍协助精灵,1,,40000;45000,10017,,,504,,,1
1015,49,战斗失败,12,,,,引导玩家点击第一个好友的协助按钮,,,40000;45000;10008;10009,10010,10011,,505,1,,1
1015,50,战斗失败,12,,,,引导玩家点击关闭按钮,,,40001;45001;10012;10013,10014,10015,,506,1,,1
1015,51,战斗失败,12,,,,引导玩家进入战斗,,,40001;45001;50025;50026,50027,50028,,507,1,,1
5150,117,,,1,,任务,点击任务,,,40000;45000;50017;50018,50019,50020,,5004,1,,1
5150,118,,,1,,任务,点击日常,,,40000;45000;50301;50302,50303,50304,,5200,,,1
5150,119,,,1,,任务,介绍活跃宝箱,1,,40000;45000,50371,,,5201,,,1
5150,120,,,1,,任务,点击领取,,,40000;45000;50305;50306,50307,50308,,5202,1,,1
5200,121,,,2,,进化,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
5200,122,,,2,,进化,点击培养,,,40000;45000;50001;50002,50003,50004,,5000,,,1
5200,123,,,2,,进化,点击进化也签,,,40000;45000;50601;50602,50603,50604,,5500,,,1
5200,124,,,2,,进化,介绍进化,1,,40000;45000,,,,5501,,,1
5200,125,,,2,,进化,点击进化,,,40002;45002;50605;50606,50607,50608,,5502,1,,1
5250,126,,,3,,精灵商店,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,,,1
5250,127,,,3,,精灵商店,点击商店,,,40000;45000;50401;50402,50403,50404,,5005,,,1
5250,128,,,3,,精灵商店,点击精灵商店,,,40000;45000;50405;50406,50407,50408,,5300,,,1
5250,129,,,3,,精灵商店,点击刷新,,,40001;45001;50409;50410,50411,50412,,5301,,,1
5250,130,,,3,,精灵商店,点击回收,,,50413;50414,50415,50416,,,,,1
5250,131,,,3,,精灵商店,引导冒险,,,4013;4014,,4016,,,,,1
5350,132,,,4,,竞技场,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,,,1
5350,133,,,4,,竞技场,点击竞技场,,,40000;45000;50901;50902,50903,50904,,5900,,,1
5350,134,,,4,,竞技场,第一句话,1,,40000;45000,,,,5901,,,1
5350,135,,,4,,竞技场,第二句话,1,,40000;45000,,,,5902,,,1
5360,136,,,5,,狩猎区,引导点击地图,,,40002;45002;51077;51078,,51080,,5009,,,1
5360,137,,,5,,狩猎区,引导点击狩猎区,,,40002;45002;51001;51002,51003,51004,,6000,,,1
5360,138,,,5,,狩猎区,前往,,,51081;51082,51083,51084,,,,,1
5360,139,,,5,,狩猎区,瞬飞,,,40000;45000;51085;51086,,51088,,6007,,,1
5360,140,,,5,,狩猎区,瞬飞确认,,,51089;51090,51091,51092,,,,,1
5360,141,,,5,,狩猎区,点击狩猎区,,,40002;45002;51001;51002,51003,51004,,6000,,,1
5360,142,,,5,,狩猎区,进入,,,51081;51082,51083,51084,,,,,1
5360,143,,,5,,狩猎区,翻页,,,56001;56002,56003,56004,,,,,1
5360,144,,,5,,狩猎区,进入,,,40000;45000;51096;51097,51098,51099,,6004,,,1
5360,145,,,5,,狩猎区,介绍,,,40000;45000,,,,6001,,,1
5360,146,,,5,,狩猎区,介绍,,,40000;45000,,,,6008,,,1
5400,147,,,6,,战斗地铁,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,,,1
5400,148,,,6,,战斗地铁,引导点击战斗地铁,,,40000;45000;53201;53202,53203,53204,,8500,,,1
5400,149,,,6,,战斗地铁,引导国内线,,,40002;45002;53205;53206,53207,53208,,8501,,,1
5400,150,,,6,,战斗地铁,前往,,,53209;53210,53211,53212,,,,,1
5470,151,,,7,,特殊副本,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,,,1
5470,152,,,7,,特殊副本,引导点击特殊副本,,,40002;45002;52001;52002,52003,52004,,7000,,,1
5470,153,,,7,,特殊副本,点击亲密副本,,,40001;45001;52005;52006,52007,52008,,7001,,,1
5470,154,,,7,,特殊副本,点击挑战,,,40000;45000;52009;52010,52011,52012,,7002,,,1
5500,155,,,8,,升星,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,1,,1
5500,156,,,8,,升星,点击升星入口,,,40000;45000;51101;51102,51103,51104,,6100,,,1
5500,157,,,8,,升星,介绍升星增加的技能效果,1,,40000;45000,51171,,,6101,,,1
5500,158,,,8,,升星,介绍升星增加的属性,1,,40000;45000,51172,,,6102,,,1
5500,159,,,8,,升星,点击升星按钮,,,40000;45000;51105;51106,51107,51108,,6103,1,,1
5510,160,,,9,,排行,告诉玩家排行的作用,1,,40000;45000,,,,8000,,,1
5600,161,,,10,,特殊副本,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,,,1
5600,162,,,10,,特殊副本,引导点击特殊副本,,,40002;45002;52001;52002,52003,52004,,7000,,,1
5650,163,,,11,,公会,点击公会,,,40000;45000;52501;52502,52503,52504,,7500,,,1
5650,164,,,11,,公会,告知找一个公会,1,,40000;45000,,,,7501,,,1
5700,165,,,12,,头饰,引导玩家点击玩家头像,,,40000;45000;50005;50006,50007,50008,,5001,,,1
5700,166,,,12,,头饰,引导玩家点击饰品,,,40000;45000;51601;51602,51603,51604,,6600,,,1
5700,167,,,12,,头饰,引导玩家点击头饰,,,40000;45000;51605;51606,51607,51608,,6601,,,1
5700,168,,,12,,头饰,引导玩家点击升级,,,40001;45001;51609;51610,51611,51612,,6602,,,1
5700,169,,,12,,头饰,引导玩家点击佩戴,,,40001;45001;51613;51614,51615,51616,,6603,,,1
5750,170,,,13,,翅膀,引导玩家点击玩家头像,,,40000;45000;50005;50006,50007,50008,,5001,,,1
5750,171,,,13,,翅膀,引导玩家点击饰品,,,40000;45000;51701;51702,51703,51704,,6700,,,1
5750,172,,,13,,翅膀,引导玩家点击翅膀,,,40000;45000;51705;51706,51707,51708,,6701,,,1
5750,173,,,13,,翅膀,引导玩家点击升级,,,40001;45001;51709;51710,51711,51712,,6702,,,1
5750,174,,,13,,翅膀,引导玩家点击佩戴,,,40001;45001;51713;51714,51715,51716,,6703,,,1
5800,175,,,14,,助阵,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,1,,1
5800,176,,,14,,助阵,点击助阵,,,40000;45000;52601;52602,52603,52604,,7600,,,1
5800,177,,,14,,助阵,说明助阵上阵,1,,40000;45000,52671,,,7601,,,1
5800,178,,,14,,助阵,说明加成属性,1,,40000;45000,52672,,,7602,,,1
5800,179,,,14,,助阵,让玩家试试,1,,40000;45000,,,,7603,,,1
5850,180,,,15,,地底挑战,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,,,1
5850,181,,,15,,地底挑战,告知打败守护兽可以进入,1,,40000;45000,52103,,,7100,,,1
5850,182,,,15,,地底挑战,引导点击守护兽,,,40000;45000;52101;52102,52103,52104,,7101,1,,1
5900,183,,,16,,阵型,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
5900,184,,,16,,阵型,点击布阵,,,40000;45000;52201;52202,52203,52204,,7200,,,1
5900,185,,,16,,阵型,点击强攻,,,40000;45000;52205;52206,52207,52208,,7201,,,1
5900,186,,,16,,阵型,说明作用,1,,40000;45000,52271,,,7202,,,1
5900,187,,,16,,阵型,点击升级,,,40000;45000;52209;52210,52211,52212,,7203,1,,1
6000,188,,,17,,挖矿,告知挖矿的作用,1,,40000;45000,52871,,,7800,,,1
6000,189,,,17,,挖矿,告知挖矿的消耗,1,,40000;45000,52872,,,7801,,,1
6000,190,,,17,,挖矿,点击第一个矿,,,40000;45000;52801;52802,52803,52804,,7802,1,,1
6050,191,,,18,,装备强化,引导玩家点击玩家头像,,,40000;45000;50005;50006,50007,50008,,5001,,,1
6050,192,,,18,,装备强化,引导玩家点击装备,,,40000;45000;51401;51402,51403,51404,,6400,,,1
6050,193,,,18,,装备强化,引导玩家点击强化也签,,,40001;45001;51405;51406,51407,51408,,6401,,,1
6050,194,,,18,,装备强化,引导玩家点击第一个装备,,,40000;45000;51409;51410,51411,51412,,6402,,,1
6050,195,,,18,,装备强化,引导玩家点击强化按钮,,,40001;45001;51413;51414,51415,51416,,6403,,,1
6100,196,,,19,,附魔,引导玩家点击玩家头像,,,40000;45000;50005;50006,50007,50008,,5001,1,,1
6100,197,,,19,,附魔,引导玩家点击装备,,,40000;45000;51501;51502,51503,51504,,6500,,,1
6100,198,,,19,,附魔,引导玩家点击附魔也签,,,40001;45001;51505;51506,51507,51508,,6501,,,1
6100,199,,,19,,附魔,引导玩家点击第一个装备,,,40000;45000;51509;51510,51511,51512,,6502,,,1
6100,200,,,19,,附魔,引导玩家点击附魔按钮,,,40001;45001;51513;51514,51515,51516,,6503,,,1
6150,201,,,20,,秘境,介绍秘境随即事件,1,,40001;45001,52771,,,7700,,,1
6150,202,,,20,,秘境,点击普通骰子,,,40001;45001;52701;52702,52703,52704,,7701,1,,1
6200,203,,,21,,家园,引导点击主城,,,40000;45000;50009;50010,50011,50012,,5002,1,,1
6200,204,,,21,,家园,点击家园,,,40000;45000;53001;53002,53003,53004,,8200,,,1
6200,205,,,21,,家园,点击探索,,,40001;45001;53005;53006,53007,53008,,8201,,,1
6200,206,,,21,,家园,点击寻宝,,,40001;45001;53009;53010,53011,53012,,8202,,,1
6200,207,,,21,,家园,点击免费寻宝,,,40001;45001;53013;53014,53015,53016,,8203,,,1
6200,208,,,21,,家园,点击关闭,,,40001;45001;53017;53018,53019,53020,,8204,,,1
6200,209,,,21,,家园,点击打造,,,40001;45001;53021;53022,53023,53024,,8205,,,1
6200,210,,,21,,家园,点击第一个家具,,,40000;45000;53025;53026,53027,53028,,8206,,,1
6200,211,,,21,,家园,点击打造,,,40001;45001;53029;53030,53031,53032,,8207,,,1
6200,212,,,21,,家园,告知点击确定家具放入仓库中，可以去仓库中摆放家具,1,,40001;45001,,,,8208,,,1
50000,101,,,10001,,努力值,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
50000,102,,,10001,,努力值,点击培养,,,40000;45000;50001;50002,50003,50004,,5000,,,1
50000,103,,,10001,,努力值,点击努力值页签,,,40000;45000;50101;50102,50103,50104,,7900,,,1
50000,104,,,10001,,努力值,点击生命页签,,,40001;45001;50105;50106,50107,50108,,7901,,,1
50000,105,,,10001,,努力值,点击使用一次按钮,,,40001;45001;50113;50114,50115,50116,,7902,,,1
51000,110,,,10003,,亲密度,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
51000,111,,,10003,,亲密度,点击培养,,,40000;45000;50001;50002,50003,50004,,5000,,,1
51000,112,,,10003,,亲密度,点击亲密,,,40000;45000;50501;50502,50503,50504,,5400,,,1
51000,113,,,10003,,亲密度,点击一键添加,,,40001;45001;50505;50506,50507,50508,,5401,,,1
51000,114,,,10003,,亲密度,点击喂养,,,40001;45001;50509;50510,50511,50512,,5402,,,1
53000,137,,,10008,,携带品,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,1,,1
53000,138,,,10008,,携带品,点击携带品,,,40000;45000;50701;50702,50703,50704,,5800,,,1
53000,139,,,10008,,携带品,介绍种类,1,,40000;45000,50771,,,5801,,,1
53000,140,,,10008,,携带品,点击一键升级,,,40000;45000;50705;50706,50707,50708,,5802,1,,1
53000,141,,,10008,,携带品,点击一键装备,,,40000;45000;50709;50710,50711,50712,,5803,,,1
53500,142,,,10009,,跟随,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
53500,143,,,10009,,跟随,引导点击跟随,,,40000;45000;50201;50202,50203,50204,,5100,,,1
53500,144,,,10009,,跟随,告知玩家可以试试,1,,40000;45000,50271,,,5101,,,1
54550,148,,,10011,,生蛋,介绍孵蛋格子,1,,40000;45000,53301,,,8600,,,1
54550,149,,,10011,,生蛋,介绍蛋背包,1,,40001;45001,53302,,,8601,,,1
54550,150,,,10011,,生蛋,引导点击小女孩,,,40000;45000;53303;53304,53305,53306,,8602,1,,1
54550,151,,,10011,,生蛋,告知放入两个精灵后可以生蛋,1,,40000;45000,53307,,,8603,,,1
55500,162,,,10015,,快速战斗,介绍快速战斗,1,,40000;45000,,,,6201,,,1
55500,163,,,10015,,快速战斗,点击免费,,,40000;45000;51205;51206,51207,51208,,6202,1,,1
56000,164,,,10016,,精炼,引导玩家点击玩家头像,,,40000;45000;50005;50006,50007,50008,,5001,,,1
56000,165,,,10016,,精炼,引导玩家点击装备,,,40000;45000;51301;51302,51303,51304,,6300,,,1
56000,166,,,10016,,精炼,引导玩家点击精炼也签,,,40001;45001;51305;51306,51307,51308,,6301,,,1
56000,167,,,10016,,精炼,引导玩家点击第一个装备,,,40000;45000;51309;51310,51311,51312,,6302,,,1
56000,168,,,10016,,精炼,引导玩家点击精炼按钮,,,40001;45001;51313;51314,51315,51316,,6303,,,1
56100,169,,,10017,,自动闯关,说自动闯关作用,1,,40000;45000,,,,6900,,,1
56100,170,,,10017,,自动闯关,引导点击自动闯关,,,40000;45000;51901;51902,51903,51904,,6901,1,,1
57500,247,,,10021,,徽章,引导点击主角,,,40000;45000;50005;50006,50007,50008,,5001,,,1
57500,248,,,10021,,徽章,引导点击徽章,,,40000;45000;51801;51802,51803,51804,,6800,,,1
57500,249,,,10021,,徽章,告知徽章需要满级1个才能下一个,1,,40000;45000,,,,6801,,,1
57500,250,,,10021,,徽章,点击升级,,,40000;45000;51805;51806,51807,51808,,6802,1,,1
58000,187,,,10023,,性格洗炼,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
58000,188,,,10023,,性格洗炼,点击性格,,,40000;45000;52301;52302,52303,52304,,7300,,,1
58000,189,,,10023,,性格洗炼,介绍性格效果,1,,40002;45002,52371,,,7301,,,1
58000,190,,,10023,,性格洗炼,点击洗练,,,40000;45000;52305;52306,,,,7302,1,,1
58300,191,,,10024,,个体值洗炼,点击精灵,,,40000;45000;50013;50014,50015,50016,,5003,,,1
58300,192,,,10024,,个体值洗炼,引导玩家点击个体值,,,40000;45000;52401;52402,52403,52404,,7400,,,1
58300,193,,,10024,,个体值洗炼,告知个体值的作用,1,,40000;45000,52471,,,7401,,,1
58300,194,,,10024,,个体值洗炼,告知锁的作用,1,,40000;45000,52472,,,7402,,,1
58300,195,,,10024,,个体值洗炼,引导玩家点击洗练,,,40000;45000;52405;52406,,,,7403,1,,1
