常量名,常量值,注释,原中文
guildSciencecontribution,100,贡献度,公会个人科技贡献度捐献
guildSciencegoldCoun,10,,每日公会科技金币捐献次数
guildScienceCount,100,,每日每个人科技贡献度捐献次数
guildExperienceCount,100,技能经验,个人科技每次捐献获得经验
guildBossCount,3,,每日boss挑战次数
guildBossPrice,30,,每日boss挑战次数购买花费钻石
guildBossAddPrice,30,,每日boss挑战次数花费钻石递增
guildBossTopsCount,3,,公会boss排名奖励个数
guildApplyCount,1,,每日可申请捐献次数
guildSendCount,5,,捐献最大次数
guildMember,20,,公会初始人数
guildItemId,19002,,公会战利品id
rechargeFrist,1147;1|1;100000|3;100000|12151;50|12152;5,道具id;数量|道具id;数量,首充任意价格礼包
HuoZhuanPanPrice,2;99,,转盘1次价格
dailyZhuanPanFreeCount,1,,转盘每日免费次数
HuoChengZhangVip,0,此等级以上包括此等级都可以购买,成长计划可购买VIP等级
HuoChengZhangPrice,2;50000,,成长计划购买花费钻石
HuoBOSSCount,3,,打BOSS活动每日免费次数
HuoBOSSPrice,2;20,,打BOSS活动购买花费钻石
HuoBOSSAddPrice,2;20,,打BOSS活动花费递增钻石
HuoRedElfItems,1150;1|2;9980,（998送红宠那个）,充值送红宠获得道具
HuoSuperElf,1243;1|2;6480,(668超级精灵),超级精灵
inviteReward,2;50,,每日1次邀请分享奖励
inviteCountDay,3,,每日邀请分享次数
inviteTime,30,单位（分钟),邀请奖励间隔
inviteLvLimit,21,被邀请的人通过20关后，邀请的人可以领取奖励,被邀请人关卡限制
attentionReward,2;100,,关注奖励
legendaryDelay,55,单位:分钟,挂机神兽出现间隔
quickBattleTimes,210,,快速战斗经验，金币倍数-挂机经验，金币的倍数
quickBattleLead,210,,快速战斗经主角获得经验倍数
quickBattleLoot,100000;100000;100001;100001;100001;100001;100002;100002,,快速战斗普通lootId;lootId
quickBattlePrice,1500,,快速战斗免费次数无后第1次的价格
quickBattleAddPrice,500,,快速战斗递增价格
fastBattleNumber,1,,每日快速战斗次数
Famtruns,10,,秘境每日免费筛子次数
FamDemtruns,20,,秘境每日钻石筛子次数
FamAdvtrunsPrice,2;400,,秘境钻石筛子价格/次
FamHpRecovery,20,百分比,秘境血瓶恢复HP上限量
FamHpReduce,20,百分比,秘境陷阱扣血百分比
WeatherRef,5,单位:分钟,天气刷新时间
mailCDKeyGift,1,,邮件发送激活码礼包
Systemannouncement,10,单位：分钟,[#00B050]请勿相信任何出售钻石丶送充值丶进群送VIP或者线下交易等欺诈行为。
MeetPVPRobGold,5000,基数,遭遇战抢的金币基数
MeetPVPRobCount,1,复仇中指定的人能被打的次数,对单人掠夺次数
MeetPVPRobPerson,5,最多能指定的复仇人数,总掠夺次数
MeetPVPLootedCount,5,每天最多被掠夺次数,被掠夺次数
ElfLVUp,0,宝可梦等级上限为人物等级+X,宝可梦人物等级上限
PlayerDownExpPre,1,人物离线后的人物经验为X*他当前关卡获得的人物经验（为了让在线玩家获得的经验比离线玩家获得的多）,人物离线经验占比
PlayItemRecoCost,300,使用钻石增加回收经验每次消耗的钻石,回收每次消耗钻石数
PlayItemRecoCostExp,300,使用钻石增加回收经验每次增加的经验值,回收每次消耗钻石加的经验
PlayItemRecoCount,3,每天使用钻石增加回收经验的次数,每天回收消耗钻石次数
WaitElfCount,35,每日0点刷新，不累计，到达上限时不能领取，领取时弹出今日挂机获得宝可梦已达上限X只，上限只算挂机获得的宝可梦，其他途径获得的不计算在内,1天挂机获得宝可梦上限
WaitItemsCount,100,每日0点刷新，不累计，到达上限时不能领取，领取时弹出今日挂机获得已达上限，上限只算挂机获得的，其他途径获得的不计算在内,
ElfRecycleScale,0.6,"返还的资源暂时只有宝可梦经验（等级经验累计和）,蓝水晶（升星累计和）,返还值为对应数值*X",宝可梦回收资源返回比
ElfRecycleScaleLoveItem,12006,,宝可梦回收亲密经验转化道具
MiningCostMax,30,探索力上限,挖矿探索力上限
MiningCostReTime,10,单位（分钟)，这个时间回1点，达到上限不再恢复,挖矿探索力恢复时间
MiningCostPrice,5,每点探索力购买价格,每点探索力所花费钻石
MiningCostBuyCount,10,每次购买探索力的数量,每次购买探索力数量
MiningBombPrice,5,每个炸弹购买价格,每个炸弹所花费钻石
MiningBombCount,10,每次购买炸弹的数量,每次购买炸弹数量
MiningCostBuyMax,2,每日购买探索力最大数,
MiningBombBuyMax,2,每日购买炸弹最大数,
MiningCostTotleMax,200,探索力极限值（超出此值无法购买探索力）,
MiningBombTotleMax,99,炸弹极限数量（超出此值无法购买炸弹）,
bombId,13041,炸弹道具的id,
miningBOSS,10001,挖矿bossid,
miningOccupiedCountLimit,100,挖矿占领个数限制,挖矿占领个数限制
MysteryShopRef,7,神秘商店刷新次数,神秘商店刷新次数
MysteryShopPrice,2;50,单位：钻石,首次刷新价格
MysteryShopPriceAdd,2;100,单位：钻石,刷新价格递增
MysteryShopRefreshCD,8,单位：小时,刷新CD
MysteryShopItemCount,6,,刷新出物品数
Recharge49,490,单位：钻石,购买49元礼包立即获得490钻
sweetItmeId,12601,,奶糖ID
ElfBagMaxCount,90,单位：个,背包最大宝可梦数
ElfBagMaxPage,6,,宝可梦背包最大页数
ElfHelpChangePer,0.05,助攻宝可梦的基本能力按照自身的百分比X转换到上阵的所有宝可梦上，显示的部分需要读此数据，因为可能会调整,助攻宝可梦能力转换比
MeetPVPNumbe,2000,单位：次数,相同敌人只能主动攻击10次
RankVictoryCount,20,,排位赛玩家默认胜点
RankVictoryCountMax,100,,排位赛玩家胜点最大值
RankCountAdd,16,,排位赛玩家胜利或失败时，每次增加或减少的胜点数
RankOpeningHours,10:00,,排位赛每日开启时间
RankClosingHours,22:50,,玩家看到的排位赛每日关闭时间
RankClosingHoursReal,22:59,,排位赛实际每日关闭时间
SweepAward10,10,单位：次数,秘境扫荡10次
EjectionDamageLoss,10,百分比,弹射每次衰减伤害
MaxPoolExp,2000000000,,经验池经验最大值
MaxFurnitureQuality,1.63,,家具最大品相
ArtifactEtrPrice,50,,神器附加属性洗练所花钻石
ArtifactEtrItem,12201;1,,神器附加属性洗练所花道具
FurnitureRecoverItems,13051;200|13052;100,家具回收最低获得,初始家具回收获得道具
FurnitureRecoverPer,0.8,"返还的资源暂时只有道具13051,13052, 返还值为：家具升级消耗的对应数值*X+家具回收最低获得",家具回收返回百分比
ArtifactUpItem,13061;13062,神器强化使用的道具id,神器强化道具
ArtifactStarItem,13066,神器升星使用的道具id,神器升星道具
ArtifactRecoverItems,13066;500,,初始神器回收获得道具
ArtifactRecoverPer,0.9,,神器回收返回百分比
ArtifactItemId,13061,,神器回收强化id
ElfFollowGridUpTime,1,跟随宝可梦格子每次增加亲密度的时间（分钟）,跟随宝可梦增加时间
DDialogPassTime,5,对话触发后过X时间自动进入下一句（S）,关卡对话自动下一句时间
RoundDamageUpPre,2,N回合后伤害增加X倍,回合增加的伤害倍数
DamageUpRound,10,X回合后伤害增加N倍,伤害增加的回合数
battleSpeed2OpenLv,5,战斗速度*2开启的关卡,战斗2倍速开启关卡
dailyQuestOpenLc,5,任务开启人物等级，人物等级》=X开启,任务开启等级
shopOpenLv,10,商店开启人物等级，人物等级》=X开启,商店开启等级
pvpOpenLV,13,（改成人物等级》=X开启）,竞技场开放等级
Rankinglist,24,排行榜51关之前不能点开，如点请通过70关后开启（改成人物等级》=X开启）,排行榜在通过51关后开启
Chatbox,14,（改成人物等级》=X开启）,聊天框在14级后开启
friendOpenLv,25,好友开放人物等级,好友开启等级
autoBattle,20,外面那个自动战斗的解锁等级,自动战斗解锁等级
autoAtk,4,战斗里的自动攻击的解锁关卡,自动攻击解锁关卡
figureLV,28,（改成人物等级》=X开启）,公会开启等级
fastBattleOpenLv,15,快速战斗开启人物等级(人物等级>=X开启),快速战斗开启等级
towerOpenLv,33,地底挑战开启人物等级(人物等级>=X开启),地底挑战开启等级
spDungeonOpenLv,23,特殊副本开启人物等级(人物等级>=X开启),特殊副本开启等级
FamLvLimit,35,（改成人物等级》=X开启）,秘境在第50关后开启
mysteryShopOpenLv,40,神秘商店开启人物等级（人物等级》=X开启）,神秘商店开启等级
playerRoleOpenLv,1,玩家时装开启人物等级，包括我的家（人物等级》=X开启）,人物时装开启等级
MiningOpenLV,34,挖矿开启的人物等级,挖矿开启的人物等级
FurnOpenLv,41,人物等级>=X开放,家园开放等级
artifactMakeOpenLv,53,打造神器页签开放人物等级（人物等级》=X开启，没开启时，页签不能点）,打造神器开放等级
PlayItemRecoOpen,55,道具回收功能开启的玩家等级,道具回收开启等级
legendaryUnlockLevel,16,（改成人物等级》=X开启）,挂机神兽解锁关卡
elfEffortOpenLv,4,精灵努力值开启人物等级（没开启时，不能点击努力值页签）,精灵努力值开启等级
elfIvOpenLv,32,精灵个体值开启人物等级（没开启时，不能点击个体值页签和个体值按钮）,精灵个体值开启等级
elfLoveOpenLv,6,精灵亲密度开启人物等级（没开启时，不能点击亲密度页签）,精灵亲密度开启等级
elfEvolveOpenLv,7,精灵进化开启人物等级（没开启时，不能点击进化页签）,精灵进化开启等级
ArtifactOpenLv,53,人物等级>=X开放(没开启时，不能点击神器按钮）,神器开放等级
ArtifactLookOpenLv,53,搜神开放人物等级(没开启时，不能点击搜神页签）,搜神开放人物等级
elfStarOpenLv,24,精灵升星开启人物等级（没开启时，不能点击升星按钮）,精灵升星开启等级
elfBringOpenLv,16,精灵携带品开启人物等级（没开启时，不能点击携带品按钮）,携带品开启等级
teamUnlockMission,0;0;0;16;25;31,（改成人物等级》=X开启）,队伍解锁关卡
elfGridOpenLv,33,布阵开启人物等级,布阵开启等级
elfXingGeOpenLv,32,精灵性格开启人物等级（人物》=X开启，开启后可以点开按钮）,宝可梦性格开启等级
elfRecoverOpenLv,8,精灵放生开启人物等级（人物》=X开启，开启后可以点击放生按钮）,精灵放生开启等级
Ornaments,35,改成人物等级》=X开启）,饰品开启等级
Equipment,26,这个等级是装备按钮点击的人物等级，也是装备精炼的开启人物等级（改成装备精炼开启等级，人物等级》=X开启）,装备精炼开放等级
equipRefineOpenLv,34,装备强化开启人物等级（人物等级》=X开启）,装备强化开启等级
equipDevilOpenLv,44,装备附魔开启人物等级（人物等级》=X开启）,装备附魔开启等级
badgeOpenLv,31,人物徽章开启人物等级,徽章开启等级
eggOpenDgLv,20,生蛋开启关卡（关卡>数字开启）,生蛋开启关卡
battleSpeed1Num,0.86,1是正常，0.5是2倍速度,战斗初始速度速率
battleSpeed2Num,0.61,1是正常，0.5是2倍速度,战斗2倍速度速率
battleSpeed3Num,0.4,1是正常，0.5是2倍速度,战斗3倍速度速率
battleSubawayOpenLv,18,主角等级,战斗地铁开启等级
battleSubawayTimes,15,,战斗地铁初始次数
battleSubawayRecoverTime,60,单位（分钟恢复1点）,战斗地铁每点体力恢复时间
battleSubawayBuyEnergy,15,,战斗地铁单次购买恢复体力数
battleSubawayFightTime,5,单位：秒,战斗地铁单次战斗动画播放时间
battleSubawayPrice,50|80|120|150,单位：钻石,战斗地铁购买价格
DailyResetTime,0:00:00,注意:没有24:00:00,每日重置时间
stageToGrowUpPlan,40,引导充值_通过指定关卡弹成长基金,
sympathyGiftItemID,2;200|12152;5|12151;100|3;1000000|1;1000000,失败后弹窗赠送的礼包,慰问礼包
arenaWinCountToPay,3,jjc3连胜弹月卡/终生卡促销,
vipexperience,1,每日登陆赠送vip经验1,
GYMExpTotal,30000,"馆主基础名望收益（总收益=这个值x（1+对应道馆名望经验收益加成），馆主更换后给原来馆主发邮件,npc不发）",
GYMGoldTotal,3000,馆主基础道馆币收益（总收益=这个值x（1+对应道馆道馆币收益加成），馆主更换后给原来馆主发邮件，npc不发）,
GYMOpenTime,10:00:00,道馆开启时间,
GYMClosingHours,22:50:00,,玩家看到的排位赛每日关闭时间
GYMClosingHoursReal,22:59:00,,排位赛实际每日关闭时间
GYMcureReduce,0.1,HP回复类技能衰减系数（回复量x这个值，大于1则等于1，小于0则等于0,
GYMCoinId,10040,道馆币id,
GYMWOFCost,500,道馆转盘消耗道馆币,
GYMResetCost,160|210|270|350,,
testRewardId,5014,,
requrePoint,50,宝可梦生蛋消耗友情点,
dIVDiamondRefreshCount,5,每日个体值钻石洗练基础次数,
pvpRankFrom1,0.67,竞技场排行匹配开始参数1,pvpRankFrom1
pvpRankTo1,0.89,竞技场排行匹配结束参数1,pvpRankTo1
pvpRankFrom2,0.9,竞技场排行匹配开始参数2,pvpRankFrom2
pvpRankTo2,1.2,竞技场排行匹配结束参数2,pvpRankTo2
pvpFightFrom1,0.1,竞技场战力匹配开始参数1,pvpFightFrom1
pvpFightTo1,0.6,竞技场战力匹配结束参数1,pvpFightTo1
pvpFightFrom2,0.6,竞技场战力匹配开始参数2,pvpFightFrom2
pvpFightTo2,1.2,竞技场战力匹配结束参数2,pvpFightTo2
calcPlayerExpPer,180,人物经验计算间隔(unit:s),人物经验计算间隔
diceNameCount,10,随机名随机次数,随机名随机次数
DailyDaimChGold,60,每日钻石点金次数,
DailyDaimChBasics,30000,钻石点金基础金币,
PtalentPerLv,3,每升一级增加的主角天赋点数,
PtalentCoeA,3,增加物攻（特攻、双防）值= [A*主角等级/（主角等级+B）+ C]*该项天赋点数,主角天赋系数A
PtalentCoeB,100,,主角天赋系数B
PtalentCoeC,2,,主角天赋系数C
PtalentCoeD,6,增加生命值= [D*主角等级/（主角等级+B）+ C]*该项天赋点数,主角天赋系数D
PlayerNameChangeDia,9999,玩家改名1次花费的钻石,改名花费钻石
SpiritRebirth,40,精灵重生开启人物等级（人物》=X开启，开启后可以点击放生按钮）,精灵重生开启等级
RebirthLv,40,精灵重生精灵等级（精灵》=X开启，开启后可以使用重生功能）,精灵重生宠物等级要求
RebirthGoldPercent,0.7,精灵金币重生获取的资源比例,精灵重生金币返还资源比例
RebirthGoldPerStar,1000000,精灵重生价格（单位：金币每星级）,重生价格（金币）
RebirthDiamondPerStar,100,精灵重生价格（单位：钻每星级）,重生价格（钻石）
Rebirthtime,1,精灵最大重生次数,重生次数
debrisStarLimit,6,重生万能碎片星数限制,重生万能碎片星数限制
purpleDebrisId,10086,紫色万能碎片,紫色万能碎片
orangeDebrisId,10087,橙色万能碎片,橙色万能碎片
redDebrisId,10088,红色万能碎片,红色万能碎片
rebornAtkStone,12221,物攻努力值返还道具ID,物攻努力值返还道具ID
rebornDefStone,12231,物防努力值返还道具ID,物防努力值返还道具ID
rebornHpStone,12246,血量努力值返还道具ID,血量努力值返还道具ID
rebornSpAtkStone,12226,特攻努力值返还道具ID,特攻努力值返还道具ID
rebornSpDefStone,12236,特防努力值返还道具ID,特防努力值返还道具ID
rebornSpeedStone,12241,速度努力值返还道具ID,速度努力值返还道具ID
lowEvolveCardId,12151,低阶进化卡,低阶进化卡
medEvolveCardId,12152,中阶进化卡,中阶进化卡
higEvolveCardId,12153,高阶进化卡,高阶进化卡
stone1,12101,火之石,火之石
stone2,12102,水之石,水之石
stone3,12103,草之石,草之石
stone4,12104,妖之石,妖之石
stone5,12105,恶之石,恶之石
stone6,12106,龙之石,龙之石
stone7,12107,冰之石,冰之石
stone8,12108,鬼之石,鬼之石
stone9,12109,普通石,普通石
megaStoneId,12111,超进化石,超进化石
stone10,12121,电之石,电之石
stone11,12122,虫之石,虫之石
stone12,12123,飞之石,飞之石
stone13,12124,地之石,地之石
stone14,12125,岩之石,岩之石
stone15,12126,格斗石,格斗石
stone16,12127,超能石,超能石
stone17,12128,钢之石,钢之石
stone18,12129,毒之石,毒之石
spcPokenListForGMHelp,1134|1135|1136|1196|1197|1470|1471|1991,橙伊布列表,
spcStage,12,特殊处理的关卡,
friendReduceLv,10,正整数，减法处理,好友推荐等级下
friendAddLv,10,正整数，加法处理,好友推荐等级上
friendActive,3,正整数，unit:day,好友推荐多少天内活跃
friendCommendCD,15,正整数，unit:s,好友推荐CD
friendCommendCount,10,,好友推荐个数限制
talentAskLevel,20,可进入天赋界面的宝可梦等级要求，同时也是角色等级要求（>0的数字为等级，负数或者0为无要求）,
resetTalentCost,2;200,重置天赋价格（道具ID；道具数量）,
Universal1,1;50000,兑换1次价格,万能铃铛兑换1次价格
Universal10,1;500000,兑换10次价格,万能铃铛兑换10次价格
UniversalBellId,10089,万能铃铛ID,万能铃铛ID
GoldForPerEquipExp,1,每点装备经验消耗金币,每点装备经验消耗金币
SpDunRecoverTime,10,每个特殊副本回复1次次数需要的时间（单位：分）,特殊副本回复次数时间
SpDunRecoTimeEnd,1,"玩家当前有X次特殊副本回复次数时，回复计时停止，直到当前拥有回复次数<已有回复次数上限后，再计时回复 例：vip回复上限是4，X是1，玩家当前拥有的回复次数<=X,and当前回复总次数<回复上限，回复计时，否则计时停止",已有回复次数上限
OpenPit,60,当采集人数大于60%开启新矿坑,
ClosePit,25,当采集人数小于25%关闭新矿坑,
PitRefresh,10,矿坑初始可刷新次数,
PitRefreshPrice,30,矿坑购买刷新次数价格,
PokemonQuality,10,宝可梦最大品质ID,
ZhanKuangZhanLevelLimit,32,占矿战开放等级,
MapSpeedCost,200,地图加速每30秒消耗钻石数,
 lifeOdd1,3,挂机抓宠概率提升血量影响权重（对应公式中变量A）,
 lifeOdd2,10,挂机抓宠概率提升血量影响范围（对应公式中变量B）,
Proportion,0.3,资源战掠夺比例,
LevelAttribute,0.7,等级属性比例,
OneRewardBeginning,500,1元礼包初始奖励,
OneRewardSpace,500,1元礼包奖励增长,
OneRewardEnding,5000,1元礼包奖励上限,
elfTanletOpenLv,20,天赋开启人物等级（人物》=X开启，开启后可以点击放生按钮）,
Assistant,11,助战解锁关卡,
AvailableID,13001|13002|13003|13005|13006|13007,捕捉界面可用精灵球ID,
treasureTeamMax,3,资源战队列最大上限数,
treasureUnlockTeamSpend,0&2;300&2;500,"&分隔队伍,;|分隔道具，有道具则填道具，无道具填0",
playerTreasureWait,3600,资源战战斗冷却时间（秒）,
 loadingTime ,7000,黑屏读条时间（秒）,
RefreshShopTime,0|6|8|10|12|14|16|18|20|22,碎片商店自动刷新时间,
TreasureProtection,7200,资源战保护时间（秒）,
Costtenmins,2;5,资源战队伍冷却清除消耗（每十分钟，不足10向上取整）,
Awaitspirit,8,初始挂机捕捉限制,
AwaitItme,8,初始挂机道具限制,
Timelimit,1440,离线挂机时间限制（分钟）,
AssistantCD,60,协助战斗冷却时间（分钟）,
autoSweepTowerLever,60,扫荡地底挑战等级,
MysteryShopOPEN,30|60,神秘商店开启等级（分段）,
MysteryShopTIME,2880,神秘商店持续时间（分钟）,
pieceWish,1;5|2;3|3;2,碎片祈愿个数,
GMImage,5030,聊天窗GM形象ID,
PvpHp,2.5,pvp类战斗HP倍数,
PmCenterTaskRefresh,12,精灵中心捕捉任务刷新时间,
RefreshShopCost,0;400|20;600|50;1000,碎片商店刷新次数与钻石消耗关系（大于该次数；消耗数量）,
DonateLimit,4;2;1,公会碎片捐献数量(紫;橙;神),
DonateReward,30;60;150,公会碎片捐献公会币奖励(紫;橙;神),
ReplenishSignCost,100,补签消耗(每多一次增加100，上限500),
ReplenishSignLimit,5,补签次数限制,
VipLvAfterRecharge,17,充值后的Vip等级,
MonthlyCardReward,2;15000,月卡立即赠送的钻石,
LifeTimeCardReward,2;50000,终身卡立即赠送的钻石,
