关联关卡ID,注释,背景图资源名,"触发时机(1,进入关卡时2,击败最后一波怪物进入结算前,3.击败最后一波怪物结算面板后）",对话顺序,"左右侧(1为左侧,2为右侧)(对话框也要对应改变）",是否是玩家名(1.是）,半身像资源名（如果是玩家的话，男;女）,角色名（如果是玩家的话，男;女）,对话内容（需要用RGBA控制颜色）,显示宝可梦id
33,,,1,1,2,,7,,"华蓝道馆的话在华蓝市中心,非常好找,都忘记介绍了，我是旅行训练师凯恩",
33,,,1,2,1,1,,,"好的凯恩,很高兴认识你",
33,,,1,3,2,,6,,下次有机会再一起战斗吧,
34,,,1,1,1,1,,,这就是华蓝市吗？和传闻中一样繁荣呢,
34,,,1,2,2,,6,,嗯，街上到处都是训练师和精灵,
35,,,1,1,1,1,,,"凯恩说道馆在城市中心,看起来似乎是那个最高的建筑，确实很好找",
35,,,1,2,2,,6,,嗯，老规矩，猜拳，赢的先挑战,
35,,1,3,1,1,1,,,"[#FF0000]巴大蝴[#000000],下个目标就是你！",1012
36,,,1,1,2,,6,,"刚才真的好危险,差点就输了呢",
36,,,1,2,1,1,,,嗯，华蓝道馆果然名不虚传，该我上了,
37,,,1,1,1,1,,,"挑战成功,下个目标是哪？",
37,,,1,2,2,,6,,枯叶市,
38,,,1,1,2,,5,,嗯，华蓝道馆都赢了么，看来X的评价也没那么不靠谱嘛,
39,,,1,1,2,,2,,那个是银河队的Y吧,
39,,,1,2,1,,3,,没错，他来我们区干嘛,
40,,,1,1,2,,2,,"喂,银河队的Y,这里是我们火箭队的辖区,麻烦快点离开",
40,,,1,2,1,,5,,我如果不走呢,
40,,,1,3,2,,3,,那我们只好动手请你走了,
40,,1,3,1,1,1,,,"[#FF0000]袋兽[#000000],下个目标就是你！",1115
41,,,1,1,1,1,,,那边似乎有什么人在战斗呢,
41,,,1,2,2,,6,,"额,好像是，过去瞧瞧",
42,,,1,1,1,1,,,居然是火箭队,
42,,,1,2,2,,6,,嗯对手好像是那个叫Y的,
43,,,1,1,1,1,,,怎么办？要不要出手？,
43,,,1,2,2,,6,,"两边都是坏蛋,看着就好",
43,,,1,3,1,1,,,有道理,
44,,,1,1,1,1,,,"住手,混蛋，自己人都下杀手吗？",
44,,,1,2,2,,5,,请不要把我和这两个白痴放一起讨论，谢谢,
44,,,1,3,1,1,,,……,
44,,,1,4,2,,6,,……,
45,,,1,1,1,1,,,不管怎么说我也不会让你滥杀无辜的,
45,,,1,2,2,,6,,额，这个，它们，可能，也许，大概，不那么无辜？,
45,,,1,3,1,1,,,"管不了那么多了,难道看着他们死？",
45,,,1,4,2,,6,,也是，既然如此上吧,
45,,1,3,1,1,1,,,"[#FF0000]大钢蛇[#000000],下个目标就是你！",1208
46,,,1,1,2,,5,,不错的实力，你们通过了我的考验，加入吧！,
46,,,1,2,1,1,,,哈？,
47,,,1,1,2,,5,,加入或死亡，选择吧！,
47,,,1,2,1,1,,,我们选择死亡,
47,,,1,3,2,,6,,如果你办得到的话,
48,,,1,1,2,,5,,真是让人恼火的小鬼,
48,,,1,2,1,1,,,这次我们可不会落荒而逃了,
48,,,1,3,2,,6,,也让你看看我们的成长吧,
49,,,1,1,1,,4,,回来了，那两个小鬼怎么样,
49,,,1,2,2,,5,,不错，我承认他们对计划可能有点帮助,
49,,,1,3,1,,4,,是不是让你想起了三年前的自己？,
49,,,1,4,2,,5,,哼,
50,,,2,1,1,,5,,"三年前啊,真是段不愉快的回忆",
50,,1,3,1,1,1,,,"[#FF0000]胡地[#000000],下个目标就是你！",1065
51,,,1,1,1,1,,,"枯叶市,到达！",
51,,,1,2,2,,6,,不错，我记得哥哥们说道馆在市场的右边,
52,,,1,1,1,1,,,"呼,刚刚的战斗真是惊险,昆虫系宝贝居然有吸血效果",
52,,,1,2,2,,6,,嗯，是那种适合打持久战的类型,
53,,,1,1,1,1,,,刚才你挑战的时候用的精灵似乎快进化了？,
53,,,1,2,2,,6,,是的，是它自己要求进行战斗的，我相信它的选择,
54,,,1,1,1,1,,,"枯叶徽章也到手了,下个目标是哪里？",
54,,,1,2,2,,6,,紫苑镇,
54,,,1,3,1,1,,,出发！目标紫苑镇,
55,,,1,1,1,,2,,可恶的Y，居然那么强,
55,,,1,2,2,,3,,更可恶的是居然被两个小鬼给救了,
55,,1,3,1,1,1,,,"[#FF0000]九尾[#000000],下个目标就是你！",1038
56,,,1,1,1,1,,,你有没有感觉什么人跟着我们,
56,,,1,2,2,,6,,没有，完全没感觉,
56,,,1,3,1,1,,,可能是我多心了吧,
57,,,1,1,1,,2,,"好危险,差点被发现了",
57,,,1,2,2,,3,,是啊，那小鬼怎么那么敏锐,
57,,,2,1,1,1,,,奇怪，总感觉附近还有其他人,
58,,,1,1,1,1,,,"站住，去吧，我的精灵,拦住他们",
58,,,1,2,2,,6,,"还真有人,上吧，我的精灵",
59,,,1,1,1,1,,,所以你们跟踪我们的理由是？,
59,,,2,1,2,,3,,主要想感谢下你们救了我们,
59,,,2,2,1,,2,,闭嘴，虽然你们帮了我们个小忙，但是...但...,
59,,,2,3,1,,2,,总之...我们会还的,
60,,,1,1,1,1,,,看来他们两个也不那么坏嘛,
60,,,1,2,2,,6,,如果邪恶组织都是这种人就好了,
60,,,1,3,1,1,,,"同意,不过我觉得他们只是个例，看那个Y",
60,,1,3,1,1,1,,,"[#FF0000]凯罗斯[#000000],下个目标就是你！",1127
61,,,1,1,1,1,,,紫苑镇似乎是个小镇啊,
61,,,1,2,2,,6,,"嗯,不过这里有不少特产的精灵,所以训练师并不少",
62,,,1,1,1,1,,,"赢了的话就有5个徽章了,达到最低参赛标准了",
62,,,1,2,2,,6,,"嗯,一路走来，真是成长了不少",
62,,,1,3,1,1,,,当初那个“小茂大人”可真不招人喜欢,
62,,,1,4,2,,6,,请务必忘记那件事,
63,,,1,1,1,1,,,"上吧,紫苑徽章我来了",
64,,,1,1,2,,6,,恭喜挑战成功，接下是我的表演时间,
64,,,1,2,1,1,,,加油!,
65,,,1,1,1,1,,,"五个徽章了,总算有资格参加精灵大赛了",
65,,,1,2,2,,6,,嗯，不过如果能集齐地区所有徽章可以免除地区赛直接晋级,
65,,1,3,1,1,1,,,"[#FF0000]胖可丁[#000000],下个目标就是你！",1040
66,,,1,1,1,1,,,地区一共多少徽章？,
66,,,1,2,2,,6,,我们所处的关都地区一共十个道馆,
67,,,1,1,1,1,,,"我们有五个徽章,算上真新镇是我们的本镇会馆",
67,,,1,2,2,,6,,"是的,我们还需要4个徽章就能免除地区赛直接晋级",
68,,,1,1,1,1,,,"时间还早,我们应该可以完成地区徽章收集",
68,,,1,2,2,,6,,嗯，不过在此之前我先要好好休息调整几天,
68,,,1,3,1,1,,,我也是，感觉精灵们也有许多话要对我说,
69,,,1,1,2,,4,,BOSS，他们已经取得参赛资格了,
69,,,1,2,1,,0,,"不错,按照这速度很快我们就能见面了",
70,,,1,1,1,,4,,Y，他们已经取得参赛资格了哦,
70,,,1,2,2,,5,,"切,那么点小事都搞不定的话还能有什么用",
70,,1,3,1,1,1,,,"[#FF0000]阿柏怪[#000000],下个目标就是你！",1024
75,,1,3,1,1,1,,,"[#FF0000]急冻鸟[#000000],下个目标就是你！",1144
80,,1,3,1,1,1,,,"[#FF0000]穿山王[#000000],下个目标就是你！",1028
85,,1,3,1,1,1,,,"[#FF0000]风速狗[#000000],下个目标就是你！",1059
90,,1,3,1,1,1,,,"[#FF0000]椰蛋树[#000000],下个目标就是你！",1103
95,,1,3,1,1,1,,,"[#FF0000]闪电鸟[#000000],下个目标就是你！",1145
100,,1,3,1,1,1,,,"[#FF0000]火焰鸟[#000000],下个目标就是你！",1146
105,,1,3,1,1,1,,,"[#FF0000]巨沼怪[#000000],下个目标就是你！",1260
110,,1,3,1,1,1,,,"[#FF0000]电龙[#000000],下个目标就是你！",1181
115,,1,3,1,1,1,,,"[#FF0000]喷火龙[#000000],下个目标就是你！",1006
120,,1,3,1,1,1,,,"[#FF0000]乘龙[#000000],下个目标就是你！",1131
125,,1,3,1,1,1,,,"[#FF0000]黑鲁加[#000000],下个目标就是你！",1229
130,,1,3,1,1,1,,,"[#FF0000]龙卷云[#000000],下个目标就是你！",1641
134,,1,3,1,1,1,,,"[#FF0000]龙卷云[#000000],下个目标就是你！",1641
