当前层数（每次重置时从1开始）0层是进入条件层，只用打一次,下层推荐战力,过关点数ID,过关点数,奖励预览,掉落(lootID;lootID),体力消耗,阵型,关卡id（引用怪物能力表）,集字活动掉落(普通lootid;数量|lootid;数量）,中秋集字掉落(普通lootid;数量|lootid;数量）
31,912840,19001,50,12103;13033;12151;12152,21,,30,200031,10010003;1,10010007;1
32,971079,19001,50,12104;13034;12151;12152,31,,130,200032,10010003;1,10010007;1
33,1029318,19001,50,12105;13034;12151;12152,41,,230,200033,10010003;1,10010007;1
34,1094844,19001,50,12106;13035;12151;12152,51,,330,200034,10010003;1,10010007;1
35,1222026,19001,50,12107;13035;12151;12152,61,,430,200035,10010003;1,10010007;1
36,1298706,19001,55,12101;13031;12151;12152,1,,35,200036,10010003;1,10010007;1
37,1375386,19001,55,12102;13032;12151;12152,11,,135,200037,10010003;1,10010007;1
38,1459734,19001,55,12103;13033;12151;12152,21,,235,200038,10010003;1,10010007;1
39,1723791,19001,55,12104;13034;12151;12152,31,,335,200039,10010003;1,10010007;1
40,1833441,19001,55,12105;13034;12151;12152,41,,435,200040,10010003;1,10010007;1
41,2058933,19001,60,12106;13035;12151;12152,51,,40,200041,10010003;1,10010007;1
42,2078046,19001,60,12107;13035;12151;12152,61,,140,200042,10010003;1,10010007;1
43,2365017,19001,60,12101;13031;12151;12152,1,,240,200043,10010003;1,10010007;1
44,2589015,19001,60,12102;13032;12151;12152,11,,340,200044,10010003;1,10010007;1
45,2773044,19001,60,12103;13033;12151;12152,21,,440,200045,10010003;1,10010007;1
46,2947872,19001,65,12104;13034;12151;12152,31,,40,200046,10010003;1,10010007;1
47,3421270,19001,65,12105;13034;12151;12152,41,,140,200047,10010003;1,10010007;1
48,3836595,19001,65,12106;13035;12151;12152,51,,240,200048,10010003;1,10010007;1
49,4119354,19001,65,12107;13035;12151;12152,61,,340,200049,10010003;1,10010007;1
50,4381167,19001,65,12101;13031;12151;12152,1,,440,200050,10010003;1,10010007;1
51,4600225,19001,70,12102;13032;12151;12152,11,,40,200051,10010003;1,10010007;1
52,4830236,19001,70,12103;13033;12151;12152,21,,140,200052,10010003;1,10010007;1
53,5071748,19001,70,12104;13034;12151;12152,31,,240,200053,10010003;1,10010007;1
54,5325335,19001,70,12105;13034;12151;12152,41,,340,200054,10010003;1,10010007;1
55,5591602,19001,70,12106;13035;12151;12152,51,,440,200055,10010003;1,10010007;1
56,5871182,19001,75,12107;13035;12151;12152,61,,40,200056,10010003;1,10010007;1
57,6164741,19001,75,12101;13031;12151;12152,1,,140,200057,10010003;1,10010007;1
58,6472978,19001,75,12102;13032;12151;12152,11,,240,200058,10010003;1,10010007;1
59,6796627,19001,75,12103;13033;12151;12152,21,,340,200059,10010003;1,10010007;1
60,7136458,19001,75,12104;13034;12151;12152,31,,440,200060,10010003;1,10010007;1
61,7493281,19001,80,12105;13034;12151;12152,41,,40,200061,10010003;1,10010007;1
62,7867945,19001,80,12106;13035;12151;12152,51,,140,200062,10010003;1,10010007;1
63,8261342,19001,80,12107;13035;12151;12152,61,,240,200063,10010003;1,10010007;1
64,8674409,19001,80,12101;13031;12151;12152,1,,340,200064,10010003;1,10010007;1
65,9108129,19001,80,12102;13032;12151;12152,11,,440,200065,10010003;1,10010007;1
66,9563535,19001,85,12103;13033;12151;12152,21,,40,200066,10010003;1,10010007;1
67,10041712,19001,85,12104;13034;12151;12152,31,,140,200067,10010003;1,10010007;1
68,10543798,19001,85,12105;13034;12151;12152,41,,240,200068,10010003;1,10010007;1
69,11070988,19001,85,12106;13035;12151;12152,51,,340,200069,10010003;1,10010007;1
70,11624537,19001,85,12107;13035;12151;12152,61,,440,200070,10010003;1,10010007;1
71,12205764,19001,90,12101;13031;12151;12152,1,,40,200071,10010003;1,10010007;1
72,12816052,19001,90,12102;13032;12151;12152,11,,140,200072,10010003;1,10010007;1
73,13456855,19001,90,12103;13033;12151;12152,21,,240,200073,10010003;1,10010007;1
74,14129698,19001,90,12104;13034;12151;12152,31,,340,200074,10010003;1,10010007;1
75,14836183,19001,90,12105;13034;12151;12152,41,,440,200075,10010003;1,10010007;1
76,15577992,19001,95,12106;13035;12151;12152,51,,40,200076,10010003;1,10010007;1
77,16356892,19001,95,12107;13035;12151;12152,61,,140,200077,10010003;1,10010007;1
78,17174737,19001,95,12101;13031;12151;12152,1,,40,200078,10010003;1,10010007;1
79,18033474,19001,95,12102;13032;12151;12152,11,,140,200079,10010003;1,10010007;1
80,18935148,19001,95,12103;13033;12151;12152,21,,240,200080,10010003;1,10010007;1
81,19881905,19001,100,12104;13034;12151;12152,31,,340,200081,10010003;1,10010007;1
82,20876000,19001,100,12105;13034;12151;12152,41,,440,200082,10010003;1,10010007;1
83,21919800,19001,100,12106;13035;12151;12152,51,,40,200083,10010003;1,10010007;1
84,23015790,19001,100,12107;13035;12151;12152,61,,140,200084,10010003;1,10010007;1
85,24166580,19001,100,12101;13031;12151;12152,1,,40,200085,10010003;1,10010007;1
86,25374909,19001,110,12102;13032;12151;12152,11,,140,200086,10010003;1,10010007;1
87,26643654,19001,110,12103;13033;12151;12152,21,,240,200087,10010003;1,10010007;1
88,27975837,19001,110,12104;13034;12151;12152,31,,340,200088,10010003;1,10010007;1
89,29374629,19001,110,12105;13034;12151;12152,41,,440,200089,10010003;1,10010007;1
90,30843360,19001,110,12106;13035;12151;12152,51,,40,200090,10010003;1,10010007;1
91,32385528,19001,150,12107;13035;12151;12152,61,,140,200091,10010003;1,10010007;1
