预览位置（1.钻石扭蛋，2.扭蛋十抽，3.工会商店，4.竞技商店，5宝可梦商店，6.秒杀专场商店）,"所在商店类型(1.学习机 2.公会商店 3.竞技场商店 4.宠物商店 5.特惠商店，6大赛商店，7道馆商店，8专场秒杀,9携带品）",购买次数限制(不填没限制）,"购买条件限制类型(不填没有,1:道馆声望)",购买条件限制数值,重置周期（天）不填为系统不自动刷新,起始时间,结束时间,商品id（道具id;数量）,购买价格（道具id；数量）,走马灯标记,周期标记(1为7天，2为30天，3为五折，4为七折，5为1折 不填为无),是否显示（0/null=显示，1=不显示）
number,number,number,number,number,number,string,string,string,string,number,number,number
id,type,countLimit,buyLimitType,buyLimitNumber,refreshCycle,startTime,dedTime,goods,price,notify,cycleNotify,display
45,1,1,,,,,,801400;1,10309;50,,,
46,1,1,,,,,,801426;1,10308;10,,,
47,1,1,,,,,,801427;1,10308;20,,,
48,1,1,,,,,,801428;1,10308;50,,,
49,1,1,,,,,,801429;1,10309;20,,,
50,1,1,,,,,,801430;1,10309;50,,,
51,1,1,,,,,,801456;1,10308;10,,,
52,1,1,,,,,,801457;1,10308;20,,,
53,1,1,,,,,,801458;1,10308;50,,,
54,1,1,,,,,,801459;1,10309;20,,,
55,1,1,,,,,,801460;1,10309;50,,,
56,1,1,,,,,,801496;1,10308;10,,,
57,1,1,,,,,,801497;1,10308;20,,,
58,1,1,,,,,,801498;1,10308;50,,,
59,1,1,,,,,,801499;1,10309;20,,,
60,1,1,,,,,,801500;1,10309;50,,,
61,1,1,,,,,,802046;1,10308;10,,,
62,1,1,,,,,,802047;1,10308;20,,,
63,1,1,,,,,,802048;1,10308;50,,,
64,1,1,,,,,,802049;1,10309;20,,,
65,1,1,,,,,,802050;1,10309;50,,,
66,1,1,,,,,,802096;1,10308;10,,,
67,1,1,,,,,,802097;1,10308;20,,,
68,1,1,,,,,,802098;1,10308;50,,,
69,1,1,,,,,,802099;1,10309;20,,,
70,1,1,,,,,,802100;1,10309;50,,,
71,1,1,,,,,,802146;1,10308;10,,,
72,1,1,,,,,,802147;1,10308;20,,,
73,1,1,,,,,,802148;1,10308;50,,,
74,1,1,,,,,,802149;1,10309;20,,,
75,1,1,,,,,,802150;1,10309;50,,,
76,1,1,,,,,,802196;1,10308;10,,,
77,1,1,,,,,,802197;1,10308;20,,,
78,1,1,,,,,,802198;1,10308;50,,,
79,1,1,,,,,,802199;1,10309;20,,,
80,1,1,,,,,,802200;1,10309;50,,,
81,1,1,,,,,,802246;1,10308;10,,,
82,1,1,,,,,,802247;1,10308;20,,,
83,1,1,,,,,,802248;1,10308;50,,,
84,1,1,,,,,,802249;1,10309;20,,,
85,1,1,,,,,,802250;1,10309;50,,,
86,1,1,,,,,,802296;1,10308;10,,,
87,1,1,,,,,,802297;1,10308;20,,,
88,1,1,,,,,,802298;1,10308;50,,,
89,1,1,,,,,,802299;1,10309;20,,,
90,1,1,,,,,,802300;1,10309;50,,,
91,1,1,,,,,,802326;1,10308;10,,,
92,1,1,,,,,,802327;1,10308;20,,,
93,1,1,,,,,,802328;1,10308;50,,,
94,1,1,,,,,,802329;1,10309;20,,,
95,1,1,,,,,,802330;1,10309;50,,,
96,1,1,,,,,,802356;1,10308;10,,,
97,1,1,,,,,,802357;1,10308;20,,,
98,1,1,,,,,,802358;1,10308;50,,,
99,1,1,,,,,,802359;1,10309;20,,,
100,1,1,,,,,,802360;1,10309;50,,,
101,1,1,,,,,,802396;1,10308;10,,,
102,1,1,,,,,,802397;1,10308;20,,,
103,1,1,,,,,,802398;1,10308;50,,,
104,1,1,,,,,,802399;1,10309;20,,,
105,1,1,,,,,,802400;1,10309;50,,,
106,1,1,,,,,,802426;1,10308;10,,,
107,1,1,,,,,,802427;1,10308;20,,,
108,1,1,,,,,,802428;1,10308;50,,,
109,1,1,,,,,,802429;1,10309;20,,,
110,1,1,,,,,,802430;1,10309;50,,,
111,1,1,,,,,,802456;1,10308;10,,,
112,1,1,,,,,,802457;1,10308;20,,,
113,1,1,,,,,,802458;1,10308;50,,,
114,1,1,,,,,,802459;1,10309;20,,,
115,1,1,,,,,,802460;1,10309;50,,,
116,1,1,,,,,,802496;1,10308;10,,,
117,1,1,,,,,,802497;1,10308;20,,,
118,1,1,,,,,,802498;1,10308;50,,,
119,1,1,,,,,,802499;1,10309;20,,,
120,1,1,,,,,,802500;1,10309;50,,,
121,1,1,,,,,,803046;1,10308;10,,,
122,1,1,,,,,,803047;1,10308;20,,,
123,1,1,,,,,,803048;1,10308;50,,,
124,1,1,,,,,,803049;1,10309;20,,,
125,1,1,,,,,,803050;1,10309;50,,,
126,1,1,,,,,,803096;1,10308;10,,,
127,1,1,,,,,,803097;1,10308;20,,,
128,1,1,,,,,,803098;1,10308;50,,,
129,1,1,,,,,,803099;1,10309;20,,,
130,1,1,,,,,,803100;1,10309;50,,,
131,1,1,,,,,,803146;1,10308;10,,,
132,1,1,,,,,,803147;1,10308;20,,,
133,1,1,,,,,,803148;1,10308;50,,,
134,1,1,,,,,,803149;1,10309;20,,,
135,1,1,,,,,,803150;1,10309;50,,,
136,1,1,,,,,,803196;1,10308;10,,,
137,1,1,,,,,,803197;1,10308;20,,,
138,1,1,,,,,,803198;1,10308;50,,,
139,1,1,,,,,,803199;1,10309;20,,,
140,1,1,,,,,,803200;1,10309;50,,,
141,1,1,,,,,,803246;1,10308;10,,,
142,1,1,,,,,,803247;1,10308;20,,,
143,1,1,,,,,,803248;1,10308;50,,,
144,1,1,,,,,,803249;1,10309;20,,,
145,1,1,,,,,,803250;1,10309;50,,,
146,1,1,,,,,,803296;1,10308;10,,,
147,1,1,,,,,,803297;1,10308;20,,,
148,1,1,,,,,,803298;1,10308;50,,,
149,1,1,,,,,,803299;1,10309;20,,,
150,1,1,,,,,,803300;1,10309;50,,,
151,1,1,,,,,,803326;1,10308;10,,,
152,1,1,,,,,,803327;1,10308;20,,,
153,1,1,,,,,,803328;1,10308;50,,,
154,1,1,,,,,,803329;1,10309;20,,,
155,1,1,,,,,,803330;1,10309;50,,,
156,1,1,,,,,,803356;1,10308;10,,,
157,1,1,,,,,,803357;1,10308;20,,,
158,1,1,,,,,,803358;1,10308;50,,,
159,1,1,,,,,,803359;1,10309;20,,,
160,1,1,,,,,,803360;1,10309;50,,,
161,1,1,,,,,,803396;1,10308;10,,,
162,1,1,,,,,,803397;1,10308;20,,,
163,1,1,,,,,,803398;1,10308;50,,,
164,1,1,,,,,,803399;1,10309;20,,,
165,1,1,,,,,,803400;1,10309;50,,,
166,1,1,,,,,,803426;1,10308;10,,,
167,1,1,,,,,,803427;1,10308;20,,,
168,1,1,,,,,,803428;1,10308;50,,,
169,1,1,,,,,,803429;1,10309;20,,,
170,1,1,,,,,,803430;1,10309;50,,,
171,1,1,,,,,,803456;1,10308;10,,,
172,1,1,,,,,,803457;1,10308;20,,,
173,1,1,,,,,,803458;1,10308;50,,,
174,1,1,,,,,,803459;1,10309;20,,,
175,1,1,,,,,,803460;1,10309;50,,,
176,1,1,,,,,,803496;1,10308;10,,,
177,1,1,,,,,,803497;1,10308;20,,,
178,1,1,,,,,,803498;1,10308;50,,,
179,1,1,,,,,,803499;1,10309;20,,,
180,1,1,,,,,,803500;1,10309;50,,,
181,1,1,,,,,,804046;1,10308;10,,,
182,1,1,,,,,,804047;1,10308;20,,,
183,1,1,,,,,,804048;1,10308;50,,,
184,1,1,,,,,,804049;1,10309;20,,,
185,1,1,,,,,,804050;1,10309;50,,,
186,1,1,,,,,,804096;1,10308;10,,,
187,1,1,,,,,,804097;1,10308;20,,,
188,1,1,,,,,,804098;1,10308;50,,,
189,1,1,,,,,,804099;1,10309;20,,,
190,1,1,,,,,,804100;1,10309;50,,,
191,1,1,,,,,,804146;1,10308;10,,,
192,1,1,,,,,,804147;1,10308;20,,,
193,1,1,,,,,,804148;1,10308;50,,,
194,1,1,,,,,,804149;1,10309;20,,,
195,1,1,,,,,,804150;1,10309;50,,,
196,1,1,,,,,,804196;1,10308;10,,,
197,1,1,,,,,,804197;1,10308;20,,,
198,1,1,,,,,,804198;1,10308;50,,,
199,1,1,,,,,,804199;1,10309;20,,,
200,1,1,,,,,,804200;1,10309;50,,,
201,1,1,,,,,,804246;1,10308;10,,,
202,1,1,,,,,,804247;1,10308;20,,,
203,1,1,,,,,,804248;1,10308;50,,,
204,1,1,,,,,,804249;1,10309;20,,,
205,1,1,,,,,,804250;1,10309;50,,,
206,1,1,,,,,,804296;1,10308;10,,,
207,1,1,,,,,,804297;1,10308;20,,,
208,1,1,,,,,,804298;1,10308;50,,,
209,1,1,,,,,,804299;1,10309;20,,,
210,1,1,,,,,,804300;1,10309;50,,,
211,1,1,,,,,,804326;1,10308;10,,,
212,1,1,,,,,,804327;1,10308;20,,,
213,1,1,,,,,,804328;1,10308;50,,,
214,1,1,,,,,,804329;1,10309;20,,,
215,1,1,,,,,,804330;1,10309;50,,,
216,1,1,,,,,,804356;1,10308;10,,,
217,1,1,,,,,,804357;1,10308;20,,,
218,1,1,,,,,,804358;1,10308;50,,,
219,1,1,,,,,,804359;1,10309;20,,,
220,1,1,,,,,,804360;1,10309;50,,,
221,1,1,,,,,,804396;1,10308;10,,,
222,1,1,,,,,,804397;1,10308;20,,,
223,1,1,,,,,,804398;1,10308;50,,,
224,1,1,,,,,,804399;1,10309;20,,,
225,1,1,,,,,,804400;1,10309;50,,,
226,1,1,,,,,,804426;1,10308;10,,,
227,1,1,,,,,,804427;1,10308;20,,,
228,1,1,,,,,,804428;1,10308;50,,,
229,1,1,,,,,,804429;1,10309;20,,,
230,1,1,,,,,,804430;1,10309;50,,,
231,1,1,,,,,,804456;1,10308;10,,,
232,1,1,,,,,,804457;1,10308;20,,,
233,1,1,,,,,,804458;1,10308;50,,,
234,1,1,,,,,,804459;1,10309;20,,,
235,1,1,,,,,,804460;1,10309;50,,,
236,1,1,,,,,,804496;1,10308;10,,,
237,1,1,,,,,,804497;1,10308;20,,,
238,1,1,,,,,,804498;1,10308;50,,,
239,1,1,,,,,,804499;1,10309;20,,,
240,1,1,,,,,,804500;1,10309;50,,,
241,1,1,,,,,,805046;1,10308;10,,,
242,1,1,,,,,,805047;1,10308;20,,,
243,1,1,,,,,,805048;1,10308;50,,,
244,1,1,,,,,,805049;1,10309;20,,,
245,1,1,,,,,,805050;1,10309;50,,,
246,1,1,,,,,,805096;1,10308;10,,,
247,1,1,,,,,,805097;1,10308;20,,,
248,1,1,,,,,,805098;1,10308;50,,,
249,1,1,,,,,,805099;1,10309;20,,,
250,1,1,,,,,,805100;1,10309;50,,,
251,1,1,,,,,,805146;1,10308;10,,,
252,1,1,,,,,,805147;1,10308;20,,,
253,1,1,,,,,,805148;1,10308;50,,,
254,1,1,,,,,,805149;1,10309;20,,,
255,1,1,,,,,,805150;1,10309;50,,,
256,1,1,,,,,,805196;1,10308;10,,,
257,1,1,,,,,,805197;1,10308;20,,,
258,1,1,,,,,,805198;1,10308;50,,,
259,1,1,,,,,,805199;1,10309;20,,,
260,1,1,,,,,,805200;1,10309;50,,,
261,1,1,,,,,,805246;1,10308;10,,,
262,1,1,,,,,,805247;1,10308;20,,,
263,1,1,,,,,,805248;1,10308;50,,,
264,1,1,,,,,,805249;1,10309;20,,,
265,1,1,,,,,,805250;1,10309;50,,,
266,1,1,,,,,,805296;1,10308;10,,,
267,1,1,,,,,,805297;1,10308;20,,,
268,1,1,,,,,,805298;1,10308;50,,,
269,1,1,,,,,,805299;1,10309;20,,,
270,1,1,,,,,,805300;1,10309;50,,,
271,1,1,,,,,,805326;1,10308;10,,,
272,1,1,,,,,,805327;1,10308;20,,,
273,1,1,,,,,,805328;1,10308;50,,,
274,1,1,,,,,,805329;1,10309;20,,,
275,1,1,,,,,,805330;1,10309;50,,,
276,1,1,,,,,,805356;1,10308;10,,,
277,1,1,,,,,,805357;1,10308;20,,,
278,1,1,,,,,,805358;1,10308;50,,,
279,1,1,,,,,,805359;1,10309;20,,,
280,1,1,,,,,,805360;1,10309;50,,,
281,1,1,,,,,,805396;1,10308;10,,,
282,1,1,,,,,,805397;1,10308;20,,,
283,1,1,,,,,,805398;1,10308;50,,,
284,1,1,,,,,,805399;1,10309;20,,,
285,1,1,,,,,,805400;1,10309;50,,,
286,1,1,,,,,,805426;1,10308;10,,,
287,1,1,,,,,,805427;1,10308;20,,,
288,1,1,,,,,,805428;1,10308;50,,,
289,1,1,,,,,,805429;1,10309;20,,,
290,1,1,,,,,,805430;1,10309;50,,,
291,1,1,,,,,,805456;1,10308;10,,,
292,1,1,,,,,,805457;1,10308;20,,,
293,1,1,,,,,,805458;1,10308;50,,,
294,1,1,,,,,,805459;1,10309;20,,,
295,1,1,,,,,,805460;1,10309;50,,,
296,1,1,,,,,,805496;1,10308;10,,,
297,1,1,,,,,,805497;1,10308;20,,,
298,1,1,,,,,,805498;1,10308;50,,,
299,1,1,,,,,,805499;1,10309;20,,,
300,1,1,,,,,,805500;1,10309;50,,,
301,1,1,,,,,,806046;1,10308;10,,,
302,1,1,,,,,,806047;1,10308;20,,,
303,1,1,,,,,,806048;1,10308;50,,,
304,1,1,,,,,,806049;1,10309;20,,,
305,1,1,,,,,,806050;1,10309;50,,,
306,1,1,,,,,,806096;1,10308;10,,,
307,1,1,,,,,,806097;1,10308;20,,,
308,1,1,,,,,,806098;1,10308;50,,,
309,1,1,,,,,,806099;1,10309;20,,,
310,1,1,,,,,,806100;1,10309;50,,,
311,1,1,,,,,,806146;1,10308;10,,,
312,1,1,,,,,,806147;1,10308;20,,,
313,1,1,,,,,,806148;1,10308;50,,,
314,1,1,,,,,,806149;1,10309;20,,,
315,1,1,,,,,,806150;1,10309;50,,,
316,1,1,,,,,,806196;1,10308;10,,,
317,1,1,,,,,,806197;1,10308;20,,,
318,1,1,,,,,,806198;1,10308;50,,,
319,1,1,,,,,,806199;1,10309;20,,,
320,1,1,,,,,,806200;1,10309;50,,,
321,1,1,,,,,,806246;1,10308;10,,,
322,1,1,,,,,,806247;1,10308;20,,,
323,1,1,,,,,,806248;1,10308;50,,,
324,1,1,,,,,,806249;1,10309;20,,,
325,1,1,,,,,,806250;1,10309;50,,,
326,1,1,,,,,,806296;1,10308;10,,,
327,1,1,,,,,,806297;1,10308;20,,,
328,1,1,,,,,,806298;1,10308;50,,,
329,1,1,,,,,,806299;1,10309;20,,,
330,1,1,,,,,,806300;1,10309;50,,,
331,1,1,,,,,,806326;1,10308;10,,,
332,1,1,,,,,,806327;1,10308;20,,,
333,1,1,,,,,,806328;1,10308;50,,,
334,1,1,,,,,,806329;1,10309;20,,,
335,1,1,,,,,,806330;1,10309;50,,,
336,1,1,,,,,,806356;1,10308;10,,,
337,1,1,,,,,,806357;1,10308;20,,,
338,1,1,,,,,,806358;1,10308;50,,,
339,1,1,,,,,,806359;1,10309;20,,,
340,1,1,,,,,,806360;1,10309;50,,,
341,1,1,,,,,,806396;1,10308;10,,,
342,1,1,,,,,,806397;1,10308;20,,,
343,1,1,,,,,,806398;1,10308;50,,,
344,1,1,,,,,,806399;1,10309;20,,,
345,1,1,,,,,,806400;1,10309;50,,,
346,1,1,,,,,,806426;1,10308;10,,,
347,1,1,,,,,,806427;1,10308;20,,,
348,1,1,,,,,,806428;1,10308;50,,,
349,1,1,,,,,,806429;1,10309;20,,,
350,1,1,,,,,,806430;1,10309;50,,,
351,1,1,,,,,,806456;1,10308;10,,,
352,1,1,,,,,,806457;1,10308;20,,,
353,1,1,,,,,,806458;1,10308;50,,,
354,1,1,,,,,,806459;1,10309;20,,,
355,1,1,,,,,,806460;1,10309;50,,,
356,1,1,,,,,,806496;1,10308;10,,,
357,1,1,,,,,,806497;1,10308;20,,,
358,1,1,,,,,,806498;1,10308;50,,,
359,1,1,,,,,,806499;1,10309;20,,,
360,1,1,,,,,,806500;1,10309;50,,,
361,1,1,,,,,,807046;1,10308;10,,,
362,1,1,,,,,,807047;1,10308;20,,,
363,1,1,,,,,,807048;1,10308;50,,,
364,1,1,,,,,,807049;1,10309;20,,,
365,1,1,,,,,,807050;1,10309;50,,,
366,1,1,,,,,,807096;1,10308;10,,,
367,1,1,,,,,,807097;1,10308;20,,,
368,1,1,,,,,,807098;1,10308;50,,,
369,1,1,,,,,,807099;1,10309;20,,,
370,1,1,,,,,,807100;1,10309;50,,,
371,1,1,,,,,,807146;1,10308;10,,,
372,1,1,,,,,,807147;1,10308;20,,,
373,1,1,,,,,,807148;1,10308;50,,,
374,1,1,,,,,,807149;1,10309;20,,,
375,1,1,,,,,,807150;1,10309;50,,,
376,1,1,,,,,,807196;1,10308;10,,,
377,1,1,,,,,,807197;1,10308;20,,,
378,1,1,,,,,,807198;1,10308;50,,,
379,1,1,,,,,,807199;1,10309;20,,,
380,1,1,,,,,,807200;1,10309;50,,,
381,1,1,,,,,,807246;1,10308;10,,,
382,1,1,,,,,,807247;1,10308;20,,,
383,1,1,,,,,,807248;1,10308;50,,,
384,1,1,,,,,,807249;1,10309;20,,,
385,1,1,,,,,,807250;1,10309;50,,,
386,1,1,,,,,,807296;1,10308;10,,,
387,1,1,,,,,,807297;1,10308;20,,,
388,1,1,,,,,,807298;1,10308;50,,,
389,1,1,,,,,,807299;1,10309;20,,,
390,1,1,,,,,,807300;1,10309;50,,,
391,1,1,,,,,,807326;1,10308;10,,,
392,1,1,,,,,,807327;1,10308;20,,,
393,1,1,,,,,,807328;1,10308;50,,,
394,1,1,,,,,,807329;1,10309;20,,,
395,1,1,,,,,,807330;1,10309;50,,,
396,1,1,,,,,,807356;1,10308;10,,,
397,1,1,,,,,,807357;1,10308;20,,,
398,1,1,,,,,,807358;1,10308;50,,,
399,1,1,,,,,,807359;1,10309;20,,,
400,1,1,,,,,,807360;1,10309;50,,,
401,1,1,,,,,,807396;1,10308;10,,,
402,1,1,,,,,,807397;1,10308;20,,,
403,1,1,,,,,,807398;1,10308;50,,,
404,1,1,,,,,,807399;1,10309;20,,,
405,1,1,,,,,,807400;1,10309;50,,,
406,1,1,,,,,,807426;1,10308;10,,,
407,1,1,,,,,,807427;1,10308;20,,,
408,1,1,,,,,,807428;1,10308;50,,,
409,1,1,,,,,,807429;1,10309;20,,,
410,1,1,,,,,,807430;1,10309;50,,,
411,1,1,,,,,,807456;1,10308;10,,,
412,1,1,,,,,,807457;1,10308;20,,,
413,1,1,,,,,,807458;1,10308;50,,,
414,1,1,,,,,,807459;1,10309;20,,,
415,1,1,,,,,,807460;1,10309;50,,,
416,1,1,,,,,,807496;1,10308;10,,,
417,1,1,,,,,,807497;1,10308;20,,,
418,1,1,,,,,,807498;1,10308;50,,,
419,1,1,,,,,,807499;1,10309;20,,,
420,1,1,,,,,,807500;1,10309;50,,,
421,1,1,,,,,,808046;1,10308;10,,,
422,1,1,,,,,,808047;1,10308;20,,,
423,1,1,,,,,,808048;1,10308;50,,,
424,1,1,,,,,,808049;1,10309;20,,,
425,1,1,,,,,,808050;1,10309;50,,,
426,1,1,,,,,,808096;1,10308;10,,,
427,1,1,,,,,,808097;1,10308;20,,,
428,1,1,,,,,,808098;1,10308;50,,,
429,1,1,,,,,,808099;1,10309;20,,,
430,1,1,,,,,,808100;1,10309;50,,,
431,1,1,,,,,,808146;1,10308;10,,,
432,1,1,,,,,,808147;1,10308;20,,,
433,1,1,,,,,,808148;1,10308;50,,,
434,1,1,,,,,,808149;1,10309;20,,,
435,1,1,,,,,,808150;1,10309;50,,,
436,1,1,,,,,,808196;1,10308;10,,,
437,1,1,,,,,,808197;1,10308;20,,,
438,1,1,,,,,,808198;1,10308;50,,,
439,1,1,,,,,,808199;1,10309;20,,,
440,1,1,,,,,,808200;1,10309;50,,,
441,1,1,,,,,,808246;1,10308;10,,,
442,1,1,,,,,,808247;1,10308;20,,,
443,1,1,,,,,,808248;1,10308;50,,,
444,1,1,,,,,,808249;1,10309;20,,,
445,1,1,,,,,,808250;1,10309;50,,,
446,1,1,,,,,,808296;1,10308;10,,,
447,1,1,,,,,,808297;1,10308;20,,,
448,1,1,,,,,,808298;1,10308;50,,,
449,1,1,,,,,,808299;1,10309;20,,,
450,1,1,,,,,,808300;1,10309;50,,,
451,1,1,,,,,,808326;1,10308;10,,,
452,1,1,,,,,,808327;1,10308;20,,,
453,1,1,,,,,,808328;1,10308;50,,,
454,1,1,,,,,,808329;1,10309;20,,,
455,1,1,,,,,,808330;1,10309;50,,,
456,1,1,,,,,,808356;1,10308;10,,,
457,1,1,,,,,,808357;1,10308;20,,,
458,1,1,,,,,,808358;1,10308;50,,,
459,1,1,,,,,,808359;1,10309;20,,,
460,1,1,,,,,,808360;1,10309;50,,,
461,1,1,,,,,,808396;1,10308;10,,,
462,1,1,,,,,,808397;1,10308;20,,,
463,1,1,,,,,,808398;1,10308;50,,,
464,1,1,,,,,,808399;1,10309;20,,,
465,1,1,,,,,,808400;1,10309;50,,,
466,1,1,,,,,,808426;1,10308;10,,,
467,1,1,,,,,,808427;1,10308;20,,,
468,1,1,,,,,,808428;1,10308;50,,,
469,1,1,,,,,,808429;1,10309;20,,,
470,1,1,,,,,,808430;1,10309;50,,,
471,1,1,,,,,,808456;1,10308;10,,,
472,1,1,,,,,,808457;1,10308;20,,,
473,1,1,,,,,,808458;1,10308;50,,,
474,1,1,,,,,,808459;1,10309;20,,,
475,1,1,,,,,,808460;1,10309;50,,,
476,1,1,,,,,,808496;1,10308;10,,,
477,1,1,,,,,,808497;1,10308;20,,,
478,1,1,,,,,,808498;1,10308;50,,,
479,1,1,,,,,,808499;1,10309;20,,,
480,1,1,,,,,,808500;1,10309;50,,,
481,1,1,,,,,,809046;1,10308;10,,,
482,1,1,,,,,,809047;1,10308;20,,,
483,1,1,,,,,,809048;1,10308;50,,,
484,1,1,,,,,,809049;1,10309;20,,,
485,1,1,,,,,,809050;1,10309;50,,,
486,1,1,,,,,,809096;1,10308;10,,,
487,1,1,,,,,,809097;1,10308;20,,,
488,1,1,,,,,,809098;1,10308;50,,,
489,1,1,,,,,,809099;1,10309;20,,,
490,1,1,,,,,,809100;1,10309;50,,,
491,1,1,,,,,,809146;1,10308;10,,,
492,1,1,,,,,,809147;1,10308;20,,,
493,1,1,,,,,,809148;1,10308;50,,,
494,1,1,,,,,,809149;1,10309;20,,,
495,1,1,,,,,,809150;1,10309;50,,,
496,1,1,,,,,,809196;1,10308;10,,,
497,1,1,,,,,,809197;1,10308;20,,,
498,1,1,,,,,,809198;1,10308;50,,,
499,1,1,,,,,,809199;1,10309;20,,,
500,1,1,,,,,,809200;1,10309;50,,,
501,1,1,,,,,,809246;1,10308;10,,,
502,1,1,,,,,,809247;1,10308;20,,,
503,1,1,,,,,,809248;1,10308;50,,,
504,1,1,,,,,,809249;1,10309;20,,,
505,1,1,,,,,,809250;1,10309;50,,,
506,1,1,,,,,,809296;1,10308;10,,,
507,1,1,,,,,,809297;1,10308;20,,,
508,1,1,,,,,,809298;1,10308;50,,,
509,1,1,,,,,,809299;1,10309;20,,,
510,1,1,,,,,,809300;1,10309;50,,,
511,1,1,,,,,,809326;1,10308;10,,,
512,1,1,,,,,,809327;1,10308;20,,,
513,1,1,,,,,,809328;1,10308;50,,,
514,1,1,,,,,,809329;1,10309;20,,,
515,1,1,,,,,,809330;1,10309;50,,,
516,1,1,,,,,,809356;1,10308;10,,,
517,1,1,,,,,,809357;1,10308;20,,,
518,1,1,,,,,,809358;1,10308;50,,,
519,1,1,,,,,,809359;1,10309;20,,,
520,1,1,,,,,,809360;1,10309;50,,,
521,1,1,,,,,,809396;1,10308;10,,,
522,1,1,,,,,,809397;1,10308;20,,,
523,1,1,,,,,,809398;1,10308;50,,,
524,1,1,,,,,,809399;1,10309;20,,,
525,1,1,,,,,,809400;1,10309;50,,,
526,1,1,,,,,,809426;1,10308;10,,,
527,1,1,,,,,,809427;1,10308;20,,,
528,1,1,,,,,,809428;1,10308;50,,,
529,1,1,,,,,,809429;1,10309;20,,,
530,1,1,,,,,,809430;1,10309;50,,,
531,1,1,,,,,,809456;1,10308;10,,,
532,1,1,,,,,,809457;1,10308;20,,,
533,1,1,,,,,,809458;1,10308;50,,,
534,1,1,,,,,,809459;1,10309;20,,,
535,1,1,,,,,,809460;1,10309;50,,,
536,1,1,,,,,,809496;1,10308;10,,,
537,1,1,,,,,,809497;1,10308;20,,,
538,1,1,,,,,,809498;1,10308;50,,,
539,1,1,,,,,,809499;1,10309;20,,,
540,1,1,,,,,,809500;1,10309;50,,,
541,1,1,,,,,,810046;1,10308;10,,,
542,1,1,,,,,,810047;1,10308;20,,,
543,1,1,,,,,,810048;1,10308;50,,,
544,1,1,,,,,,810049;1,10309;20,,,
545,1,1,,,,,,810050;1,10309;50,,,
546,1,1,,,,,,810096;1,10308;10,,,
547,1,1,,,,,,810097;1,10308;20,,,
548,1,1,,,,,,810098;1,10308;50,,,
549,1,1,,,,,,810099;1,10309;20,,,
550,1,1,,,,,,810100;1,10309;50,,,
551,1,1,,,,,,810146;1,10308;10,,,
