宝可梦ID,上阵ID,宝可梦名字,宝可梦描述,特性ID,升23456789星消耗道具（道具id；数量分隔）,努力值升阶道具需求（从1升2起，0升1不需要）,技能(技能编号;技能学习等级|技能编号;技能学习等级),血量种族值,物攻种族值,物防种族值,特攻种族值,特防种族值,速度种族值,种族值总和,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,副属性（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,品级,稀有星数, 稀有度（最低1，最高100）,进化所需等级,进化所需亲密度等级,进化所需道具,进化前的宝可梦ID,不可进化（0否，1是，默认0）,进化后的宝可梦ID,进化所需货币,特殊进化所需等级(|分隔）,特殊进化所需亲密度等级(|分隔）,特殊进化所需道具(道具id;道具数量|第二个道具id;道具数量:另一个宝可梦进化所需…   ';'分隔id和数量'|'分隔不同的道具':'分隔不同的宝可梦需求）,特殊进化后的宝可梦ID(|分隔）,特殊进化所需货币(；分隔道具id和数量 |分隔不同的宝可梦需求）,升星可用宝可梦,可学习的天赋树,可学习的技能机器id(系ID|系ID),可升最高星数(最高到达星数）,可超进阶的用1,宝可萌声音,孵化时间（单位：分钟）,碎片需求数量,合成消耗金币,宝可萌星级加成,图鉴显示(0不显示，1显示，默认0),默认精灵球
1009,9,水箭龟,背上有喷射口，可以像火箭一样喷射厉害的水流,92,601009;10|601009;20|601009;30|601009;40|601009;50|601009;60|601009;70|601009;80,601009;10|601009;20|601009;30|601009;30|601009;30|601009;50|601009;50|601009;50|601009;70|601009;70|601009;70|601009;90|601009;90|601009;90,1022504;1|4026505;3|2023507;20,79,83,100,85,105,78,530,2,,4,5,100,40,10,12111;1000|12102;500|601009;100,1008,,301009,1;10000000,,,,,,,1009,2||9,9,,1009,4320,601009;140,2100000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1010,10,绿毛虫,足虽短，但很有力量,5,601012;10|601012;20|601012;30|601012;40|601012;50|601012;60|601012;70|601012;80,601012;10|601012;20|601012;30|601012;30|601012;30|601012;50|601012;50|601012;50|601012;70|601012;70|601012;70|601012;90|601012;90|601012;90,1113502;1|3116504;3,45,30,35,20,20,45,195,11,,1,1,1,5,1,12151;20|12122;5,,,1011,1;10000,,,,,,,1010,11||9,9,,1010,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1011,11,铁甲蛹,外壳变硬前受到攻击时，会流出液体,5,601012;10|601012;20|601012;30|601012;40|601012;50|601012;60|601012;70|601012;80,601012;10|601012;20|601012;30|601012;30|601012;30|601012;50|601012;50|601012;50|601012;70|601012;70|601012;70|601012;90|601012;90|601012;90,2113502;1|3116503;3|4116505;20,45,40,55,60,35,35,270,11,,2,1,15,10,5,12151;100|12122;30,1010,,1012,1;350000,,,,,,,1011,11||9,9,,1011,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1012,12,巴大蝴,能放出毒粉顺风飞行,6,601012;10|601012;20|601012;30|601012;40|601012;50|601012;60|601012;70|601012;80,601012;10|601012;20|601012;30|601012;30|601012;30|601012;50|601012;50|601012;50|601012;70|601012;70|601012;70|601012;90|601012;90|601012;90,2113503;1|3126504;3|4116506;20,60,45,50,90,80,70,395,11,12,3,1,50,,,,1011,,,,,,,,,,1012,11|12|9,9,,1012,600,601012;40,400000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1013,13,独角虫,居住在森林，喜欢吃虫，头上长着尖利的针,4,601015;10|601015;20|601015;30|601015;40|601015;50|601015;60|601015;70|601015;80,601015;10|601015;20|601015;30|601015;30|601015;30|601015;50|601015;50|601015;50|601015;70|601015;70|601015;70|601015;90|601015;90|601015;90,1111501;1|3186503;3|1116004;20,40,35,30,20,20,50,195,11,18,1,1,1,5,1,12151;20|12122;5,,,1014,1;10000,,,,,,,1013,11|18|9,9,,1013,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1014,14,铁壳蛹,自己几乎不移动，遇到危险时会变硬来保护自己,5,601015;10|601015;20|601015;30|601015;40|601015;50|601015;60|601015;70|601015;80,601015;10|601015;20|601015;30|601015;30|601015;30|601015;50|601015;50|601015;50|601015;70|601015;70|601015;70|601015;90|601015;90|601015;90,1111502;1|3186504;3|1116005;20,45,60,55,40,35,35,270,11,18,2,1,15,20,10,12151;300|12152;70|12122;220,1013,,1015,1;1500000,,,,,,,1014,11|18|9,9,,1014,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1015,15,大针蜂,高速飞行，能用大的毒针刺敌人,7,601015;10|601015;20|601015;30|601015;40|601015;50|601015;60|601015;70|601015;80,601015;10|601015;20|601015;30|601015;30|601015;30|601015;50|601015;50|601015;50|601015;70|601015;70|601015;70|601015;90|601015;90|601015;90,1111503;1|3186505;3|1116006;20,65,90,40,45,80,75,395,11,18,4,1,80,40,10,12111;1000|12122;500|601015;100,1014,,301015,1;10000000,,,,,,,1015,11|18|9,9,,1015,4320,601015;100,1500000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13002
1016,16,波波,多分布在森林和草地,8,601018;10|601018;20|601018;30|601018;40|601018;50|601018;60|601018;70|601018;80,601018;10|601018;20|601018;30|601018;30|601018;30|601018;50|601018;50|601018;50|601018;70|601018;70|601018;70|601018;90|601018;90|601018;90,3124002;1|4096503;3|2126004;20|12000901;30,40,45,40,35,35,56,251,12,9,1,3,1,5,1,12151;20|12123;5,,,1017,1;50000,,,,,,,1016,12|9,9,,1016,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1017,17,比比鸟,拥有属于自己的地盘，会攻击入侵的敌人,8,601018;10|601018;20|601018;30|601018;40|601018;50|601018;60|601018;70|601018;80,601018;10|601018;20|601018;30|601018;30|601018;30|601018;50|601018;50|601018;50|601018;70|601018;70|601018;70|601018;90|601018;90|601018;90,3124003;1|4096504;3|2126005;20|12000902;30,63,60,55,50,50,71,349,12,9,2,3,15,20,10,12151;300|12152;75|12123;220,1016,,1018,1;1500000,,,,,,,1017,12|9,9,,1017,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1018,18,大比鸟,寻找食物的时候，能贴在水面滑行,8,601018;10|601018;20|601018;30|601018;40|601018;50|601018;60|601018;70|601018;80,601018;10|601018;20|601018;30|601018;30|601018;30|601018;50|601018;50|601018;50|601018;70|601018;70|601018;70|601018;90|601018;90|601018;90,3124004;1|4096505;3|2126006;20|12000903;30,83,80,75,70,70,101,479,12,9,4,3,80,40,20,12111;1000|12123;600|601018;100,1017,,301018,1;10000000,,,,,,,1018,12|9,9,,1018,4320,601018;100,1500000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1019,19,小拉达,身体小，但移动灵敏，牙齿锐利,9,601020;10|601020;20|601020;30|601020;40|601020;50|601020;60|601020;70|601020;80,601020;10|601020;20|601020;30|601020;30|601020;30|601020;50|601020;50|601020;50|601020;70|601020;70|601020;70|601020;90|601020;90|601020;90,1093502;1|3096504;3,30,56,35,25,35,72,253,9,,1,1,1,10,5,12151;100|12109;40,,,1020,1;350000,,,,,,,1019,9,9,,1019,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1020,20,拉达,移动较慢，长着厉害的门牙,9,601020;10|601020;20|601020;30|601020;40|601020;50|601020;60|601020;70|601020;80,601020;10|601020;20|601020;30|601020;30|601020;30|601020;50|601020;50|601020;50|601020;70|601020;70|601020;70|601020;90|601020;90|601020;90,1093503;1|4096504;3|3096506;20,75,71,70,40,80,77,413,9,,3,1,50,,,,1019,,,,,,,,,,1020,9,9,,1020,600,601020;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1021,21,烈雀,以虫子为食，喜欢整理羽毛,8,601022;10|601022;20|601022;30|601022;40|601022;50|601022;60|601022;70|601022;80,601022;10|601022;20|601022;30|601022;30|601022;30|601022;50|601022;50|601022;50|601022;70|601022;70|601022;70|601022;90|601022;90|601022;90,1123502;1|3096504;3|3126504;20,40,60,30,30,30,70,260,12,9,1,1,1,10,5,12151;100|12123;40,,,1022,1;350000,,,,,,,1021,12|9,9,,1021,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1022,22,大嘴雀,有很大的翅膀，可以在天空飞行,8,601022;10|601022;20|601022;30|601022;40|601022;50|601022;60|601022;70|601022;80,601022;10|601022;20|601022;30|601022;30|601022;30|601022;50|601022;50|601022;50|601022;70|601022;70|601022;70|601022;90|601022;90|601022;90,1123503;1|4096504;3|3126506;20,65,90,65,61,61,100,442,12,9,3,1,50,,,,1021,,,,,,,,,,1022,12|9,9,,1022,600,601022;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1023,23,阿柏蛇,能整个吞下波波或大嘴雀的蛋,10,601024;10|601024;20|601024;30|601024;40|601024;50|601024;60|601024;70|601024;80,601024;10|601024;20|601024;30|601024;30|601024;30|601024;50|601024;50|601024;50|601024;70|601024;70|601024;70|601024;90|601024;90|601024;90,3184002;1|3186504;3|1186005;20,35,60,40,40,50,50,275,18,,1,3,10,10,5,12151;100|12129;40,,,1024,1;350000,,,,,,,1023,18||9,9,,1023,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1024,24,阿柏怪,样子很可怕，不用战斗就能吓跑敌人,10,601024;10|601024;20|601024;30|601024;40|601024;50|601024;60|601024;70|601024;80,601024;10|601024;20|601024;30|601024;30|601024;30|601024;50|601024;50|601024;50|601024;70|601024;70|601024;70|601024;90|601024;90|601024;90,3184003;1|3186505;3|1186006;20,60,95,69,65,79,80,448,18,,3,3,50,40,20,12111;1000|12129;500|601024;100,1023,,301024,1;10000000,,,,,,,1024,18||9,9,,1024,600,601024;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1025,25,皮卡丘,很多只在一起，可以聚集电流引发闪电,11,601025;10|601025;20|601025;30|601025;40|601025;50|601025;60|601025;70|601025;80,601025;10|601025;20|601025;30|601025;30|601025;30|601025;50|601025;50|601025;50|601025;70|601025;70|601025;70|601025;90|601025;90|601025;90,2103002;1|3106504;3|3104506;20,45,55,40,60,50,90,340,10,,3,4,60,,,,1172,,,,32|32,19|19,12151;400|12152;80|12121;260:12151;400|12152;90|12121;250,1026|1992,1;1000000|1;1000000,,1025,10||9,9,,1025,600,601025;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1026,26,雷丘,有很长的尾巴可以保护身体,11,601025;10|601025;20|601025;30|601025;40|601025;50|601025;60|601025;70|601025;80,601025;10|601025;20|601025;30|601025;30|601025;30|601025;50|601025;50|601025;50|601025;70|601025;70|601025;70|601025;90|601025;90|601025;90,2103004;1|3106505;3|3104507;20,60,90,55,90,80,110,485,10,,4,4,85,40,20,12111;1000|12121;500|601025;100,1025,,301026,1;10000000,,,,,,,1026,10||9,9,,1026,4320,601026;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1027,27,穿山鼠,喜欢挖洞隐藏，吃食物时才出来,12,601028;10|601028;20|601028;30|601028;40|601028;50|601028;60|601028;70|601028;80,601028;10|601028;20|601028;30|601028;30|601028;30|601028;50|601028;50|601028;50|601028;70|601028;70|601028;70|601028;90|601028;90|601028;90,2132002;1|4136503;3|3136505;20,50,75,90,10,35,40,300,13,,2,2,15,10,5,12151;100|12124;30,,,1028,1;300000,,,,,,,1027,13||9,9,,1027,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1028,28,穿山王,身体团起来时像个刺球,12,601028;10|601028;20|601028;30|601028;40|601028;50|601028;60|601028;70|601028;80,601028;10|601028;20|601028;30|601028;30|601028;30|601028;50|601028;50|601028;50|601028;70|601028;70|601028;70|601028;90|601028;90|601028;90,2132003;1|4136504;3|3136506;20,75,100,120,25,65,65,450,13,,3,2,50,,,,1027,,,,,,,,,,1028,13||9,9,,1028,600,601028;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1029,29,尼多兰,身体虽小，但有毒牙，所以要小心,13,601031;10|601031;20|601031;30|601031;40|601031;50|601031;60|601031;70|601031;80,601031;10|601031;20|601031;30|601031;30|601031;30|601031;50|601031;50|601031;50|601031;70|601031;70|601031;70|601031;90|601031;90|601031;90,1182502;1|4136503;3|3186505;20,55,47,52,40,40,41,275,18,,2,5,10,10,5,12151;100|12129;30,,,1030,1;50000,,,,,,,1029,18||9,9,,1029,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1030,30,尼多娜,喜欢对战的精灵,13,601031;10|601031;20|601031;30|601031;40|601031;50|601031;60|601031;70|601031;80,601031;10|601031;20|601031;30|601031;30|601031;30|601031;50|601031;50|601031;50|601031;70|601031;70|601031;70|601031;90|601031;90|601031;90,1182503;1|4136504;3|3186506;20,70,62,67,55,55,56,365,18,,3,5,20,25,10,12151;220|12152;70|12129;230,1029,,1031,1;300000,,,,,,,1030,18||9,9,,1030,600,601030;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1031,31,尼多后,有坚硬的鳞，受到攻击时，可以保护自己,13,601031;10|601031;20|601031;30|601031;40|601031;50|601031;60|601031;70|601031;80,601031;10|601031;20|601031;30|601031;30|601031;30|601031;50|601031;50|601031;50|601031;70|601031;70|601031;70|601031;90|601031;90|601031;90,1182504;1|4136505;3|3186507;20,90,92,87,75,85,76,505,18,13,4,5,60,40,20,12111;900|12129;400|601031;100,1030,,301031,1;10000000,,,,,,,1031,18|13|9,9,,1031,4320,601031;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1032,32,尼多朗,遇到危险，身体的刺可以释放出强烈的毒,13,601034;10|601034;20|601034;30|601034;40|601034;50|601034;60|601034;70|601034;80,601034;10|601034;20|601034;30|601034;30|601034;30|601034;50|601034;50|601034;50|601034;70|601034;70|601034;70|601034;90|601034;90|601034;90,1182502;1|4136503;3|3186505;20,46,57,40,40,40,50,273,18,,2,5,10,10,5,12151;100|12129;30,,,1033,1;50000,,,,,,,1032,18||9,9,,1032,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1033,33,尼多力诺,遇到危险时发出攻击,13,601034;10|601034;20|601034;30|601034;40|601034;50|601034;60|601034;70|601034;80,601034;10|601034;20|601034;30|601034;30|601034;30|601034;50|601034;50|601034;50|601034;70|601034;70|601034;70|601034;90|601034;90|601034;90,1182503;1|4136504;3|3186506;20,61,72,57,55,55,65,365,18,,3,5,20,25,10,12151;220|12152;70|12129;230,1032,,1034,1;300000,,,,,,,1033,18||9,9,,1033,600,601033;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1034,34,尼多王,能挥动大尾巴攻击敌人,13,601034;10|601034;20|601034;30|601034;40|601034;50|601034;60|601034;70|601034;80,601034;10|601034;20|601034;30|601034;30|601034;30|601034;50|601034;50|601034;50|601034;70|601034;70|601034;70|601034;90|601034;90|601034;90,1182504;1|4136505;3|3186507;20,81,102,77,85,75,85,505,18,13,4,5,60,40,20,12111;900|12129;400|601034;100,1033,,301034,1;10000000,,,,,,,1034,18|13|9,9,,1034,4320,601034;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1035,35,皮皮,长得可爱，很多人喜欢，但很难找,14,601036;10|601036;20|601036;30|601036;40|601036;50|601036;60|601036;70|601036;80,601036;10|601036;20|601036;30|601036;30|601036;30|601036;50|601036;50|601036;50|601036;70|601036;70|601036;70|601036;90|601036;90|601036;90,1043501;1|3046503;3|4046505;20,70,45,48,60,65,35,323,4,,2,3,25,10,5,12151;100|12104;30,1173,,1036,1;300000,,,,,,,1035,4||9,9,,1035,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1036,36,皮可西,胆子小，遇到危险就跑,14,601036;10|601036;20|601036;30|601036;40|601036;50|601036;60|601036;70|601036;80,601036;10|601036;20|601036;30|601036;30|601036;30|601036;50|601036;50|601036;50|601036;70|601036;70|601036;70|601036;90|601036;90|601036;90,2043503;1|3046504;3|4046506;20,95,70,73,95,90,60,483,4,,3,3,50,,,,1035,,,,,,,,,,1036,4||9,9,,1036,600,601036;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1037,37,六尾,出生时，只有一条红色的尾巴，随着生长尾巴也会增加,15,601038;10|601038;20|601038;30|601038;40|601038;50|601038;60|601038;70|601038;80,601038;10|601038;20|601038;30|601038;30|601038;30|601038;50|601038;50|601038;50|601038;70|601038;70|601038;70|601038;90|601038;90|601038;90,2013502;1|4016504;3,38,41,40,50,50,50,269,1,,1,3,10,25,8,12151;400|12152;80|12101;280,,,1038,1;1500000,,,,,,,1037,1||9,9,,1037,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1038,38,九尾,尾巴长到9条，生性聪明,15,601038;10|601038;20|601038;30|601038;40|601038;50|601038;60|601038;70|601038;80,601038;10|601038;20|601038;30|601038;30|601038;30|601038;50|601038;50|601038;50|601038;70|601038;70|601038;70|601038;90|601038;90|601038;90,2013504;1|3016505;3|4016507;20,73,67,75,81,100,109,505,1,,4,3,85,,,,1037,,,,,,,,,,1038,1||9,9,,1038,4320,601038;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1039,39,胖丁,能发出催人入眠的歌声,14,601040;10|601040;20|601040;30|601040;40|601040;50|601040;60|601040;70|601040;80,601040;10|601040;20|601040;30|601040;30|601040;30|601040;50|601040;50|601040;50|601040;70|601040;70|601040;70|601040;90|601040;90|601040;90,2043502;1|3096503;3|4046505;20,115,45,30,45,25,20,280,4,9,2,1,25,10,5,12151;100|12104;30,1174,,1040,1;350000,,,,,,,1039,4|9,9,,1039,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1040,40,胖可丁,被激怒时，身体会吸取意气变大,14,601040;10|601040;20|601040;30|601040;40|601040;50|601040;60|601040;70|601040;80,601040;10|601040;20|601040;30|601040;30|601040;30|601040;50|601040;50|601040;50|601040;70|601040;70|601040;70|601040;90|601040;90|601040;90,2110;1|4046505;3|2046005;20,140,70,45,85,50,45,435,9,4,3,2,60,40,20,12111;1000|12109;500|601040;100,1039,,301040,1;10000000,,,,,,,1040,9|4,9,,1040,600,601040;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1041,41,超音蝠,能发出超声波寻找目标,16,601169;10|601169;20|601169;30|601169;40|601169;50|601169;60|601169;70|601169;80,601169;10|601169;20|601169;30|601169;30|601169;30|601169;50|601169;50|601169;50|601169;70|601169;70|601169;70|601169;90|601169;90|601169;90,1181502;1|4126503;3|3186505;20,40,45,35,30,40,55,245,18,12,1,4,1,10,5,12151;100|12129;40,,,1042,1;350000,,,,,,,1041,18|12|9,9,,1041,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1042,42,大嘴蝠,专门靠吸血为生,16,601169;10|601169;20|601169;30|601169;40|601169;50|601169;60|601169;70|601169;80,601169;10|601169;20|601169;30|601169;30|601169;30|601169;50|601169;50|601169;50|601169;70|601169;70|601169;70|601169;90|601169;90|601169;90,1181503;1|4126504;3|3186506;20,75,80,70,65,75,90,455,18,12,3,4,60,25,10,12151;300|12152;80|12129;260|12123;50,1041,,1169,1;1000000,,,,,,,1042,18|12|9,9,,1042,600,601042;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1043,43,走路草,身体常常贴在地面，慢慢移动,17,601045;10|601045;20|601045;30|601045;40|601045;50|601045;60|601045;70|601045;80,601045;10|601045;20|601045;30|601045;30|601045;30|601045;50|601045;50|601045;50|601045;70|601045;70|601045;70|601045;90|601045;90|601045;90,2033502;1|4186504;3|4036504;20,40,40,45,60,55,30,270,3,18,1,3,1,10,1,12151;20|12103;10,,,1044,1;50000,,,,,,,1043,3|18|9,9,,1043,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
