ปีียID,ปีียร๛ืึ,ปีียภเะอ,ฟชฦ๔ตศผถid,ตศผถ,ษýผถฯยผถห๙ะ่ตภพ฿,ษýผถห๙ะ่ป๕ฑา,ฯยาปผถid,ะงน๛าýำรid,ฑฆฟษรฮื๎ธ฿ตศผถ,วฐึรปีีย
454,ศýาถยฬปีียLv.3,10,25,3,12301;189,800000,455,2903,70,413
455,ศýาถยฬปีียLv.4,10,25,4,12301;191,1030000,456,2904,70,413
456,ศýาถยฬปีียLv.5,10,25,5,12301;193,1340000,457,2905,70,413
457,ศýาถยฬปีียLv.6,10,25,6,12301;195,1740000,458,2906,70,413
458,ศýาถยฬปีียLv.7,10,25,7,12301;198,2260000,459,2907,70,413
459,ศýาถยฬปีียLv.8,10,25,8,12301;200,2940000,460,2908,70,413
460,ศýาถยฬปีียLv.9,10,25,9,12301;202,3820000,461,2909,70,413
461,ศýาถยฬปีียLv.10,10,25,10,12301;204,4970000,462,2910,70,413
462,ศýาถยฬปีียLv.11,10,25,11,12301;206,6460000,463,2911,70,413
463,ศýาถยฬปีียLv.12,10,25,12,,,,2912,70,413
501,ณฌฤÜปีีย,11,25,0,12301;200,360000,502,3000,80,463
502,ณฌฤÜปีียLv.1,11,25,1,12301;210,470000,503,3001,80,463
503,ณฌฤÜปีียLv.2,11,25,2,12301;220,610000,504,3002,80,463
504,ณฌฤÜปีียLv.3,11,25,3,12301;230,800000,505,3003,80,463
505,ณฌฤÜปีียLv.4,11,25,4,12301;240,1030000,506,3004,80,463
506,ณฌฤÜปีียLv.5,11,25,5,12301;250,1340000,507,3005,80,463
507,ณฌฤÜปีียLv.6,11,25,6,12301;260,1740000,508,3006,80,463
508,ณฌฤÜปีียLv.7,11,25,7,12301;270,2260000,509,3007,80,463
509,ณฌฤÜปีียLv.8,11,25,8,12301;280,2940000,510,3008,80,463
510,ณฌฤÜปีียLv.9,11,25,9,12301;290,3820000,511,3009,80,463
511,ณฌฤÜปีียLv.10,11,25,10,12301;300,4970000,512,3010,80,463
512,ณฌฤÜปีียLv.11,11,25,11,12301;310,6460000,513,3011,80,463
513,ณฌฤÜปีียLv.12,11,25,12,,,,3012,80,463
551,ษมต็ปีีย,12,25,0,12301;230,410000,552,3100,90,513
552,ษมต็ปีียLv.1,12,25,1,12301;250,530000,553,3101,90,513
553,ษมต็ปีียLv.2,12,25,2,12301;270,690000,554,3102,90,513
554,ษมต็ปีียLv.3,12,25,3,12301;280,890000,555,3103,90,513
555,ษมต็ปีียLv.4,12,25,4,12301;300,1160000,556,3104,90,513
556,ษมต็ปีียLv.5,12,25,5,12301;320,1510000,557,3105,90,513
557,ษมต็ปีียLv.6,12,25,6,12301;340,1960000,558,3106,90,513
558,ษมต็ปีียLv.7,12,25,7,12301;360,2550000,559,3107,90,513
559,ษมต็ปีียLv.8,12,25,8,12301;360,3310000,560,3108,90,513
560,ษมต็ปีียLv.9,12,25,9,12301;360,4300000,561,3109,90,513
561,ษมต็ปีียLv.10,12,25,10,12301;360,5590000,562,3110,90,513
562,ษมต็ปีียLv.11,12,25,11,12301;380,7260000,563,3111,90,513
563,ษมต็ปีียLv.12,12,25,12,,,,3112,90,513
601,ยฬรขปีีย,13,25,0,12301;300,450000,602,3200,100,563
602,ยฬรขปีียLv.1,13,25,1,12301;300,590000,603,3201,100,563
603,ยฬรขปีียLv.2,13,25,2,12301;310,770000,604,3202,100,563
604,ยฬรขปีียLv.3,13,25,3,12301;310,990000,605,3203,100,563
605,ยฬรขปีียLv.4,13,25,4,12301;320,1290000,606,3204,100,563
606,ยฬรขปีียLv.5,13,25,5,12301;320,1680000,607,3205,100,563
607,ยฬรขปีียLv.6,13,25,6,12301;330,2180000,608,3206,100,563
608,ยฬรขปีียLv.7,13,25,7,12301;340,2830000,609,3207,100,563
609,ยฬรขปีียLv.8,13,25,8,12301;360,3680000,610,3208,100,563
610,ยฬรขปีียLv.9,13,25,9,12301;370,4780000,611,3209,100,563
611,ยฬรขปีียLv.10,13,25,10,12301;380,6210000,612,3210,100,563
612,ยฬรขปีียLv.11,13,25,11,12301;400,8070000,613,3211,100,563
613,ยฬรขปีียLv.12,13,25,12,,,,3212,100,563
