掉落ID,掉落权重,掉落ID,掉落数量,注释
1,42,12236,2,特防努力石1
1,42,12237,2,特防努力石2
1,42,12238,2,特防努力石3
1,42,12239,2,特防努力石4
1,42,12240,2,特防努力石5
1,42,12241,2,速度努力石1
1,42,12242,2,速度努力石2
1,42,12243,2,速度努力石3
1,42,12244,2,速度努力石4
1,42,12245,2,速度努力石5
1,42,12246,2,血量努力石1
1,42,12247,2,血量努力石2
1,42,12248,2,血量努力石3
1,42,12249,2,血量努力石4
1,42,12250,2,血量努力石5
1,500,13001,2,精灵球
1,500,13031,10,强攻阵型卷轴
1,500,13032,10,防御阵型卷轴
1,500,13033,10,速攻阵型卷轴
1,500,13034,10,控制阵型卷轴
1,500,13035,10,消耗阵型卷轴
1,500,10112,2,普通进化福袋
1,500,10113,2,精致进化福袋
1,500,10112,4,普通进化福袋
1,500,10113,4,精致进化福袋
11,1000,1016,1,波波
11,300,1017,1,比比鸟
11,1000,1029,1,尼多兰
11,100,1030,1,尼多娜
11,1000,1032,1,尼多朗
11,100,1033,1,尼多力诺
11,100,1058,1,卡蒂狗
11,1000,1063,1,凯西
11,100,1064,1,勇基拉
11,1000,1066,1,腕力
11,100,1067,1,豪力
11,1000,1060,1,蚊香蝌蚪
11,100,1061,1,蚊香蛙
11,1000,1092,1,鬼斯
11,100,1093,1,鬼斯通
11,1000,1041,1,超音蝠
11,100,1042,1,大嘴蝠
11,1000,1187,1,毽子草
11,300,1188,1,毽子花
11,100,1204,1,榛果球
11,1000,1270,1,莲叶童子
11,100,1271,1,莲帽小童
11,1000,1273,1,橡实果
11,100,1274,1,长鼻叶
11,100,1291,1,铁面忍者
11,100,1309,1,落雷兽
11,100,1320,1,吼吼鲸
11,1000,1328,1,大颚蚁
11,100,1329,1,超音波幼虫
11,1000,1415,1,三蜜蜂
11,100,1427,1,卷卷耳
11,100,1449,1,沙河马
11,100,1299,1,朝北鼻
11,500,1355,1,夜巡灵
11,100,1356,1,彷徨夜灵
11,100,1506,1,小约克
11,100,1507,1,哈约克
11,1000,1524,1,石丸子
11,100,1525,1,地幔岩
11,1000,1535,1,圆蝌蚪
11,100,1536,1,蓝蟾蜍
11,1000,1543,1,百足蜈蚣
11,100,1544,1,车轮球
11,1000,1551,1,黑眼鳄
11,100,1552,1,混混鳄
11,100,1559,1,滑滑小子
11,100,1572,1,泡沫栗鼠
11,1000,1574,1,哥德宝宝
11,100,1575,1,哥德小童
11,100,1619,1,功夫鼬
11,1000,1679,1,独剑鞘
11,100,1680,1,双剑鞘
11,100,1585,1,四季鹿
15,18,1302,1,勾魂眼
15,18,1015,1,大针蜂
15,18,1308,1,恰雷姆
15,100,601518,10,梦梦蚀碎片
15,100,601545,10,蜈蚣王碎片
15,100,601553,10,流氓鳄碎片
15,100,601555,10,达摩狒狒碎片
15,100,601560,10,头巾混混碎片
15,100,601569,10,灰尘山碎片
15,100,601571,10,索罗亚克碎片
15,100,601576,10,哥德小姐碎片
15,100,601584,10,双倍多多冰碎片
15,100,601630,10,秃鹰娜碎片
15,100,601189,10,毽子棉碎片
15,100,601232,10,顿甲碎片
15,100,601262,10,大狼犬碎片
15,100,601435,10,坦克臭鼬碎片
15,100,601452,10,龙王蝎碎片
15,100,601015,10,大针蜂碎片
15,100,601018,10,大比鸟碎片
15,100,601026,10,雷丘碎片
15,100,601038,10,九尾碎片
15,100,601059,10,风速狗碎片
15,100,601062,10,快泳蛙碎片
15,100,601065,10,胡地碎片
15,100,601094,10,耿鬼碎片
15,100,601103,10,椰蛋树碎片
15,100,601115,10,袋兽碎片
15,100,601130,10,暴鲤龙碎片
15,100,601134,10,水伊布碎片
15,100,601135,10,雷伊布碎片
15,100,601136,10,火伊布碎片
15,100,601143,10,卡比兽碎片
15,100,601157,10,火暴兽碎片
15,100,601169,10,叉字蝠碎片
15,100,601181,10,电龙碎片
15,100,601186,10,蚊香蛙皇碎片
15,100,601196,10,太阳伊布碎片
15,100,601197,10,月亮伊布碎片
15,100,601199,10,呆呆王碎片
15,100,601208,10,大钢蛇碎片
15,100,601212,10,巨钳螳螂碎片
15,100,601214,10,赫拉克罗斯碎片
15,100,601229,10,黑鲁加碎片
15,100,601230,10,刺龙王碎片
15,100,601242,10,幸福蛋碎片
15,100,601275,10,狡猾天狗碎片
15,100,601282,10,沙奈朵碎片
15,100,601292,10,脱壳忍者碎片
15,100,601302,10,勾魂眼碎片
15,100,601303,10,大嘴娃碎片
15,100,601306,10,波士可多拉碎片
15,100,601308,10,恰雷姆碎片
15,100,601310,10,雷电兽碎片
15,100,601321,10,吼鲸王碎片
15,100,601323,10,喷火驼碎片
21,1500,10012,10,21为 道具、蓝宠
21,300,10013,5,特级经验卡
21,300,10022,3,高级晋升卡
21,100,10023,1,特级晋升卡
21,1700,10112,5,普通进化福袋
21,800,10113,3,精致进化福袋
21,300,10114,5,华丽进化福袋
21,1700,10143,4,努力石小福袋
21,800,10144,2,努力石中福袋
21,300,10145,2,努力石大福袋
21,600,12151,5,低阶进化卡
21,60,12152,1,中阶进化卡
21,200,12211,1,性格洗练石
21,300,12400,30,羽毛
21,300,12401,30,线球
21,300,12500,5,弱效附魔药水
21,100,12501,1,强效附魔药水
21,300,12503,10,原力结晶
21,300,12601,10,魔力糖果
21,300,13001,1,精灵球
21,800,10112,1,普通进化福袋
21,800,10113,1,精致进化福袋
21,500,10113,1,精致进化福袋
21,800,10113,1,精致进化福袋
21,800,10113,1,精致进化福袋
21,800,10113,1,精致进化福袋
21,800,10114,1,华丽进化福袋
21,600,10114,1,华丽进化福袋
21,400,10086,1,紫色万能碎片
21,80,10087,1,橙色万能碎片
21,100,1017,1,比比鸟
21,100,1029,1,尼多兰
21,100,1032,1,尼多朗
21,100,1063,1,凯西
21,100,1066,1,腕力
21,100,1061,1,蚊香蛙
21,100,1092,1,鬼斯
21,100,1188,1,毽子花
21,100,1270,1,莲叶童子
21,100,1273,1,橡实果
21,100,1328,1,大颚蚁
24,100,1018,1,大比鸟
24,100,1031,1,尼多后
24,100,1034,1,尼多王
24,100,1059,1,风速狗
24,100,1065,1,胡地
24,100,1068,1,怪力
24,100,1062,1,快泳蛙
24,100,1094,1,耿鬼
24,100,1115,1,袋兽
24,100,1169,1,叉字蝠
24,100,1189,1,毽子棉
24,100,1196,1,太阳伊布
24,100,1197,1,月亮伊布
24,100,1205,1,佛烈托斯
24,100,1213,1,壶壶
24,100,1272,1,乐天河童
24,100,1275,1,狡猾天狗
24,100,1292,1,脱壳忍者
24,100,1310,1,雷电兽
24,100,1321,1,吼鲸王
24,100,1330,1,沙漠蜻蜓
24,100,1428,1,长耳兔
24,100,1450,1,河马兽
24,100,1430,1,乌鸦头头
24,100,1465,1,巨蔓藤
24,100,1469,1,远古巨蜓
24,100,1470,1,叶伊布
24,100,1471,1,冰伊布
24,100,1476,1,大朝北鼻
24,100,1477,1,黑夜魔灵
24,100,1508,1,长毛狗
24,100,1526,1,庞岩怪
24,100,1537,1,蟾蜍王
24,100,1545,1,蜈蚣王
24,100,1553,1,流氓鳄
24,100,1560,1,头巾混混
24,100,1573,1,奇诺栗鼠
24,100,1576,1,哥德小姐
24,100,1615,1,几何雪花
24,100,1620,1,师父鼬
24,100,1681,1,坚盾剑怪
24,100,1996,1,春季鹿
24,100,1997,1,夏季鹿
24,100,1998,1,秋季鹿
24,100,1999,1,冬季鹿
25,97,601144,30,急冻鸟碎片
25,97,601145,30,闪电鸟碎片
25,97,601146,30,火焰鸟碎片
25,97,601243,30,雷公碎片
25,97,601244,30,炎帝碎片
25,97,601245,30,水君碎片
25,97,601377,30,雷吉洛克碎片
25,97,601378,30,雷吉艾斯碎片
25,97,601379,30,雷吉斯奇鲁碎片
25,97,601380,30,拉帝亚斯碎片
25,97,601381,30,拉帝欧斯碎片
25,97,601638,30,勾帕路翁碎片
25,97,601639,30,代拉基翁碎片
25,97,601640,30,毕力吉翁碎片
25,97,601641,30,龙卷云碎片
25,97,601642,30,雷电云碎片
25,97,601645,30,土地云碎片
25,97,601993,30,由克希碎片
25,97,601994,30,艾姆利多碎片
25,97,601995,30,亚克诺姆碎片
25,3,1144,1,急冻鸟
25,3,1145,1,闪电鸟
25,3,1146,1,火焰鸟
25,3,1243,1,雷公
25,3,1244,1,炎帝
25,3,1245,1,水君
25,3,1377,1,雷吉洛克
25,3,1378,1,雷吉艾斯
25,3,1379,1,雷吉斯奇鲁
25,3,1380,1,拉帝亚斯
25,3,1381,1,拉帝欧斯
25,3,1638,1,勾帕路翁
25,3,1639,1,代拉基翁
25,3,1640,1,毕力吉翁
25,3,1641,1,龙卷云
25,3,1642,1,雷电云
25,3,1645,1,土地云
25,3,1993,1,由克希
25,3,1994,1,艾姆利多
25,3,1995,1,亚克诺姆
26,100,1030,1,尼多娜
26,100,1033,1,尼多力诺
26,100,1058,1,卡蒂狗
26,100,1064,1,勇基拉
26,100,1067,1,豪力
26,100,1093,1,鬼斯通
26,100,1042,1,大嘴蝠
26,100,1204,1,榛果球
26,100,1271,1,莲帽小童
26,100,1274,1,长鼻叶
26,100,1291,1,铁面忍者
26,100,1309,1,落雷兽
26,100,1320,1,吼吼鲸
26,100,1329,1,超音波幼虫
26,100,1427,1,卷卷耳
26,100,1449,1,沙河马
26,100,1299,1,朝北鼻
26,100,1356,1,彷徨夜灵
26,100,1507,1,哈约克
26,100,1525,1,地幔岩
26,100,1536,1,蓝蟾蜍
26,100,1544,1,车轮球
26,100,1552,1,混混鳄
26,100,1559,1,滑滑小子
26,100,1572,1,泡沫栗鼠
26,100,1575,1,哥德小童
26,100,1619,1,功夫鼬
26,100,1680,1,双剑鞘
26,100,1585,1,四季鹿
27,100,1018,1,大比鸟
27,100,1031,1,尼多后
27,100,1034,1,尼多王
27,100,1059,1,风速狗
27,100,1062,1,快泳蛙
27,100,1065,1,胡地
27,100,1068,1,怪力
27,100,1115,1,袋兽
27,100,1169,1,叉字蝠
27,100,1189,1,毽子棉
27,100,1196,1,太阳伊布
27,100,1197,1,月亮伊布
27,100,1205,1,佛烈托斯
27,100,1213,1,壶壶
27,100,1272,1,乐天河童
27,100,1275,1,狡猾天狗
27,100,1292,1,脱壳忍者
27,100,1310,1,雷电兽
27,100,1321,1,吼鲸王
27,100,1330,1,沙漠蜻蜓
27,100,1428,1,长耳兔
27,100,1450,1,河马兽
27,100,1430,1,乌鸦头头
27,100,1465,1,巨蔓藤
27,100,1467,1,鸭嘴焰龙
27,100,1469,1,远古巨蜓
27,100,1470,1,叶伊布
27,100,1471,1,冰伊布
27,100,1476,1,大朝北鼻
27,100,1356,1,彷徨夜灵
27,100,1477,1,黑夜魔灵
27,100,1508,1,长毛狗
27,100,1526,1,庞岩怪
27,100,1537,1,蟾蜍王
27,100,1545,1,蜈蚣王
27,100,1553,1,流氓鳄
27,100,1560,1,头巾混混
27,100,1573,1,奇诺栗鼠
27,100,1576,1,哥德小姐
27,100,1615,1,几何雪花
27,100,1620,1,师父鼬
27,100,1637,1,火神虫
27,100,1681,1,坚盾剑怪
27,100,1699,1,冰雪巨龙
27,100,1996,1,春季鹿
27,100,1997,1,夏季鹿
27,100,1998,1,秋季鹿
27,100,1999,1,冬季鹿
28,100,601018,20,大比鸟碎片
28,100,601031,20,尼多后碎片
28,100,601034,20,尼多王碎片
28,100,601059,20,风速狗碎片
28,100,601062,20,快泳蛙碎片
28,100,601065,20,胡地碎片
28,100,601068,20,怪力碎片
28,100,601115,20,袋兽碎片
28,100,601169,20,叉字蝠碎片
28,100,601189,20,毽子棉碎片
28,100,601196,20,太阳伊布碎片
28,100,601197,20,月亮伊布碎片
28,100,601205,20,佛烈托斯碎片
28,100,601213,20,壶壶碎片
28,100,601272,20,乐天河童碎片
28,100,601275,20,狡猾天狗碎片
28,100,601292,20,脱壳忍者碎片
28,100,601310,20,雷电兽碎片
28,100,601321,20,吼鲸王碎片
28,100,601330,20,沙漠蜻蜓碎片
28,100,601428,20,长耳兔碎片
28,100,601450,20,河马兽碎片
28,100,601430,20,乌鸦头头碎片
28,100,601465,20,巨蔓藤碎片
28,100,601467,20,鸭嘴焰龙碎片
28,100,601469,20,远古巨蜓碎片
28,100,601470,20,叶伊布碎片
28,100,601471,20,冰伊布碎片
28,100,601476,20,大朝北鼻碎片
28,100,601356,20,彷徨夜灵碎片
28,100,601477,20,黑夜魔灵碎片
28,100,601508,20,长毛狗碎片
28,100,601526,20,庞岩怪碎片
28,100,601537,20,蟾蜍王碎片
28,100,601545,20,蜈蚣王碎片
28,100,601553,20,流氓鳄碎片
28,100,601560,20,头巾混混碎片
28,100,601573,20,奇诺栗鼠碎片
28,100,601576,20,哥德小姐碎片
28,100,601615,20,几何雪花碎片
28,100,601620,20,师父鼬碎片
28,100,601637,20,火神虫碎片
28,100,601681,20,坚盾剑怪碎片
28,100,601699,20,冰雪巨龙碎片
28,100,601996,20,春季鹿碎片
28,100,601997,20,夏季鹿碎片
28,100,601998,20,秋季鹿碎片
28,100,601999,20,冬季鹿碎片
29,100,1017,1,1-2星紫宠道具+比比鸟
29,100,1204,1,榛果球
29,100,1291,1,铁面忍者
29,100,1320,1,吼吼鲸
29,100,1449,1,沙河马
29,100,1299,1,朝北鼻
29,100,1355,1,夜巡灵
29,100,1559,1,滑滑小子
29,100,1572,1,泡沫栗鼠
29,100,1619,1,功夫鼬
29,100,1585,1,四季鹿
29,1500,10012,10,高级经验卡
29,400,10013,5,特级经验卡
29,800,10022,3,高级晋升卡
29,200,10023,1,特级晋升卡
29,1200,10112,10,普通进化福袋
29,600,10113,5,精致进化福袋
29,100,10114,3,华丽进化福袋
29,800,10143,10,努力石小福袋
29,200,10144,5,努力石中福袋
29,60,10145,3,努力石大福袋
29,600,12151,20,低阶进化卡
29,60,12152,10,中阶进化卡
29,200,12211,5,性格洗练石
29,300,12400,200,羽毛
29,300,12401,200,线球
29,300,12500,15,弱效附魔药水
29,100,12501,5,强效附魔药水
29,300,12503,10,原力结晶
29,300,12601,15,魔力糖果
29,300,13001,10,精灵球
29,600,10086,5,紫色万能碎片
29,100,10087,3,橙色万能碎片
29,500,10012,20,高级经验卡
29,200,10013,10,特级经验卡
29,100,10022,5,高级晋升卡
29,50,10023,3,特级晋升卡
29,200,10112,10,普通进化福袋
29,100,10113,8,精致进化福袋
29,20,10114,6,华丽进化福袋
29,200,10143,12,努力石小福袋
29,100,10144,7,努力石中福袋
29,20,10145,5,努力石大福袋
29,200,12151,20,低阶进化卡
29,20,12152,10,中阶进化卡
29,66,12211,5,性格洗练石
29,100,12400,300,羽毛
29,100,12401,300,线球
29,100,12500,50,弱效附魔药水
29,33,12501,20,强效附魔药水
29,100,12503,30,原力结晶
29,100,12601,15,魔力糖果
29,100,13001,10,精灵球
29,5000,10308,20,普通技能券
29,2000,10309,10,高级技能券
29,100,10086,10,紫色万能碎片
29,50,10087,5,橙色万能碎片
31,300,1010,1,绿毛虫
31,200,1011,1,铁甲蛹
31,100,1012,1,巴大蝴
31,300,1019,1,小拉达
31,100,1020,1,拉达
31,300,1021,1,烈雀
31,100,1022,1,大嘴雀
31,200,1035,1,皮皮
31,100,1036,1,皮可西
31,200,1048,1,毛球
31,100,1049,1,摩鲁蛾
31,300,1050,1,地鼠
31,100,1051,1,三地鼠
31,300,1052,1,喵喵
31,100,1053,1,猫老大
31,200,1083,1,大葱鸭
31,200,1084,1,嘟嘟
31,100,1085,1,嘟嘟利
31,200,1100,1,雷电球
31,100,1101,1,顽皮弹
31,100,1114,1,蔓藤怪
31,200,1137,1,3D龙
31,300,1173,1,皮宝宝
31,100,1203,1,麒麟奇
31,100,1206,1,土龙弟弟
31,300,1211,1,千针鱼
31,300,1235,1,图图犬
31,300,1311,1,正电拍拍
31,300,1312,1,负电拍拍
31,300,1013,1,独角虫
31,200,1014,1,铁壳蛹
31,300,1023,1,阿柏蛇
31,100,1024,1,阿柏怪
31,200,1027,1,穿山鼠
31,100,1028,1,穿山王
31,200,1039,1,胖丁
31,100,1040,1,胖可丁
31,300,1043,1,走路草
31,200,1044,1,臭臭花
31,100,1045,1,霸王花
31,300,1046,1,派拉斯
31,100,1047,1,派拉斯特
31,200,1054,1,可达鸭
31,100,1055,1,哥达鸭
31,200,1056,1,猴怪
31,100,1057,1,火爆猴
31,300,1074,1,小拳石
31,200,1075,1,隆隆石
31,100,1076,1,隆隆岩
31,200,1086,1,小海狮
31,100,1087,1,白海狮
31,200,1098,1,大钳蟹
31,100,1099,1,巨钳蟹
31,200,1104,1,卡拉卡拉
31,100,1105,1,嘎拉嘎拉
31,100,1985,1,迷之嘎拉嘎拉
31,200,1108,1,大舌头
31,200,1109,1,瓦斯弹
31,100,1110,1,双弹瓦斯
31,200,1118,1,角金鱼
31,100,1119,1,金鱼王
31,100,1122,1,吸盘魔偶
31,100,1124,1,迷唇姐
31,300,1132,1,百变怪
31,200,1138,1,菊石兽
31,100,1139,1,多刺菊石兽
31,200,1140,1,化石盔
31,100,1141,1,镰刀盔
31,1000,1170,1,灯笼鱼
31,100,1171,1,电灯怪
31,300,1174,1,宝宝丁
31,100,1182,1,美丽花
31,100,1185,1,树才怪
31,100,1202,1,果然翁
31,100,1241,1,大奶罐
31,200,1273,1,橡实果
31,100,1274,1,长鼻叶
31,100,1291,1,铁面忍者
31,100,1307,1,玛沙那
31,200,1343,1,天秤偶
31,100,1344,1,念力土偶
31,100,1345,1,触手百合
31,100,1425,1,飘飘球
31,100,1463,1,大舌舔
31,100,1572,1,泡沫栗鼠
31,100,1585,1,四季鹿
31,200,1597,1,种子铁球
31,100,1598,1,坚果哑铃
31,100,1622,1,泥偶小人
31,200,1434,1,臭鼬噗
31,100,1435,1,坦克臭鼬
31,200,1527,1,滚滚蝙蝠
31,100,1528,1,心蝙蝠
31,200,1580,1,鸭宝宝
31,100,1581,1,舞天鹅
31,100,1594,1,保姆曼波
31,300,1976,1,黑夜小拉达
31,100,1977,1,黑夜拉达
31,200,1978,1,冰雪穿山鼠
31,100,1979,1,冰雪穿山王
31,300,1980,1,坏喵喵
31,100,1981,1,黑猫老大
31,710,10002,5,高级钱袋
31,710,10012,5,高级经验卡
31,710,12002,10,蘑菇
31,250,12221,5,物攻努力石1
31,200,12222,5,物攻努力石2
31,150,12223,5,物攻努力石3
31,100,12224,5,物攻努力石4
31,50,12225,5,物攻努力石5
31,250,12226,5,特攻努力石1
31,200,12227,5,特攻努力石2
31,150,12228,5,特攻努力石3
31,100,12229,5,特攻努力石4
31,50,12230,5,特攻努力石5
31,250,12231,5,物防努力石1
31,200,12232,5,物防努力石2
31,150,12233,5,物防努力石3
31,100,12234,5,物防努力石4
31,50,12235,5,物防努力石5
31,250,12236,5,特防努力石1
31,200,12237,5,特防努力石2
31,150,12238,5,特防努力石3
31,100,12239,5,特防努力石4
31,50,12240,5,特防努力石5
31,250,12241,5,速度努力石1
31,200,12242,5,速度努力石2
31,150,12243,5,速度努力石3
31,100,12244,5,速度努力石4
31,50,12245,5,速度努力石5
31,250,12246,5,血量努力石1
31,200,12247,5,血量努力石2
31,150,12248,5,血量努力石3
31,100,12249,5,血量努力石4
31,50,12250,5,血量努力石5
31,500,13001,5,精灵球
31,500,13031,20,强攻阵型卷轴
31,500,13032,20,防御阵型卷轴
31,500,13033,20,速攻阵型卷轴
31,500,13034,20,控制阵型卷轴
31,500,13035,20,消耗阵型卷轴
41,6491,4001,1,单次寻宝
41,2545,4002,1,
41,545,4003,1,
41,6491,4051,1,
41,2545,4052,1,
41,545,4053,1,
41,6491,4101,1,
41,2545,4102,1,
41,545,4103,1,
41,6491,4151,1,
41,2545,4152,1,
41,545,4153,1,
41,6491,4201,1,
41,2545,4202,1,
41,545,4203,1,
41,6491,4251,1,
41,2545,4252,1,
41,545,4253,1,
41,6491,4301,1,
41,2545,4302,1,
41,545,4303,1,
41,6491,4351,1,
41,2545,4352,1,
41,545,4353,1,
41,6491,4501,1,
41,2545,4502,1,
41,545,4503,1,
41,6491,4551,1,
41,2545,4552,1,
41,545,4553,1,
41,6491,4601,1,
41,2545,4602,1,
41,545,4603,1,
41,6491,4651,1,
41,2545,4652,1,
41,545,4653,1,
41,6491,4701,1,
41,2545,4702,1,
41,545,4703,1,
45,100,4003,1,
45,100,4053,1,
45,100,4103,1,
45,100,4153,1,
45,100,4203,1,
45,100,4253,1,
45,100,4303,1,
45,100,4353,1,
45,100,4503,1,
45,100,4553,1,
45,100,4603,1,
45,100,4653,1,
45,100,4703,1,
101,3,2,20000,钻石
501,1,1174,1,宝宝丁
511,1,1175,1,波克比
541,1,4152,1,
1001,300,2150,1,超梦碎片
1001,300,2151,1,梦幻碎片
1001,300,2249,1,特殊次寻宝
1001,300,2250,1,凤王碎片
1001,300,2251,1,时拉比碎片
1001,300,2382,1,盖欧卡碎片
1001,300,2383,1,固拉多碎片
1001,300,2384,1,烈空坐碎片
1001,300,2385,1,基拉祈碎片
1001,700,13001,2,精灵球
1001,450,13002,1,高级球
1001,250,13003,1,大师球
1001,700,12006,3,苹果
1001,450,12007,3,草莓
1001,250,12008,3,菠萝
1001,550,12201,2,个体洗练石
1001,550,12211,2,性格洗练石
1001,100,2150,2,超梦碎片
1001,100,2151,2,梦幻碎片
1001,100,2249,2,洛奇亚碎片
1001,100,2250,2,凤王碎片
1001,100,2251,2,时拉比碎片
1001,100,2382,2,盖欧卡碎片
1001,100,2383,2,固拉多碎片
1001,100,2384,2,烈空坐碎片
1001,100,2385,2,基拉祈碎片
1051,100,2150,20,超梦碎片
1051,100,2151,20,梦幻碎片
1051,100,2249,20,洛奇亚碎片
1051,100,2250,20,凤王碎片
1051,100,2251,20,时拉比碎片
1051,100,2382,20,盖欧卡碎片
1051,100,2383,20,首次特殊寻宝
1051,100,2384,20,10次寻宝
1051,100,2385,20,基拉祈碎片
5001,7000,13051,80,家园木料
5001,6000,13051,90,家园木料
5001,5000,13051,100,家园木料
5001,7000,13052,40,家园石料
5001,6000,13052,45,家园石料
5001,5000,13052,50,家园石料
5001,60,14001,1,公园绿长椅图纸
5001,60,14002,1,路边石灯图纸
5001,60,14003,1,尖型石柱图纸
5001,60,14004,1,木质邮箱图纸
5001,60,14005,1,小狗石柱图纸
5001,60,14006,1,长明路灯图纸
5001,60,14007,1,铁质路标图纸
5001,60,14008,1,木质路标图纸
5001,60,14009,1,消防栓图纸
5001,60,14010,1,太阳大伞图纸
5001,60,14101,1,精灵研制中心图纸
5001,60,14102,1,精灵便利店图纸
5001,60,14103,1,普通民居图纸
5001,60,14104,1,神秘便利店图纸
5001,60,14105,1,精灵塔图纸
5001,60,14106,1,精灵大厦图纸
5001,60,14107,1,精灵中心图纸
5001,60,14108,1,精灵商店图纸
5001,60,14109,1,精灵博士所图纸
5001,60,14110,1,高级民居图纸
5001,60,14201,1,枯树图纸
5001,60,14202,1,桧柏图纸
5001,60,14203,1,圆柏树图纸
5001,60,14204,1,榆树图纸
5001,60,14205,1,椰树图纸
5001,60,14206,1,雪松图纸
5001,60,14207,1,棕榈图纸
5001,60,14208,1,远古树图纸
5001,60,14209,1,特殊10次寻宝
5001,60,14210,1,香柏树图纸
5051,100,14001,1,公园绿长椅图纸
5051,100,14002,1,路边石灯图纸
5051,100,14003,1,尖型石柱图纸
5051,100,14004,1,木质邮箱图纸
5051,100,14005,1,小狗石柱图纸
5051,100,14006,1,长明路灯图纸
5051,100,14007,1,铁质路标图纸
5051,100,14008,1,木质路标图纸
5051,100,14009,1,消防栓图纸
5051,100,14010,1,太阳大伞图纸
5051,100,14101,1,精灵研制中心图纸
5051,100,14102,1,精灵便利店图纸
5051,100,14103,1,普通民居图纸
5051,100,14104,1,神秘便利店图纸
5051,100,14105,1,精灵塔图纸
5051,100,14106,1,精灵大厦图纸
5051,100,14107,1,精灵中心图纸
5051,100,14108,1,精灵商店图纸
5051,100,14109,1,精灵博士所图纸
5051,100,14110,1,高级民居图纸
5051,100,14201,1,枯树图纸
5051,100,14202,1,桧柏图纸
5051,100,14203,1,圆柏树图纸
5051,100,14204,1,榆树图纸
5051,100,14205,1,椰树图纸
5051,100,14206,1,雪松图纸
5051,100,14207,1,棕榈图纸
5051,100,14208,1,远古树图纸
5051,100,14209,1,单次搜神
5051,100,14210,1,香柏树图纸
5091,100,14101,1,精灵研制中心图纸
5501,7000,13051,80,家园木料
5501,6000,13051,90,家园木料
5501,5000,13051,100,家园木料
5501,7000,13052,40,家园石料
5501,6000,13052,45,家园石料
5501,5000,13052,50,家园石料
5501,80,14001,1,公园绿长椅图纸
5501,80,14002,1,路边石灯图纸
5501,80,14003,1,尖型石柱图纸
5501,80,14004,1,木质邮箱图纸
5501,80,14005,1,小狗石柱图纸
5501,80,14006,1,长明路灯图纸
5501,80,14007,1,铁质路标图纸
5501,80,14008,1,木质路标图纸
5501,80,14009,1,消防栓图纸
5501,80,14010,1,太阳大伞图纸
5501,80,14101,1,精灵研制中心图纸
5501,80,14102,1,精灵便利店图纸
5501,80,14103,1,普通民居图纸
5501,80,14104,1,神秘便利店图纸
5501,80,14105,1,精灵塔图纸
5501,80,14106,1,精灵大厦图纸
5501,80,14107,1,精灵中心图纸
5501,80,14108,1,精灵商店图纸
5501,80,14109,1,精灵博士所图纸
5501,80,14110,1,高级民居图纸
5501,80,14201,1,枯树图纸
5501,80,14202,1,桧柏图纸
5501,80,14203,1,圆柏树图纸
5501,80,14204,1,榆树图纸
5501,80,14205,1,椰树图纸
5501,80,14206,1,雪松图纸
5501,80,14207,1,棕榈图纸
5501,80,14208,1,远古树图纸
5501,80,14209,1,仙人掌图纸
