特性ID,特性名称,特性描述,星级0(几率=数/100，有%1.5的情况),星级1,星级2,星级3,星级4,星级5,星级6,星级7,星级8,星级9,星级10,星级11,星级12,星级13,星级14,星级15,星级16,星级17,星级18,星级19,星级20,触发后是否会显示名字（0：显示，1：不显示）,是否为固定值
24,[#fcff12]无防守,  [#18ff00]自身攻击和对手攻击都必定命中。每次攻击时速度提升{0}%。,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,1,
25,[#fcff12]恒净之躯,  [#18ff00]自身能力不会受到状态的影响。生命值下降{0}%以下时，每回合自身回复最大生命值的{1}%,30;4,30;5,30;6,35;8,35;9,35;10,40;12,40;13,40;14,40;16,40;16,40;16,40;16,40;16,40;16,40;16,40;16,40;16,40;16,40;16,40;16,0,
26,[#fcff12]结实,  [#18ff00]每次当生命值下降到0以下时，有{0}%几率自身回复生命值上限{1}%。,22;10,24;10,26;10,28;10,30;10,32;10,34;10,36;10,38;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,0,
27,[#fcff12]再生力,  [#18ff00]每回合回复最大生命值的{0}%。,2,4,6,8,10,12,14,16,18,20,20,20,20,20,20,20,20,20,20,20,20,0,
28,[#fcff12]分析,  [#18ff00]自身回避率提升{0}%，自身命中提升{1}%。,3;3,4;4,5;5,6;6,7;7,8;8,10;10,12;12,13;13,15;15,15;15,15;15,15;15,15;15,15;15,15;15,15;15,15;15,15;15,15;15,15;15,1,
29,[#fcff12]长跑健将,  [#18ff00]自身速度提升{0}%。,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,1,
30,[#fcff12]厚脂肪,  [#18ff00]受到的火属性和水属性伤害降低{0}%。,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,1,
31,[#fcff12]毒手,  [#18ff00]攻击时有{0}%几率使攻击目标中毒。,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,0,
32,[#fcff12]硬壳盔甲,  [#18ff00]不会被命中要害。生命值下降到{0}%以下时，物防提高{1}%，特防提高{2}%。,25;12;12,25;14;14,25;16;16,30;18;18,30;20;20,30;22;22,35;24;24,35;26;26,35;28;28,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,35;30;30,1,
33,[#fcff12]诅咒之躯,  [#18ff00]当体力小于{0}%时，恶属性招式的威力增长为{1}%。,30;106,30;112,30;118,30;127,30;133,30;139,30;148,30;154,30;160,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,1,
34,[#fcff12]怪力钳,  [#18ff00]自身物理攻击力提升{0}%。,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,1,
35,[#fcff12]引爆,  [#18ff00]当自己被击倒时，击倒自己的损失{0}%生命值。,10,12,14,17,19,21,24,26,28,32,32,32,32,32,32,32,32,32,32,32,32,0,
36,[#fcff12]坚忍,  [#18ff00]不会陷入不能行动状态。每次攻击时有{0}%几率回复这次伤害的{1}%生命值,30;12,30;14,30;16,30;18,30;20,30;22,30;24,30;26,30;28,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,0,
37,[#fcff12]舍身,  [#18ff00]自身伤害提升{0}%，但攻击时有{1}%几率自身损失最大生命值的{2}%。,4;50;3,8;50;4,12;50;5,16;50;6,20;50;7,24;50;8,28;50;9,32;50;10,36;50;11,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,40;50;12,0,
38,[#fcff12]迟钝,  [#18ff00]不会陷入混乱状态。受到攻击时对手有{0}%几率混乱。,6,7,8,10,11,12,14,15,16,18,18,18,18,18,18,18,18,18,18,18,18,0,
39,[#fcff12]天恩,  [#18ff00]招式的追加效果出现率提升{0}%。,6,7,8,10,11,12,14,15,16,18,18,18,18,18,18,18,18,18,18,18,18,1,
40,[#fcff12]不服输,  [#18ff00]攻击被克制的时，伤害不会下降。攻击克制的时，伤害提升{0}%。,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,1,
41,[#fcff12]水幕,  [#18ff00]不会进入灼伤或中毒状态。受到攻击时对手有{0}%几率冰冻。,6,7,8,10,11,12,14,15,16,18,18,18,18,18,18,18,18,18,18,18,18,0,
42,[#fcff12]自然回复,  [#18ff00]每回合有{0}%机率治愈自身异常状态。,12,18,24,33,39,45,54,60,66,75,75,75,75,75,75,75,75,75,75,75,75,0,
43,[#fcff12]过滤,  [#18ff00]受到克制自己属性伤害下降{0}%。,4,8,12,16,20,24,28,32,36,40,40,40,40,40,24,24,24,24,24,24,24,1,
44,[#fcff12]火焰之躯,  [#18ff00]受到攻击时对手有{0}%几率灼伤。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,0,
45,[#fcff12]悠游自如,  [#18ff00]使用水系技能后自身速度提升{0}%，不可叠加,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,1,
46,[#fcff12]威吓,  [#18ff00]对面所有伤害下降{0}%。不能叠加。,4,5,6,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,1,
47,[#fcff12]变身者,  [#18ff00]不受属性影响。每次被攻击时有{0}%几率自身回复最大生命值的{1}%。,15;5,15;6,15;7,20;8,20;9,20;10,25;11,25;12,25;13,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,0,
48,[#fcff12]适应力,  [#18ff00]属性一致伤害提升{0}%。,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,1,
49,[#fcff12]超幸运,  [#18ff00]对手防御小于特防时，自身物攻伤害提升{0}%；否则自身特殊伤害提升{1}%。,4;4,6;6,8;8,11;11,13;13,15;15,18;18,20;20,22;22,25;25,25;25,25;25,25;25,25;25,25;25,25;25,25;25,25;25,25;25,25;25,25;25,1,
50,[#fcff12]神鸟,  [#18ff00]使用水系招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
51,[#fcff12]神鸟,  [#18ff00]使用妖系招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
52,[#fcff12]神鸟,  [#18ff00]使用火焰招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
53,[#fcff12]神奇鳞片,  [#18ff00]生命值满时，受到的伤害下降{0}%。,15,18,21,24,27,30,33,36,39,42,42,42,42,42,42,42,42,42,42,42,42,1,
54,[#fcff12]暗之精灵,  [#18ff00]登场时，己方所有恶系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
55,[#fcff12]妖之精灵,  [#18ff00]登场时，己方所有妖系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
56,[#fcff12]圣兽,  [#18ff00]使用水系招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
57,[#fcff12]圣兽,  [#18ff00]使用恶系招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
58,[#fcff12]圣兽,  [#18ff00]使用火焰招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
59,[#fcff12]庇护所,  [#18ff00]登场时，己方受到物理伤害降低{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
60,[#fcff12]庇护所,  [#18ff00]登场时，己方受到特殊伤害降低{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
61,[#fcff12]草之精灵,  [#18ff00]登场时，己方所有草系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
62,[#fcff12]相依相伴,  [#18ff00]与拉帝欧斯同时上场时，自身受到伤害降低{0}%，自身造成伤害提高{1}%。,3;3,6;6,9;9,12;12,15;15,18;18,21;21,24;24,27;27,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,1,
63,[#fcff12]相依相伴,  [#18ff00]与拉帝亚斯同时上场时，自身受到伤害降低{0}%，自身造成伤害提高{1}%。,3;3,6;6,9;9,12;12,15;15,18;18,21;21,24;24,27;27,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,30;30,1,
64,[#fcff12]水之精灵,  [#18ff00]登场时，己方所有水系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
65,[#fcff12]火之精灵,  [#18ff00]登场时，己方所有火系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
66,[#fcff12]龙血精灵,  [#18ff00]登场时，己方所有龙系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
67,[#fcff12]许愿之星,  [#18ff00]到自己回合时己方回复{0}%的最大生命值。,3,4,5,6,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,1,
68,[#fcff12]储能,  [#18ff00]受到妖属性伤害时攻击力提升{0}%，不可叠加,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,1,
69,[#fcff12]多重鳞片,  [#18ff00]当体力小于{0}%时，龙属性招式的威力增长为{1}%。,30;106,30;112,30;118,30;127,30;133,30;139,30;148,30;154,30;160,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,1,
70,[#fcff12]雪隐,  [#18ff00]当体力小于{0}%时，冰属性技能的伤害提升{1}%。,30;6,30;12,30;18,30;27,30;33,30;39,30;48,30;54,30;60,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,1,
71,[#fcff12]神鸟,  [#18ff00]使用冰系招式伤害提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
72,[#fcff12]冰雪精灵,  [#18ff00]登场时，己方所有冰系伤害提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
73,[#fcff12]冰冻之躯,  [#18ff00]受到攻击时有{0}%几率自身回复最大生命值的{1}%。,15;5,15;6,15;7,20;8,20;9,20;10,25;11,25;12,25;13,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,0,
74,[#fcff12]圣雪降临,  [#18ff00]受到攻击时有{0}%几率己方回复{1}%的最大生命值。,5;5,5;6,5;7,7;8,7;9,7;10,10;11,10;12,10;13,10;15,10;15,10;15,10;15,10;15,10;15,10;15,10;15,10;15,10;15,10;15,10;15,0,
75,[#fcff12]紧张感,  [#18ff00]攻击时{0}%几率再次攻击目标，最多触发3次，连击伤害每次降低{1}%.,40;50,40;47,40;44,40;41,40;38,40;35,40;32,40;29,40;26,40;23,40;23,40;23,40;23,40;23,40;23,40;23,40;23,40;23,40;23,40;23,40;23,0,
76,[#fcff12]沉睡,  [#18ff00]攻击时{0}%触发梦境，随机催眠{1}名敌军，持续2个回合.,13;1,15;1,17;1,19;1,21;1,23;1,25;1,27;1,30;1,20;2,20;2,20;2,20;2,20;2,20;2,20;2,20;2,20;2,20;2,20;2,20;2,0,1
77,[#fcff12]自然馈赠,  [#18ff00]暴击时，提高自身{0}%的闪避和{1}%的物攻伤害，持续2回合.,2.5;6.5;22002,3.5;9.5;22004,5;14;22007,6;17;22009,7;20;22011,8;23;22013,9.5;27.5;22016,10.5;30.5;22018,11.5;33.5;22020,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,13;38;22023,0,1
78,[#fcff12]（旧）炎之霸主,  [#18ff00]攻击灼烧敌人，增加{0}伤害,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,1
1078,[#fcff12]日照,"  [#18ff00]暴击时发动狂暴之炎，额外造成对方全体{0}%物攻的真实伤害，并降低{1}%的物、特防,持续2回合",8;10;21060,10;13;21063,10;15;21065,12;17;21067,14;19;21069,14;21;21071,16;24;21074,18;26;21076,20;28;21078,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,22;31;21081,0,1
79,[#fcff12]降雨,  [#18ff00]暴击时发动潮汐之力，额外造成{0}%特攻的真实伤害，并降低全敌{1}%的物、特攻，持续2回合,8;10;20010,10;13;20013,10;15;20015,12;17;20017,14;19;20019,14;21;20021,16;24;20024,18;26;20026,20;28;20028,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,22;31;20031,0,1
80,[#fcff12]降雪,  [#18ff00]制造极寒气流，对全敌造成{0}%物攻的真实伤害，每回合气流伤害增加{1}%.,1.0;0.1,1.4;0.1,1.8;0.1,2.2;0.2,2.6;0.2,3.0;0.2,3.4;0.3,3.8;0.3,4.2;0.3,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,4.6;0.4,0,
81,[#fcff12]龙之野心,  [#18ff00]击败敌人时，立刻恢复自身{0}%的最大生命值,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,
82,[#fcff12]龙之复仇,  [#18ff00]被击败时，释放复仇对全敌造成超火龙生命值{0}%的真实伤害（自损无效）,6,7,8,9,10,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,0,
83,[#fcff12]恶作剧,  [#18ff00]攻击时有{0}%概率吞噬目标{1}点能量，每点能量转化{2}点HP,10;5;100,11;6;200,12;7;300,13;8;400,14;9;500,15;10;600,16;11;700,17;12;800,18;13;900,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,18;15;1000,0,1
84,[#fcff12]拳法宗师,"  [#18ff00]路卡利欧灵活身法增加{0}%的闪避，躲避敌人攻击时，立刻进行反击,造成这次伤害50%的反击伤害。",8,9,10,11,12,13,14,15,16,18,18,18,18,18,18,18,18,18,18,18,18,1,
85,[#fcff12]折射,  [#18ff00]降低所受{0}%的伤害，并将所受伤害的{1}%转化为恶念弹返还给全敌.,13;10,14;12,15;14,17;16,18;18,19;20,21;23,22;25,23;27,25;30,25;30,25;30,25;30,25;30,25;30,25;30,25;30,25;30,25;30,25;30,25;30,0,
86,[#fcff12]无畏,  [#18ff00]自身HP为0时，激活涅槃，恢复全军{0}%的HP，每场战斗仅可触发{1}次.,8;1,12;1,16;1,8;2,12;2,16;2,8;3,12;3,16;3,20;3,20;3,20;3,20;3,20;3,20;3,20;3,20;3,20;3,20;3,20;3,20;3,0,1
87,[#fcff12]天空之龙,  [#18ff00]利用龙之力提高全军物攻与特攻，增加量为自身物攻与特攻的{0}%.,6,7,8,9,10,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,0,
88,[#fcff12]勇气鼓舞,  [#18ff00]提高所有友军{0}%的最大生命上限.,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,0,
89,[#fcff12]冰霜之躯,  [#18ff00]充满冰刺的厚重毛发免疫敌人的暴击，并反弹{0}%的伤害,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,0,
90,[#fcff12]超合金甲,  [#18ff00]凯罗斯的甲壳可以减少{0}%所受伤害，并有{1}%的几率麻痹攻击者1回合,6;8,7;8,8;8,8;10,9;10,10;10,11;12,12;12,13;12,15;12,15;12,15;12,15;12,15;12,15;12,15;12,15;12,15;12,15;12,15;12,15;12,0,
91,[#fcff12]绽放,  [#18ff00]击败敌人时，绽放花朵，恢复全军{0}点生命值,1000,1500,2000,3000,4000,5000,6500,8000,9500,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,1
92,[#fcff12]移动炮台,  [#18ff00]被攻击时，{0}%几率发动乱射攻击3名敌军，造成{1}%特攻的真实伤害,15;5,15;6,15;7,20;8,20;9,20;10,25;11,25;12,25;13,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,0,
93,[#fcff12]蓄能,  [#18ff00]提高自身{0}%的暴击，暴击时，有{1}%的几率，麻痹目标1回合,1.5;25;26002,2.5;25;26004,3.5;25;26006,5;25;26009,6;28;26011,7;30;26013,8.5;33;26016,9.5;35;26018,10;36;26019,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,11;38;26021,0,1
94,[#fcff12]火焰领域,  [#18ff00]受到伤害时，随机对3名敌人播撒火种，造成特攻{0}%的真实伤害,4,5,6,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,
95,[#fcff12]雷罚,  [#18ff00]暴击时，随机召唤雷电攻击2名敌人，造成特攻{0}%的真实伤害,10,11,12,13,14,15,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,0,
96,[#fcff12]嗜血本能,  [#18ff00]将对敌人伤害的{0}%转化为自身治疗,3,4,5,7,8,9,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,0,
97,[#fcff12]冷酷猎手,  [#18ff00]敌人每损失10%hp，对其造成的伤害提高{0}%,1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,0,
98,[#fcff12]疾风之龙,  [#18ff00]攻击时，有{0}%的概率额外发动1次龙爪,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,0,
99,[#fcff12]跳跃闪电,  [#18ff00]攻击时有{0}%概率，释放2枚闪电球，随机攻击目标，造成物攻{1}%的伤害,15;5,15;6,15;7,20;8,20;9,20;10,25;11,25;12,25;13,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,25;15,0,
100,[#fcff12]麻痹獠牙,  [#18ff00]攻击时有{0}%概率，麻痹对手1个回合，并使目标物防、特防下降{1}%,8;12;23012,9;14;23014,10;16;23016,11;18;23018,12;20;23020,13;22;23022,14;24;23024,15;26;23026,16;28;23028,18;31;23031,18;31;23032,18;31;23033,18;31;23034,18;31;23035,18;31;23036,18;31;23037,18;31;23038,18;31;23039,18;31;23040,18;31;23041,18;31;23042,0,1
101,[#fcff12]奇异之鳞,  [#18ff00]受攻击时，将所受伤害{0}%转化为治疗，治愈全体友军,6,7,8,10,11,12,14,15,16,18,18,18,18,18,18,18,18,18,18,18,18,0,
102,[#fcff12]白雾之语,  [#18ff00]被攻击时，有{0}%几率将自身寒气转化为白雾保护队友，提高全队{1}%的闪避,13;6;25011,15;7;25013,17;8;25015,19;9;25017,21;10;25019,23;11;25021,25;12;25023,27;13;25025,29;14;25027,31;15;25029,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,13;11;25021,0,1
103,[#fcff12]炎之庇护,  [#18ff00]友军受到火系与恶系伤害时，恢复{0}%的生命,3,4,5,7,8,9,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,0,
104,[#fcff12]水之庇护,  [#18ff00]友军受到水系与妖系伤害时，恢复{0}%的生命,3,4,5,7,8,9,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,0,
105,[#fcff12]守护之兽,  [#18ff00]为全体友军增加物防与特防，增加量为自身物防与特防的{0}%,3,4,5,7,8,9,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,0,
106,[#fcff12]自然唤醒,  [#18ff00]每回合为全员恢复相当于裙儿小姐{0}%特攻值的生命,12,13,14,16,17,18,20,21,22,24,24,24,24,24,24,24,24,24,24,24,24,0,
107,[#fcff12]冥想,  [#18ff00]引导队友进入冥想，每回合恢复额外回复{0}点SP,1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,0,1
108,[#fcff12]暴躁之龙,  [#18ff00]受到攻击时，提高自身{0}%物攻、{1}%物防与魔防，持续10回合,1;1;24002,2;2;24004,3;3;24006,5;5;24009,6;6;24011,7;7;24013,8;8;24015,9;9;24017,10;10;24019,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,11;11;24021,0,1
109,[#fcff12]?,  [#18ff00]?,,,,,,,,,,,,,,,,,,,,,,0,
110,[#fcff12]怪力钳,  [#18ff00]我方每战败一名宝可梦，自身双攻，双防提高{0}%，叠加5次,7;30013,8;30015,9;30017,10;30019,11;30021,12;30023,13;30025,14;30027,15;30029,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,16;30031,0,1
111,[#fcff12]收割者,  [#18ff00]无论敌我，每战败一名宝可梦，自身恢复{0}%最大生命值，并提高{1}%的双攻，持续5回合，不可叠加,2;2;30101;30151,4;6;30103;30153,6;10;30105;30155,9;25;30108;30158,11;35;30110;30160,11;35;30112;30162,11;35;30114;30164,11;35;30116;30166,11;35;30118;30168,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,11;35;30120;30170,0,1
112,[#fcff12]致命本能,  [#18ff00]攻击HP低于{0}%的目标，必定暴击,24,26,28,30,32,34,36,38,40,42,42,42,42,42,42,42,42,42,42,42,42,0,
113,[#fcff12]早起,  [#18ff00]SP大于{0}点时，伤害提高{1}%不可叠加,70;12,70;14,70;16,70;18,70;20,70;22,70;24,70;26,70;28,70;30,70;30,70;30,70;30,70;30,70;30,70;30,70;30,70;30,70;30,70;30,70;30,0,1
