探索块id,块注释,块类型(0或不填是不能直接挖 1.普通 2.占领 3.战斗),块图标(可为空),块挖后图标(可为空),块挖掘消耗时间(秒;0为不可挖),占领矿收取时间(小时),块loot,活动掉落
421,,1,,,1,,3090,
422,,1,,,1,,3100,
501,501~600是炸弹炸的石头,0,floor5,,,,4000,
502,,0,floor5,,,,4002,
503,,0,floor5,,,,4004,
504,,0,floor5,,,,4006,
505,,0,floor5,,,,4008,
506,,0,floor5,,,,4010,
507,,0,floor5,,,,4013,
508,,0,floor5,,,,4016,
509,,0,floor5,,,,4019,
510,,0,floor5,,,,4022,
511,,0,floor5,,,,4025,
512,,0,floor5,,,,4028,
513,,0,floor5,,,,4031,
514,,0,floor5,,,,4034,
515,,0,floor5,,,,4037,
516,,0,floor5,,,,4040,
517,,0,floor5,,,,4050,
518,,0,floor5,,,,4060,
519,,0,floor5,,,,4070,
520,,0,floor5,,,,4080,
521,,0,floor5,,,,4090,
522,,0,floor5,,,,4100,
5001,5001~5100是金币矿,2,,reward4,10,1,50000,
5002,,2,,reward4,10,1,50002,
5003,,2,,reward4,10,1,50004,
5004,,2,,reward4,10,1,50006,
5005,,2,,reward4,10,1,50008,
5006,,2,,reward4,10,1,50010,
5007,,2,,reward4,10,1,50013,
5008,,2,,reward4,10,1,50016,
5009,,2,,reward4,10,1,50019,
5010,,2,,reward4,20,2,50022,
5011,,2,,reward4,20,2,50025,
5012,,2,,reward4,20,2,50028,
5013,,2,,reward4,20,2,50031,
5014,,2,,reward4,20,2,50034,
5015,,2,,reward4,20,2,50037,
5016,,2,,reward4,20,2,50040,
5017,,2,,reward4,30,3,50050,
5018,,2,,reward4,30,3,50060,
5019,,2,,reward4,30,3,50070,
5020,,2,,reward4,40,4,50080,
5021,,2,,reward4,40,4,50090,
5022,,2,,reward4,40,4,50100,
5101,5101~5200是经验矿,2,,reward0,10,1,51000,
5102,,2,,reward0,10,1,51002,
5103,,2,,reward0,10,1,51004,
5104,,2,,reward0,10,1,51006,
5105,,2,,reward0,10,1,51008,
5106,,2,,reward0,10,1,51010,
5107,,2,,reward0,10,1,51013,
5108,,2,,reward0,10,1,51016,
5109,,2,,reward0,10,1,51019,
5110,,2,,reward0,20,2,51022,
5111,,2,,reward0,20,2,51025,
5112,,2,,reward0,20,2,51028,
5113,,2,,reward0,20,2,51031,
5114,,2,,reward0,20,2,51034,
5115,,2,,reward0,20,2,51037,
5116,,2,,reward0,20,2,51040,
5117,,2,,reward0,30,3,51050,
5118,,2,,reward0,30,3,51060,
5119,,2,,reward0,30,3,51070,
5120,,2,,reward0,40,4,51080,
5121,,2,,reward0,40,4,51090,
5122,,2,,reward0,40,4,51100,
5201,5201~5300是钻石矿,2,,reward5,10,2,52000,
5202,,2,,reward5,10,2,52002,
5203,,2,,reward5,10,2,52004,
5204,,2,,reward5,10,2,52006,
5205,,2,,reward5,10,2,52008,
5206,,2,,reward5,10,2,52010,
5207,,2,,reward5,10,2,52013,
5208,,2,,reward5,10,2,52016,
5209,,2,,reward5,10,2,52019,
5210,,2,,reward5,20,4,52022,
5211,,2,,reward5,20,4,52025,
5212,,2,,reward5,20,4,52028,
5213,,2,,reward5,20,4,52031,
5214,,2,,reward5,20,4,52034,
5215,,2,,reward5,20,4,52037,
5216,,2,,reward5,20,4,52040,
5217,,2,,reward5,30,6,52050,
5218,,2,,reward5,30,6,52060,
5219,,2,,reward5,30,6,52070,
5220,,2,,reward5,40,8,52080,
5221,,2,,reward5,40,8,52090,
5222,,2,,reward5,40,8,52100,
10001,10001是BOSS,3,,,15,,,
