所属章节ID,道具ID,最小道具数量,最大道具数量,出现权重,集字活动掉落(普通lootid;数量|lootid;数量）,中秋集字掉落(普通lootid;数量|lootid;数量）,出现时间（1=白天，2=夜晚，12=全天候）
number,number,number,number,number,string,string,number
ID,ItemID,MinCount,MaxCount,Prob,NormalCollectLoot,FestivalCollectLoot,Time
6,10002,3,3,100,10010001;1,10010005;1,12
6,19002,1,2,300,10010001;1,10010005;1,12
6,12001,10,10,300,10010001;1,10010005;1,12
6,12002,10,10,100,10010001;1,10010005;1,12
7,12129,1,1,100,10010001;1,10010005;1,12
7,10011,3,3,300,10010001;1,10010005;1,12
7,10012,1,1,100,10010001;1,10010005;1,12
7,10001,5,5,300,10010001;1,10010005;1,12
7,10002,3,3,100,10010001;1,10010005;1,12
7,19002,1,2,300,10010001;1,10010005;1,12
7,12001,10,10,300,10010001;1,10010005;1,12
7,12002,10,10,100,10010001;1,10010005;1,12
8,12122,1,1,100,10010001;1,10010005;1,12
8,10011,3,3,300,10010001;1,10010005;1,12
8,10012,1,1,100,10010001;1,10010005;1,12
8,10001,5,5,300,10010001;1,10010005;1,12
8,10002,3,3,100,10010001;1,10010005;1,12
8,19002,1,2,300,10010001;1,10010005;1,12
8,12001,10,10,300,10010001;1,10010005;1,12
8,12002,10,10,100,10010001;1,10010005;1,12
9,12107,1,1,100,10010001;1,10010005;1,12
9,10011,3,3,300,10010001;1,10010005;1,12
9,10012,1,1,100,10010001;1,10010005;1,12
9,10001,5,5,300,10010001;1,10010005;1,12
9,10002,3,3,100,10010001;1,10010005;1,12
9,19002,1,2,300,10010001;1,10010005;1,12
9,12001,10,10,300,10010001;1,10010005;1,12
9,12002,10,10,100,10010001;1,10010005;1,12
10,12124,1,1,100,10010001;1,10010005;1,12
10,10011,3,3,300,10010001;1,10010005;1,12
10,10012,1,1,100,10010001;1,10010005;1,12
10,10001,5,5,300,10010001;1,10010005;1,12
10,10002,3,3,100,10010001;1,10010005;1,12
10,19002,1,2,300,10010001;1,10010005;1,12
10,12001,10,10,300,10010001;1,10010005;1,12
10,12002,10,10,100,10010001;1,10010005;1,12
11,12128,1,1,100,10010001;1,10010005;1,12
11,10011,3,3,300,10010001;1,10010005;1,12
11,10012,1,1,100,10010001;1,10010005;1,12
11,10001,5,5,300,10010001;1,10010005;1,12
11,10002,3,3,100,10010001;1,10010005;1,12
11,19002,1,2,300,10010001;1,10010005;1,12
11,12001,10,10,300,10010001;1,10010005;1,12
11,12002,10,10,100,10010001;1,10010005;1,12
12,12121,1,1,100,10010001;1,10010005;1,12
12,10011,3,3,300,10010001;1,10010005;1,12
12,10012,1,1,100,10010001;1,10010005;1,12
12,10001,5,5,300,10010001;1,10010005;1,12
12,10002,3,3,100,10010001;1,10010005;1,12
12,19002,1,2,300,10010001;1,10010005;1,12
12,12001,10,10,300,10010001;1,10010005;1,12
12,12002,10,10,100,10010001;1,10010005;1,12
13,12105,1,1,100,10010001;1,10010005;1,12
13,10011,3,3,300,10010001;1,10010005;1,12
13,10012,1,1,100,10010001;1,10010005;1,12
13,10001,5,5,300,10010001;1,10010005;1,12
13,10002,3,3,100,10010001;1,10010005;1,12
13,19002,1,2,300,10010001;1,10010005;1,12
13,12001,10,10,300,10010001;1,10010005;1,12
13,12002,10,10,100,10010001;1,10010005;1,12
14,12123,1,1,100,10010001;1,10010005;1,12
14,10011,3,3,300,10010001;1,10010005;1,12
14,10012,1,1,100,10010001;1,10010005;1,12
14,10001,5,5,300,10010001;1,10010005;1,12
14,10002,3,3,100,10010001;1,10010005;1,12
14,19002,1,2,300,10010001;1,10010005;1,12
14,12001,10,10,300,10010001;1,10010005;1,12
14,12002,10,10,100,10010001;1,10010005;1,12
15,12125,1,1,100,10010001;1,10010005;1,12
15,10011,3,3,300,10010001;1,10010005;1,12
15,10012,1,1,100,10010001;1,10010005;1,12
15,10001,5,5,300,10010001;1,10010005;1,12
15,10002,3,3,100,10010001;1,10010005;1,12
15,19002,1,2,300,10010001;1,10010005;1,12
15,12001,10,10,300,10010001;1,10010005;1,12
15,12002,10,10,100,10010001;1,10010005;1,12
16,12108,1,1,100,10010001;1,10010005;1,12
16,10011,3,3,300,10010001;1,10010005;1,12
16,10012,1,1,100,10010001;1,10010005;1,12
16,10001,5,5,300,10010001;1,10010005;1,12
16,10002,3,3,100,10010001;1,10010005;1,12
16,19002,1,2,300,10010001;1,10010005;1,12
16,12001,10,10,300,10010001;1,10010005;1,12
16,12002,10,10,100,10010001;1,10010005;1,12
17,12127,1,1,100,10010001;1,10010005;1,12
17,10011,3,3,300,10010001;1,10010005;1,12
17,10012,1,1,100,10010001;1,10010005;1,12
17,10001,5,5,300,10010001;1,10010005;1,12
17,10002,3,3,100,10010001;1,10010005;1,12
17,19002,1,2,300,10010001;1,10010005;1,12
17,12001,10,10,300,10010001;1,10010005;1,12
17,12002,10,10,100,10010001;1,10010005;1,12
18,12106,1,1,100,10010001;1,10010005;1,12
18,10011,3,3,300,10010001;1,10010005;1,12
18,10012,1,1,100,10010001;1,10010005;1,12
18,10001,5,5,300,10010001;1,10010005;1,12
18,10002,3,3,100,10010001;1,10010005;1,12
18,19002,1,2,300,10010001;1,10010005;1,12
18,12001,10,10,300,10010001;1,10010005;1,12
18,12002,10,10,100,10010001;1,10010005;1,12
21,601145,1,1,25,10010001;1,10010005;1,1
21,601645,1,1,25,10010001;1,10010005;1,1
21,601640,1,1,25,10010001;1,10010005;1,2
21,10011,3,3,300,10010001;1,10010005;1,12
21,10012,1,1,100,10010001;1,10010005;1,12
21,10001,5,5,300,10010001;1,10010005;1,12
21,10002,3,3,100,10010001;1,10010005;1,12
21,19002,1,2,300,10010001;1,10010005;1,12
21,12001,10,10,300,10010001;1,10010005;1,12
21,12002,10,10,100,10010001;1,10010005;1,12
22,601144,1,1,25,10010001;1,10010005;1,1
22,601639,1,1,25,10010001;1,10010005;1,1
22,601378,1,1,25,10010001;1,10010005;1,2
22,10011,3,3,300,10010001;1,10010005;1,12
22,10012,1,1,100,10010001;1,10010005;1,12
22,10001,5,5,300,10010001;1,10010005;1,12
22,10002,3,3,100,10010001;1,10010005;1,12
22,19002,1,2,300,10010001;1,10010005;1,12
22,12001,10,10,300,10010001;1,10010005;1,12
22,12002,10,10,100,10010001;1,10010005;1,12
23,601641,1,1,25,10010001;1,10010005;1,1
23,601377,1,1,25,10010001;1,10010005;1,2
23,601379,1,1,25,10010001;1,10010005;1,2
23,10011,3,3,300,10010001;1,10010005;1,12
23,10012,1,1,100,10010001;1,10010005;1,12
23,10001,5,5,300,10010001;1,10010005;1,12
23,10002,3,3,100,10010001;1,10010005;1,12
23,19002,1,2,300,10010001;1,10010005;1,12
23,12001,10,10,300,10010001;1,10010005;1,12
23,12002,10,10,100,10010001;1,10010005;1,12
24,601146,1,1,25,10010001;1,10010005;1,1
24,601642,1,1,25,10010001;1,10010005;1,2
24,601638,1,1,25,10010001;1,10010005;1,2
24,10011,3,3,300,10010001;1,10010005;1,12
24,10012,1,1,100,10010001;1,10010005;1,12
24,10001,5,5,300,10010001;1,10010005;1,12
24,10002,3,3,100,10010001;1,10010005;1,12
24,19002,1,2,300,10010001;1,10010005;1,12
24,12001,10,10,300,10010001;1,10010005;1,12
24,12002,10,10,100,10010001;1,10010005;1,12
