属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,排名,关卡怪物ID（from 怪物能力表）,角色ID（from 人物角色表）,角色名字,获得奖励（道具ID1;数量1|ID2;数量2）,战斗力
number,number,number,number,string,string,string
attribute,rank,PokemonID,HeroID,name,Loots,CombatNum
4,6,5300604,5003,妖精之子,12104;7|12111;6|1;60000,20万
4,7,5300704,5003,妖精之男,12104;6|12111;5|1;50000,18万
5,1,5300105,5023,恶之神,12105;20|12111;15|1;200000,30万
5,2,5300205,5023,恶之王,12105;15|12111;12|1;150000,28万
5,3,5300305,5023,恶之公,12105;12|12111;10|1;120000,26万
5,4,5300405,5023,恶之候,12105;10|12111;8|1;100000,24万
5,5,5300505,5023,恶之伯,12105;8|12111;7|1;80000,22万
5,6,5300605,5023,恶之子,12105;7|12111;6|1;60000,20万
5,7,5300705,5023,恶之男,12105;6|12111;5|1;50000,18万
6,1,5300106,5005,龙之神,12106;20|12111;15|1;200000,30万
6,2,5300206,5005,龙之王,12106;15|12111;12|1;150000,28万
6,3,5300306,5005,龙之公,12106;12|12111;10|1;120000,26万
6,4,5300406,5005,龙之候,12106;10|12111;8|1;100000,24万
6,5,5300506,5005,龙之伯,12106;8|12111;7|1;80000,22万
6,6,5300606,5005,龙之子,12106;7|12111;6|1;60000,20万
6,7,5300706,5005,龙之男,12106;6|12111;5|1;50000,18万
7,1,5300107,5010,冰之神,12107;20|12111;15|1;200000,30万
7,2,5300207,5010,冰之王,12107;15|12111;12|1;150000,28万
7,3,5300307,5010,冰之公,12107;12|12111;10|1;120000,26万
7,4,5300407,5010,冰之候,12107;10|12111;8|1;100000,24万
7,5,5300507,5010,冰之伯,12107;8|12111;7|1;80000,22万
7,6,5300607,5010,冰之子,12107;7|12111;6|1;60000,20万
7,7,5300707,5010,冰之男,12107;6|12111;5|1;50000,18万
8,1,5300108,5007,鬼之神,12108;20|12111;15|1;200000,30万
8,2,5300208,5007,鬼之王,12108;15|12111;12|1;150000,28万
8,3,5300308,5007,鬼之公,12108;12|12111;10|1;120000,26万
8,4,5300408,5007,鬼之候,12108;10|12111;8|1;100000,24万
8,5,5300508,5007,鬼之伯,12108;8|12111;7|1;80000,22万
8,6,5300608,5007,鬼之子,12108;7|12111;6|1;60000,20万
8,7,5300708,5007,鬼之男,12108;6|12111;5|1;50000,18万
9,1,5300109,5029,普通之神,12109;20|12111;15|1;200000,30万
9,2,5300209,5029,普通之王,12109;15|12111;12|1;150000,28万
9,3,5300309,5029,普通之公,12109;12|12111;10|1;120000,26万
9,4,5300409,5029,普通之候,12109;10|12111;8|1;100000,24万
9,5,5300509,5029,普通之伯,12109;8|12111;7|1;80000,22万
9,6,5300609,5029,普通之子,12109;7|12111;6|1;60000,20万
9,7,5300709,5029,普通之男,12109;6|12111;5|1;50000,18万
10,1,5300110,5019,电之神,12121;20|12111;15|1;200000,30万
10,2,5300210,5019,电之王,12121;15|12111;12|1;150000,28万
10,3,5300310,5019,电之公,12121;12|12111;10|1;120000,26万
10,4,5300410,5019,电之候,12121;10|12111;8|1;100000,24万
10,5,5300510,5019,电之伯,12121;8|12111;7|1;80000,22万
10,6,5300610,5019,电之子,12121;7|12111;6|1;60000,20万
10,7,5300710,5019,电之男,12121;6|12111;5|1;50000,18万
11,1,5300111,5021,虫之神,12122;20|12111;15|1;200000,30万
11,2,5300211,5021,虫之王,12122;15|12111;12|1;150000,28万
11,3,5300311,5021,虫之公,12122;12|12111;10|1;120000,26万
11,4,5300411,5021,虫之候,12122;10|12111;8|1;100000,24万
11,5,5300511,5021,虫之伯,12122;8|12111;7|1;80000,22万
11,6,5300611,5021,虫之子,12122;7|12111;6|1;60000,20万
11,7,5300711,5021,虫之男,12122;6|12111;5|1;50000,18万
12,1,5300112,5030,飞行之神,12123;20|12111;15|1;200000,30万
12,2,5300212,5030,飞行之王,12123;15|12111;12|1;150000,28万
12,3,5300312,5030,飞行之公,12123;12|12111;10|1;120000,26万
12,4,5300412,5030,飞行之候,12123;10|12111;8|1;100000,24万
12,5,5300512,5030,飞行之伯,12123;8|12111;7|1;80000,22万
12,6,5300612,5030,飞行之子,12123;7|12111;6|1;60000,20万
12,7,5300712,5030,飞行之男,12123;6|12111;5|1;50000,18万
13,1,5300113,5014,地面之神,12124;20|12111;15|1;200000,30万
13,2,5300213,5014,地面之王,12124;15|12111;12|1;150000,28万
13,3,5300313,5014,地面之公,12124;12|12111;10|1;120000,26万
13,4,5300413,5014,地面之候,12124;10|12111;8|1;100000,24万
13,5,5300513,5014,地面之伯,12124;8|12111;7|1;80000,22万
13,6,5300613,5014,地面之子,12124;7|12111;6|1;60000,20万
13,7,5300713,5014,地面之男,12124;6|12111;5|1;50000,18万
14,1,5300114,5025,岩石之神,12125;20|12111;15|1;200000,30万
14,2,5300214,5025,岩石之王,12125;15|12111;12|1;150000,28万
14,3,5300314,5025,岩石之公,12125;12|12111;10|1;120000,26万
14,4,5300414,5025,岩石之候,12125;10|12111;8|1;100000,24万
14,5,5300514,5025,岩石之伯,12125;8|12111;7|1;80000,22万
14,6,5300614,5025,岩石之子,12125;7|12111;6|1;60000,20万
14,7,5300714,5025,岩石之男,12125;6|12111;5|1;50000,18万
15,1,5300115,5032,格斗之神,12126;20|12111;15|1;200000,30万
15,2,5300215,5032,格斗之王,12126;15|12111;12|1;150000,28万
15,3,5300315,5032,格斗之公,12126;12|12111;10|1;120000,26万
15,4,5300415,5032,格斗之候,12126;10|12111;8|1;100000,24万
15,5,5300515,5032,格斗之伯,12126;8|12111;7|1;80000,22万
15,6,5300615,5032,格斗之子,12126;7|12111;6|1;60000,20万
15,7,5300715,5032,格斗之男,12126;6|12111;5|1;50000,18万
16,1,5300116,5004,超能之神,12127;20|12111;15|1;200000,30万
16,2,5300216,5004,超能之王,12127;15|12111;12|1;150000,28万
16,3,5300316,5004,超能之公,12127;12|12111;10|1;120000,26万
16,4,5300416,5004,超能之候,12127;10|12111;8|1;100000,24万
16,5,5300516,5004,超能之伯,12127;8|12111;7|1;80000,22万
16,6,5300616,5004,超能之子,12127;7|12111;6|1;60000,20万
16,7,5300716,5004,超能之男,12127;6|12111;5|1;50000,18万
17,1,5300117,5011,钢之神,12128;20|12111;15|1;200000,30万
17,2,5300217,5011,钢之王,12128;15|12111;12|1;150000,28万
17,3,5300317,5011,钢之公,12128;12|12111;10|1;120000,26万
17,4,5300417,5011,钢之候,12128;10|12111;8|1;100000,24万
17,5,5300517,5011,钢之伯,12128;8|12111;7|1;80000,22万
17,6,5300617,5011,钢之子,12128;7|12111;6|1;60000,20万
17,7,5300717,5011,钢之男,12128;6|12111;5|1;50000,18万
18,1,5300118,5001,毒之神,12129;20|12111;15|1;200000,30万
18,2,5300218,5001,毒之王,12129;15|12111;12|1;150000,28万
18,3,5300318,5001,毒之公,12129;12|12111;10|1;120000,26万
18,4,5300418,5001,毒之候,12129;10|12111;8|1;100000,24万
18,5,5300518,5001,毒之伯,12129;8|12111;7|1;80000,22万
18,6,5300618,5001,毒之子,12129;7|12111;6|1;60000,20万
18,7,5300718,5001,毒之男,12129;6|12111;5|1;50000,18万
