携带品ID,携带品资源,携带品名字,效果描述,品质（道具框颜色）,携带品类型,等级,下一级道具,效果引用id,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼。。）(;分隔）
4255,4251,龙之牙+5,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",3,1,5,4256,255,6;12
4256,4251,龙之牙+6,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",3,1,6,4257,256,6;12
4257,4251,龙之牙+7,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",4,1,7,4258,257,6;12
4258,4251,龙之牙+8,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",4,1,8,4259,258,6;12
4259,4251,龙之牙+9,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",5,1,9,4260,259,6;12
4260,4251,龙之牙+10,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",5,1,10,4261,260,6;12
4261,4251,龙之牙+11,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",5,1,11,,261,6;12
4301,4301,寒冰尖块+1,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",1,1,1,4302,301,7;13
4302,4301,寒冰尖块+2,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",1,1,2,4303,302,7;13
4303,4301,寒冰尖块+3,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",2,1,3,4304,303,7;13
4304,4301,寒冰尖块+4,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",2,1,4,4305,304,7;13
4305,4301,寒冰尖块+5,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",3,1,5,4306,305,7;13
4306,4301,寒冰尖块+6,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",3,1,6,4307,306,7;13
4307,4301,寒冰尖块+7,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",4,1,7,4308,307,7;13
4308,4301,寒冰尖块+8,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",4,1,8,4309,308,7;13
4309,4301,寒冰尖块+9,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",5,1,9,4310,309,7;13
4310,4301,寒冰尖块+10,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",5,1,10,4311,310,7;13
4311,4301,寒冰尖块+11,"冰,地面系精灵的携带品,可以增加冰,地面系技能效果威力",5,1,11,,311,7;13
4351,4351,黑色符文+1,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",1,1,1,4352,351,8;18
4352,4351,黑色符文+2,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",1,1,2,4353,352,8;18
4353,4351,黑色符文+3,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",2,1,3,4354,353,8;18
4354,4351,黑色符文+4,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",2,1,4,4355,354,8;18
4355,4351,黑色符文+5,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",3,1,5,4356,355,8;18
4356,4351,黑色符文+6,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",3,1,6,4357,356,8;18
4357,4351,黑色符文+7,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",4,1,7,4358,357,8;18
4358,4351,黑色符文+8,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",4,1,8,4359,358,8;18
4359,4351,黑色符文+9,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",5,1,9,4360,359,8;18
4360,4351,黑色符文+10,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",5,1,10,4361,360,8;18
4361,4351,黑色符文+11,"鬼,毒系精灵的携带品,可以增加鬼,毒系技能效果威力",5,1,11,,361,8;18
4501,4501,力量头巾+1,增加物攻百分比的携带品,1,2,1,4502,501,
4502,4501,力量头巾+2,增加物攻百分比的携带品,1,2,2,4503,502,
4503,4501,力量头巾+3,增加物攻百分比的携带品,2,2,3,4504,503,
4504,4501,力量头巾+4,增加物攻百分比的携带品,2,2,4,4505,504,
4505,4501,力量头巾+5,增加物攻百分比的携带品,3,2,5,4506,505,
4506,4501,力量头巾+6,增加物攻百分比的携带品,3,2,6,4507,506,
4507,4501,力量头巾+7,增加物攻百分比的携带品,4,2,7,4508,507,
4508,4501,力量头巾+8,增加物攻百分比的携带品,4,2,8,4509,508,
4509,4501,力量头巾+9,增加物攻百分比的携带品,5,2,9,4510,509,
4510,4501,力量头巾+10,增加物攻百分比的携带品,5,2,10,4511,510,
4511,4501,力量头巾+11,增加物攻百分比的携带品,5,2,11,,511,
4551,4551,知识眼睛+1,增加特攻百分比的携带品,1,2,1,4552,551,
4552,4551,知识眼睛+2,增加特攻百分比的携带品,1,2,2,4553,552,
4553,4551,知识眼睛+3,增加特攻百分比的携带品,2,2,3,4554,553,
4554,4551,知识眼睛+4,增加特攻百分比的携带品,2,2,4,4555,554,
4555,4551,知识眼睛+5,增加特攻百分比的携带品,3,2,5,4556,555,
4556,4551,知识眼睛+6,增加特攻百分比的携带品,3,2,6,4557,556,
4557,4551,知识眼睛+7,增加特攻百分比的携带品,4,2,7,4558,557,
4558,4551,知识眼睛+8,增加特攻百分比的携带品,4,2,8,4559,558,
4559,4551,知识眼睛+9,增加特攻百分比的携带品,5,2,9,4560,559,
4560,4551,知识眼睛+10,增加特攻百分比的携带品,5,2,10,4561,560,
4561,4551,知识眼睛+11,增加特攻百分比的携带品,5,2,11,,561,
4601,4601,力量帽子+1,增加物防百分比的携带品,1,2,1,4602,601,
4602,4601,力量帽子+2,增加物防百分比的携带品,1,2,2,4603,602,
4603,4601,力量帽子+3,增加物防百分比的携带品,2,2,3,4604,603,
4604,4601,力量帽子+4,增加物防百分比的携带品,2,2,4,4605,604,
4605,4601,力量帽子+5,增加物防百分比的携带品,3,2,5,4606,605,
4606,4601,力量帽子+6,增加物防百分比的携带品,3,2,6,4607,606,
4607,4601,力量帽子+7,增加物防百分比的携带品,4,2,7,4608,607,
4608,4601,力量帽子+8,增加物防百分比的携带品,4,2,8,4609,608,
4609,4601,力量帽子+9,增加物防百分比的携带品,5,2,9,4610,609,
4610,4601,力量帽子+10,增加物防百分比的携带品,5,2,10,4611,610,
4611,4601,力量帽子+11,增加物防百分比的携带品,5,2,11,,611,
4651,4651,知识斗篷+1,增加特防百分比的携带品,1,2,1,4652,651,
4652,4651,知识斗篷+2,增加特防百分比的携带品,1,2,2,4653,652,
4653,4651,知识斗篷+3,增加特防百分比的携带品,2,2,3,4654,653,
4654,4651,知识斗篷+4,增加特防百分比的携带品,2,2,4,4655,654,
4655,4651,知识斗篷+5,增加特防百分比的携带品,3,2,5,4656,655,
4656,4651,知识斗篷+6,增加特防百分比的携带品,3,2,6,4657,656,
4657,4651,知识斗篷+7,增加特防百分比的携带品,4,2,7,4658,657,
4658,4651,知识斗篷+8,增加特防百分比的携带品,4,2,8,4659,658,
4659,4651,知识斗篷+9,增加特防百分比的携带品,5,2,9,4660,659,
4660,4651,知识斗篷+10,增加特防百分比的携带品,5,2,10,4661,660,
4661,4651,知识斗篷+11,增加特防百分比的携带品,5,2,11,,661,
4701,4701,速度风袋+1,增加速度百分比的携带品,1,2,1,4702,701,
4702,4701,速度风袋+2,增加速度百分比的携带品,1,2,2,4703,702,
4703,4701,速度风袋+3,增加速度百分比的携带品,2,2,3,4704,703,
4704,4701,速度风袋+4,增加速度百分比的携带品,2,2,4,4705,704,
4705,4701,速度风袋+5,增加速度百分比的携带品,3,2,5,4706,705,
4706,4701,速度风袋+6,增加速度百分比的携带品,3,2,6,4707,706,
4707,4701,速度风袋+7,增加速度百分比的携带品,4,2,7,4708,707,
4708,4701,速度风袋+8,增加速度百分比的携带品,4,2,8,4709,708,
4709,4701,速度风袋+9,增加速度百分比的携带品,5,2,9,4710,709,
4710,4701,速度风袋+10,增加速度百分比的携带品,5,2,10,4711,710,
4711,4701,速度风袋+11,增加速度百分比的携带品,5,2,11,,711,
