携带品id,携带品图标,携带品类型(同类型4件激活套装效果）,携带品类型名称,携带品描述,套装效果描述,携带品稀有度,携带品位置（位置对应携带品栏1234）,套装效果ID,掉落权重,基础属性（携带品第一属性,强化等级1,强化等级2,强化等级3,强化等级4,强化等级5,强化等级6,强化等级7,强化等级8,强化等级9,强化等级10,强化等级11,强化等级12,强化等级13,强化等级14,强化等级15
700109,4251,1,猛击,猛击携带品1号位，穿戴4件可激活套装效果:猛击,物攻提高9%,3,1,30021,10,23100,23101,23102,23103,23104,23105,23106,23107,23108,23109,23110,23111,23112,23113,23114,23115
700110,4251,1,猛击,猛击携带品2号位，穿戴4件可激活套装效果:猛击,物攻提高9%,3,2,30021,10,23200,23201,23202,23203,23204,23205,23206,23207,23208,23209,23210,23211,23212,23213,23214,23215
700111,4251,1,猛击,猛击携带品3号位，穿戴4件可激活套装效果:猛击,物攻提高9%,3,3,30021,10,23300,23301,23302,23303,23304,23305,23306,23307,23308,23309,23310,23311,23312,23313,23314,23315
700112,4251,1,猛击,猛击携带品4号位，穿戴4件可激活套装效果:猛击,物攻提高9%,3,4,30021,10,23400,23401,23402,23403,23404,23405,23406,23407,23408,23409,23410,23411,23412,23413,23414,23415
700113,4251,1,猛击,猛击携带品1号位，穿戴4件可激活套装效果:猛击,物攻提高11%,4,1,30031,10,24100,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115
700114,4251,1,猛击,猛击携带品2号位，穿戴4件可激活套装效果:猛击,物攻提高11%,4,2,30031,10,24200,24201,24202,24203,24204,24205,24206,24207,24208,24209,24210,24211,24212,24213,24214,24215
700115,4251,1,猛击,猛击携带品3号位，穿戴4件可激活套装效果:猛击,物攻提高11%,4,3,30031,10,24300,24301,24302,24303,24304,24305,24306,24307,24308,24309,24310,24311,24312,24313,24314,24315
700116,4251,1,猛击,猛击携带品4号位，穿戴4件可激活套装效果:猛击,物攻提高11%,4,4,30031,10,24400,24401,24402,24403,24404,24405,24406,24407,24408,24409,24410,24411,24412,24413,24414,24415
700117,4251,1,猛击,猛击携带品1号位，穿戴4件可激活套装效果:猛击,物攻提高15%,5,1,30041,10,25100,25101,25102,25103,25104,25105,25106,25107,25108,25109,25110,25111,25112,25113,25114,25115
700118,4251,1,猛击,猛击携带品2号位，穿戴4件可激活套装效果:猛击,物攻提高15%,5,2,30041,10,25200,25201,25202,25203,25204,25205,25206,25207,25208,25209,25210,25211,25212,25213,25214,25215
700119,4251,1,猛击,猛击携带品3号位，穿戴4件可激活套装效果:猛击,物攻提高15%,5,3,30041,10,25300,25301,25302,25303,25304,25305,25306,25307,25308,25309,25310,25311,25312,25313,25314,25315
700120,4251,1,猛击,猛击携带品4号位，穿戴4件可激活套装效果:猛击,物攻提高15%,5,4,30041,10,25400,25401,25402,25403,25404,25405,25406,25407,25408,25409,25410,25411,25412,25413,25414,25415
700121,4251,1,猛击,猛击携带品1号位，穿戴4件可激活套装效果:猛击,物攻提高20%,6,1,30051,10,26100,26101,26102,26103,26104,26105,26106,26107,26108,26109,26110,26111,26112,26113,26114,26115
700122,4251,1,猛击,猛击携带品2号位，穿戴4件可激活套装效果:猛击,物攻提高20%,6,2,30051,10,26200,26201,26202,26203,26204,26205,26206,26207,26208,26209,26210,26211,26212,26213,26214,26215
700123,4251,1,猛击,猛击携带品3号位，穿戴4件可激活套装效果:猛击,物攻提高20%,6,3,30051,10,26300,26301,26302,26303,26304,26305,26306,26307,26308,26309,26310,26311,26312,26313,26314,26315
700124,4251,1,猛击,猛击携带品4号位，穿戴4件可激活套装效果:猛击,物攻提高20%,6,4,30051,10,26400,26401,26402,26403,26404,26405,26406,26407,26408,26409,26410,26411,26412,26413,26414,26415
700201,4301,2,强袭,强袭携带品1号位，穿戴4件可激活套装效果:强袭,特攻提高5%,1,1,30002,10,21100,21101,21102,21103,21104,21105,21106,21107,21108,21109,21110,21111,21112,21113,21114,21115
700202,4301,2,强袭,强袭携带品2号位，穿戴4件可激活套装效果:强袭,特攻提高5%,1,2,30002,10,21200,21201,21202,21203,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215
700203,4301,2,强袭,强袭携带品3号位，穿戴4件可激活套装效果:强袭,特攻提高5%,1,3,30002,10,21300,21301,21302,21303,21304,21305,21306,21307,21308,21309,21310,21311,21312,21313,21314,21315
700204,4301,2,强袭,强袭携带品4号位，穿戴4件可激活套装效果:强袭,特攻提高5%,1,4,30002,10,21400,21401,21402,21403,21404,21405,21406,21407,21408,21409,21410,21411,21412,21413,21414,21415
700205,4301,2,强袭,强袭携带品1号位，穿戴4件可激活套装效果:强袭,特攻提高7%,2,1,30012,10,22100,22101,22102,22103,22104,22105,22106,22107,22108,22109,22110,22111,22112,22113,22114,22115
700206,4301,2,强袭,强袭携带品2号位，穿戴4件可激活套装效果:强袭,特攻提高7%,2,2,30012,10,22200,22201,22202,22203,22204,22205,22206,22207,22208,22209,22210,22211,22212,22213,22214,22215
700207,4301,2,强袭,强袭携带品3号位，穿戴4件可激活套装效果:强袭,特攻提高7%,2,3,30012,10,22300,22301,22302,22303,22304,22305,22306,22307,22308,22309,22310,22311,22312,22313,22314,22315
700208,4301,2,强袭,强袭携带品4号位，穿戴4件可激活套装效果:强袭,特攻提高7%,2,4,30012,10,22400,22401,22402,22403,22404,22405,22406,22407,22408,22409,22410,22411,22412,22413,22414,22415
700209,4301,2,强袭,强袭携带品1号位，穿戴4件可激活套装效果:强袭,特攻提高9%,3,1,30022,10,23100,23101,23102,23103,23104,23105,23106,23107,23108,23109,23110,23111,23112,23113,23114,23115
700210,4301,2,强袭,强袭携带品2号位，穿戴4件可激活套装效果:强袭,特攻提高9%,3,2,30022,10,23200,23201,23202,23203,23204,23205,23206,23207,23208,23209,23210,23211,23212,23213,23214,23215
700211,4301,2,强袭,强袭携带品3号位，穿戴4件可激活套装效果:强袭,特攻提高9%,3,3,30022,10,23300,23301,23302,23303,23304,23305,23306,23307,23308,23309,23310,23311,23312,23313,23314,23315
700212,4301,2,强袭,强袭携带品4号位，穿戴4件可激活套装效果:强袭,特攻提高9%,3,4,30022,10,23400,23401,23402,23403,23404,23405,23406,23407,23408,23409,23410,23411,23412,23413,23414,23415
700213,4301,2,强袭,强袭携带品1号位，穿戴4件可激活套装效果:强袭,特攻提高11%,4,1,30032,10,24100,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115
700214,4301,2,强袭,强袭携带品2号位，穿戴4件可激活套装效果:强袭,特攻提高11%,4,2,30032,10,24200,24201,24202,24203,24204,24205,24206,24207,24208,24209,24210,24211,24212,24213,24214,24215
700215,4301,2,强袭,强袭携带品3号位，穿戴4件可激活套装效果:强袭,特攻提高11%,4,3,30032,10,24300,24301,24302,24303,24304,24305,24306,24307,24308,24309,24310,24311,24312,24313,24314,24315
700216,4301,2,强袭,强袭携带品4号位，穿戴4件可激活套装效果:强袭,特攻提高11%,4,4,30032,10,24400,24401,24402,24403,24404,24405,24406,24407,24408,24409,24410,24411,24412,24413,24414,24415
700217,4301,2,强袭,强袭携带品1号位，穿戴4件可激活套装效果:强袭,特攻提高15%,5,1,30042,10,25100,25101,25102,25103,25104,25105,25106,25107,25108,25109,25110,25111,25112,25113,25114,25115
700218,4301,2,强袭,强袭携带品2号位，穿戴4件可激活套装效果:强袭,特攻提高15%,5,2,30042,10,25200,25201,25202,25203,25204,25205,25206,25207,25208,25209,25210,25211,25212,25213,25214,25215
700219,4301,2,强袭,强袭携带品3号位，穿戴4件可激活套装效果:强袭,特攻提高15%,5,3,30042,10,25300,25301,25302,25303,25304,25305,25306,25307,25308,25309,25310,25311,25312,25313,25314,25315
700220,4301,2,强袭,强袭携带品4号位，穿戴4件可激活套装效果:强袭,特攻提高15%,5,4,30042,10,25400,25401,25402,25403,25404,25405,25406,25407,25408,25409,25410,25411,25412,25413,25414,25415
700221,4301,2,强袭,强袭携带品1号位，穿戴4件可激活套装效果:强袭,特攻提高20%,6,1,30052,10,26100,26101,26102,26103,26104,26105,26106,26107,26108,26109,26110,26111,26112,26113,26114,26115
700222,4301,2,强袭,强袭携带品2号位，穿戴4件可激活套装效果:强袭,特攻提高20%,6,2,30052,10,26200,26201,26202,26203,26204,26205,26206,26207,26208,26209,26210,26211,26212,26213,26214,26215
700223,4301,2,强袭,强袭携带品3号位，穿戴4件可激活套装效果:强袭,特攻提高20%,6,3,30052,10,26300,26301,26302,26303,26304,26305,26306,26307,26308,26309,26310,26311,26312,26313,26314,26315
700224,4301,2,强袭,强袭携带品4号位，穿戴4件可激活套装效果:强袭,特攻提高20%,6,4,30052,10,26400,26401,26402,26403,26404,26405,26406,26407,26408,26409,26410,26411,26412,26413,26414,26415
700301,4501,3,疾走,疾走携带品1号位，穿戴4件可激活套装效果:疾走,速度提高5%,1,1,30003,10,21100,21101,21102,21103,21104,21105,21106,21107,21108,21109,21110,21111,21112,21113,21114,21115
700302,4501,3,疾走,疾走携带品2号位，穿戴4件可激活套装效果:疾走,速度提高5%,1,2,30003,10,21200,21201,21202,21203,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215
700303,4501,3,疾走,疾走携带品3号位，穿戴4件可激活套装效果:疾走,速度提高5%,1,3,30003,10,21300,21301,21302,21303,21304,21305,21306,21307,21308,21309,21310,21311,21312,21313,21314,21315
700304,4501,3,疾走,疾走携带品4号位，穿戴4件可激活套装效果:疾走,速度提高5%,1,4,30003,10,21400,21401,21402,21403,21404,21405,21406,21407,21408,21409,21410,21411,21412,21413,21414,21415
700305,4501,3,疾走,疾走携带品1号位，穿戴4件可激活套装效果:疾走,速度提高6%,2,1,30013,10,22100,22101,22102,22103,22104,22105,22106,22107,22108,22109,22110,22111,22112,22113,22114,22115
700306,4501,3,疾走,疾走携带品2号位，穿戴4件可激活套装效果:疾走,速度提高6%,2,2,30013,10,22200,22201,22202,22203,22204,22205,22206,22207,22208,22209,22210,22211,22212,22213,22214,22215
700307,4501,3,疾走,疾走携带品3号位，穿戴4件可激活套装效果:疾走,速度提高6%,2,3,30013,10,22300,22301,22302,22303,22304,22305,22306,22307,22308,22309,22310,22311,22312,22313,22314,22315
700308,4501,3,疾走,疾走携带品4号位，穿戴4件可激活套装效果:疾走,速度提高6%,2,4,30013,10,22400,22401,22402,22403,22404,22405,22406,22407,22408,22409,22410,22411,22412,22413,22414,22415
700309,4501,3,疾走,疾走携带品1号位，穿戴4件可激活套装效果:疾走,速度提高7%,3,1,30023,10,23100,23101,23102,23103,23104,23105,23106,23107,23108,23109,23110,23111,23112,23113,23114,23115
700310,4501,3,疾走,疾走携带品2号位，穿戴4件可激活套装效果:疾走,速度提高7%,3,2,30023,10,23200,23201,23202,23203,23204,23205,23206,23207,23208,23209,23210,23211,23212,23213,23214,23215
700311,4501,3,疾走,疾走携带品3号位，穿戴4件可激活套装效果:疾走,速度提高7%,3,3,30023,10,23300,23301,23302,23303,23304,23305,23306,23307,23308,23309,23310,23311,23312,23313,23314,23315
700312,4501,3,疾走,疾走携带品4号位，穿戴4件可激活套装效果:疾走,速度提高7%,3,4,30023,10,23400,23401,23402,23403,23404,23405,23406,23407,23408,23409,23410,23411,23412,23413,23414,23415
700313,4501,3,疾走,疾走携带品1号位，穿戴4件可激活套装效果:疾走,速度提高8%,4,1,30033,10,24100,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115
700314,4501,3,疾走,疾走携带品2号位，穿戴4件可激活套装效果:疾走,速度提高8%,4,2,30033,10,24200,24201,24202,24203,24204,24205,24206,24207,24208,24209,24210,24211,24212,24213,24214,24215
700315,4501,3,疾走,疾走携带品3号位，穿戴4件可激活套装效果:疾走,速度提高8%,4,3,30033,10,24300,24301,24302,24303,24304,24305,24306,24307,24308,24309,24310,24311,24312,24313,24314,24315
700316,4501,3,疾走,疾走携带品4号位，穿戴4件可激活套装效果:疾走,速度提高8%,4,4,30033,10,24400,24401,24402,24403,24404,24405,24406,24407,24408,24409,24410,24411,24412,24413,24414,24415
700317,4501,3,疾走,疾走携带品1号位，穿戴4件可激活套装效果:疾走,速度提高9%,5,1,30043,10,25100,25101,25102,25103,25104,25105,25106,25107,25108,25109,25110,25111,25112,25113,25114,25115
700318,4501,3,疾走,疾走携带品2号位，穿戴4件可激活套装效果:疾走,速度提高9%,5,2,30043,10,25200,25201,25202,25203,25204,25205,25206,25207,25208,25209,25210,25211,25212,25213,25214,25215
700319,4501,3,疾走,疾走携带品3号位，穿戴4件可激活套装效果:疾走,速度提高9%,5,3,30043,10,25300,25301,25302,25303,25304,25305,25306,25307,25308,25309,25310,25311,25312,25313,25314,25315
700320,4501,3,疾走,疾走携带品4号位，穿戴4件可激活套装效果:疾走,速度提高9%,5,4,30043,10,25400,25401,25402,25403,25404,25405,25406,25407,25408,25409,25410,25411,25412,25413,25414,25415
700321,4501,3,疾走,疾走携带品1号位，穿戴4件可激活套装效果:疾走,速度提高10%,6,1,30053,10,26100,26101,26102,26103,26104,26105,26106,26107,26108,26109,26110,26111,26112,26113,26114,26115
700322,4501,3,疾走,疾走携带品2号位，穿戴4件可激活套装效果:疾走,速度提高10%,6,2,30053,10,26200,26201,26202,26203,26204,26205,26206,26207,26208,26209,26210,26211,26212,26213,26214,26215
700323,4501,3,疾走,疾走携带品3号位，穿戴4件可激活套装效果:疾走,速度提高10%,6,3,30053,10,26300,26301,26302,26303,26304,26305,26306,26307,26308,26309,26310,26311,26312,26313,26314,26315
700324,4501,3,疾走,疾走携带品4号位，穿戴4件可激活套装效果:疾走,速度提高10%,6,4,30053,10,26400,26401,26402,26403,26404,26405,26406,26407,26408,26409,26410,26411,26412,26413,26414,26415
700401,4101,4,生命,生命携带品1号位，穿戴4件可激活套装效果:生命,血量提高15%,1,1,30004,10,21100,21101,21102,21103,21104,21105,21106,21107,21108,21109,21110,21111,21112,21113,21114,21115
700402,4101,4,生命,生命携带品2号位，穿戴4件可激活套装效果:生命,血量提高15%,1,2,30004,10,21200,21201,21202,21203,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215
700403,4101,4,生命,生命携带品3号位，穿戴4件可激活套装效果:生命,血量提高15%,1,3,30004,10,21300,21301,21302,21303,21304,21305,21306,21307,21308,21309,21310,21311,21312,21313,21314,21315
700404,4101,4,生命,生命携带品4号位，穿戴4件可激活套装效果:生命,血量提高15%,1,4,30004,10,21400,21401,21402,21403,21404,21405,21406,21407,21408,21409,21410,21411,21412,21413,21414,21415
700405,4101,4,生命,生命携带品1号位，穿戴4件可激活套装效果:生命,血量提高18%,2,1,30014,10,22100,22101,22102,22103,22104,22105,22106,22107,22108,22109,22110,22111,22112,22113,22114,22115
700406,4101,4,生命,生命携带品2号位，穿戴4件可激活套装效果:生命,血量提高18%,2,2,30014,10,22200,22201,22202,22203,22204,22205,22206,22207,22208,22209,22210,22211,22212,22213,22214,22215
700407,4101,4,生命,生命携带品3号位，穿戴4件可激活套装效果:生命,血量提高18%,2,3,30014,10,22300,22301,22302,22303,22304,22305,22306,22307,22308,22309,22310,22311,22312,22313,22314,22315
700408,4101,4,生命,生命携带品4号位，穿戴4件可激活套装效果:生命,血量提高18%,2,4,30014,10,22400,22401,22402,22403,22404,22405,22406,22407,22408,22409,22410,22411,22412,22413,22414,22415
700409,4101,4,生命,生命携带品1号位，穿戴4件可激活套装效果:生命,血量提高21%,3,1,30024,10,23100,23101,23102,23103,23104,23105,23106,23107,23108,23109,23110,23111,23112,23113,23114,23115
700410,4101,4,生命,生命携带品2号位，穿戴4件可激活套装效果:生命,血量提高21%,3,2,30024,10,23200,23201,23202,23203,23204,23205,23206,23207,23208,23209,23210,23211,23212,23213,23214,23215
700411,4101,4,生命,生命携带品3号位，穿戴4件可激活套装效果:生命,血量提高21%,3,3,30024,10,23300,23301,23302,23303,23304,23305,23306,23307,23308,23309,23310,23311,23312,23313,23314,23315
700412,4101,4,生命,生命携带品4号位，穿戴4件可激活套装效果:生命,血量提高21%,3,4,30024,10,23400,23401,23402,23403,23404,23405,23406,23407,23408,23409,23410,23411,23412,23413,23414,23415
700413,4101,4,生命,生命携带品1号位，穿戴4件可激活套装效果:生命,血量提高24%,4,1,30034,10,24100,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115
700414,4101,4,生命,生命携带品2号位，穿戴4件可激活套装效果:生命,血量提高24%,4,2,30034,10,24200,24201,24202,24203,24204,24205,24206,24207,24208,24209,24210,24211,24212,24213,24214,24215
700415,4101,4,生命,生命携带品3号位，穿戴4件可激活套装效果:生命,血量提高24%,4,3,30034,10,24300,24301,24302,24303,24304,24305,24306,24307,24308,24309,24310,24311,24312,24313,24314,24315
700416,4101,4,生命,生命携带品4号位，穿戴4件可激活套装效果:生命,血量提高24%,4,4,30034,10,24400,24401,24402,24403,24404,24405,24406,24407,24408,24409,24410,24411,24412,24413,24414,24415
700417,4101,4,生命,生命携带品1号位，穿戴4件可激活套装效果:生命,血量提高27%,5,1,30044,10,25100,25101,25102,25103,25104,25105,25106,25107,25108,25109,25110,25111,25112,25113,25114,25115
700418,4101,4,生命,生命携带品2号位，穿戴4件可激活套装效果:生命,血量提高27%,5,2,30044,10,25200,25201,25202,25203,25204,25205,25206,25207,25208,25209,25210,25211,25212,25213,25214,25215
700419,4101,4,生命,生命携带品3号位，穿戴4件可激活套装效果:生命,血量提高27%,5,3,30044,10,25300,25301,25302,25303,25304,25305,25306,25307,25308,25309,25310,25311,25312,25313,25314,25315
700420,4101,4,生命,生命携带品4号位，穿戴4件可激活套装效果:生命,血量提高27%,5,4,30044,10,25400,25401,25402,25403,25404,25405,25406,25407,25408,25409,25410,25411,25412,25413,25414,25415
700421,4101,4,生命,生命携带品1号位，穿戴4件可激活套装效果:生命,血量提高30%,6,1,30054,10,26100,26101,26102,26103,26104,26105,26106,26107,26108,26109,26110,26111,26112,26113,26114,26115
700422,4101,4,生命,生命携带品2号位，穿戴4件可激活套装效果:生命,血量提高30%,6,2,30054,10,26200,26201,26202,26203,26204,26205,26206,26207,26208,26209,26210,26211,26212,26213,26214,26215
700423,4101,4,生命,生命携带品3号位，穿戴4件可激活套装效果:生命,血量提高30%,6,3,30054,10,26300,26301,26302,26303,26304,26305,26306,26307,26308,26309,26310,26311,26312,26313,26314,26315
700424,4101,4,生命,生命携带品4号位，穿戴4件可激活套装效果:生命,血量提高30%,6,4,30054,10,26400,26401,26402,26403,26404,26405,26406,26407,26408,26409,26410,26411,26412,26413,26414,26415
