图片ID,注释,图片资源名,是否左右镜像（1为是）,图片坐标X,图片坐标Y,图片宽度,图片高度,音频内容(文件名字表示）,辅助功能分类,从上方计算坐标（1为从上方计算，2为从中间计算，不填或者填0从下方计算）
2504,第1关战斗效果引导缩放框1,teach/suofangkuang,,418,447,75,75,,,2
2505,第1关战斗效果引导缩放框2,teach/suofangkuang,,519,541,75,75,,,2
2506,第1关战斗效果引导缩放框3,teach/suofangkuang,,418,643,75,75,,,2
2507,第1关战斗效果引导对话图片,teach/7,,125,210,550,160,teachtu7,,2
2601,第1关战斗点击对方宝可梦引导人物,teach/kaichangrenwu,,435,40,228,297,,,2
2602,第1关战斗点击对方宝可梦引导对话框,teach/teachhuakuang,,115,210,550,160,,,2
2603,第1关战斗点击对方宝可梦引导对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
2604,第1关战斗点击对方宝可梦引导缩放框,teach/suofangkuang,,504,587,101,101,,,2
2605,第1关战斗点击对方宝可梦引导手指,teach/shou2,,550,629,64,53,,,2
2606,第1关战斗点击对方宝可梦引导对话,teach/8,,125,210,550,160,teachtu8,,2
2607,第1关战斗点击对方宝可梦强制点击区域,,,504,587,101,101,,,2
2608,第1关战斗点击对方宝可梦引导缩放框高亮,,,504,587,101,101,,,
2801,第1关战斗结束引导人物,teach/kaichangrenwu,,435,490,228,297,,,
2802,第1关战斗结束引导对话框,teach/teachhuakuang,,115,660,550,160,,,
2803,第1关战斗结束对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
2804,第1关战斗结束对话,teach/9,,125,660,550,160,teachtu9,,
3001,说明挂机场景的人物,teach/kaichangrenwu,,435,490,228,297,,,
3002,说明挂机场景的对话框,teach/teachhuakuang,,115,660,550,160,,,
3003,说明挂机场景的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
3004,说明挂机场景的对话,teach/10,,125,660,550,160,teachtu10,,
3101,说明挂机收益的人物,teach/kaichangrenwu,,435,490,228,297,,,
3102,说明挂机收益的对话框,teach/teachhuakuang,,115,660,550,160,,,
3103,说明挂机收益的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
3104,说明挂机收益的缩放框,teach/suofangkuang,,-1,574,94,260,,,
3105,说明挂机收益的对话,teach/11,,125,660,550,160,teachtu11,,
3106,说明挂机收益的缩放框高亮,,,-1,574,94,260,,,
3107,引导点击宝箱收取收益的缩放框,teach/suofangkuang,,8,583,78,73,,,
3108,引导点击宝箱收取收益的对话,teach/20,,125,660,550,160,teachtu20,,
3109,引导点击宝箱收取收益的点击区域,,,8,583,78,73,,,
3110,引导点击宝箱收取收益的缩放框高亮,,,8,583,78,73,,,
3111,说明挂机收益之后要收的缩放框,teach/suofangkuang,,7,660,80,172,,,
3112,说明挂机收益之后要收的对话,teach/21,,125,660,550,160,teachtu21,,
3113,说明挂机收益之后要收的缩放框高亮,,,7,660,80,172,,,
3201,强制玩家点击引导任务的人物,teach/kaichangrenwu,,435,490,228,297,,,
3202,强制玩家点击引导任务的对话框,teach/teachhuakuang,,115,660,550,160,,,
3203,强制玩家点击引导任务的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
3204,强制玩家点击引导任务的缩放框,teach/suofangkuang,,2,935,291,70,,,
3205,强制玩家点击引导任务的对话,teach/12,,125,660,550,160,teachtu12,,
3206,强制玩家点击引导任务的点击区域,,,50,955,291,70,,,
3207,强制玩家点击引导任务的缩放框高亮,,,2,935,291,70,,,
3208,强制玩家点击引导任务的点击手指,teach/shou2,,147,957,64,53,,,
4001,强制玩家点击高级扭蛋的人物,teach/kaichangrenwu,,435,490,228,297,,,1
4002,强制玩家点击高级扭蛋的对话框,teach/teachhuakuang,,115,660,550,160,,,1
4003,强制玩家点击高级扭蛋的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,1
4004,强制玩家点击高级扭蛋的对话,teach/13,,125,660,550,160,teachtu13,,1
4005,强制玩家点击高级扭蛋的点击区域,,,190,870,160,60,,,2
4006,强制玩家点击高级扭蛋的缩放框,teach/suofangkuang,,170,875,200,80,,,2
4007,强制玩家点击高级扭蛋的手指,teach/shou2,,260,900,103,93,,,2
4008,强制玩家点击高级扭蛋的高亮,,,170,875,200,80,,,2
4009,确定缩放,teach/suofangkuang,,264,804,185,80,,,
4010,确定手,teach/shou2,,357,835,55,55,,,
4011,确定高亮,,,264,804,185,80,,,
4012,确定点击,,,264,804,185,80,,,
4013,冒险缩放,teach/suofangkuang,,305,995,108,100,,,
4014,冒险手,teach/shou2,,370,1059,55,55,,,
4015,冒险高亮,,,305,995,100,100,,,
4016,冒险点击,,,305,995,100,100,,,
4017,跳过动画缩放,teach/suofangkuang,,640,365,57,52,,,1
4018,跳过动画手,teach/shou2,,672,370,50,50,,,1
4019,高亮,,,640,359,57,52,,,1
4020,点击,,,640,359,57,52,,,1
4101,强制玩家点击确认的人物,teach/kaichangrenwu,,435,740,228,297,,,
4102,强制玩家点击确认的对话框,teach/teachhuakuang,,115,910,550,160,,,
4103,强制玩家点击确认的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
4104,强制玩家点击确认的对话,teach/14,,125,910,550,160,teachtu14,,
4105,强制玩家点击确认的点击区域,,,254,731,209,55,,,
4106,强制玩家点击确认的的缩放框,teach/suofangkuang,,262,751,186,55,,,
4107,强制玩家点击确认的的手指,teach/shou2,,312,791,65,65,,,
4201,强制玩家点击冒险按钮的缩放框,teach/suofangkuang,,305,993,107,103,,,
4202,强制玩家点击冒险按钮的手指,teach/shou2,,360,1034,103,93,,,
4203,强制玩家点击冒险按钮的区域,,,315,1003,87,83,,,
4204,强制玩家点击冒险按钮的高亮,,,305,993,107,103,,,
5001,强制玩家点击领取奖励的人物,teach/kaichangrenwu,,435,490,228,297,,,
5002,强制玩家点击领取奖励的对话框,teach/teachhuakuang,,115,660,550,160,,,
5003,强制玩家点击领取奖励的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
5004,强制玩家点击领取奖励的对话,teach/15,,125,660,550,160,teachtu15,,
5005,强制玩家点击领取奖励的点击区域,,,50,955,291,70,,,
5006,强制玩家点击领取奖励的缩放框,teach/suofangkuang,,2,935,291,70,,,
5007,强制玩家点击领取奖励的缩放框高亮,,,2,935,291,70,,,
5008,强制玩家点击领取奖励的手指,teach/shou2,,147,957,64,53,,,
5101,引导玩家跟着手指点的人物,teach/kaichangrenwu,,435,490,228,297,,,
5102,引导玩家跟着手指点的对话框,teach/teachhuakuang,,115,660,550,160,,,
5103,引导玩家跟着手指点的对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
5104,引导玩家跟着手指点的对话,teach/16,,125,660,550,160,teachtu12,,
5201,引导玩家点击自动战斗的人物,teach/kaichangrenwu,1,435,490,228,297,,,
5202,引导玩家点击自动战斗的对话框,teach/teachhuakuang,,115,660,550,160,,,
5203,引导玩家点击自动战斗的对话,teach/17,,125,660,550,160,teachtu17,,
5204,引导玩家点击自动战斗的缩放框,teach/suofangkuang,,443,120,76,73,,,1
5205,引导玩家点击加速*2的缩放框,teach/suofangkuang,,549,874,166,53,,,
5206,引导玩家点击加速*2的对话,teach/22,,125,460,550,160,teachtu22,,1
5207,引导玩家点击加速*2的人物,teach/kaichangrenwu,1,435,290,228,297,,,1
5208,引导玩家点击加速*2的对话框,teach/teachhuakuang,,115,460,550,160,,,1
5209,高亮,,,551,876,162,49,,,
5210,点击,,,551,876,162,49,,,
5211,高亮,,,445,122,72,69,,,1
5212,点击,,,445,122,72,69,,,1
5301,引导玩家跟着手指走的人物,teach/kaichangrenwu,,435,490,228,297,,,
5302,引导玩家跟着手指走的对话框,teach/teachhuakuang,,115,660,550,160,,,
5303,引导玩家跟着手指走的对话,teach/18,,125,660,550,160,,,
5304,引导玩家跟着手指走的缩放框,teach/suofangkuang,,,,,,,,
5401,第2关战斗点击对方宝可梦引导人物,teach/kaichangrenwu,,435,40,228,297,,,2
5402,第2关战斗点击对方宝可梦引导对话框,teach/teachhuakuang,,115,210,550,160,,,2
5403,第2关战斗点击对方宝可梦引导对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
5404,第2关战斗点击对方宝可梦引导缩放框,teach/suofangkuang,,504,587,101,101,,,2
5405,第2关战斗点击对方宝可梦引导手指,teach/shou2,,550,629,64,53,,,2
5406,第2关战斗点击对方宝可梦引导对话1,teach/2ba1,,125,210,550,160,teachtu2ba1,,2
5407,第2关战斗点击对方宝可梦强制点击区域,,,504,587,101,101,,,2
5408,第2关战斗点击对方宝可梦引导缩放框高亮,,,504,587,101,101,,,
5409,第2关战斗点击对方宝可梦引导对话2,teach/2ba2,,125,210,550,160,teachtu2ba2,,2
5501,第3关战斗点击对方宝可梦引导人物,teach/kaichangrenwu,,435,40,228,297,,,2
5502,第3关战斗点击对方宝可梦引导对话框,teach/teachhuakuang,,115,210,550,160,,,2
5503,第3关战斗点击对方宝可梦引导对话框箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
5504,第3关战斗点击对方宝可梦引导缩放框,teach/suofangkuang,,504,587,101,101,,,2
5505,第3关战斗点击对方宝可梦引导手指,teach/shou2,,550,629,64,53,,,2
5506,第3关战斗点击对方宝可梦引导对话,teach/3ba1,,125,210,550,160,teachtu3ba1,,2
5507,第3关战斗点击对方宝可梦强制点击区域,,,504,587,101,101,,,2
5508,第3关战斗点击对方宝可梦引导缩放框高亮,,,504,587,101,101,,,2
5509,第3关战斗点击对方宝可梦引导对话2,teach/3ba2,,125,210,550,160,teachtu3ba2,,2
5601,引导玩家点击声音的人物,teach/kaichangrenwu,,435,140,228,297,,,
5602,引导玩家点击声音的对话框,teach/teachhuakuang,,115,310,550,160,,,
5603,引导玩家点击声音的对话,teach/voice1,,125,310,550,160,,,
5604,引导玩家点击声音的缩放框,teach/shou2,,480,48,67,62,,,
5605,引导玩家点击声音的高亮,,,480,48,67,62,,,
10000,引导点击展开功能的缩放框,teach/suofangkuang,,16,152,83,78,,好友协助,1
10001,引导点击展开功能的手指,teach/shou2,,80,210,45,45,,好友协助,1
10002,引导点击展开功能的高亮,,,16,152,83,78,,好友协助,1
10003,引导点击展开功能的强制区域,,,29,165,58,56,,好友协助,1
10004,引导点击好友的缩放框,teach/suofangkuang,,140,350,75,75,,好友协助,1
10005,引导点击好友的手指,teach/shou2,,150,360,45,45,,好友协助,1
10006,引导点击好友的高亮,,,140,350,75,75,,好友协助,1
10007,引导点击好友的强制区域,,,150,360,65,65,,好友协助,1
10008,引导点击第一个好友的协助按钮的缩放框,teach/suofangkuang,,622,262,89,79,,好友协助,2
10009,引导点击第一个好友的协助按钮的手指,teach/shou2,,700,330,45,45,,好友协助,2
10010,引导点击第一个好友的协助按钮的高亮,,,622,262,89,79,,好友协助,2
10011,引导点击第一个好友的协助按钮的强制区域,,,631,273,68,58,,好友协助,2
10012,引导点击关闭按钮的缩放框,teach/suofangkuang,,601,36,110,65,,好友协助,2
10013,引导点击关闭按钮的手指,teach/shou2,,700,90,45,45,,好友协助,2
10014,引导点击关闭按钮的高亮,,,601,36,110,65,,好友协助,2
10015,引导点击关闭的强制区域,,,611,43,91,48,,好友协助,2
10016,介绍好友列表的高亮,,,16,109,689,455,,好友协助,2
10017,介绍好友协助精灵的高亮,,,486,215,215,159,,好友协助,2
40000,位置在宝可梦箱子的人物,teach/banshennan,,405,520,228,297,,人物图,2
40001,位置在中间的人物,teach/banshennan,,405,300,228,297,,人物图,2
40002,位置在上方的人物,teach/banshennan,,405,80,228,297,,人物图,2
45000,位置在宝可梦箱子的对话框,teach/teachhuakuang,,85,690,550,160,,对话框,2
45001,位置在中间的对话框,teach/teachhuakuang,,85,470,550,160,,对话框,2
45002,位置在上方的对话框,teach/teachhuakuang,,85,250,550,160,,对话框,2
50001,引导点击培养的缩放框,teach/suofangkuang,,8,914,176,70,,培养,
50002,引导点击培养的手指,teach/shou2,,59,954,55,55,,培养,
50003,引导点击培养的高亮,,,8,914,176,70,,培养,
50004,引导点击培养的强制区域,,,12,918,168,62,,培养,
50005,引导点击头像的缩放框,teach/suofangkuang,,11,11,90,85,,头像,1
50006,引导点击头像的手指,teach/shou2,,61,51,55,55,,头像,1
50007,引导点击头像的高亮,,,11,11,90,85,,头像,1
50008,引导点击头像的强制区域,,,15,15,82,77,,头像,1
50009,引导点击主城的缩放框,teach/suofangkuang,,0,1000,99,92,,主城,
50010,引导点击主城的手指,teach/shou2,,55,1055,55,55,,主城,
50011,引导点击主城的高亮,,,0,1000,99,92,,主城,
50012,引导点击主城的强制区域,,,4,1004,91,84,,主城,
50013,引导点击精灵的缩放框,teach/suofangkuang,,200,1000,99,92,,精灵,
50014,引导点击精灵的手指,teach/shou2,,263,1055,55,55,,精灵,
50015,引导点击精灵的高亮,,,200,1000,99,92,,精灵,
50016,引导点击精灵的强制区域,,,204,1004,91,84,,精灵,
50017,引导点击任务的缩放框,teach/suofangkuang,,518,1000,99,92,,任务,
50018,引导点击任务的手指,teach/shou2,,551,1055,55,55,,任务,
50019,引导点击任务的高亮,,,518,1000,99,92,,任务,
50020,引导点击任务的强制区域,,,522,1004,91,84,,任务,
50021,引导点击冒险的缩放框,teach/suofangkuang,,301,990,112,103,,冒险,
50022,引导点击冒险的手指,teach/shou2,,365,1038,55,55,,冒险,
50023,引导点击冒险的高亮,,,301,990,112,103,,冒险,
50024,引导点击冒险的强制区域,,,322,1009,72,78,,冒险,
50025,引导点击开始战斗的缩放框,teach/suofangkuang,,280,913,162,72,,开始战斗,
50026,引导点击开始战斗的手指,teach/shou2,,385,975,55,55,,开始战斗,
50027,引导点击开始战斗的高亮,,,280,913,162,72,,开始战斗,
50028,引导点击开始战斗的强制区域,,,303,929,117,51,,开始战斗,
50029,引导点击丰缘地区的缩放框,,,625,614,93,64,,丰缘地区,
50030,引导点击丰缘地区的手指,,,705,665,45,45,,丰缘地区,
50031,引导点击丰缘地区的高亮,,,625,614,93,64,,丰缘地区,
50032,引导点击丰缘地区的强制区域,,,634,613,72,49,,丰缘地区,
50033,引导点击失败确认的缩放框,teach/suofangkuang,,260,730,198,87,,战斗失败点确定,2
50034,引导点击失败确认按钮的手指,teach/shou2,,440,800,55,55,,战斗失败点确定,2
50035,引导点击失败确认按钮的高亮,,,260,730,198,87,,战斗失败点确定,2
50036,引导点击失败确认的强制区域,,,277,740,162,65,,战斗失败点确定,2
50101,引导玩家点击努力值的缩放框,teach/suofangkuang,,423,997,128,53,,努力值,
50102,引导玩家点击努力值的手指,teach/shou2,,473,1037,55,55,,努力值,
50103,引导玩家点击努力值的缩放框高亮,,,423,997,128,53,,努力值,
50104,引导玩家点击努力值的强制点击区域,,,433,1007,108,33,,努力值,
50105,引导玩家点击生命也签的缩放框,teach/suofangkuang,,40,685,110,60,,努力值,
50106,引导玩家点击生命也签的手指,teach/shou2,,98,737,55,55,,努力值,
50107,引导玩家点击生命也签的缩放框高亮,,,40,685,110,60,,努力值,
50108,引导玩家点击生命也签的强制点击区域,,,50,695,90,40,,努力值,
50109,引导玩家点击物攻也签的缩放框,teach/suofangkuang,,150,652,100,48,,努力值,
50110,引导玩家点击物攻也签的手指,teach/shou2,,200,692,55,55,,努力值,
50111,引导玩家点击物攻也签的缩放框高亮,,,150,652,100,48,,努力值,
50112,引导玩家点击物攻也签的强制点击区域,,,154,656,92,40,,努力值,
50113,引导玩家点击使用1次的缩放框,teach/suofangkuang,,545,927,125,55,,努力值,
50114,引导玩家点击使用1次的手指,teach/shou2,,607,977,55,55,,努力值,
50115,引导玩家点击使用1次的缩放框高亮,,,545,927,125,55,,努力值,
50116,引导玩家点击使用1次的强制点击区域,,,549,931,117,47,,努力值,
50201,引导点击跟随缩放,teach/suofangkuang,,35,105,90,75,,跟随,
50202,引导点击跟随手指,teach/shou2,,102,161,55,55,,跟随,
50203,引导点击跟随高亮,,,35,105,90,75,,跟随,
50204,引导点击跟随强制区域,,,39,109,82,67,,跟随,
50271,跟随区域高亮,,,5,355,711,205,,跟随,
50301,引导点击日常任务缩放,teach/suofangkuang,,245,78,200,69,,任务,1
50302,引导点击日常任务手指,teach/shou2,,400,118,55,55,,任务,1
50303,引导点击日常任务高亮,,,245,78,200,69,,任务,1
50304,引导点击日常任务强制区域,,,245,78,200,69,,任务,1
50305,引导点击领取缩放,teach/suofangkuang,,540,350,120,50,,任务,1
50306,引导点击领取手指,teach/shou2,,620,380,55,55,,任务,1
50307,引导点击领取高亮,,,540,350,120,50,,任务,1
50308,引导点击领取强制区域,,,540,350,90,30,,任务,1
50309,引导点击成就任务缩放框,teach/suofangkuang,,38,58,200,86,,任务,
50310,引导点击成就任务手指,teach/shou2,,334,128,55,55,,任务,
50311,引导点击成就任务高亮,,,38,58,200,86,,任务,
50312,引导点击成就任务区域,,,59,77,160,50,,任务,
50371,活跃度箱子高亮,,,38,156,644,115,,任务,1
50401,点击商店的缩放,teach/suofangkuang,,335,155,125,170,,商店,
50402,点击商店的手指,teach/shou2,,400,250,55,55,,商店,
50403,点击商店的高亮,,,335,155,125,170,,商店,
50404,点击商店的强制区域,,,320,140,115,150,,商店,
50405,引导点击精灵商店缩放,teach/suofangkuang,,9,235,70,120,,商店,2
50406,引导点击精灵商店手指,teach/shou2,,58,335,55,55,,商店,2
50407,引导点击精灵商店高亮,,,9,235,60,110,,商店,2
50408,引导点击精灵商店强制区域,,,9,235,60,110,,商店,2
50409,引导点击刷新缩放,teach/suofangkuang,,526,930,157,71,,商店,2
50410,引导点击刷新手指,teach/shou2,,626,970,55,55,,商店,2
50411,引导点击刷新高亮,,,526,930,157,71,,商店,2
50412,引导点击刷新强制区域,,,548,930,113,42,,商店,2
50413,关闭缩放,teach/suofangkuang,,628,27,80,80,,商店,2
50414,关闭手指,teach/shou2,,670,50,55,55,,商店,2
50415,关闭高亮,,,628,27,80,80,,商店,2
50416,关闭强制区域,,,628,27,80,80,,商店,2
50501,引导玩家点击亲密度的缩放框,teach/suofangkuang,,165,997,128,53,,亲密度,
50502,引导玩家点击亲密度的手指,teach/shou2,,215,1037,55,55,,亲密度,
50503,引导玩家点击亲密度的缩放框高亮,,,165,997,128,53,,亲密度,
50504,引导玩家点击亲密度的强制点击区域,,,169,1001,120,45,,亲密度,
50505,点击一键升级的缩放框,teach/suofangkuang,,535,835,140,80,,亲密度,
50506,点击一键升级的手指,teach/shou2,,604,897,55,55,,亲密度,
50507,点击一键升级的高亮,,,535,835,140,80,,亲密度,
50508,点击一键升级的点击区域,,,550,850,110,50,,亲密度,
50509,点击喂养的缩放框,teach/suofangkuang,,535,900,140,80,,亲密度,
50510,点击喂养的手指,teach/shou2,,604,962,55,55,,亲密度,
50511,点击喂养的高亮,,,535,900,140,80,,亲密度,
50512,点击喂养的点击区域,,,550,915,110,50,,亲密度,
50601,点击进化也签缩放框,teach/suofangkuang,,270,0,130,70,,进化,2
50602,点击进化也签手指,teach/shou2,,380,60,55,55,,进化,2
50603,点击进化也签高亮,,,270,0,130,70,,进化,2
50604,点击进化也签点击区域,,,280,10,110,50,,进化,2
50605,点击进化按钮缩放框,teach/suofangkuang,,470,1000,180,75,,进化,2
50606,点击进化按钮手指,teach/shou2,,620,1020,55,55,,进化,2
50607,点击进化按钮高亮,,,470,1000,180,75,,进化,2
50608,点击进化按钮点击区域,,,480,1010,160,65,,进化,2
50701,点击携带品框,teach/suofangkuang,,40,207,80,60,,携带品,
50702,点击携带品手指,teach/shou2,,102,256,55,55,,携带品,
50703,点击携带品高亮,,,40,207,80,60,,携带品,
50704,点击携带品强制区域,,,52,216,60,40,,携带品,
50705,点击携带品一键升级的框,teach/suofangkuang,,210,990,120,52,,携带品,
50706,点击携带品一键升级的手指,teach/shou2,,275,1043,55,55,,携带品,
50707,点击携带品一键升级的高亮,,,210,990,120,52,,携带品,
50708,点击携带品一键升级的强制区域,,,225,1003,90,30,,携带品,
50709,点击携带品一键装备的框,teach/suofangkuang,,380,990,120,52,,携带品,
50710,点击携带品一键装备的手指,teach/shou2,,446,1043,55,55,,携带品,
50711,点击携带品一键装备的高亮,,,380,990,120,52,,携带品,
50712,点击携带品一键装备的强制区域,,,396,1003,90,30,,携带品,
50771,携带品种类说明,,,44,354,632,180,,携带品,
50901,点击竞技场的框,teach/suofangkuang,,190,470,170,150,,竞技场,
50902,点击竞技场的手指,teach/shou2,,270,540,55,55,,竞技场,
50903,点击竞技场的高亮,,,190,470,170,150,,竞技场,
50904,点击竞技场的强制区域,,,210,490,145,128,,竞技场,
51001,点击狩猎场的框,teach/suofangkuang,,410,780,90,90,,狩猎区,2
51002,点击狩猎场的手指,teach/shou2,,460,810,55,55,,狩猎区,2
51003,点击狩猎场的高亮,,,410,780,90,90,,狩猎区,2
51004,点击狩猎场的强制区域,,,410,780,90,90,,狩猎区,2
51005,点击狩猎场初级的框,teach/suofangkuang,,65,60,180,279,,狩猎区,
51006,点击狩猎场初级的手指,teach/shou2,,115,100,55,55,,狩猎区,
51007,点击狩猎场初级的高亮,,,65,60,180,279,,狩猎区,
51008,点击狩猎场初级的强制区域,,,69,64,172,271,,狩猎区,
51009,点击狩猎场进入的框,teach/suofangkuang,,267,970,180,70,,狩猎区,
51010,点击狩猎场进入的手指,teach/shou2,,327,1019,55,55,,狩猎区,
51011,点击狩猎场进入的高亮,,,267,970,180,70,,狩猎区,
51012,点击狩猎场进入的强制区域,,,277,979,159,50,,狩猎区,
51013,点击狩猎场高级的框,teach/suofangkuang,,510,93,110,211,,狩猎区,
51014,点击狩猎场高级的手指,teach/shou2,,560,133,55,55,,狩猎区,
51015,点击狩猎场高级的高亮,,,510,93,110,211,,狩猎区,
51016,点击狩猎场高级的强制区域,,,514,97,102,203,,狩猎区,
51071,介绍出现的精灵高亮,,,66,487,595,304,,狩猎区,
51072,介绍精灵球,,,65,827,584,120,,狩猎区,
51073,点击关闭狩猎场高级的框,teach/suofangkuang,,604,5,104,60,,狩猎区,
51074,点击关闭狩猎场高级的手指,teach/shou2,,690,55,55,55,,狩猎区,
51075,点击关闭狩猎场高级的高亮,,,604,5,104,60,,狩猎区,
51076,点击关闭狩猎场高级的强制区域,,,617,18,74,34,,狩猎区,
51077,点击地图的缩放框,teach/suofangkuang,,445,930,90,70,,地图,0
51078,点击地图的手,teach/shou2,,520,950,55,55,,地图手,0
51079,点击地图的高亮区域,,,445,930,90,70,,地图,0
51080,点击地图的强制区域,,,445,930,90,70,,地图,0
51081,点击前往缩放框,teach/suofangkuang,,530,310,125,52,,狩猎区,1
51082,前往手,teach/shou2,,595,310,55,55,,狩猎区,1
51083,前往高亮,,,530,310,125,52,,狩猎区,1
51084,前往强制,,,530,310,125,52,,狩猎区,1
51085,瞬飞缩放,teach/suofangkuang,,360,75,80,60,,狩猎区,2
51086,瞬飞手,teach/shou2,,435,110,55,55,,狩猎区,2
51087,瞬飞高亮,,,382,90,30,30,,狩猎区,2
51088,瞬飞强制,,,382,90,30,30,,狩猎区,2
51089,瞬飞确认缩放,teach/suofangkuang,,141,537,195,80,,狩猎区,2
51090,瞬飞确认手,teach/shou2,,335,565,60,60,,狩猎区,2
51091,瞬飞确认高亮,,,141,537,195,80,,狩猎区,2
51092,瞬飞确认强制,,,141,537,195,80,,狩猎区,2
56001,翻页缩放,teach/suofangkuang,,230,0,200,69,,狩猎区,2
56002,翻页手,teach/shou2,,280,10,60,60,,狩猎区,2
56003,翻页高亮,,,230,0,200,69,,狩猎区,2
56004,翻页强制,,,230,0,200,69,,狩猎区,2
51093,选择,,,585,205,103,82,,狩猎区,1
51094,精灵几率,,,20,420,653,430,,狩猎区,1
51095,买球,,,20,865,655,123,,狩猎区,1
51096,进入缩放,teach/suofangkuang,,250,985,204,78,,狩猎区,2
