神器特性id,神器特性类型,附加说明,注释,特性值(几率=数/100),"触发条件(1.每次攻击时,2.每次被攻击时,5.登场时,6.自身死亡时）",触发条件2（1.生命值大于X，2.生命值小于X）,触发条件2数值,"作用目标（1.自身,2.友方随机1个人,3.友方全体,4对方随机1个人,5.对方全体）","效果几率（百分比,1是必定触发）","效果1类型（1.物攻增加百分比,2.特攻增加百分比,3.物防增加百分比,4特防增加百分比,5.伤害增加百分比,6.回复sp固定值,7.回复生命值上限的百分比生命值 8.回复伤害的百分比生命值 9.回复物攻,特攻中较高上限的生命值 10.回复物防,特防中较高上限的生命值 11.回复生命,速度中较高的上限生命值 12.驱除减益效果 13.复活 14.增加的buff ID 15.回复当前生命值百分比的血量 16.受到的伤害减免百分比)(；分隔是共同起作用）",效果1数值,"效果2类型（1.物攻增加百分比,2.特攻增加百分比,3.物防增加百分比,4特防增加百分比,5.伤害增加百分比,6.回复sp固定值,7.回复生命值上限的百分比生命值 8.回复伤害的百分比生命值 9.回复物攻,特攻中较高上限的生命值 10.回复物防,特防中较高上限的生命值 11.回复生命,速度中较高的上限生命值 12.驱除减益效果 13.复活 14.增加的buff ID 15.回复当前生命值百分比的血量 16.受到的伤害减免百分比)(；分隔是共同起作用）",效果2数值,随机权重,神器框颜色（1.绿 2.蓝 3.紫 4.橙 5.红）
305,13,"(9星激活)攻击时,{0}%几率回复己方所有宝可梦基于每个精灵自身生命值上限{1}%(绿:2%,红:10%)的血量",,20;10,1,,,3,0.2,7,0.1,,,20,5
311,14,"(9星激活)攻击时,{0}%几率随机回复友方1个宝可梦{1}点(绿:4点,红:20点)sp",,20;4,1,,,2,0.2,6,4,,,300,1
312,14,"(9星激活)攻击时,{0}%几率随机回复友方1个宝可梦{1}点(绿:4点,红:20点)sp",,20;8,1,,,2,0.2,6,8,,,400,2
313,14,"(9星激活)攻击时,{0}%几率随机回复友方1个宝可梦{1}点(绿:4点,红:20点)sp",,20;12,1,,,2,0.2,6,12,,,200,3
314,14,"(9星激活)攻击时,{0}%几率随机回复友方1个宝可梦{1}点(绿:4点,红:20点)sp",,20;16,1,,,2,0.2,6,16,,,80,4
315,14,"(9星激活)攻击时,{0}%几率随机回复友方1个宝可梦{1}点(绿:4点,红:20点)sp",,20;20,1,,,2,0.2,6,20,,,20,5
321,15,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,70;6,1,1,70,4,0.06,14,1000001,,,300,1
322,15,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,70;12,1,1,70,4,0.12,14,1000001,,,400,2
323,15,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,70;18,1,1,70,4,0.18,14,1000001,,,200,3
324,15,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,70;24,1,1,70,4,0.24,14,1000001,,,80,4
325,15,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,70;30,1,1,70,4,0.3,14,1000001,,,20,5
331,16,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,35;6,1,2,35,4,0.06,14,1000001,,,300,1
332,16,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,35;12,1,2,35,4,0.12,14,1000001,,,400,2
333,16,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,35;18,1,2,35,4,0.18,14,1000001,,,200,3
334,16,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,35;24,1,2,35,4,0.24,14,1000001,,,80,4
335,16,"(9星激活)血量大于{0}%,攻击时,{1}%(绿:6%,红:30%)几率让敌方随机1个宝可梦麻痹,持续2回合",,35;30,1,2,35,4,0.3,14,1000001,,,20,5
401,17,"(9星激活)攻击时,{0}%几率造成随机敌方1个宝可梦的当前血量{1}%(绿5%,红:25%)的伤害",,35;5,1,,,4,0.35,15,-0.05,,,300,1
402,17,"(9星激活)攻击时,{0}%几率造成随机敌方1个宝可梦的当前血量{1}%(绿5%,红:25%)的伤害",,35;10,1,,,4,0.35,15,-0.1,,,400,2
403,17,"(9星激活)攻击时,{0}%几率造成随机敌方1个宝可梦的当前血量{1}%(绿5%,红:25%)的伤害",,35;15,1,,,4,0.35,15,-0.15,,,200,3
404,17,"(9星激活)攻击时,{0}%几率造成随机敌方1个宝可梦的当前血量{1}%(绿5%,红:25%)的伤害",,35;20,1,,,4,0.35,15,-0.2,,,80,4
405,17,"(9星激活)攻击时,{0}%几率造成随机敌方1个宝可梦的当前血量{1}%(绿5%,红:25%)的伤害",,35;25,1,,,4,0.35,15,-0.25,,,20,5
411,18,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双防{1}%(绿:3%,红:15%),持续4回合",,50;3,1,,,4,0.5,14,1000461,,,300,1
412,18,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双防{1}%(绿:3%,红:15%),持续4回合",,50;6,1,,,4,0.5,14,1000462,,,400,2
413,18,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双防{1}%(绿:3%,红:15%),持续4回合",,50;9,1,,,4,0.5,14,1000463,,,200,3
414,18,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双防{1}%(绿:3%,红:15%),持续4回合",,50;12,1,,,4,0.5,14,1000464,,,80,4
415,18,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双防{1}%(绿:3%,红:15%),持续4回合",,50;15,1,,,4,0.5,14,1000465,,,20,5
421,19,"(9星激活)血量大于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,70;50;5,1,1,70,1,0.5,6,5,,,300,1
422,19,"(9星激活)血量大于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,70;50;10,1,1,70,1,0.5,6,10,,,400,2
423,19,"(9星激活)血量大于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,70;50;15,1,1,70,1,0.5,6,15,,,200,3
424,19,"(9星激活)血量大于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,70;50;20,1,1,70,1,0.5,6,20,,,80,4
425,19,"(9星激活)血量大于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,70;50;25,1,1,70,1,0.5,6,25,,,20,5
431,20,"(9星激活)血量小于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,35;50;5,1,2,35,1,0.5,6,5,,,300,1
432,20,"(9星激活)血量小于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,35;50;10,1,2,35,1,0.5,6,10,,,400,2
433,20,"(9星激活)血量小于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,35;50;15,1,2,35,1,0.5,6,15,,,200,3
434,20,"(9星激活)血量小于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,35;50;20,1,2,35,1,0.5,6,20,,,80,4
435,20,"(9星激活)血量小于{0}%时,{1}%几率攻击回复自身sp{2}点(绿:5点,红:25点)",,35;50;25,1,2,35,1,0.5,6,25,,,20,5
501,21,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个宝可梦混乱,持续2回合",,4,1,,,4,0.04,14,1000021,,,300,1
502,21,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个宝可梦混乱,持续2回合",,8,1,,,4,0.08,14,1000021,,,400,2
503,21,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个宝可梦混乱,持续2回合",,12,1,,,4,0.12,14,1000021,,,200,3
504,21,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个宝可梦混乱,持续2回合",,16,1,,,4,0.16,14,1000021,,,80,4
505,21,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个宝可梦混乱,持续2回合",,20,1,,,4,0.2,14,1000021,,,20,5
511,22,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,50;3,1,,,4,0.5,14,1000261,,,300,1
512,22,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,50;6,1,,,4,0.5,14,1000262,,,400,2
513,22,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,50;9,1,,,4,0.5,14,1000263,,,200,3
514,22,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,50;12,1,,,4,0.5,14,1000264,,,80,4
515,22,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,50;15,1,,,4,0.5,14,1000265,,,20,5
521,23,"(9星激活)血量大于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,70;5,2,1,70,1,1,16,0.05,,,300,1
522,23,"(9星激活)血量大于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,70;10,2,1,70,1,1,16,0.1,,,400,2
523,23,"(9星激活)血量大于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,70;15,2,1,70,1,1,16,0.15,,,200,3
524,23,"(9星激活)血量大于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,70;20,2,1,70,1,1,16,0.2,,,80,4
525,23,"(9星激活)血量大于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,70;25,2,1,70,1,1,16,0.25,,,20,5
531,24,"(9星激活)血量小于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,35;5,2,2,35,1,1,16,0.05,,,300,1
532,24,"(9星激活)血量小于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,35;10,2,2,35,1,1,16,0.1,,,400,2
533,24,"(9星激活)血量小于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,35;15,2,2,35,1,1,16,0.15,,,200,3
534,24,"(9星激活)血量小于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,35;20,2,2,35,1,1,16,0.2,,,80,4
535,24,"(9星激活)血量小于{0}%时,自身受到的伤害降低{1}%(绿:5%,红:25%)",,35;25,2,2,35,1,1,16,0.25,,,20,5
601,25,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦基于自身生命值上限{1}%(绿:5%,红:25%)的血量",,30;5,1,,,2,0.3,7,0.05,,,300,1
602,25,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦基于自身生命值上限{1}%(绿:5%,红:25%)的血量",,30;10,1,,,2,0.3,7,0.1,,,400,2
603,25,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦基于自身生命值上限{1}%(绿:5%,红:25%)的血量",,30;15,1,,,2,0.3,7,0.15,,,200,3
604,25,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦基于自身生命值上限{1}%(绿:5%,红:25%)的血量",,30;20,1,,,2,0.3,7,0.2,,,80,4
605,25,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦基于自身生命值上限{1}%(绿:5%,红:25%)的血量",,30;25,1,,,2,0.3,7,0.25,,,20,5
611,26,"(9星激活)攻击时,{0}%几率随机回复随回复友方全队{1}点(绿:2点,红:10点)sp",,25;2,1,,,3,0.25,6,2,,,300,1
612,26,"(9星激活)攻击时,{0}%几率随机回复随回复友方全队{1}点(绿:2点,红:10点)sp",,25;4,1,,,3,0.25,6,4,,,400,2
613,26,"(9星激活)攻击时,{0}%几率随机回复随回复友方全队{1}点(绿:2点,红:10点)sp",,25;6,1,,,3,0.25,6,6,,,200,3
614,26,"(9星激活)攻击时,{0}%几率随机回复随回复友方全队{1}点(绿:2点,红:10点)sp",,25;8,1,,,3,0.25,6,8,,,80,4
615,26,"(9星激活)攻击时,{0}%几率随机回复随回复友方全队{1}点(绿:2点,红:10点)sp",,25;10,1,,,3,0.25,6,10,,,20,5
621,27,"(9星激活)血量大于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,70;50;5,1,1,70,1,0.5,7,0.05,,,300,1
622,27,"(9星激活)血量大于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,70;50;10,1,1,70,1,0.5,7,0.1,,,400,2
623,27,"(9星激活)血量大于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,70;50;15,1,1,70,1,0.5,7,0.15,,,200,3
624,27,"(9星激活)血量大于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,70;50;20,1,1,70,1,0.5,7,0.2,,,80,4
625,27,"(9星激活)血量大于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,70;50;25,1,1,70,1,0.5,7,0.25,,,20,5
631,28,"(9星激活)血量小于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,35;50;5,1,2,35,1,0.5,7,0.05,,,300,1
632,28,"(9星激活)血量小于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,35;50;10,1,2,35,1,0.5,7,0.1,,,400,2
633,28,"(9星激活)血量小于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,35;50;15,1,2,35,1,0.5,7,0.15,,,200,3
634,28,"(9星激活)血量小于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,35;50;20,1,2,35,1,0.5,7,0.2,,,80,4
635,28,"(9星激活)血量小于{0}%时,行动时有{1}%几率回复自身生命上限的{2}%(绿:5%,红:25%)的血量",,35;50;25,1,2,35,1,0.5,7,0.25,,,20,5
701,29,"(9星激活)攻击时,{0}%几率随机对敌方1个宝可梦造成自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)伤害",,30;5,1,,,4,0.3,9,-0.05,,,300,1
702,29,"(9星激活)攻击时,{0}%几率随机对敌方1个宝可梦造成自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)伤害",,30;10,1,,,4,0.3,9,-0.1,,,400,2
703,29,"(9星激活)攻击时,{0}%几率随机对敌方1个宝可梦造成自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)伤害",,30;15,1,,,4,0.3,9,-0.15,,,200,3
704,29,"(9星激活)攻击时,{0}%几率随机对敌方1个宝可梦造成自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)伤害",,30;20,1,,,4,0.3,9,-0.2,,,80,4
705,29,"(9星激活)攻击时,{0}%几率随机对敌方1个宝可梦造成自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)伤害",,30;25,1,,,4,0.3,9,-0.25,,,20,5
711,30,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)血量",,30;5,1,,,2,0.3,9,0.05,,,300,1
712,30,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)血量",,30;10,1,,,2,0.3,9,0.1,,,400,2
713,30,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)血量",,30;15,1,,,2,0.3,9,0.15,,,200,3
714,30,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)血量",,30;20,1,,,2,0.3,9,0.2,,,80,4
