序号,商品组ID,商品ID（道具；数量）,权重
number,number,string,number
ID,goods,good,weight
89,10006,601462;5,1
90,10006,601091;5,1
91,10006,601094;5,1
92,10006,601208;5,1
93,10006,601464;5,1
94,10006,601242;5,1
95,10006,601465;5,1
96,10006,601115;5,1
97,10006,601230;5,1
98,10006,601121;5,1
99,10006,601212;5,1
100,10006,601466;5,1
101,10007,601467;5,1
102,10007,601127;5,1
103,10007,601130;5,1
104,10007,601131;5,1
105,10007,601142;5,1
106,10007,601143;5,1
107,10007,601984;5,1
108,10007,601154;5,1
109,10007,601157;5,1
110,10007,601160;5,1
111,10007,601026;5,1
112,10007,601468;5,1
113,10007,601181;5,1
114,10008,601189;5,1
115,10008,601430;5,1
116,10008,601429;5,1
117,10008,601205;5,1
118,10008,601213;5,1
119,10008,601214;5,1
120,10008,601461;5,1
121,10008,601473;5,1
122,10008,601229;5,1
123,10008,601232;5,1
124,10008,601986;5,1
125,10008,601254;5,1
126,10008,601257;5,1
127,10009,601260;5,1
128,10009,601272;5,1
129,10009,601275;5,1
130,10009,601289;5,1
131,10009,601292;5,1
132,10009,601295;5,1
133,10009,601297;5,1
134,10009,601476;5,1
135,10009,601302;5,1
136,10009,601303;5,1
137,10009,601306;5,1
138,10009,601308;5,1
139,10009,601310;5,1
140,10010,601319;5,1
141,10010,601321;5,1
142,10010,601323;5,1
143,10010,601330;5,1
144,10010,601332;5,1
145,10010,601334;5,1
146,10010,601342;5,1
147,10010,601346;5,1
148,10010,601348;5,1
149,10010,601350;5,1
150,10010,601354;5,1
151,10010,601477;5,1
152,10010,601357;5,1
153,10011,601359;5,1
154,10011,601365;5,1
155,10011,601987;5,1
156,10011,601988;5,1
157,10011,601392;5,1
158,10011,601395;5,1
159,10011,601398;5,1
160,10011,601405;5,1
161,10011,601409;5,1
162,10011,601416;5,1
163,10011,601426;5,1
164,10011,601428;5,1
165,10011,601437;5,1
166,10012,601442;5,1
167,10012,601989;5,1
168,10012,601448;5,1
169,10012,601450;5,1
170,10012,601452;5,1
171,10012,601454;5,1
172,10012,601460;5,1
173,10012,601469;5,1
174,10012,601479;5,1
175,10012,601990;5,1
176,10012,601497;5,1
177,10012,601500;5,1
178,10012,601503;5,1
179,10013,601508;5,1
180,10013,601518;5,1
181,10013,601523;5,1
182,10013,601526;5,1
183,10013,601530;5,1
184,10013,601531;5,1
185,10013,601534;5,1
186,10013,601537;5,1
187,10013,601542;5,1
188,10013,601545;5,1
189,10013,601549;5,1
190,10013,601553;5,1
191,10013,601555;5,1
192,10014,601560;5,1
193,10014,601563;5,1
194,10014,601567;5,1
195,10014,601571;5,1
196,10014,601573;5,1
197,10014,601576;5,1
198,10014,601579;5,1
199,10014,601584;5,1
200,10014,601587;5,1
201,10014,601596;5,1
202,10014,601601;5,1
203,10014,601604;5,1
204,10014,601609;5,1
205,10014,601724;5,1
206,10015,601614;5,1
207,10015,601615;5,1
208,10015,601620;5,1
209,10015,601623;5,1
210,10015,601625;5,1
211,10015,601628;5,1
212,10015,601630;5,1
213,10015,601632;5,1
214,10015,601229;5,1
215,10015,601637;5,1
216,10015,601652;5,1
217,10015,601655;5,1
218,10015,601658;5,1
219,10016,601681;5,2
220,10016,601699;5,2
221,10016,601706;5,1
222,10016,601612;5,1
223,10016,601727;5,2
224,10016,601730;5,2
225,10016,601784;5,2
226,10016,601900;5,2
227,10016,601149;5,1
228,10016,601248;5,1
229,10016,601373;5,1
230,10016,601376;5,1
231,10016,601445;5,1
232,10016,601485;5,1
233,10016,601059;5,2
234,10016,601073;5,2
235,10016,601115;5,2
236,10016,601466;5,2
237,10016,601467;5,2
238,10016,601143;5,2
239,10016,601213;5,2
240,10016,601473;5,2
241,10016,601635;5,1
242,10016,601292;5,2
243,10016,601295;5,2
244,10016,601297;5,2
245,10016,601469;5,2
246,10016,601469;5,2
247,10016,601508;5,2
248,10016,601587;5,2
249,10016,601169;5,2
250,10016,601015;5,2
