机器人ID(对应关卡ID）,机器人排名,阵型,排名增加辅助列
100231,5231,15,76
100232,5307,115,76
100233,5383,215,76
100234,5459,315,79
100235,5538,415,79
100236,5617,15,79
100237,5696,115,79
100238,5775,215,79
100239,5854,315,82
100240,5936,415,82
100241,6018,15,82
100242,6100,115,82
100243,6182,215,82
100244,6264,315,85
100245,6349,415,85
100246,6434,15,85
100247,6519,115,85
100248,6604,215,85
100249,6689,315,88
100250,6777,415,88
100251,6865,15,88
100252,6953,115,88
100253,7041,215,88
100254,7129,315,91
100255,7220,415,91
100256,7311,15,91
100257,7402,115,91
100258,7493,215,91
100259,7584,315,94
100260,7678,415,94
100261,7772,15,94
100262,7866,115,94
100263,7960,215,94
100264,8054,315,97
100265,8151,415,97
100266,8248,15,97
100267,8345,115,97
100268,8442,215,97
100269,8539,315,100
100270,8639,415,100
100271,8739,15,100
100272,8839,115,100
100273,8939,215,100
100274,9039,315,103
100275,9142,415,103
100276,9245,15,103
100277,9348,115,103
100278,9451,215,103
100279,9554,315,106
100280,9660,415,106
100281,9766,15,106
100282,9872,115,106
100283,9978,215,106
100284,10084,315,109
100285,10193,415,109
100286,10302,15,109
100287,10411,115,109
100288,10520,215,109
100289,10629,315,112
100290,10741,415,112
100291,10853,15,112
100292,10965,115,112
100293,11077,215,112
100294,11189,315,115
100295,11304,415,115
100296,11419,15,115
100297,11534,115,115
100298,11649,215,115
100299,11764,315,118
100300,11882,415,118
100301,12000,15,118
