自增长id,任务类型(1是每日任务，每日刷新;2是成就任务，只能完成一次 3.引导任务 4.关卡奖励),是否为初始任务(1为初始任务),后置任务(;分割),任务名#加颜色｛0｝读取任务数量列（LimitedNum）,任务描述(文字描述，包含了任务要求文本)#加颜色，｛0｝读取任务数量列（LimitedNum）,"任务要求类别（1.精灵升级次数（1,3) 2. 挑战BOSS次数(1, 3.扭蛋次数(1,2,3) 4.特殊副本通过次数(1,2,3) 5.竞技场胜利次数(1,2,3) 6.战斗力累计(2) 7.获得不同的精灵(2) 8.抓宠中心参加次数(1,3) 9. 爬塔层数(2) 10.通过关卡(2,3) 11.任意精灵到达的星数 12.任意携带品到达的等级数(2) 13.任意1个徽章到达等级数(2) 14.公会捐献次数(1,2) 15.个体值洗练次数(1,3) 16.个体值平均值数(2) 17.地底挑战胜利次数(1,3) 18.获得的角色数(2) 101.进化累计次数(3) 102.1个精灵努力值总数(2) 103.任意1个亲密度等级数(2) 104.任意1个精灵穿戴技能数(3) 105.性格洗练次数(3) 106.阵型升级次数(3) 107.任意精灵穿戴携带品数(3) 108.精灵上阵数(3) 109.使用快速战斗累计次数(3) 110.商店刷新累计次数(1,3) 111.放生精灵个数(1,3) 112.累计签到次数（1,3) 113.加入公会次数（创建或加别人公会都算）(3) 114.使用道具升级亲密度等级（3） 115.使用道具增加努力值点数（3） 116.携带品升级次数（3） 117.技能学习次数(3) 118.切磋或掠夺次数（3） 119.申请添加好友次数（3）120.玩家等级数到达X  130.参加战斗地铁次数大X次 131.战斗地铁等级达到X级 132.捕获小精灵 133.孵蛋 134.称号 135.天赋 136.跟随 137.碎片兑换 138.通过关卡（关卡奖励）",任务要求数量或通过关卡ID(任务要求完成的数量或通过关卡ID),获得活跃度,是否重新记录（填1时，之前做任务的数最多到填1的数据，之后重新记录）,任务奖励1,任务奖励2,任务奖励3,"跳转界面编号(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip，22:地图选择，71：战斗地铁)",引导起始id,可见等级（小于此等级，当前任务不可见）,,,,,,,,,,,
149,3,,150,放生{0}个宠物,放生{0}个宠物,111,1,,1,12101;50,,,2,241,,,,,,,,,,,,
150,3,,151,到达第{0}关,到达第{0}关,10,45,,,12102;50,,,1,1,,,,,,,,,,,,
151,3,,152,精灵累计达到{0}级,精灵累计升{0}级,1,27,,,12103;50,,,2,11,,,,,,,,,,,,
152,3,,153,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,8;80000,,,22,,,,,,,,,,,,,
153,3,,154,到达第{0}关,到达第{0}关,10,50,,,6;20,,,1,1,,,,,,,,,,,,
154,3,,155,精灵学习{0}个技能,精灵学习{0}个技能,117,3,,,1;4200,,,2,61,,,,,,,,,,,,
155,3,,156,提升努力值{0}点,使用道具提升努力值{0}点,115,2,,1,3;2100,,,2,41,,,,,,,,,,,,
156,3,,157,签到{0}次,签到{0}次,112,1,,1,1;4300,,,37,171,,,,,,,,,,,,
157,3,,158,精灵累计达到{0}级,精灵累计升{0}级,1,30,,,3;2200,,,2,11,,,,,,,,,,,,
158,3,,159,到达第{0}关,到达第{0}关,10,60,,,3;2300,,,1,1,,,,,,,,,,,,
159,3,,160,玩家等级达到{0}级,玩家等级达到{0}级,120,22,,,12151;50,,,1,1,,,,,,,,,,,,
160,3,,161,使用快速战斗,使用快速战斗,109,1,,1,1;4400,,,1,211,,,,,,,,,,,,
161,3,,162,精灵累计达到{0}级,精灵累计升{0}级,1,35,,,3;2400,,,2,11,,,,,,,,,,,,
162,3,,163,精灵达到{0}星,精灵达到{0}星,11,1,,,6;20,,,2,91,,,,,,,,,,,,
163,3,,164,竞技场胜利{0}次,竞技场胜利{0}次,5,1,,1,5;20,,,9,191,,,,,,,,,,,,
164,3,,165,提升努力值{0}点,使用道具提升努力值{0}点,115,2,,1,1;4500,,,2,41,,,,,,,,,,,,
165,3,,166,到达第{0}关,到达第{0}关,10,70,,,1;4600,,,1,1,,,,,,,,,,,,
166,3,,167,亲密度升级{0}次,喂养亲密度升级{0}次,114,2,,1,3;2500,,,2,21,,,,,,,,,,,,
167,3,,168,提升努力值{0}点,使用道具提升努力值{0}点,115,2,,1,5;20,,,2,41,,,,,,,,,,,,
168,3,,169,精灵累计达到{0}级,精灵累计升{0}级,1,40,,,1;4700,,,2,11,,,,,,,,,,,,
169,3,,170,升级{0}次携带品,升级{0}次携带品,116,1,,1,3;2600,,,2,71,,,,,,,,,,,,
170,3,,171,佩戴{0}次携带品,佩戴{0}次携带品,107,2,,,1;4800,,,2,81,,,,,,,,,,,,
171,3,,172,到达第{0}关,到达第{0}关,10,80,,,1;4900,,,1,1,,,,,,,,,,,,
172,3,,173,精灵累计达到{0}级,精灵累计升{0}级,1,50,,,1;5000,,,2,11,,,,,,,,,,,,
173,3,,174,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,3;2700,,,22,221,,,,,,,,,,,,
174,3,,175,上阵{0}个精灵,上阵{0}个精灵,108,5,,,3;2800,,,2,,,,,,,,,,,,,
175,3,,176,放生{0}个宠物,放生{0}个宠物,111,3,,1,6;20,,,2,241,,,,,,,,,,,,
176,3,,177,到达第{0}关,到达第{0}关,10,90,,,1;5100,,,1,1,,,,,,,,,,,,
177,3,,178,精灵累计达到{0}级,精灵累计升{0}级,1,60,,,3;2900,,,2,11,,,,,,,,,,,,
178,3,,179,到达第{0}关,到达第{0}关,10,100,,,3;3000,,,1,1,,,,,,,,,,,,
179,3,,180,玩家等级达到{0}级,玩家等级达到{0}级,120,26,,,3;3100,,,1,1,,,,,,,,,,,,
180,3,,181,参加{0}次特殊副本,参加{0}次特殊副本,4,4,,1,12001;10,,,5,,,,,,,,,,,,,
181,3,,182,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,1;5200,,,2,21,,,,,,,,,,,,
182,3,,183,精灵累计达到{0}级,精灵累计升{0}级,1,75,,,6;20,,,2,11,,,,,,,,,,,,
183,3,,184,竞技场胜利{0}次,竞技场胜利{0}次,5,2,,1,5;20,,,9,191,,,,,,,,,,,,
184,3,,185,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;25,,,1,161,,,,,,,,,,,,
185,3,,186,提升努力值{0}点,使用道具提升努力值{0}点,115,2,,1,3;3200,,,2,41,,,,,,,,,,,,
186,3,,187,到达第{0}关,到达第{0}关,10,110,,,1;5300,,,1,1,,,,,,,,,,,,
187,3,,188,精灵累计达到{0}级,精灵累计升{0}级,1,90,,,3;3300,,,2,11,,,,,,,,,,,,
188,3,,189,升级{0}次携带品,升级{0}次携带品,116,1,,1,1;5400,,,2,71,,,,,,,,,,,,
189,3,,190,申请添加好友{0}次,申请添加好友{0}次,119,3,,1,3;3400,,,25,,,,,,,,,,,,,
190,3,,191,到达第{0}关,到达第{0}关,10,120,,,1;5500,,,1,1,,,,,,,,,,,,
191,3,,192,精灵累计达到{0}级,精灵累计升{0}级,1,105,,,3;3500,,,2,11,,,,,,,,,,,,
192,3,,193,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,3;3600,,,22,221,,,,,,,,,,,,
193,3,,194,放生{0}个宠物,放生{0}个宠物,111,3,,1,6;25,,,2,241,,,,,,,,,,,,
194,3,,195,到达第{0}关,到达第{0}关,10,130,,,12211;1,,,1,1,,,,,,,,,,,,
195,3,,196,精灵累计达到{0}级,精灵累计升{0}级,1,115,,,6;20,,,2,11,,,,,,,,,,,,
196,3,,197,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,1;5600,,,2,21,,,,,,,,,,,,
197,3,,198,精灵达到{0}星,精灵达到{0}星,11,2,,,3;3700,,,2,91,,,,,,,,,,,,
198,3,,199,精灵学习{0}个技能,精灵学习{0}个技能,117,4,,,1;5700,,,2,61,,,,,,,,,,,,
199,3,,200,到达第{0}关,到达第{0}关,10,140,,,3;3800,,,1,1,,,,,,,,,,,,
200,3,,201,玩家等级达到{0}级,玩家等级达到{0}级,120,30,,,3;3900,,,1,1,,,,,,,,,,,,
201,3,,202,地底挑战达到{0}次,地底挑战达到{0}层,9,5,,,13031;30,,,9,,,,,,,,,,,,,
202,3,,203,阵型累计达到{0}级,阵型累计达到{0}级,106,2,,,1;5800,,,2,101,,,,,,,,,,,,
203,3,,204,精灵累计达到{0}级,精灵累计升{0}级,1,135,,,3;4000,,,2,11,,,,,,,,,,,,
204,3,,205,竞技场胜利{0}次,竞技场胜利{0}次,5,3,,1,5;20,,,9,191,,,,,,,,,,,,
205,3,,206,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;25,,,1,161,,,,,,,,,,,,
206,3,,207,提升努力值{0}点,使用道具提升努力值{0}点,115,3,,1,3;4100,,,2,41,,,,,,,,,,,,
207,3,,208,到达第{0}关,到达第{0}关,10,150,,,12201;1,,,1,1,,,,,,,,,,,,
208,3,,209,洗练{0}次个体值,洗练{0}次个体值,15,1,,1,6;20,,,2,54,,,,,,,,,,,,
209,3,,210,精灵累计达到{0}级,精灵累计升{0}级,1,155,,,1;5900,,,2,11,,,,,,,,,,,,
210,3,,211,升级{0}次携带品,升级{0}次携带品,116,2,,1,3;4200,,,2,71,,,,,,,,,,,,
211,3,,212,申请添加好友{0}次,申请添加好友{0}次,119,3,,1,3;4300,,,25,,,,,,,,,,,,,
212,3,,213,签到{0}次,签到{0}次,112,1,,1,1;6000,,,37,171,,,,,,,,,,,,
213,3,,214,到达第{0}关,到达第{0}关,10,160,,,3;4400,,,1,1,,,,,,,,,,,,
214,3,,215,玩家等级达到{0}级,玩家等级达到{0}级,120,34,,,3;4500,,,1,1,,,,,,,,,,,,
215,3,,216,参加{0}次特殊副本,参加{0}次特殊副本,4,4,,1,12301;2,,,5,,,,,,,,,,,,,
216,3,,217,任意徽章达到{0}级,任意徽章达到{0}级,13,1,,,3;4600,,,9,151,,,,,,,,,,,,
217,3,,218,进化{0}次,进化{0}次,101,1,,1,12246;3,,,2,31,,,,,,,,,,,,
218,3,,219,精灵累计达到{0}级,精灵累计升{0}级,1,175,,,6;20,,,2,11,,,,,,,,,,,,
219,3,,220,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,3;4700,,,22,221,,,,,,,,,,,,
220,3,,221,放生{0}个宠物,放生{0}个宠物,111,5,,1,6;25,,,2,241,,,,,,,,,,,,
221,3,,222,精灵学习{0}个技能,精灵学习{0}个技能,117,6,,,1;6100,,,2,61,,,,,,,,,,,,
222,3,,223,到达第{0}关,到达第{0}关,10,180,,,1;6200,,,1,1,,,,,,,,,,,,
223,3,,224,洗练{0}次性格,洗练{0}次性格,105,1,,1,6;25,,,2,111,,,,,,,,,,,,
224,3,,225,精灵累计达到{0}级,精灵累计升{0}级,1,200,,,1;6300,,,2,11,,,,,,,,,,,,
225,3,,226,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,3;4800,,,2,21,,,,,,,,,,,,
226,3,,227,使用快速战斗,使用快速战斗,109,1,,1,1;6400,,,1,211,,,,,,,,,,,,
227,3,,228,到达第{0}关,到达第{0}关,10,200,,,3;4900,,,1,1,,,,,,,,,,,,
228,3,,229,玩家等级达到{0}级,玩家等级达到{0}级,120,40,,,3;5000,,,1,1,,,,,,,,,,,,
229,3,,230,上阵{0}个精灵,上阵{0}个精灵,108,6,,,3;5100,,,2,,,,,,,,,,,,,
230,3,,231,洗练{0}次个体值,洗练{0}次个体值,15,1,,1,3;5200,,,2,54,,,,,,,,,,,,
231,3,,232,精灵累计达到{0}级,精灵累计升{0}级,1,220,,,6;20,,,2,11,,,,,,,,,,,,
232,3,,233,竞技场胜利{0}次,竞技场胜利{0}次,5,4,,,5;20,,,9,191,,,,,,,,,,,,
233,3,,234,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;30,,,1,161,,,,,,,,,,,,
234,3,,235,提升努力值{0}点,使用道具提升努力值{0}点,115,3,,1,1;6500,,,2,41,,,,,,,,,,,,
235,3,,236,任意徽章达到{0}级,任意徽章达到{0}级,13,3,,,1;6600,,,9,151,,,,,,,,,,,,
236,3,,237,到达第{0}关,到达第{0}关,10,220,,,3;5300,,,1,1,,,,,,,,,,,,
237,3,,238,精灵累计达到{0}级,精灵累计升{0}级,1,240,,,3;5400,,,2,11,,,,,,,,,,,,
238,3,,239,地底挑战达到{0}次,地底挑战达到{0}层,9,10,,,19001;20,,,9,,,,,,,,,,,,,
239,3,,240,升级{0}次携带品,升级{0}次携带品,116,2,,1,1;6700,,,2,71,,,,,,,,,,,,
240,3,,241,阵型累计达到{0}级,阵型累计达到{0}级,106,3,,,3;5500,,,2,101,,,,,,,,,,,,
241,3,,242,佩戴{0}次携带品,佩戴{0}次携带品,107,3,,,1;6800,,,2,81,,,,,,,,,,,,
242,3,,243,到达第{0}关,到达第{0}关,10,240,,,3;5600,,,1,1,,,,,,,,,,,,
243,3,,244,精灵累计达到{0}级,精灵累计升{0}级,1,250,,,6;20,,,2,11,,,,,,,,,,,,
244,3,,245,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,3;5700,,,22,221,,,,,,,,,,,,
245,3,,246,放生{0}个宠物,放生{0}个宠物,111,5,,,6;30,,,2,241,,,,,,,,,,,,
246,3,,247,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;30,,,1,161,,,,,,,,,,,,
247,3,,248,洗练{0}次性格,洗练{0}次性格,105,1,,1,6;30,,,2,111,,,,,,,,,,,,
248,3,,249,到达第{0}关,到达第{0}关,10,260,,,1;6900,,,1,1,,,,,,,,,,,,
249,3,,250,精灵累计达到{0}级,精灵累计升{0}级,1,260,,,1;7000,,,2,11,,,,,,,,,,,,
250,3,,251,参加{0}次特殊副本,参加{0}次特殊副本,4,6,,1,1;7100,,,5,,,,,,,,,,,,,
251,3,,252,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,3;5800,,,2,21,,,,,,,,,,,,
252,3,,253,精灵学习{0}个技能,精灵学习{0}个技能,117,8,,,1;7200,,,2,61,,,,,,,,,,,,
253,3,,254,到达第{0}关,到达第{0}关,10,280,,,3;5900,,,1,1,,,,,,,,,,,,
254,3,,255,精灵累计达到{0}级,精灵累计升{0}级,1,270,,,6;20,,,2,11,,,,,,,,,,,,
255,3,,256,竞技场胜利{0}次,竞技场胜利{0}次,5,6,,1,5;20,,,9,191,,,,,,,,,,,,
256,3,,257,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;30,,,1,161,,,,,,,,,,,,
257,3,,258,提升努力值{0}点,使用道具提升努力值{0}点,115,4,,1,1;7400,,,2,41,,,,,,,,,,,,
258,3,,259,精灵达到{0}星,精灵达到{0}星,11,3,,,1;7600,,,2,91,,,,,,,,,,,,
259,3,,260,洗练{0}次性格,洗练{0}次性格,105,1,,1,6;35,,,2,111,,,,,,,,,,,,
260,3,,261,进化{0}次,进化{0}次,101,1,,1,12246;3,,,2,31,,,,,,,,,,,,
261,3,,262,到达第{0}关,到达第{0}关,10,300,,,3;6000,,,1,1,,,,,,,,,,,,
262,3,,263,精灵累计达到{0}级,精灵累计升{0}级,1,280,,,3;6100,,,2,11,,,,,,,,,,,,
263,3,,264,地底挑战达到{0}次,地底挑战达到{0}层,9,15,,,19001;20,,,9,,,,,,,,,,,,,
264,3,,265,升级{0}次携带品,升级{0}次携带品,116,4,,1,6;20,,,2,71,,,,,,,,,,,,
265,3,,266,阵型累计达到{0}级,阵型累计达到{0}级,106,4,,,1;7800,,,2,101,,,,,,,,,,,,
266,3,,267,使用快速战斗,使用快速战斗,109,1,,1,3;6200,,,1,211,,,,,,,,,,,,
267,3,,268,到达第{0}关,到达第{0}关,10,320,,,3;6300,,,1,1,,,,,,,,,,,,
268,3,,269,精灵累计达到{0}级,精灵累计升{0}级,1,290,,,6;20,,,2,11,,,,,,,,,,,,
269,3,,270,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,1;8000,,,22,221,,,,,,,,,,,,
270,3,,271,放生{0}个宠物,放生{0}个宠物,111,10,,1,6;35,,,2,241,,,,,,,,,,,,
271,3,,272,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;35,,,1,161,,,,,,,,,,,,
272,3,,273,洗练{0}次个体值,洗练{0}次个体值,15,3,,1,1;8200,,,2,54,,,,,,,,,,,,
273,3,,274,洗练{0}次性格,洗练{0}次性格,105,1,,1,6;35,,,2,111,,,,,,,,,,,,
274,3,,275,到达第{0}关,到达第{0}关,10,340,,,3;6400,,,1,1,,,,,,,,,,,,
275,3,,276,精灵累计达到{0}级,精灵累计升{0}级,1,300,,,3;6500,,,2,11,,,,,,,,,,,,
276,3,,277,参加{0}次特殊副本,参加{0}次特殊副本,4,6,,1,1;8400,,,5,,,,,,,,,,,,,
277,3,,278,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,6;20,,,2,21,,,,,,,,,,,,
278,3,,279,任意徽章达到{0}级,任意徽章达到{0}级,13,4,,,1;8600,,,9,151,,,,,,,,,,,,
279,3,,280,到达第{0}关,到达第{0}关,10,360,,,1;8800,,,1,1,,,,,,,,,,,,
280,3,,281,精灵累计达到{0}级,精灵累计升{0}级,1,310,,,3;6600,,,2,11,,,,,,,,,,,,
281,3,,282,竞技场胜利{0}次,竞技场胜利{0}次,5,6,,1,5;20,,,9,191,,,,,,,,,,,,
282,3,,283,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;35,,,1,161,,,,,,,,,,,,
283,3,,284,提升努力值{0}点,使用道具提升努力值{0}点,115,4,,1,3;6700,,,2,41,,,,,,,,,,,,
284,3,,285,到达第{0}关,到达第{0}关,10,385,,,1;9000,,,1,1,,,,,,,,,,,,
285,3,,286,精灵累计达到{0}级,精灵累计升{0}级,1,320,,,6;20,,,2,11,,,,,,,,,,,,
286,3,,287,地底挑战达到{0}次,地底挑战达到{0}层,9,25,,,19001;20,,,9,,,,,,,,,,,,,
287,3,,288,升级{0}次携带品,升级{0}次携带品,116,3,,1,1;9200,,,2,71,,,,,,,,,,,,
