碎片道具ID,万能碎片数量,可获得宝可梦碎片数量,注释
number,string,number,string
Fdebris,FDebrisCount,TDebrisCount,Inco
601022,10086;1,1,大嘴雀碎片
601024,10086;1,1,阿柏怪碎片
601025,10086;1,1,皮卡丘碎片
601028,10086;1,1,穿山王碎片
601030,10086;1,1,尼多娜碎片
601033,10086;1,1,尼多力诺碎片
601036,10086;1,1,皮可西碎片
601040,10086;1,1,胖可丁碎片
601042,10086;1,1,大嘴蝠碎片
601045,10086;1,1,霸王花碎片
601047,10086;1,1,派拉斯特碎片
601049,10086;1,1,摩鲁蛾碎片
601051,10086;1,1,三地鼠碎片
601053,10086;1,1,猫老大碎片
601055,10086;1,1,哥达鸭碎片
601057,10086;1,1,火爆猴碎片
601058,10086;1,1,卡蒂狗碎片
601067,10086;1,1,豪力碎片
601071,10086;1,1,大食花碎片
601072,10086;1,1,玛瑙水母碎片
601076,10086;1,1,隆隆岩碎片
601077,10086;1,1,小火马碎片
601080,10086;1,1,呆河马碎片
601082,10086;1,1,三合一磁怪碎片
601085,10086;1,1,嘟嘟利碎片
601087,10086;1,1,白海狮碎片
601089,10086;1,1,臭臭泥碎片
601090,10086;1,1,大舌贝碎片
601097,10086;1,1,素利柏碎片
601099,10086;1,1,巨钳蟹碎片
601101,10086;1,1,顽皮弹碎片
601105,10086;1,1,嘎拉嘎拉碎片
601106,10086;1,1,沙瓦朗碎片
601107,10086;1,1,艾比朗碎片
601110,10086;1,1,双弹瓦斯碎片
601112,10086;1,1,铁甲暴龙碎片
601113,10086;1,1,吉利蛋碎片
601114,10086;1,1,蔓藤怪碎片
601117,10086;1,1,海刺龙碎片
601119,10086;1,1,金鱼王碎片
601120,10086;1,1,海星星碎片
601122,10086;1,1,吸盘魔偶碎片
601124,10086;1,1,迷唇姐碎片
601125,10086;1,1,电击兽碎片
601128,10086;1,1,肯泰罗碎片
601133,10086;1,1,伊布碎片
601139,10086;1,1,多刺菊石兽碎片
601141,10086;1,1,镰刀盔碎片
601171,10086;1,1,电灯怪碎片
601176,10086;1,1,波克基古碎片
601180,10086;1,1,茸茸羊碎片
601182,10086;1,1,美丽花碎片
601185,10086;1,1,树才怪碎片
601202,10086;1,1,果然翁碎片
601203,10086;1,1,麒麟奇碎片
601206,10086;1,1,土龙弟弟碎片
601215,10086;1,1,狃拉碎片
601227,10086;1,1,盔甲鸟碎片
601228,10086;1,1,戴鲁比碎片
601262,10086;1,1,大狼犬碎片
601274,10086;1,1,长鼻叶碎片
601281,10086;1,1,奇鲁莉安碎片
601291,10086;1,1,铁面忍者碎片
601305,10086;1,1,可多拉碎片
601307,10086;1,1,玛沙那碎片
601309,10086;1,1,落雷兽碎片
601318,10086;1,1,利牙鱼碎片
601320,10086;1,1,吼吼鲸碎片
601356,10086;1,1,彷徨夜灵碎片
601361,10086;1,1,雪童子碎片
601425,10086;1,1,飘飘球碎片
601427,10086;1,1,卷卷耳碎片
601435,10086;1,1,坦克臭鼬碎片
601446,10086;1,1,小卡比兽碎片
601459,10086;1,1,雪笠怪碎片
601562,10086;1,1,哭哭面具碎片
601621,10086;1,1,赤面龙碎片
601622,10086;1,1,泥偶小人碎片
601221,10086;1,1,长毛猪碎片
601241,10086;1,1,大奶罐碎片
601329,10086;1,1,超音波幼虫碎片
601344,10086;1,1,念力土偶碎片
601345,10086;1,1,触手百合碎片
601364,10086;1,1,海魔狮碎片
601536,10086;1,1,蓝蟾蜍碎片
601541,10086;1,1,宝包茧碎片
601565,10086;1,1,肋骨海龟碎片
601569,10086;1,1,灰尘山碎片
601572,10086;1,1,泡沫栗鼠碎片
601598,10086;1,1,坚果哑铃碎片
601608,10086;1,1,灯火幽灵碎片
601463,10086;1,1,大舌舔碎片
601585,10086;1,1,四季鹿碎片
601680,10086;1,1,双剑鞘碎片
601279,10086;1,1,大嘴鸥碎片
601286,10086;1,1,斗笠菇碎片
601451,10086;1,1,钳尾蝎碎片
601517,10086;1,1,食梦梦碎片
601528,10086;1,1,心蝙蝠碎片
601544,10086;1,1,车轮球碎片
601552,10086;1,1,混混鳄碎片
601554,10086;1,1,火红不倒翁碎片
601559,10086;1,1,滑滑小子碎片
601570,10086;1,1,索罗亚碎片
601575,10086;1,1,哥德小童碎片
601581,10086;1,1,舞天鹅碎片
601583,10086;1,1,多多冰碎片
601591,10086;1,1,败露球菇碎片
601594,10086;1,1,保姆曼波碎片
601629,10086;1,1,秃鹰丫头碎片
601631,10086;1,1,熔蚁兽碎片
601977,10086;1,1,黑夜拉达碎片
601979,10086;1,1,冰雪穿山王碎片
601981,10086;1,1,黑猫老大碎片
601985,10086;1,1,迷之嘎拉嘎拉
601144,10090;1,1,急冻鸟碎片
601145,10090;1,1,闪电鸟碎片
601146,10090;1,1,火焰鸟碎片
601150,10090;1,1,超梦碎片
601151,10090;1,1,梦幻碎片
601243,10090;1,1,雷公碎片
601244,10090;1,1,炎帝碎片
601245,10090;1,1,水君碎片
601250,10090;1,1,凤王碎片
601251,10090;1,1,雪拉比碎片
601377,10090;1,1,雷吉洛克碎片
601378,10090;1,1,雷吉艾斯碎片
601379,10090;1,1,雷吉斯奇鲁碎片
601380,10090;1,1,拉帝亚斯碎片
601381,10090;1,1,拉帝欧斯碎片
601382,10090;1,1,海皇牙碎片
601383,10090;1,1,固拉多碎片
601384,10090;1,1,烈空坐碎片
601385,10090;1,1,基拉祈碎片
601486,10090;1,1,雷吉奇卡斯碎片
601487,10090;1,1,骑拉帝纳碎片
601488,10090;1,1,克雷色利亚碎片
601491,10090;1,1,达克莱伊碎片
601492,10090;1,1,谢米碎片
601493,10090;1,1,阿尔宙斯碎片
601638,10090;1,1,勾帕路翁碎片
601639,10090;1,1,代拉基翁碎片
601640,10090;1,1,毕力吉翁碎片
601641,10090;1,1,龙卷云碎片
601642,10090;1,1,雷电云碎片
601643,10090;1,1,莱希拉姆碎片
601644,10090;1,1,捷克罗姆碎片
601645,10090;1,1,土地云碎片
601646,10090;1,1,酋雷姆碎片
601647,10090;1,1,凯路迪欧碎片
601649,10090;1,1,盖诺赛克特碎片
601716,10090;1,1,哲尔尼亚斯碎片
601717,10090;1,1,伊裴尔塔尔碎片
601718,10090;1,1,基格尔德碎片
601719,10090;1,1,蒂安希碎片
601720,10090;1,1,胡帕碎片
601791,10090;1,1,索尔迦雷欧碎片
601792,10090;1,1,露奈雅拉碎片
601801,10090;1,1,玛机雅娜碎片
601802,10090;1,1,玛夏多碎片
601814,10090;1,1,帝牙卢卡碎片
601815,10090;1,1,帕路奇亚碎片
601993,10090;1,1,由克希碎片
601994,10090;1,1,艾姆利多碎片
601995,10090;1,1,亚克诺姆碎片
601006,10087;1,1,喷火龙碎片
601003,10087;1,1,妙蛙花碎片
601009,10087;1,1,水箭龟碎片
601065,10087;1,1,胡地碎片
601094,10087;1,1,耿鬼碎片
601127,10087;1,1,凯罗斯碎片
601131,10087;1,1,乘龙碎片
601154,10087;1,1,大竺葵碎片
601157,10087;1,1,火暴兽碎片
601160,10087;1,1,大力鳄碎片
601212,10087;1,1,巨钳螳螂碎片
601213,10087;1,1,壶壶碎片
601214,10087;1,1,赫拉克罗斯碎片
601149,10087;1,1,快龙碎片
601248,10087;1,1,班基拉斯碎片
601254,10087;1,1,蜥蜴王碎片
601257,10087;1,1,火焰鸡碎片
601260,10087;1,1,巨沼怪碎片
601272,10087;1,1,乐天河童碎片
601289,10087;1,1,请假王碎片
601295,10087;1,1,爆音怪碎片
601297,10087;1,1,铁掌力士碎片
601332,10087;1,1,梦歌仙人掌碎片
601342,10087;1,1,铁螯龙虾碎片
601348,10087;1,1,太古盔甲碎片
601350,10087;1,1,美纳斯碎片
601373,10087;1,1,暴飞龙碎片
601376,10087;1,1,巨金怪碎片
601392,10087;1,1,烈焰猴碎片
601395,10087;1,1,帝王拿波碎片
601398,10087;1,1,姆克鹰碎片
601405,10087;1,1,伦琴猫碎片
601409,10087;1,1,战槌龙碎片
601416,10087;1,1,蜂女王碎片
601429,10087;1,1,梦妖魔碎片
601430,10087;1,1,乌鸦头头碎片
601437,10087;1,1,青铜钟碎片
601445,10087;1,1,烈咬陆鲨碎片
601450,10087;1,1,河马兽碎片
601454,10087;1,1,毒骷蛙碎片
601467,10087;1,1,鸭嘴焰龙碎片
601469,10087;1,1,远古巨蜓碎片
601472,10087;1,1,天蝎王碎片
601476,10087;1,1,大朝北鼻碎片
601485,10087;1,1,席多蓝恩碎片
601497,10087;1,1,君主蛇碎片
601500,10087;1,1,炎武王碎片
601503,10087;1,1,大剑鬼碎片
601508,10087;1,1,长毛狗碎片
601523,10087;1,1,雷电斑马碎片
601526,10087;1,1,庞岩怪碎片
601530,10087;1,1,龙头地鼠碎片
601534,10087;1,1,修建老匠碎片
601567,10087;1,1,始祖大鸟碎片
601579,10087;1,1,人造细胞卵碎片
601587,10087;1,1,电飞鼠碎片
601596,10087;1,1,电蜘蛛碎片
601601,10087;1,1,齿轮怪碎片
601604,10087;1,1,麻麻鳗鱼王碎片
601612,10087;1,1,双斧战龙碎片
601615,10087;1,1,几何雪花碎片
601620,10087;1,1,师父鼬碎片
601625,10087;1,1,劈斩司令碎片
601628,10087;1,1,勇士雄鹰碎片
601632,10087;1,1,铁蚁碎片
601635,10087;1,1,三首恶龙碎片
601637,10087;1,1,火神虫碎片
601652,10087;1,1,布里卡隆碎片
601655,10087;1,1,妖火红狐碎片
601658,10087;1,1,甲贺忍蛙碎片
601699,10087;1,1,冰雪巨龙碎片
601706,10087;1,1,黏美龙碎片
601724,10087;1,1,狙射树枭碎片
601727,10087;1,1,炽焰咆哮虎碎片
601730,10087;1,1,西狮海壬碎片
