天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
1008,25,1;2153006|1;4095506|1;2025006,1;500000|12102;50|6;500,0.02,1,0
1008,30,2;1010;1|2;1017;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1008,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1009,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1009,25,1;2153006|1;4095506|1;2025006,1;500000|12102;50|6;500,0.02,1,0
1009,30,2;1010;2|2;1017;2|2;1042;2,1;1000000|12102;90|6;1000,0.03,2,0
1009,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1009,40,1;4157008|1;2096508|1;2026008,1;5000000|12102;220|6;5000,0.08,3,1
1010,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1010,25,1;2185006|1;2095006|1;1124506,1;500000|12122;50|6;500,0.02,1,0
1011,20,3;900201|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1011,25,1;2185006|1;2095006|1;1124506,1;500000|12122;50|6;500,0.02,1,0
1011,30,2;1022|2;1015|2;1027,1;1000000|12122;90|6;1000,0.03,2,0
1012,20,3;900201|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1012,25,1;2185006|1;2095006|1;1124506,1;500000|12122;50|6;500,0.02,1,0
1012,30,2;1022;1|2;1015;1|2;1027;1,1;1000000|12122;90|6;1000,0.03,2,0
1012,35,3;900203|3;900403|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1013,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1013,25,1;1124006|1;3184006|1;1184006,1;500000|12122;50|6;500,0.02,1,0
1014,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1014,25,1;1124006|1;3184006|1;1184006,1;500000|12122;50|6;500,0.02,1,0
1014,30,2;1022|2;1020|2;1042,1;1000000|12122;90|6;1000,0.03,2,0
1015,20,3;900101|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1015,25,1;1124006|1;3184006|1;1184006,1;500000|12122;50|6;500,0.02,1,0
1015,30,2;1022;2|2;1020;2|2;1042;2,1;1000000|12122;90|6;1000,0.03,2,0
1015,35,3;900103|3;900303|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1015,40,1;1126008|1;1184008|1;3116008,1;5000000|12122;220|6;5000,0.08,3,1
1016,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1016,25,1;2013006|1;2042506|1;1092506,1;500000|12123;50|6;500,0.02,1,0
1017,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1017,25,1;2013006|1;2042506|1;1092506,1;500000|12123;50|6;500,0.02,1,0
1017,30,2;1010|2;1020|2;1042,1;1000000|12123;90|6;1000,0.03,2,0
1018,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1018,25,1;2013006|1;2042506|1;1092506,1;500000|12123;50|6;500,0.02,1,0
1018,30,2;1010;2|2;1020;2|2;1042;2,1;1000000|12123;90|6;1000,0.03,2,0
1018,35,3;900102|3;900302|3;900504,1;2000000|12123;150|6;2000,0.04,2,0
1018,40,1;4016008|1;2043008|1;1098508,1;5000000|12123;220|6;5000,0.08,3,1
1019,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1019,25,1;3154506|1;3135006|1;3095506,1;500000|12109;50|6;500,0.02,1,0
1020,20,3;900101|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1020,25,1;3154506|1;3135006|1;3095506,1;500000|12109;50|6;500,0.02,1,0
1020,30,2;1032;1|2;1015;1|2;1036;1,1;1000000|12109;90|6;1000,0.03,2,0
1020,35,3;900103|3;900303|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1021,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1021,25,1;1015006|1;1122506|1;1093506,1;500000|12123;50|6;500,0.02,1,0
1022,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1022,25,1;1015006|1;1122506|1;1093506,1;500000|12123;50|6;500,0.02,1,0
1022,30,2;1032;1|2;1020;1|2;1043;1,1;1000000|12123;90|6;1000,0.03,2,0
1022,35,3;900102|3;900302|3;900504,1;2000000|12123;150|6;2000,0.04,2,0
1023,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
1023,25,1;1132006|1;1053506|1;1183006,1;500000|12129;50|6;500,0.02,1,0
1024,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
1024,25,1;1132006|1;1053506|1;1183006,1;500000|12129;50|6;500,0.02,1,0
1024,30,2;1039;1|2;1017;1|2;1036;1,1;1000000|12129;90|6;1000,0.03,2,0
1024,35,3;900103|3;900303|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1025,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1025,25,1;2044006|1;2094006|1;1104006,1;500000|12121;50|6;500,0.02,1,0
1025,30,2;1053;1|2;1015;1|2;1026;1,1;1000000|12121;90|6;1000,0.03,2,0
1025,35,3;900203|3;900403|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1026,20,3;900101|3;900201|3;900001,1;200000|12121;20|6;200,0.01,1,0
1026,25,1;2044006|1;2094006|1;1104006,1;500000|12121;50|6;500,0.02,1,0
1026,30,2;1053;2|2;1015;2|2;1026;2,1;1000000|12121;90|6;1000,0.03,2,0
1026,35,3;900103|3;900203|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1026,40,1;1048508|1;1096008|1;1102508,1;5000000|12121;220|6;5000,0.08,3,1
1027,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1027,25,1;1153506|1;3144006|1;3134506,1;500000|12124;50|6;500,0.02,1,0
1027,30,2;1010|2;1018|2;1036,1;1000000|12124;90|6;1000,0.03,2,0
1028,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1028,25,1;1153506|1;3144006|1;3134506,1;500000|12124;50|6;500,0.02,1,0
1028,30,2;1010;1|2;1018;1|2;1036;1,1;1000000|12124;90|6;1000,0.03,2,0
1028,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1029,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1029,25,1;1152006|1;1091506|1;3135006,1;500000|12129;50|6;500,0.02,1,0
1029,30,2;1055|2;1018|2;1036,1;1000000|12129;90|6;1000,0.03,2,0
1030,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1030,25,1;1152006|1;1091506|1;3135006,1;500000|12129;50|6;500,0.02,1,0
1030,30,2;1055;1|2;1018;1|2;1036;1,1;1000000|12129;90|6;1000,0.03,2,0
1030,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1031,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1031,25,1;1152006|1;1091506|1;3135006,1;500000|12129;50|6;500,0.02,1,0
1031,30,2;1055;2|2;1018;2|2;1036;2,1;1000000|12129;90|6;1000,0.03,2,0
1031,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1031,40,1;1157008|1;1091508|1;3138008,1;5000000|12129;220|6;5000,0.08,3,1
1032,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1032,25,1;1153006|1;3094006|1;3134506,1;500000|12129;50|6;500,0.02,1,0
1032,30,2;1006|2;1020|2;1027,1;1000000|12129;90|6;1000,0.03,2,0
1033,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1033,25,1;1153006|1;3094006|1;3134506,1;500000|12129;50|6;500,0.02,1,0
1033,30,2;1006;1|2;1020;1|2;1027;1,1;1000000|12129;90|6;1000,0.03,2,0
1033,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1034,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1034,25,1;1153006|1;3094006|1;3134506,1;500000|12129;50|6;500,0.02,1,0
1034,30,2;1006;2|2;1020;2|2;1027;2,1;1000000|12129;90|6;1000,0.03,2,0
1034,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1034,40,1;1155508|1;1098008|1;1134008,1;5000000|12129;220|6;5000,0.08,3,1
1035,20,3;900201|3;900401|3;900001,1;200000|12104;20|6;200,0.01,1,0
1035,25,1;4095006|1;4165506|1;2041506,1;500000|12104;50|6;500,0.02,1,0
1035,30,2;1040|2;1015|2;1026,1;1000000|12104;90|6;1000,0.03,2,0
1036,20,3;900201|3;900401|3;900001,1;200000|12104;20|6;200,0.01,1,0
1036,25,1;4095006|1;4165506|1;2041506,1;500000|12104;50|6;500,0.02,1,0
1036,30,2;1040;1|2;1015;1|2;1026;1,1;1000000|12104;90|6;1000,0.03,2,0
1036,35,3;900203|3;900403|3;900504,1;2000000|12104;150|6;2000,0.04,2,0
1037,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1037,25,1;2092506|1;2162006|1;2012006,1;500000|12101;50|6;500,0.02,1,0
1038,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1038,25,1;2092506|1;2162006|1;2012006,1;500000|12101;50|6;500,0.02,1,0
1038,30,2;1023;2|2;1019;2|2;1026;2,1;1000000|12101;90|6;1000,0.03,2,0
1038,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1038,40,1;4098008|1;2166508|1;4018008,1;5000000|12101;220|6;5000,0.08,3,1
1039,20,3;900101|3;900301|3;900001,1;200000|12104;20|6;200,0.01,1,0
1039,25,1;4105006|1;2045006|1;2094506,1;500000|12104;50|6;500,0.02,1,0
1039,30,2;1010|2;1021|2;1043,1;1000000|12104;90|6;1000,0.03,2,0
1040,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1040,25,1;4105006|1;2045006|1;2094506,1;500000|12109;50|6;500,0.02,1,0
1040,30,2;1010;1|2;1021;1|2;1043;1,1;1000000|12109;90|6;1000,0.03,2,0
1040,35,3;900203|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1041,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
1041,25,1;1055506|1;1144506|1;1121506,1;500000|12129;50|6;500,0.02,1,0
1042,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
1042,25,1;1055506|1;1144506|1;1121506,1;500000|12129;50|6;500,0.02,1,0
1042,30,2;1039;1|2;1019;1|2;1036;1,1;1000000|12129;90|6;1000,0.03,2,0
1042,35,3;900103|3;900303|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1043,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1043,25,1;2113506|1;2035006|1;2181506,1;500000|12103;50|6;500,0.02,1,0
1044,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1044,25,1;2113506|1;2035006|1;2181506,1;500000|12103;50|6;500,0.02,1,0
1044,30,2;1031|2;1019|2;1043,1;1000000|12103;90|6;1000,0.03,2,0
1045,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1045,25,1;2113506|1;2035006|1;2181506,1;500000|12103;50|6;500,0.02,1,0
1045,30,2;1031;1|2;1019;1|2;1043;1,1;1000000|12103;90|6;1000,0.03,2,0
1045,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1046,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1046,25,1;1183506|1;3114006|1;1033506,1;500000|12122;50|6;500,0.02,1,0
1047,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1047,25,1;1183506|1;3114006|1;1033506,1;500000|12122;50|6;500,0.02,1,0
1047,30,2;1010;1|2;1020;1|2;1042;1,1;1000000|12122;90|6;1000,0.03,2,0
1047,35,3;900102|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1048,20,3;900101|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1048,25,1;2122506|1;2115006|1;1185006,1;500000|12122;50|6;500,0.02,1,0
1048,30,2;1055|2;1017|2;1036,1;1000000|12122;90|6;1000,0.03,2,0
1049,20,3;900201|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1049,25,1;2122506|1;2115006|1;1185006,1;500000|12122;50|6;500,0.02,1,0
1049,30,2;1055;1|2;1017;1|2;1036;1,1;1000000|12122;90|6;1000,0.03,2,0
1049,35,3;900203|3;900403|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1050,20,3;900101|3;900401|3;900001,1;200000|12124;20|6;200,0.01,1,0
1050,25,1;3175506|1;3114506|1;1131506,1;500000|12124;50|6;500,0.02,1,0
1051,20,3;900101|3;900401|3;900001,1;200000|12124;20|6;200,0.01,1,0
1051,25,1;3175506|1;3114506|1;1131506,1;500000|12124;50|6;500,0.02,1,0
1051,30,2;1050;1|2;1018;1|2;1042;1,1;1000000|12124;90|6;1000,0.03,2,0
1051,35,3;900103|3;900303|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1052,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1052,25,1;2104006|1;2011506|1;4094506,1;500000|12109;50|6;500,0.02,1,0
1053,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1053,25,1;2104006|1;2011506|1;4094506,1;500000|12109;50|6;500,0.02,1,0
1053,30,2;1030;1|2;1020;1|2;1042;1,1;1000000|12109;90|6;1000,0.03,2,0
1053,35,3;900203|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1054,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1054,25,1;2164506|1;2182506|1;2025506,1;500000|12102;50|6;500,0.02,1,0
1054,30,2;1033|2;1020|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1055,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1055,25,1;2164506|1;2182506|1;2025506,1;500000|12102;50|6;500,0.02,1,0
1055,30,2;1033;1|2;1020;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1055,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1056,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1056,25,1;1014006|1;1145506|1;3154506,1;500000|12126;50|6;500,0.02,1,0
1056,30,2;1028|2;1018|2;1042,1;1000000|12126;90|6;1000,0.03,2,0
1057,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1057,25,1;1014006|1;1145506|1;3154506,1;500000|12126;50|6;500,0.02,1,0
1057,30,2;1028;1|2;1018;1|2;1042;1,1;1000000|12126;90|6;1000,0.03,2,0
1057,35,3;900103|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1058,20,3;900101|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1058,25,1;1153006|1;1185506|1;1015006,1;500000|12101;50|6;500,0.02,1,0
1058,30,2;1023;1|2;1018;1|2;1027;1,1;1000000|12101;90|6;1000,0.03,2,0
1058,35,3;900103|3;900303|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1059,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1059,25,1;1153006|1;1185506|1;1015006,1;500000|12101;50|6;500,0.02,1,0
1059,30,2;1023;2|2;1018;2|2;1027;2,1;1000000|12101;90|6;1000,0.03,2,0
1059,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1059,40,1;1151508|1;1183008|1;1018508,1;5000000|12101;220|6;5000,0.08,3,1
1060,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1060,25,1;1093006|1;1034006|1;3025006,1;500000|12102;50|6;500,0.02,1,0
1061,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1061,25,1;1093006|1;1034006|1;3025006,1;500000|12102;50|6;500,0.02,1,0
1061,30,2;1049|2;1017|2;1036,1;1000000|12102;90|6;1000,0.03,2,0
1062,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1062,25,1;1093006|1;1034006|1;3025006,1;500000|12102;50|6;500,0.02,1,0
1062,30,2;1049;2|2;1017;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
1062,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1062,40,1;3094508|1;3036008|1;1027008,1;5000000|12102;220|6;5000,0.08,3,1
1063,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1063,25,1;2043506|1;2184006|1;2162506,1;500000|12127;50|6;500,0.02,1,0
1063,30,2;1041|2;1018|2;1026,1;1000000|12127;90|6;1000,0.03,2,0
1064,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1064,25,1;2043506|1;2184006|1;2162506,1;500000|12127;50|6;500,0.02,1,0
1064,30,2;1041;1|2;1018;1|2;1026;1,1;1000000|12127;90|6;1000,0.03,2,0
1064,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1065,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1065,25,1;2043506|1;2184006|1;2162506,1;500000|12127;50|6;500,0.02,1,0
1065,30,2;1041;2|2;1018;2|2;1026;2,1;1000000|12127;90|6;1000,0.03,2,0
1065,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1065,40,1;4045008|1;4184508|1;2164508,1;5000000|12127;220|6;5000,0.08,3,1
1066,20,3;900101|3;900301|3;900001,1;200000|12126;20|6;200,0.01,1,0
1066,25,1;3095506|1;3105506|1;1153506,1;500000|12126;50|6;500,0.02,1,0
1066,30,2;1010|2;1019|2;1026,1;1000000|12126;90|6;1000,0.03,2,0
1067,20,3;900101|3;900301|3;900001,1;200000|12126;20|6;200,0.01,1,0
1067,25,1;3095506|1;3105506|1;1153506,1;500000|12126;50|6;500,0.02,1,0
1067,30,2;1010;1|2;1019;1|2;1026;1,1;1000000|12126;90|6;1000,0.03,2,0
1067,35,3;900102|3;900302|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1068,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1068,25,1;3095506|1;3105506|1;1153506,1;500000|12126;50|6;500,0.02,1,0
1068,30,2;1010;2|2;1019;2|2;1026;2,1;1000000|12126;90|6;1000,0.03,2,0
1068,35,3;900103|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1068,40,1;1095008|1;1105008|1;3156008,1;5000000|12126;220|6;5000,0.08,3,1
1069,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1069,25,1;1113506|1;1035006|1;1185506,1;500000|12103;50|6;500,0.02,1,0
1070,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1070,25,1;1113506|1;1035006|1;1185506,1;500000|12103;50|6;500,0.02,1,0
1070,30,2;1055|2;1018|2;1043,1;1000000|12103;90|6;1000,0.03,2,0
1071,20,3;900101|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1071,25,1;1113506|1;1035006|1;1185506,1;500000|12103;50|6;500,0.02,1,0
1071,30,2;1055;1|2;1018;1|2;1043;1,1;1000000|12103;90|6;1000,0.03,2,0
1071,35,3;900103|3;900303|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1072,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1072,25,1;4174006|1;2183006|1;2182506,1;500000|12102;50|6;500,0.02,1,0
1072,30,2;1033;1|2;1020;1|2;1036;1,1;1000000|12102;90|6;1000,0.03,2,0
1072,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1073,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1073,25,1;4174006|1;2183006|1;2182506,1;500000|12102;50|6;500,0.02,1,0
1073,30,2;1033;2|2;1020;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
1073,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1073,40,1;4176508|1;2183008|1;4027008,1;5000000|12102;220|6;5000,0.08,3,1
1074,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1074,25,1;1055506|1;1141506|1;1135006,1;500000|12125;50|6;500,0.02,1,0
1075,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1075,25,1;1055506|1;1141506|1;1135006,1;500000|12125;50|6;500,0.02,1,0
1075,30,2;1010|2;1021|2;1043,1;1000000|12125;90|6;1000,0.03,2,0
1076,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1076,25,1;1055506|1;1141506|1;1135006,1;500000|12125;50|6;500,0.02,1,0
1076,30,2;1010;1|2;1021;1|2;1043;1,1;1000000|12125;90|6;1000,0.03,2,0
1076,35,3;900102|3;900302|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1077,20,3;900101|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1077,25,1;1135006|1;1155006|1;1014506,1;500000|12101;50|6;500,0.02,1,0
1077,30,2;1023;1|2;1015;1|2;1027;1,1;1000000|12101;90|6;1000,0.03,2,0
1077,35,3;900103|3;900303|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1078,20,3;900101|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1078,25,1;1135006|1;1155006|1;1014506,1;500000|12101;50|6;500,0.02,1,0
1078,30,2;1023;2|2;1015;2|2;1027;2,1;1000000|12101;90|6;1000,0.03,2,0
1078,35,3;900103|3;900303|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1078,40,1;1137008|1;3154008|1;1016008,1;5000000|12101;220|6;5000,0.08,3,1
1079,20,3;900101|3;900301|3;900001,1;200000|12127;20|6;200,0.01,1,0
1079,25,1;2185506|1;2145006|1;3025006,1;500000|12127;50|6;500,0.02,1,0
1079,30,2;1010|2;1019|2;1042,1;1000000|12127;90|6;1000,0.03,2,0
1080,20,3;900201|3;900301|3;900001,1;200000|12127;20|6;200,0.01,1,0
1080,25,1;2185506|1;2145006|1;3025006,1;500000|12127;50|6;500,0.02,1,0
1080,30,2;1010;1|2;1019;1|2;1042;1,1;1000000|12127;90|6;1000,0.03,2,0
1080,35,3;900202|3;900402|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1081,20,3;900201|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1081,25,1;2143506|1;2171506|1;2102006,1;500000|12128;50|6;500,0.02,1,0
1081,30,2;1007|2;1021|2;1042,1;1000000|12128;90|6;1000,0.03,2,0
1082,20,3;900201|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1082,25,1;2143506|1;2171506|1;2102006,1;500000|12128;50|6;500,0.02,1,0
1082,30,2;1007;1|2;1021;1|2;1042;1,1;1000000|12128;90|6;1000,0.03,2,0
1082,35,3;900202|3;900402|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1083,20,3;900101|3;900401|3;900001,1;200000|12123;20|6;200,0.01,1,0
1083,25,1;1155506|1;3125506|1;1092006,1;500000|12123;50|6;500,0.02,1,0
1083,30,2;1032|2;1021|2;1036,1;1000000|12123;90|6;1000,0.03,2,0
1084,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1084,25,1;1163006|1;1123006|1;3094006,1;500000|12123;50|6;500,0.02,1,0
1084,30,2;1010|2;1018|2;1042,1;1000000|12123;90|6;1000,0.03,2,0
1085,20,3;900101|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
1085,25,1;1163006|1;1123006|1;3094006,1;500000|12123;50|6;500,0.02,1,0
