商品ID,购买次数限制(不填没限制）,商品id（道具id,购买价格（道具id；数量）,走马灯标记
number,number,string,string,number
id,countLimit,goods,price,notify
79,1,601002;1,2;50,1
80,1,601005;1,2;50,1
81,1,601008;1,2;50,1
82,1,601153;1,2;50,1
83,1,601156;1,2;50,1
84,1,601159;1,2;50,1
85,1,601253;1,2;50,1
86,1,601256;1,2;50,1
87,1,601259;1,2;50,1
88,1,601496;1,2;50,1
89,1,601499;1,2;50,1
90,1,601502;1,2;50,1
91,1,601651;1,2;50,1
92,1,601654;1,2;50,1
93,1,601657;1,2;50,1
94,1,601391;1,2;50,1
95,1,601394;1,2;50,1
96,1,601002;2,2;100,1
97,1,601005;2,2;100,1
98,1,601008;2,2;100,1
99,1,601153;2,2;100,1
100,1,601156;2,2;100,1
101,1,601159;2,2;100,1
102,1,601253;2,2;100,1
103,1,601256;2,2;100,1
104,1,601259;2,2;100,1
105,1,601496;2,2;100,1
106,1,601499;2,2;100,1
107,1,601502;2,2;100,1
108,1,601651;2,2;100,1
109,1,601654;2,2;100,1
110,1,601657;2,2;100,1
111,1,601391;2,2;100,1
112,1,601394;2,2;100,1
113,1,601002;3,2;150,1
114,1,601005;3,2;150,1
115,1,601008;3,2;150,1
116,1,601153;3,2;150,1
117,1,601156;3,2;150,1
118,1,601159;3,2;150,1
119,1,601253;3,2;150,1
120,1,601256;3,2;150,1
121,1,601259;3,2;150,1
122,1,601496;3,2;150,1
123,1,601499;3,2;150,1
124,1,601502;3,2;150,1
125,1,601651;3,2;150,1
126,1,601654;3,2;150,1
127,1,601657;3,2;150,1
128,1,601391;3,2;150,1
129,1,601394;3,2;150,1
130,1,1302;1,2;4588,1
131,1,1262;1,2;4588,1
132,1,1015;1,2;4588,1
133,1,1555;1,2;4588,1
134,1,1181;1,2;5888,1
135,,12221;10,2;200,
136,,12222;10,2;400,
137,,12223;10,2;600,
138,,12224;10,2;800,
139,,12225;10,2;1000,
140,,12226;10,2;200,
141,,12227;10,2;400,
142,,12228;10,2;600,
143,,12229;10,2;800,
144,,12230;10,2;1000,
145,,12231;10,2;200,
146,,12232;10,2;400,
147,,12233;10,2;600,
148,,12234;10,2;800,
149,,12235;10,2;1000,
150,,12236;10,2;200,
151,,12237;10,2;400,
152,,12238;10,2;600,
153,,12239;10,2;800,
154,,12240;10,2;1000,
155,,12241;10,2;200,
156,,12242;10,2;400,
157,,12243;10,2;600,
158,,12244;10,2;800,
159,,12245;10,2;1000,
160,,12246;10,2;200,
161,,12247;10,2;400,
162,,12248;10,2;600,
163,,12249;10,2;800,
164,,12250;10,2;1000,
165,,13031;10,2;1000,
166,,13032;10,2;1000,
167,,13033;10,2;1000,
168,,13034;10,2;1000,
169,,13035;10,2;1000,
170,,12221;20,2;1000,
171,,12222;20,2;800,
172,,12223;20,2;1200,
173,,12224;20,2;1600,
174,,12225;20,2;2000,
175,,12226;20,2;400,
176,,12227;20,2;800,
177,,12228;20,2;1200,
178,,12229;20,2;1600,
179,,12230;20,2;2000,
180,,12231;20,2;400,
181,,12232;20,2;800,
182,,12233;20,2;1200,
183,,12234;20,2;1600,
184,,12235;20,2;2000,
185,,12236;20,2;400,
186,,12237;20,2;800,
187,,12238;20,2;1200,
188,,12239;20,2;1600,
189,,12240;20,2;2000,
190,,12241;20,2;400,
191,,12242;20,2;800,
192,,12243;20,2;1200,
193,,12244;20,2;1600,
194,,12245;20,2;2000,
195,,12246;20,2;400,
196,,12247;20,2;800,
197,,12248;20,2;1200,
198,,12249;20,2;1600,
199,,12250;20,2;2000,
200,,13031;20,2;2000,
201,,13032;20,2;2000,
202,,13033;20,2;2000,
203,,13034;20,2;2000,
204,,13035;20,2;2000,
205,,12221;30,2;600,
206,,12222;30,2;1200,
207,,12223;30,2;1800,
208,,12224;30,2;2400,
209,,12225;30,2;3000,
210,,12226;30,2;600,
211,,12227;30,2;1200,
212,,12228;30,2;1800,
213,,12229;30,2;2400,
214,,12230;30,2;3000,
215,,12231;30,2;600,
216,,12232;30,2;1200,
217,,12233;30,2;1800,
218,,12234;30,2;2400,
219,,12235;30,2;3000,
220,,12236;30,2;600,
221,,12237;30,2;1200,
222,,12238;30,2;1800,
223,,12239;30,2;2400,
224,,12240;30,2;3000,
225,,12241;30,2;600,
226,,12242;30,2;1200,
227,,12243;30,2;1800,
228,,12244;30,2;2400,
229,,12245;30,2;3000,
230,,12246;30,2;600,
231,,12247;30,2;1200,
232,,12248;30,2;1800,
233,,12249;30,2;2400,
234,,12250;30,2;3000,
235,,13031;30,2;3000,
236,,13032;30,2;3000,
237,,13033;30,2;3000,
238,,13034;30,2;3000,
239,,13035;30,2;3000,
