副本ID,关卡名,关卡背景资源,战斗波数,过关金币（每一关胜利的获得）,过关宝可梦经验（每一关胜利的获得）,过关主角经验（每一关胜利的获得）,"关卡可能掉落的道具，格式为 掉率,道具ID,数量|其它…",挂机获得金币，单位每分钟,挂机获得宠物经验，单位每分钟,挂机人物经验（单位：分钟）不用收取，自动获得，经验到达等级后自动升级，在线离线都增加,挂机金币上限,挂机经验上限,阵型,BOSS（1为boss，不填或0为普通）,自动战力
49,,5,2,20000,36800,10000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",838,1144,753,1206720,1647360,301,0,212500
50,,5,2,20000,37400,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",844,1160,753,1215360,1670400,401,1,213750
51,,6,2,20000,38000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",850,1177,753,1224000,1694880,1,0,215000
52,,6,2,20000,38600,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",856,1193,753,1232640,1717920,101,0,216250
53,,6,2,20000,39200,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",862,1209,753,1241280,1740960,201,0,217500
54,,6,2,20000,39800,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",868,1225,753,1249920,1764000,301,0,218750
55,,6,2,20000,40400,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",874,1241,753,1258560,1787040,401,1,220000
56,,6,2,20000,41000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",880,1258,753,1267200,1811520,1,0,221250
57,,6,2,20000,41600,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",886,1274,753,1275840,1834560,101,0,222500
58,,6,2,20000,42200,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",892,1290,753,1284480,1857600,201,0,223750
59,,6,2,20000,42800,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",898,1306,753,1293120,1880640,301,0,225000
60,,6,2,20000,43400,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",904,1322,753,1301760,1903680,401,1,226250
61,,6,2,20000,44000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",910,1339,754,1310400,1928160,1,0,227500
62,,6,2,20000,44600,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",916,1355,754,1319040,1951200,101,0,228750
63,,6,2,20000,45200,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",922,1371,754,1327680,1974240,201,0,230000
64,,6,2,20000,45800,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",928,1387,754,1336320,1997280,301,0,231250
65,,6,2,20000,46400,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",934,1404,754,1344960,2021760,401,1,232500
66,,6,2,20000,47000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",940,1420,754,1353600,2044800,1,0,233750
67,,6,2,20000,47600,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",946,1436,754,1362240,2067840,101,0,235000
68,,6,2,20000,48200,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",952,1452,754,1370880,2090880,201,0,236250
69,,6,2,20000,48800,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",958,1468,754,1379520,2113920,301,0,237500
70,,6,2,20000,49400,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",964,1485,754,1388160,2138400,401,1,238750
71,,7,2,20000,50000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",970,1501,754,1396800,2161440,1,0,240000
72,,7,2,20000,50600,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",976,1517,754,1405440,2184480,101,0,241250
73,,7,2,20000,51200,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",982,1533,754,1414080,2207520,201,0,242500
74,,7,2,20000,51800,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",988,1550,754,1422720,2232000,301,0,243750
75,,7,2,20000,52400,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",994,1566,754,1431360,2255040,401,1,245000
76,,7,2,20000,53000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",1000,1582,754,1440000,2278080,1,0,246250
77,,7,2,20000,53600,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",1006,1598,754,1448640,2301120,101,0,247500
78,,7,2,20000,54200,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",1012,1614,754,1457280,2324160,201,0,248750
79,,7,2,20000,54800,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",1018,1631,754,1465920,2348640,301,0,250000
80,,7,2,20000,55400,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1024,1647,754,1474560,2371680,401,1,251250
81,,7,2,20000,56000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",1030,1663,755,1483200,2394720,1,0,252500
82,,7,2,20000,56600,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",1036,1679,755,1491840,2417760,101,0,253750
83,,7,2,20000,57200,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",1042,1695,755,1500480,2440800,201,0,255000
84,,7,2,20000,57800,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",1048,1712,755,1509120,2465280,301,0,256250
85,,7,2,20000,58400,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1054,1728,755,1517760,2488320,401,1,257500
86,,7,2,20000,59000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",1060,1744,755,1526400,2511360,1,0,258750
87,,7,2,20000,59600,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",1066,1760,755,1535040,2534400,101,0,260000
88,,7,2,20000,60200,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",1072,1777,755,1543680,2558880,201,0,261250
89,,7,2,20000,60800,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",1078,1793,755,1552320,2581920,301,0,262500
90,,7,2,20000,61400,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1084,1809,755,1560960,2604960,401,1,263750
91,,8,2,20000,62000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",1090,1825,755,1569600,2628000,1,0,265000
92,,8,2,20000,62600,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",1096,1841,755,1578240,2651040,101,0,266250
93,,8,2,20000,63200,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",1102,1858,755,1586880,2675520,201,0,267500
94,,8,2,20000,63800,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",1108,1874,755,1595520,2698560,301,0,268750
95,,8,2,20000,64400,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1114,1890,755,1604160,2721600,401,1,270000
96,,8,2,20000,65000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",1120,1906,755,1612800,2744640,1,0,271250
97,,8,2,20000,65600,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",1126,1922,755,1621440,2767680,101,0,272500
98,,8,2,20000,66200,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",1132,1939,755,1630080,2792160,201,0,273750
99,,8,2,20000,66800,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",1138,1955,755,1638720,2815200,301,0,275000
100,,8,2,20000,67400,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1144,1971,755,1647360,2838240,401,1,276250
101,,8,3,20000,68000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",1150,1987,756,1656000,2861280,3,0,277750
102,,8,3,20000,68600,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",1156,2004,756,1664640,2885760,103,0,279250
103,,8,3,20000,69200,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",1162,2020,756,1673280,2908800,203,0,280750
104,,8,3,20000,69800,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",1168,2036,756,1681920,2931840,303,0,282250
105,,8,3,20000,70400,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1174,2052,756,1690560,2954880,403,1,283750
106,,8,3,20000,71000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",1180,2068,756,1699200,2977920,3,0,285250
107,,8,3,20000,71600,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",1186,2085,756,1707840,3002400,103,0,286750
108,,8,3,20000,72200,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",1192,2101,756,1716480,3025440,203,0,288250
109,,8,3,20000,72800,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",1198,2117,756,1725120,3048480,303,0,289750
110,,8,3,20000,73400,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1204,2133,756,1733760,3071520,403,1,291250
111,,9,3,20000,74000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",1210,2150,756,1742400,3096000,3,0,292750
112,,9,3,20000,74600,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",1216,2166,756,1751040,3119040,103,0,294250
113,,9,3,20000,75200,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",1222,2182,756,1759680,3142080,203,0,295750
114,,9,3,20000,75800,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",1228,2198,756,1768320,3165120,303,0,297250
115,,9,3,20000,76400,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1234,2214,756,1776960,3188160,403,1,298750
116,,9,3,20000,77000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",1240,2231,756,1785600,3212640,3,0,300250
117,,9,3,20000,77600,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",1246,2247,756,1794240,3235680,103,0,301750
118,,9,3,20000,78200,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",1252,2263,756,1802880,3258720,203,0,303250
119,,9,3,20000,78800,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",1258,2279,756,1811520,3281760,303,0,304750
120,,9,3,20000,79400,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1264,2295,756,1820160,3304800,403,1,306250
121,,9,3,20000,80000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",1270,2312,757,1828800,3329280,3,0,307750
122,,9,3,20000,80600,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",1276,2328,757,1837440,3352320,103,0,309250
123,,9,3,20000,81200,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",1282,2344,757,1846080,3375360,203,0,310750
124,,9,3,20000,81800,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",1288,2360,757,1854720,3398400,303,0,312250
125,,9,3,20000,82400,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1294,2377,757,1863360,3422880,403,1,313750
126,,9,3,20000,83000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",1300,2393,757,1872000,3445920,3,0,315250
127,,9,3,20000,83600,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",1306,2409,757,1880640,3468960,103,0,316750
128,,9,3,20000,84200,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",1312,2425,757,1889280,3492000,203,0,318250
129,,9,3,20000,84800,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",1318,2441,757,1897920,3515040,303,0,319750
130,,9,3,20000,85400,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1324,2458,757,1906560,3539520,403,1,321250
131,,10,3,20000,86000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",1330,2474,757,1915200,3562560,3,0,322750
132,,10,3,20000,86600,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",1336,2490,757,1923840,3585600,103,0,324250
133,,10,3,20000,87200,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",1342,2506,757,1932480,3608640,203,0,325750
134,,10,3,20000,87800,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",1348,2522,757,1941120,3631680,303,0,327250
135,,10,3,20000,88400,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1354,2539,757,1949760,3656160,403,1,328750
136,,10,3,20000,89000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",1360,2555,757,1958400,3679200,3,0,330250
137,,10,3,20000,89600,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",1366,2571,757,1967040,3702240,103,0,331750
138,,10,3,20000,90200,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",1372,2587,757,1975680,3725280,203,0,333250
139,,10,3,20000,90800,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",1378,2604,757,1984320,3749760,303,0,334750
140,,10,3,20000,91400,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1384,2620,757,1992960,3772800,403,1,336250
141,,10,3,20000,92000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",1390,2636,758,2001600,3795840,3,0,337750
142,,10,3,20000,92600,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",1396,2652,758,2010240,3818880,103,0,339250
143,,10,3,20000,93200,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",1402,2668,758,2018880,3841920,203,0,340750
144,,10,3,20000,93800,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",1408,2685,758,2027520,3866400,303,0,342250
145,,10,3,20000,94400,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1414,2701,758,2036160,3889440,403,1,343750
146,,10,3,20000,95000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",1420,2717,758,2044800,3912480,3,0,345250
147,,10,3,20000,95600,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",1426,2733,758,2053440,3935520,103,0,346750
148,,10,3,20000,96200,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",1432,2750,758,2062080,3960000,203,0,348250
149,,10,3,20000,96800,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",1438,2766,758,2070720,3983040,303,0,349750
150,,10,3,20000,97400,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1444,2782,758,2079360,4006080,403,1,351250
151,,11,3,20000,98000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",1450,2798,758,2088000,4029120,3,0,352750
152,,11,3,20000,98600,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",1456,2814,758,2096640,4052160,103,0,354250
153,,11,3,20000,99200,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",1462,2831,758,2105280,4076640,203,0,355750
154,,11,3,20000,99800,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",1468,2847,758,2113920,4099680,303,0,357250
155,,11,3,20000,100400,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1474,2863,758,2122560,4122720,403,1,358750
156,,11,3,20000,101000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",1480,2879,758,2131200,4145760,3,0,360250
157,,11,3,20000,101200,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",1486,2885,758,2139840,4154400,103,0,361750
158,,11,3,20000,101400,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",1492,2890,758,2148480,4161600,203,0,363250
159,,11,3,20000,101600,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",1498,2895,758,2157120,4168800,303,0,364750
160,,11,3,20000,101800,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1504,2901,758,2165760,4177440,403,1,366250
161,,11,3,20000,102000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",1510,2906,759,2174400,4184640,3,0,367750
162,,11,3,20000,102200,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",1516,2912,759,2183040,4193280,103,0,369250
163,,11,3,20000,102400,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",1522,2917,759,2191680,4200480,203,0,370750
164,,11,3,20000,102600,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",1528,2922,759,2200320,4207680,303,0,372250
165,,11,3,20000,102800,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1534,2928,759,2208960,4216320,403,1,373750
166,,11,3,20000,103000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",1540,2933,759,2217600,4223520,3,0,375250
167,,11,3,20000,103200,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",1546,2939,759,2226240,4232160,103,0,376750
168,,11,3,20000,103400,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",1552,2944,759,2234880,4239360,203,0,378250
169,,11,3,20000,103600,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",1558,2950,759,2243520,4248000,303,0,379750
170,,11,3,20000,103800,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1564,2955,759,2252160,4255200,403,1,381250
171,,12,3,20000,104000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",1570,2960,759,2260800,4262400,3,0,382750
172,,12,3,20000,104200,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",1576,2966,759,2269440,4271040,103,0,384250
173,,12,3,20000,104400,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",1582,2971,759,2278080,4278240,203,0,385750
174,,12,3,20000,104600,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",1588,2977,759,2286720,4286880,303,0,387250
175,,12,3,20000,104800,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1594,2982,759,2295360,4294080,403,1,388750
176,,12,3,20000,105000,5000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",1600,2987,759,2304000,4301280,3,0,390250
177,,12,3,20000,105200,5000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",1606,2993,759,2312640,4309920,103,0,391750
178,,12,3,20000,105400,5000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",1612,2998,759,2321280,4317120,203,0,393250
179,,12,3,20000,105600,5000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",1618,3004,759,2329920,4325760,303,0,394750
180,,12,3,20000,105800,5000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1624,3009,759,2338560,4332960,403,1,396250
181,,12,3,20000,106000,5000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",1630,3014,760,2347200,4340160,3,0,397750
182,,12,3,20000,106200,5000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",1636,3020,760,2355840,4348800,103,0,399250
183,,12,3,20000,106400,5000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",1642,3025,760,2364480,4356000,203,0,400750
184,,12,3,20000,106600,5000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",1648,3031,760,2373120,4364640,303,0,402250
185,,12,3,20000,106800,5000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1654,3036,760,2381760,4371840,403,1,403750
186,,12,3,20000,107000,5000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",1660,3041,760,2390400,4379040,3,0,405250
187,,12,3,20000,107200,5000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",1666,3047,760,2399040,4387680,103,0,406750
188,,12,3,20000,107400,5000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",1672,3052,760,2407680,4394880,203,0,408250
189,,12,3,20000,107600,5000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",1678,3058,760,2416320,4403520,303,0,409750
190,,12,3,20000,107800,5000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",1684,3063,760,2424960,4410720,403,1,411250
191,,13,3,20000,108000,5000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",1690,3068,760,2433600,4417920,3,0,412750
192,,13,3,20000,108200,5000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",1696,3074,760,2442240,4426560,103,0,414250
193,,13,3,20000,108400,5000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",1702,3079,760,2450880,4433760,203,0,415750
194,,13,3,20000,108600,5000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",1708,3085,760,2459520,4442400,303,0,417250
195,,13,3,20000,108800,5000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",1714,3090,760,2468160,4449600,403,1,418750
