强化ID,装备类型,开启等级（改成开启人物等级）,等级,升级下级所需道具,下一级id,效果引用id
number,number,number,number,string,number,number
id,type,openLevel,level,upItems,nextId,effectId
55,1,54,54,12503;3412,56,100055
56,1,55,55,12503;3530,57,100056
57,1,56,56,12503;3650,58,100057
58,1,57,57,12503;3772,59,100058
59,1,58,58,12503;3896,60,100059
60,1,59,59,12503;4022,61,100060
61,1,60,60,12503;4150,62,100061
62,1,61,61,12503;4280,63,100062
63,1,62,62,12503;4412,64,100063
64,1,63,63,12503;4546,65,100064
65,1,64,64,12503;4682,66,100065
66,1,65,65,12503;4820,67,100066
67,1,66,66,12503;4960,68,100067
68,1,67,67,12503;5102,69,100068
69,1,68,68,12503;5246,70,100069
70,1,69,69,12503;5392,71,100070
71,1,70,70,12503;5540,72,100071
72,1,71,71,12503;5690,73,100072
73,1,72,72,12503;5842,74,100073
74,1,73,73,12503;5996,75,100074
75,1,74,74,12503;6152,76,100075
76,1,75,75,12503;6310,77,100076
77,1,76,76,12503;6470,78,100077
78,1,77,77,12503;6632,79,100078
79,1,78,78,12503;6796,80,100079
80,1,79,79,12503;6962,81,100080
81,1,80,80,12503;7130,82,100081
82,1,81,81,12503;7300,83,100082
83,1,82,82,12503;7472,84,100083
84,1,83,83,12503;7646,85,100084
85,1,84,84,12503;7822,86,100085
86,1,85,85,12503;8000,87,100086
87,1,86,86,12503;8180,88,100087
88,1,87,87,12503;8362,89,100088
89,1,88,88,12503;8546,90,100089
90,1,89,89,12503;8732,91,100090
91,1,90,90,12503;8920,92,100091
92,1,91,91,12503;9110,93,100092
93,1,92,92,12503;9302,94,100093
94,1,93,93,12503;9496,95,100094
95,1,94,94,12503;9692,96,100095
96,1,95,95,12503;9890,97,100096
97,1,96,96,12503;10090,98,100097
98,1,97,97,12503;10292,99,100098
99,1,98,98,12503;10496,100,100099
100,1,99,99,,,100100
1001,2,0,0,12503;10,1002,101001
1002,2,1,1,12503;20,1003,101002
1003,2,2,2,12503;32,1004,101003
1004,2,3,3,12503;46,1005,101004
1005,2,4,4,12503;62,1006,101005
1006,2,5,5,12503;80,1007,101006
1007,2,6,6,12503;100,1008,101007
1008,2,7,7,12503;122,1009,101008
1009,2,8,8,12503;146,1010,101009
1010,2,9,9,12503;172,1011,101010
1011,2,10,10,12503;200,1012,101011
1012,2,11,11,12503;230,1013,101012
1013,2,12,12,12503;262,1014,101013
1014,2,13,13,12503;296,1015,101014
1015,2,14,14,12503;332,1016,101015
1016,2,15,15,12503;370,1017,101016
1017,2,16,16,12503;410,1018,101017
1018,2,17,17,12503;452,1019,101018
1019,2,18,18,12503;496,1020,101019
1020,2,19,19,12503;542,1021,101020
1021,2,20,20,12503;590,1022,101021
1022,2,21,21,12503;640,1023,101022
1023,2,22,22,12503;692,1024,101023
1024,2,23,23,12503;746,1025,101024
1025,2,24,24,12503;802,1026,101025
1026,2,25,25,12503;860,1027,101026
1027,2,26,26,12503;920,1028,101027
1028,2,27,27,12503;982,1029,101028
1029,2,28,28,12503;1046,1030,101029
1030,2,29,29,12503;1112,1031,101030
1031,2,30,30,12503;1180,1032,101031
1032,2,31,31,12503;1250,1033,101032
1033,2,32,32,12503;1322,1034,101033
1034,2,33,33,12503;1396,1035,101034
1035,2,34,34,12503;1472,1036,101035
1036,2,35,35,12503;1550,1037,101036
1037,2,36,36,12503;1630,1038,101037
1038,2,37,37,12503;1712,1039,101038
1039,2,38,38,12503;1796,1040,101039
1040,2,39,39,12503;1882,1041,101040
1041,2,40,40,12503;1970,1042,101041
1042,2,41,41,12503;2060,1043,101042
1043,2,42,42,12503;2152,1044,101043
1044,2,43,43,12503;2246,1045,101044
1045,2,44,44,12503;2342,1046,101045
1046,2,45,45,12503;2440,1047,101046
1047,2,46,46,12503;2540,1048,101047
1048,2,47,47,12503;2642,1049,101048
1049,2,48,48,12503;2746,1050,101049
1050,2,49,49,12503;2852,1051,101050
1051,2,50,50,12503;2960,1052,101051
1052,2,51,51,12503;3070,1053,101052
1053,2,52,52,12503;3182,1054,101053
1054,2,53,53,12503;3296,1055,101054
1055,2,54,54,12503;3412,1056,101055
1056,2,55,55,12503;3530,1057,101056
1057,2,56,56,12503;3650,1058,101057
1058,2,57,57,12503;3772,1059,101058
1059,2,58,58,12503;3896,1060,101059
1060,2,59,59,12503;4022,1061,101060
1061,2,60,60,12503;4150,1062,101061
1062,2,61,61,12503;4280,1063,101062
1063,2,62,62,12503;4412,1064,101063
1064,2,63,63,12503;4546,1065,101064
1065,2,64,64,12503;4682,1066,101065
1066,2,65,65,12503;4820,1067,101066
1067,2,66,66,12503;4960,1068,101067
1068,2,67,67,12503;5102,1069,101068
1069,2,68,68,12503;5246,1070,101069
1070,2,69,69,12503;5392,1071,101070
1071,2,70,70,12503;5540,1072,101071
1072,2,71,71,12503;5690,1073,101072
1073,2,72,72,12503;5842,1074,101073
1074,2,73,73,12503;5996,1075,101074
1075,2,74,74,12503;6152,1076,101075
1076,2,75,75,12503;6310,1077,101076
1077,2,76,76,12503;6470,1078,101077
1078,2,77,77,12503;6632,1079,101078
1079,2,78,78,12503;6796,1080,101079
1080,2,79,79,12503;6962,1081,101080
1081,2,80,80,12503;7130,1082,101081
1082,2,81,81,12503;7300,1083,101082
1083,2,82,82,12503;7472,1084,101083
1084,2,83,83,12503;7646,1085,101084
1085,2,84,84,12503;7822,1086,101085
1086,2,85,85,12503;8000,1087,101086
1087,2,86,86,12503;8180,1088,101087
1088,2,87,87,12503;8362,1089,101088
1089,2,88,88,12503;8546,1090,101089
1090,2,89,89,12503;8732,1091,101090
1091,2,90,90,12503;8920,1092,101091
1092,2,91,91,12503;9110,1093,101092
1093,2,92,92,12503;9302,1094,101093
1094,2,93,93,12503;9496,1095,101094
1095,2,94,94,12503;9692,1096,101095
1096,2,95,95,12503;9890,1097,101096
1097,2,96,96,12503;10090,1098,101097
1098,2,97,97,12503;10292,1099,101098
1099,2,98,98,12503;10496,1100,101099
1100,2,99,99,,,101100
2001,3,0,0,12503;10,2002,102001
2002,3,1,1,12503;20,2003,102002
2003,3,2,2,12503;32,2004,102003
2004,3,3,3,12503;46,2005,102004
2005,3,4,4,12503;62,2006,102005
2006,3,5,5,12503;80,2007,102006
2007,3,6,6,12503;100,2008,102007
2008,3,7,7,12503;122,2009,102008
2009,3,8,8,12503;146,2010,102009
2010,3,9,9,12503;172,2011,102010
2011,3,10,10,12503;200,2012,102011
2012,3,11,11,12503;230,2013,102012
2013,3,12,12,12503;262,2014,102013
2014,3,13,13,12503;296,2015,102014
2015,3,14,14,12503;332,2016,102015
2016,3,15,15,12503;370,2017,102016
2017,3,16,16,12503;410,2018,102017
2018,3,17,17,12503;452,2019,102018
2019,3,18,18,12503;496,2020,102019
2020,3,19,19,12503;542,2021,102020
2021,3,20,20,12503;590,2022,102021
2022,3,21,21,12503;640,2023,102022
2023,3,22,22,12503;692,2024,102023
2024,3,23,23,12503;746,2025,102024
2025,3,24,24,12503;802,2026,102025
2026,3,25,25,12503;860,2027,102026
2027,3,26,26,12503;920,2028,102027
2028,3,27,27,12503;982,2029,102028
2029,3,28,28,12503;1046,2030,102029
2030,3,29,29,12503;1112,2031,102030
2031,3,30,30,12503;1180,2032,102031
2032,3,31,31,12503;1250,2033,102032
2033,3,32,32,12503;1322,2034,102033
2034,3,33,33,12503;1396,2035,102034
2035,3,34,34,12503;1472,2036,102035
2036,3,35,35,12503;1550,2037,102036
2037,3,36,36,12503;1630,2038,102037
2038,3,37,37,12503;1712,2039,102038
2039,3,38,38,12503;1796,2040,102039
2040,3,39,39,12503;1882,2041,102040
2041,3,40,40,12503;1970,2042,102041
2042,3,41,41,12503;2060,2043,102042
2043,3,42,42,12503;2152,2044,102043
2044,3,43,43,12503;2246,2045,102044
2045,3,44,44,12503;2342,2046,102045
2046,3,45,45,12503;2440,2047,102046
2047,3,46,46,12503;2540,2048,102047
2048,3,47,47,12503;2642,2049,102048
2049,3,48,48,12503;2746,2050,102049
2050,3,49,49,12503;2852,2051,102050
2051,3,50,50,12503;2960,2052,102051
2052,3,51,51,12503;3070,2053,102052
2053,3,52,52,12503;3182,2054,102053
2054,3,53,53,12503;3296,2055,102054
2055,3,54,54,12503;3412,2056,102055
2056,3,55,55,12503;3530,2057,102056
2057,3,56,56,12503;3650,2058,102057
2058,3,57,57,12503;3772,2059,102058
2059,3,58,58,12503;3896,2060,102059
2060,3,59,59,12503;4022,2061,102060
2061,3,60,60,12503;4150,2062,102061
2062,3,61,61,12503;4280,2063,102062
2063,3,62,62,12503;4412,2064,102063
2064,3,63,63,12503;4546,2065,102064
2065,3,64,64,12503;4682,2066,102065
2066,3,65,65,12503;4820,2067,102066
2067,3,66,66,12503;4960,2068,102067
2068,3,67,67,12503;5102,2069,102068
2069,3,68,68,12503;5246,2070,102069
2070,3,69,69,12503;5392,2071,102070
2071,3,70,70,12503;5540,2072,102071
2072,3,71,71,12503;5690,2073,102072
2073,3,72,72,12503;5842,2074,102073
2074,3,73,73,12503;5996,2075,102074
2075,3,74,74,12503;6152,2076,102075
2076,3,75,75,12503;6310,2077,102076
2077,3,76,76,12503;6470,2078,102077
2078,3,77,77,12503;6632,2079,102078
2079,3,78,78,12503;6796,2080,102079
2080,3,79,79,12503;6962,2081,102080
2081,3,80,80,12503;7130,2082,102081
2082,3,81,81,12503;7300,2083,102082
2083,3,82,82,12503;7472,2084,102083
2084,3,83,83,12503;7646,2085,102084
2085,3,84,84,12503;7822,2086,102085
2086,3,85,85,12503;8000,2087,102086
2087,3,86,86,12503;8180,2088,102087
2088,3,87,87,12503;8362,2089,102088
2089,3,88,88,12503;8546,2090,102089
2090,3,89,89,12503;8732,2091,102090
2091,3,90,90,12503;8920,2092,102091
2092,3,91,91,12503;9110,2093,102092
2093,3,92,92,12503;9302,2094,102093
2094,3,93,93,12503;9496,2095,102094
2095,3,94,94,12503;9692,2096,102095
2096,3,95,95,12503;9890,2097,102096
2097,3,96,96,12503;10090,2098,102097
2098,3,97,97,12503;10292,2099,102098
2099,3,98,98,12503;10496,2100,102099
2100,3,99,99,,,102100
3001,4,0,0,12503;10,3002,103001
3002,4,1,1,12503;20,3003,103002
3003,4,2,2,12503;32,3004,103003
3004,4,3,3,12503;46,3005,103004
3005,4,4,4,12503;62,3006,103005
3006,4,5,5,12503;80,3007,103006
3007,4,6,6,12503;100,3008,103007
3008,4,7,7,12503;122,3009,103008
3009,4,8,8,12503;146,3010,103009
3010,4,9,9,12503;172,3011,103010
3011,4,10,10,12503;200,3012,103011
3012,4,11,11,12503;230,3013,103012
3013,4,12,12,12503;262,3014,103013
3014,4,13,13,12503;296,3015,103014
3015,4,14,14,12503;332,3016,103015
3016,4,15,15,12503;370,3017,103016
3017,4,16,16,12503;410,3018,103017
3018,4,17,17,12503;452,3019,103018
3019,4,18,18,12503;496,3020,103019
3020,4,19,19,12503;542,3021,103020
3021,4,20,20,12503;590,3022,103021
3022,4,21,21,12503;640,3023,103022
3023,4,22,22,12503;692,3024,103023
3024,4,23,23,12503;746,3025,103024
3025,4,24,24,12503;802,3026,103025
3026,4,25,25,12503;860,3027,103026
3027,4,26,26,12503;920,3028,103027
3028,4,27,27,12503;982,3029,103028
3029,4,28,28,12503;1046,3030,103029
3030,4,29,29,12503;1112,3031,103030
3031,4,30,30,12503;1180,3032,103031
3032,4,31,31,12503;1250,3033,103032
3033,4,32,32,12503;1322,3034,103033
3034,4,33,33,12503;1396,3035,103034
3035,4,34,34,12503;1472,3036,103035
3036,4,35,35,12503;1550,3037,103036
3037,4,36,36,12503;1630,3038,103037
3038,4,37,37,12503;1712,3039,103038
3039,4,38,38,12503;1796,3040,103039
3040,4,39,39,12503;1882,3041,103040
3041,4,40,40,12503;1970,3042,103041
3042,4,41,41,12503;2060,3043,103042
3043,4,42,42,12503;2152,3044,103043
3044,4,43,43,12503;2246,3045,103044
3045,4,44,44,12503;2342,3046,103045
3046,4,45,45,12503;2440,3047,103046
3047,4,46,46,12503;2540,3048,103047
3048,4,47,47,12503;2642,3049,103048
3049,4,48,48,12503;2746,3050,103049
3050,4,49,49,12503;2852,3051,103050
3051,4,50,50,12503;2960,3052,103051
3052,4,51,51,12503;3070,3053,103052
3053,4,52,52,12503;3182,3054,103053
3054,4,53,53,12503;3296,3055,103054
3055,4,54,54,12503;3412,3056,103055
3056,4,55,55,12503;3530,3057,103056
3057,4,56,56,12503;3650,3058,103057
3058,4,57,57,12503;3772,3059,103058
3059,4,58,58,12503;3896,3060,103059
3060,4,59,59,12503;4022,3061,103060
3061,4,60,60,12503;4150,3062,103061
3062,4,61,61,12503;4280,3063,103062
3063,4,62,62,12503;4412,3064,103063
3064,4,63,63,12503;4546,3065,103064
3065,4,64,64,12503;4682,3066,103065
3066,4,65,65,12503;4820,3067,103066
3067,4,66,66,12503;4960,3068,103067
3068,4,67,67,12503;5102,3069,103068
3069,4,68,68,12503;5246,3070,103069
3070,4,69,69,12503;5392,3071,103070
3071,4,70,70,12503;5540,3072,103071
3072,4,71,71,12503;5690,3073,103072
3073,4,72,72,12503;5842,3074,103073
3074,4,73,73,12503;5996,3075,103074
3075,4,74,74,12503;6152,3076,103075
3076,4,75,75,12503;6310,3077,103076
3077,4,76,76,12503;6470,3078,103077
3078,4,77,77,12503;6632,3079,103078
3079,4,78,78,12503;6796,3080,103079
3080,4,79,79,12503;6962,3081,103080
3081,4,80,80,12503;7130,3082,103081
3082,4,81,81,12503;7300,3083,103082
3083,4,82,82,12503;7472,3084,103083
3084,4,83,83,12503;7646,3085,103084
3085,4,84,84,12503;7822,3086,103085
3086,4,85,85,12503;8000,3087,103086
3087,4,86,86,12503;8180,3088,103087
3088,4,87,87,12503;8362,3089,103088
3089,4,88,88,12503;8546,3090,103089
3090,4,89,89,12503;8732,3091,103090
3091,4,90,90,12503;8920,3092,103091
3092,4,91,91,12503;9110,3093,103092
3093,4,92,92,12503;9302,3094,103093
3094,4,93,93,12503;9496,3095,103094
3095,4,94,94,12503;9692,3096,103095
3096,4,95,95,12503;9890,3097,103096
3097,4,96,96,12503;10090,3098,103097
3098,4,97,97,12503;10292,3099,103098
3099,4,98,98,12503;10496,3100,103099
3100,4,99,99,,,103100
4001,5,0,0,12503;10,4002,104001
4002,5,1,1,12503;20,4003,104002
4003,5,2,2,12503;32,4004,104003
4004,5,3,3,12503;46,4005,104004
4005,5,4,4,12503;62,4006,104005
4006,5,5,5,12503;80,4007,104006
4007,5,6,6,12503;100,4008,104007
4008,5,7,7,12503;122,4009,104008
4009,5,8,8,12503;146,4010,104009
4010,5,9,9,12503;172,4011,104010
4011,5,10,10,12503;200,4012,104011
4012,5,11,11,12503;230,4013,104012
4013,5,12,12,12503;262,4014,104013
4014,5,13,13,12503;296,4015,104014
4015,5,14,14,12503;332,4016,104015
4016,5,15,15,12503;370,4017,104016
4017,5,16,16,12503;410,4018,104017
4018,5,17,17,12503;452,4019,104018
4019,5,18,18,12503;496,4020,104019
4020,5,19,19,12503;542,4021,104020
4021,5,20,20,12503;590,4022,104021
4022,5,21,21,12503;640,4023,104022
4023,5,22,22,12503;692,4024,104023
4024,5,23,23,12503;746,4025,104024
4025,5,24,24,12503;802,4026,104025
4026,5,25,25,12503;860,4027,104026
4027,5,26,26,12503;920,4028,104027
4028,5,27,27,12503;982,4029,104028
4029,5,28,28,12503;1046,4030,104029
4030,5,29,29,12503;1112,4031,104030
4031,5,30,30,12503;1180,4032,104031
4032,5,31,31,12503;1250,4033,104032
4033,5,32,32,12503;1322,4034,104033
4034,5,33,33,12503;1396,4035,104034
4035,5,34,34,12503;1472,4036,104035
4036,5,35,35,12503;1550,4037,104036
4037,5,36,36,12503;1630,4038,104037
4038,5,37,37,12503;1712,4039,104038
4039,5,38,38,12503;1796,4040,104039
4040,5,39,39,12503;1882,4041,104040
4041,5,40,40,12503;1970,4042,104041
4042,5,41,41,12503;2060,4043,104042
4043,5,42,42,12503;2152,4044,104043
4044,5,43,43,12503;2246,4045,104044
4045,5,44,44,12503;2342,4046,104045
4046,5,45,45,12503;2440,4047,104046
4047,5,46,46,12503;2540,4048,104047
4048,5,47,47,12503;2642,4049,104048
4049,5,48,48,12503;2746,4050,104049
4050,5,49,49,12503;2852,4051,104050
4051,5,50,50,12503;2960,4052,104051
4052,5,51,51,12503;3070,4053,104052
4053,5,52,52,12503;3182,4054,104053
4054,5,53,53,12503;3296,4055,104054
4055,5,54,54,12503;3412,4056,104055
4056,5,55,55,12503;3530,4057,104056
4057,5,56,56,12503;3650,4058,104057
4058,5,57,57,12503;3772,4059,104058
4059,5,58,58,12503;3896,4060,104059
4060,5,59,59,12503;4022,4061,104060
4061,5,60,60,12503;4150,4062,104061
4062,5,61,61,12503;4280,4063,104062
4063,5,62,62,12503;4412,4064,104063
4064,5,63,63,12503;4546,4065,104064
4065,5,64,64,12503;4682,4066,104065
4066,5,65,65,12503;4820,4067,104066
4067,5,66,66,12503;4960,4068,104067
4068,5,67,67,12503;5102,4069,104068
4069,5,68,68,12503;5246,4070,104069
4070,5,69,69,12503;5392,4071,104070
4071,5,70,70,12503;5540,4072,104071
4072,5,71,71,12503;5690,4073,104072
4073,5,72,72,12503;5842,4074,104073
4074,5,73,73,12503;5996,4075,104074
4075,5,74,74,12503;6152,4076,104075
4076,5,75,75,12503;6310,4077,104076
4077,5,76,76,12503;6470,4078,104077
4078,5,77,77,12503;6632,4079,104078
4079,5,78,78,12503;6796,4080,104079
4080,5,79,79,12503;6962,4081,104080
4081,5,80,80,12503;7130,4082,104081
4082,5,81,81,12503;7300,4083,104082
4083,5,82,82,12503;7472,4084,104083
4084,5,83,83,12503;7646,4085,104084
4085,5,84,84,12503;7822,4086,104085
4086,5,85,85,12503;8000,4087,104086
4087,5,86,86,12503;8180,4088,104087
4088,5,87,87,12503;8362,4089,104088
4089,5,88,88,12503;8546,4090,104089
4090,5,89,89,12503;8732,4091,104090
4091,5,90,90,12503;8920,4092,104091
4092,5,91,91,12503;9110,4093,104092
4093,5,92,92,12503;9302,4094,104093
4094,5,93,93,12503;9496,4095,104094
4095,5,94,94,12503;9692,4096,104095
4096,5,95,95,12503;9890,4097,104096
4097,5,96,96,12503;10090,4098,104097
4098,5,97,97,12503;10292,4099,104098
4099,5,98,98,12503;10496,4100,104099
4100,5,99,99,,,104100
5001,6,0,0,12503;10,5002,105001
5002,6,1,1,12503;20,5003,105002
5003,6,2,2,12503;32,5004,105003
5004,6,3,3,12503;46,5005,105004
5005,6,4,4,12503;62,5006,105005
5006,6,5,5,12503;80,5007,105006
5007,6,6,6,12503;100,5008,105007
5008,6,7,7,12503;122,5009,105008
5009,6,8,8,12503;146,5010,105009
5010,6,9,9,12503;172,5011,105010
5011,6,10,10,12503;200,5012,105011
5012,6,11,11,12503;230,5013,105012
5013,6,12,12,12503;262,5014,105013
5014,6,13,13,12503;296,5015,105014
5015,6,14,14,12503;332,5016,105015
5016,6,15,15,12503;370,5017,105016
5017,6,16,16,12503;410,5018,105017
5018,6,17,17,12503;452,5019,105018
5019,6,18,18,12503;496,5020,105019
5020,6,19,19,12503;542,5021,105020
5021,6,20,20,12503;590,5022,105021
5022,6,21,21,12503;640,5023,105022
5023,6,22,22,12503;692,5024,105023
5024,6,23,23,12503;746,5025,105024
5025,6,24,24,12503;802,5026,105025
5026,6,25,25,12503;860,5027,105026
5027,6,26,26,12503;920,5028,105027
5028,6,27,27,12503;982,5029,105028
5029,6,28,28,12503;1046,5030,105029
5030,6,29,29,12503;1112,5031,105030
5031,6,30,30,12503;1180,5032,105031
5032,6,31,31,12503;1250,5033,105032
5033,6,32,32,12503;1322,5034,105033
5034,6,33,33,12503;1396,5035,105034
5035,6,34,34,12503;1472,5036,105035
5036,6,35,35,12503;1550,5037,105036
5037,6,36,36,12503;1630,5038,105037
5038,6,37,37,12503;1712,5039,105038
5039,6,38,38,12503;1796,5040,105039
5040,6,39,39,12503;1882,5041,105040
5041,6,40,40,12503;1970,5042,105041
5042,6,41,41,12503;2060,5043,105042
5043,6,42,42,12503;2152,5044,105043
5044,6,43,43,12503;2246,5045,105044
5045,6,44,44,12503;2342,5046,105045
5046,6,45,45,12503;2440,5047,105046
5047,6,46,46,12503;2540,5048,105047
5048,6,47,47,12503;2642,5049,105048
5049,6,48,48,12503;2746,5050,105049
5050,6,49,49,12503;2852,5051,105050
5051,6,50,50,12503;2960,5052,105051
5052,6,51,51,12503;3070,5053,105052
5053,6,52,52,12503;3182,5054,105053
5054,6,53,53,12503;3296,5055,105054
5055,6,54,54,12503;3412,5056,105055
5056,6,55,55,12503;3530,5057,105056
5057,6,56,56,12503;3650,5058,105057
5058,6,57,57,12503;3772,5059,105058
5059,6,58,58,12503;3896,5060,105059
5060,6,59,59,12503;4022,5061,105060
5061,6,60,60,12503;4150,5062,105061
5062,6,61,61,12503;4280,5063,105062
5063,6,62,62,12503;4412,5064,105063
5064,6,63,63,12503;4546,5065,105064
5065,6,64,64,12503;4682,5066,105065
5066,6,65,65,12503;4820,5067,105066
5067,6,66,66,12503;4960,5068,105067
5068,6,67,67,12503;5102,5069,105068
5069,6,68,68,12503;5246,5070,105069
5070,6,69,69,12503;5392,5071,105070
5071,6,70,70,12503;5540,5072,105071
5072,6,71,71,12503;5690,5073,105072
5073,6,72,72,12503;5842,5074,105073
5074,6,73,73,12503;5996,5075,105074
5075,6,74,74,12503;6152,5076,105075
5076,6,75,75,12503;6310,5077,105076
5077,6,76,76,12503;6470,5078,105077
5078,6,77,77,12503;6632,5079,105078
5079,6,78,78,12503;6796,5080,105079
5080,6,79,79,12503;6962,5081,105080
5081,6,80,80,12503;7130,5082,105081
5082,6,81,81,12503;7300,5083,105082
5083,6,82,82,12503;7472,5084,105083
5084,6,83,83,12503;7646,5085,105084
5085,6,84,84,12503;7822,5086,105085
5086,6,85,85,12503;8000,5087,105086
5087,6,86,86,12503;8180,5088,105087
5088,6,87,87,12503;8362,5089,105088
5089,6,88,88,12503;8546,5090,105089
5090,6,89,89,12503;8732,5091,105090
5091,6,90,90,12503;8920,5092,105091
5092,6,91,91,12503;9110,5093,105092
5093,6,92,92,12503;9302,5094,105093
5094,6,93,93,12503;9496,5095,105094
5095,6,94,94,12503;9692,5096,105095
5096,6,95,95,12503;9890,5097,105096
5097,6,96,96,12503;10090,5098,105097
5098,6,97,97,12503;10292,5099,105098
5099,6,98,98,12503;10496,5100,105099
5100,6,99,99,,,105100
