神器ID,注释,神器名,文字说明,"排序值,越小排越前",图纸icon,专属系id(有值时，此列的系宝可梦才能携带）,专属宝可梦id(有值时，此列的宝可梦才能携带）,神器特性随机类型（获得时从下列类型里的特性进行随机）,特性触发星数（神器的星数>=这个星数，特性才生效）
41042,,恶岩钢奇,恶，岩石，钢系精灵专属的神器之一，9星可以激活特有的战斗特性,42,15042,5;14;17,,18,9
41043,,恶岩钢精,恶，岩石，钢系精灵专属的神器之一，9星可以激活特有的战斗特性,43,15043,5;14;17,,19,9
41044,,恶岩钢灵,恶，岩石，钢系精灵专属的神器之一，9星可以激活特有的战斗特性,44,15044,5;14;17,,20,9
41051,系神器龙,龙飞神,龙，飞行系精灵专属的神器之一，9星可以激活特有的战斗特性,51,15051,6;12,,21,9
41052,,龙飞奇,龙，飞行系精灵专属的神器之一，9星可以激活特有的战斗特性,52,15052,6;12,,22,9
41053,,龙飞精,龙，飞行系精灵专属的神器之一，9星可以激活特有的战斗特性,53,15053,6;12,,23,9
41054,,龙飞灵,龙，飞行系精灵专属的神器之一，9星可以激活特有的战斗特性,54,15054,6;12,,24,9
41061,系神器冰,地冰神,冰，地面系精灵专属的神器之一，9星可以激活特有的战斗特性,61,15061,7;13,,25,9
41062,,地冰奇,冰，地面系精灵专属的神器之一，9星可以激活特有的战斗特性,62,15062,7;13,,26,9
41063,,地冰精,冰，地面系精灵专属的神器之一，9星可以激活特有的战斗特性,63,15063,7;13,,27,9
41064,,地冰灵,冰，地面系精灵专属的神器之一，9星可以激活特有的战斗特性,64,15064,7;13,,28,9
41071,系神器鬼,鬼毒神,鬼，毒系精灵专属的神器之一，9星可以激活特有的战斗特性,71,15071,8;18,,29,9
41072,,鬼毒奇,鬼，毒系精灵专属的神器之一，9星可以激活特有的战斗特性,72,15072,8;18,,30,9
41073,,鬼毒精,鬼，毒系精灵专属的神器之一，9星可以激活特有的战斗特性,73,15073,8;18,,31,9
41074,,鬼毒灵,鬼，毒系精灵专属的神器之一，9星可以激活特有的战斗特性,74,15074,8;18,,32,9
41501,超梦神器,超梦神珠,超梦的专属神器之一，9星可以激活特有的战斗特性,1001,15501,,1150;301150,501,9
41502,,超梦灵珠,超梦的专属神器之一，9星可以激活特有的战斗特性,1002,15502,,1150;301150,502,9
41511,梦幻,梦幻神珠,梦幻的专属神器之一，9星可以激活特有的战斗特性,1011,15506,,1151;301151,503,9
41512,,梦幻灵珠,梦幻的专属神器之一，9星可以激活特有的战斗特性,1012,15507,,1151;301151,504,9
41521,洛奇亚,洛奇亚神珠,洛奇亚的专属神器之一，9星可以激活特有的战斗特性,1021,15511,,1249;301249,505,9
41522,,洛奇亚灵珠,洛奇亚的专属神器之一，9星可以激活特有的战斗特性,1022,15512,,1249;301249,506,9
41531,凤王,凤王神珠,凤王的专属神器之一，9星可以激活特有的战斗特性,1031,15516,,1250;301250,507,9
41532,,凤王灵珠,凤王的专属神器之一，9星可以激活特有的战斗特性,1032,15517,,1250;301250,508,9
41541,时拉比,时拉比神珠,时拉比的专属神器之一，9星可以激活特有的战斗特性,1041,15521,,1251;301251,509,9
41542,,时拉比灵珠,时拉比的专属神器之一，9星可以激活特有的战斗特性,1042,15522,,1251;301251,510,9
41551,盖欧卡,盖欧卡神珠,盖欧卡的专属神器之一，9星可以激活特有的战斗特性,1051,15526,,1382;301382,511,9
41552,,盖欧卡灵珠,盖欧卡的专属神器之一，9星可以激活特有的战斗特性,1052,15527,,1382;301382,512,9
41561,固拉多,固拉多神珠,固拉多的专属神器之一，9星可以激活特有的战斗特性,1061,15531,,1383;301383,513,9
41562,,固拉多灵珠,固拉多的专属神器之一，9星可以激活特有的战斗特性,1062,15532,,1383;301383,514,9
41571,烈空座,烈空座神珠,烈空座的专属神器之一，9星可以激活特有的战斗特性,1071,15536,,1384;301384,515,9
41572,,烈空座灵珠,烈空座的专属神器之一，9星可以激活特有的战斗特性,1072,15537,,1384;301384,516,9
41581,基拉祈,基拉祈神珠,基拉祈的专属神器之一，9星可以激活特有的战斗特性,1081,15541,,1385;301385,517,9
41582,,基拉祈灵珠,基拉祈的专属神器之一，9星可以激活特有的战斗特性,1082,15542,,1385;301385,518,9
41591,骑拉帝纳,骑拉帝纳神珠,骑拉帝纳的专属神器之一，9星可以激活特有的战斗特性,1091,15546,,1487;301487,519,9
41592,,骑拉帝纳灵珠,骑拉帝纳的专属神器之一，9星可以激活特有的战斗特性,1092,15547,,1487;301487,520,9
41601,酋雷姆,酋雷姆神珠,酋雷姆的专属神器之一，9星可以激活特有的战斗特性,1101,15551,,1646;301646,521,9
41602,,酋雷姆灵珠,酋雷姆的专属神器之一，9星可以激活特有的战斗特性,1102,15552,,1646;301646,522,9
41611,凯路迪欧,凯路迪欧神珠,凯路迪欧的专属神器之一，9星可以激活特有的战斗特性,1111,15561,,1647,511,9
41612,,凯路迪欧灵珠,凯路迪欧的专属神器之一，9星可以激活特有的战斗特性,1112,15562,,1647,512,9
