掉落ID,id分段注释,掉落权重,掉落ID,掉落数量
2013,,100,700203,1
2013,,100,700204,1
2013,,100,700301,1
2013,,100,700302,1
2013,,100,700303,1
2021,,100,601062,1
2021,,100,6,300
2022,,100,3,40000
2022,,100,3,60000
2023,,220,13031,5
2023,,220,13032,5
2023,,220,13033,5
2023,,220,13034,5
2023,,220,13035,5
2023,,550,12006,10
2023,,550,12006,20
2023,,100,700101,1
2023,,100,700102,1
2023,,100,700103,1
2023,,100,700104,1
2023,,100,700201,1
2023,,100,700202,1
2023,,100,700203,1
2023,,100,700204,1
2023,,100,700301,1
2023,,100,700302,1
2023,,100,700303,1
2031,,100,601062,2
2031,,100,6,500
2032,,100,3,60000
2032,,100,3,80000
2033,,220,13031,5
2033,,220,13032,5
2033,,220,13033,5
2033,,220,13034,5
2033,,220,13035,5
2033,,550,12008,10
2033,,550,12008,20
2033,,100,700101,1
2033,,100,700102,1
2033,,100,700103,1
2033,,100,700104,1
2033,,100,700201,1
2033,,100,700202,1
2033,,100,700203,1
2033,,100,700204,1
2033,,100,700301,1
2033,,100,700302,1
2033,,100,700303,1
2101,,100,601141,1
2101,,100,6,100
2102,,100,3,10000
2102,,100,3,20000
2103,,220,13031,3
2103,,220,13032,3
2103,,220,13033,3
2103,,220,13034,3
2103,,220,13035,3
2103,,550,12002,10
2103,,550,12002,20
2103,,100,700101,1
2103,,100,700102,1
2103,,100,700103,1
2103,,100,700104,1
2103,,100,700201,1
2103,,100,700202,1
2103,,100,700203,1
2103,,100,700204,1
2103,,100,700301,1
2103,,100,700302,1
2103,,100,700303,1
2111,,100,601141,1
2111,,100,6,200
2112,,100,3,20000
2112,,100,3,40000
2113,,220,13031,3
2113,,220,13032,3
2113,,220,13033,3
2113,,220,13034,3
2113,,220,13035,3
2113,,550,12004,10
2113,,550,12004,20
2113,,100,700101,1
2113,,100,700102,1
2113,,100,700103,1
2113,,100,700104,1
2113,,100,700201,1
2113,,100,700202,1
2113,,100,700203,1
2113,,100,700204,1
2113,,100,700301,1
2113,,100,700302,1
2113,,100,700303,1
2121,,100,601141,1
2121,,100,6,300
2122,,100,3,40000
2122,,100,3,60000
2123,,220,13031,5
2123,,220,13032,5
2123,,220,13033,5
2123,,220,13034,5
2123,,220,13035,5
2123,,550,12006,10
2123,,550,12006,20
2123,,100,700101,1
2123,,100,700102,1
2123,,100,700103,1
2123,,100,700104,1
2123,,100,700201,1
2123,,100,700202,1
2123,,100,700203,1
2123,,100,700204,1
2123,,100,700301,1
2123,,100,700302,1
2123,,100,700303,1
2131,,100,601141,1
2131,,100,6,500
2132,,100,3,60000
2132,,100,3,80000
2133,,220,13031,5
2133,,220,13032,5
2133,,220,13033,5
2133,,220,13034,5
2133,,220,13035,5
2133,,550,12008,10
2133,,550,12008,20
2133,,100,700101,1
2133,,100,700102,1
2133,,100,700103,1
2133,,100,700104,1
2133,,100,700201,1
2133,,100,700202,1
2133,,100,700203,1
2133,,100,700204,1
2133,,100,700301,1
2133,,100,700302,1
2133,,100,700303,1
2201,,100,601427,1
2201,,100,6,100
2202,,100,3,10000
2202,,100,3,20000
2203,,220,13031,3
2203,,220,13032,3
2203,,220,13033,3
2203,,220,13034,3
2203,,220,13035,3
2203,,550,12002,10
2203,,550,12002,20
2203,,100,700101,1
2203,,100,700102,1
2203,,100,700103,1
2203,,100,700104,1
2203,,100,700201,1
2203,,100,700202,1
2203,,100,700203,1
2203,,100,700204,1
2203,,100,700301,1
2203,,100,700302,1
2203,,100,700303,1
2211,,100,601427,1
2211,,100,6,200
2212,,100,3,20000
2212,,100,3,40000
2213,,220,13031,3
2213,,220,13032,3
2213,,220,13033,3
2213,,220,13034,3
2213,,220,13035,3
2213,,550,12004,10
2213,,550,12004,20
2213,,100,700101,1
2213,,100,700102,1
2213,,100,700103,1
2213,,100,700104,1
2213,,100,700201,1
2213,,100,700202,1
2213,,100,700203,1
2213,,100,700204,1
2213,,100,700301,1
2213,,100,700302,1
2213,,100,700303,1
2221,,100,601427,1
2221,,100,6,300
2222,,100,3,40000
2222,,100,3,60000
2223,,220,13031,5
2223,,220,13032,5
2223,,220,13033,5
2223,,220,13034,5
2223,,220,13035,5
2223,,550,12006,10
2223,,550,12006,20
2223,,100,700101,1
2223,,100,700102,1
2223,,100,700103,1
2223,,100,700104,1
2223,,100,700201,1
2223,,100,700202,1
2223,,100,700203,1
2223,,100,700204,1
2223,,100,700301,1
2223,,100,700302,1
2223,,100,700303,1
2231,,100,601427,1
2231,,100,6,500
2232,,100,3,60000
2232,,100,3,80000
2233,,220,13031,5
2233,,220,13032,5
2233,,220,13033,5
2233,,220,13034,5
2233,,220,13035,5
2233,,550,12008,10
2233,,550,12008,20
2233,,100,700101,1
2233,,100,700102,1
2233,,100,700103,1
2233,,100,700104,1
2233,,100,700201,1
2233,,100,700202,1
2233,,100,700203,1
2233,,100,700204,1
2233,,100,700301,1
2233,,100,700302,1
2233,,100,700303,1
2301,,100,601126,1
2301,,100,6,100
2302,,100,3,10000
2302,,100,3,20000
2303,,220,13031,3
2303,,220,13032,3
2303,,220,13033,3
2303,,220,13034,3
2303,,220,13035,3
2303,,550,12002,10
2303,,550,12002,20
2303,,100,700101,1
2303,,100,700102,1
2303,,100,700103,1
2303,,100,700104,1
2303,,100,700201,1
2303,,100,700202,1
2303,,100,700203,1
2303,,100,700204,1
2303,,100,700301,1
2303,,100,700302,1
2303,,100,700303,1
2311,,100,601126,1
2311,,100,6,200
2312,,100,3,20000
2312,,100,3,40000
2313,,220,13031,3
2313,,220,13032,3
2313,,220,13033,3
2313,,220,13034,3
2313,,220,13035,3
2313,,550,12004,10
2313,,550,12004,20
2313,,100,700101,1
2313,,100,700102,1
2313,,100,700103,1
2313,,100,700104,1
2313,,100,700201,1
2313,,100,700202,1
2313,,100,700203,1
2313,,100,700204,1
2313,,100,700301,1
2313,,100,700302,1
2313,,100,700303,1
2321,,100,601126,1
2321,,100,6,300
2322,,100,3,40000
2322,,100,3,60000
2323,,220,13031,5
2323,,220,13032,5
2323,,220,13033,5
2323,,220,13034,5
2323,,220,13035,5
2323,,550,12006,10
2323,,550,12006,20
2323,,100,700101,1
2323,,100,700102,1
2323,,100,700103,1
2323,,100,700104,1
2323,,100,700201,1
2323,,100,700202,1
2323,,100,700203,1
2323,,100,700204,1
2323,,100,700301,1
2323,,100,700302,1
2323,,100,700303,1
2331,,100,601126,1
2331,,100,6,500
2332,,100,3,60000
2332,,100,3,80000
2333,,220,13031,5
2333,,220,13032,5
2333,,220,13033,5
2333,,220,13034,5
2333,,220,13035,5
2333,,550,12008,10
2333,,550,12008,20
2333,,100,700101,1
2333,,100,700102,1
2333,,100,700103,1
2333,,100,700104,1
2333,,100,700201,1
2333,,100,700202,1
2333,,100,700203,1
2333,,100,700204,1
2333,,100,700301,1
2333,,100,700302,1
2333,,100,700303,1
2401,,100,601309,1
2401,,100,6,100
2402,,100,3,10000
2402,,100,3,20000
2403,,220,13031,3
2403,,220,13032,3
2403,,220,13033,3
2403,,220,13034,3
2403,,220,13035,3
2403,,550,12002,10
2403,,550,12002,20
2403,,100,700101,1
2403,,100,700102,1
2403,,100,700103,1
2403,,100,700104,1
2403,,100,700201,1
2403,,100,700202,1
2403,,100,700203,1
2403,,100,700204,1
2403,,100,700301,1
2403,,100,700302,1
2403,,100,700303,1
2411,,100,601309,1
2411,,100,6,200
2412,,100,3,20000
2412,,100,3,40000
2413,,220,13031,3
2413,,220,13032,3
2413,,220,13033,3
2413,,220,13034,3
2413,,220,13035,3
2413,,550,12004,10
2413,,550,12004,20
2413,,100,700101,1
2413,,100,700102,1
2413,,100,700103,1
2413,,100,700104,1
2413,,100,700201,1
2413,,100,700202,1
2413,,100,700203,1
2413,,100,700204,1
2413,,100,700301,1
2413,,100,700302,1
2413,,100,700303,1
2421,,100,601309,1
2421,,100,6,300
2422,,100,3,40000
2422,,100,3,60000
2423,,220,13031,5
2423,,220,13032,5
2423,,220,13033,5
2423,,220,13034,5
2423,,220,13035,5
2423,,550,12006,10
2423,,550,12006,20
2423,,100,700101,1
2423,,100,700102,1
2423,,100,700103,1
2423,,100,700104,1
2423,,100,700201,1
2423,,100,700202,1
2423,,100,700203,1
2423,,100,700204,1
2423,,100,700301,1
2423,,100,700302,1
2423,,100,700303,1
2431,,100,601309,1
2431,,100,6,500
2432,,100,3,60000
2432,,100,3,80000
2433,,220,13031,5
2433,,220,13032,5
2433,,220,13033,5
2433,,220,13034,5
2433,,220,13035,5
2433,,550,12008,10
2433,,550,12008,20
2433,,100,700101,1
2433,,100,700102,1
2433,,100,700103,1
2433,,100,700104,1
2433,,100,700201,1
2433,,100,700202,1
2433,,100,700203,1
2433,,100,700204,1
2433,,100,700301,1
2433,,100,700302,1
2433,,100,700303,1
2501,,100,601345,1
2501,,100,6,100
2502,,100,3,10000
2502,,100,3,20000
2503,,220,13031,3
2503,,220,13032,3
2503,,220,13033,3
2503,,220,13034,3
2503,,220,13035,3
2503,,550,12002,10
2503,,550,12002,20
2503,,100,700101,1
2503,,100,700102,1
2503,,100,700103,1
2503,,100,700104,1
2503,,100,700201,1
2503,,100,700202,1
2503,,100,700203,1
2503,,100,700204,1
2503,,100,700301,1
2503,,100,700302,1
2503,,100,700303,1
2511,,100,601345,1
2511,,100,6,200
2512,,100,3,20000
2512,,100,3,40000
2513,,220,13031,3
2513,,220,13032,3
2513,,220,13033,3
2513,,220,13034,3
2513,,220,13035,3
2513,,550,12004,10
2513,,550,12004,20
2513,,100,700101,1
2513,,100,700102,1
2513,,100,700103,1
2513,,100,700104,1
2513,,100,700201,1
2513,,100,700202,1
2513,,100,700203,1
2513,,100,700204,1
2513,,100,700301,1
2513,,100,700302,1
2513,,100,700303,1
2521,,100,601345,1
2521,,100,6,300
2522,,100,3,40000
2522,,100,3,60000
2523,,220,13031,5
2523,,220,13032,5
2523,,220,13033,5
2523,,220,13034,5
2523,,220,13035,5
2523,,550,12006,10
2523,,550,12006,20
2523,,100,700101,1
2523,,100,700102,1
2523,,100,700103,1
2523,,100,700104,1
2523,,100,700201,1
2523,,100,700202,1
2523,,100,700203,1
2523,,100,700204,1
2523,,100,700301,1
2523,,100,700302,1
2523,,100,700303,1
2531,,100,601345,1
2531,,100,6,500
2532,,100,3,60000
2532,,100,3,80000
2533,,220,13031,5
2533,,220,13032,5
2533,,220,13033,5
2533,,220,13034,5
2533,,220,13035,5
2533,,550,12008,10
2533,,550,12008,20
2533,,100,700101,1
2533,,100,700102,1
2533,,100,700103,1
2533,,100,700104,1
2533,,100,700201,1
2533,,100,700202,1
2533,,100,700203,1
2533,,100,700204,1
2533,,100,700301,1
2533,,100,700302,1
2533,,100,700303,1
3001,3000~4000是公会boss助攻掉落,100,3,10000
3001,,100,3,20000
3002,,100,6,50
3003,,100,1,20000
3003,,100,1,40000
3011,,100,3,15000
3011,,100,3,30000
3012,,100,6,50
3013,,100,1,30000
3013,,100,1,60000
3021,,100,3,20000
3021,,100,3,40000
3022,,100,6,50
3023,,100,1,40000
3023,,100,1,80000
3031,,100,3,30000
3031,,100,3,60000
3032,,100,6,50
3033,,100,1,50000
3033,,100,1,100000
100000,100000~100010是快速战斗掉落,1871,1010,1
100000,,1871,1011,1
100000,,1871,1013,1
100000,,1871,1014,1
100000,,1871,1016,1
100000,,1871,1019,1
100000,,1871,1021,1
100000,,1871,1023,1
100000,,1871,1029,1
100000,,1871,1032,1
100000,,1871,1037,1
100000,,1871,1039,1
100000,,1871,1041,1
100000,,1871,1046,1
100000,,1871,1050,1
100000,,1871,1052,1
100000,,1871,1116,1
100000,,1871,1129,1
100000,,1871,1132,1
100000,,1871,1173,1
100000,,1871,1174,1
100000,,109,1043,1
100000,,109,1048,1
100000,,109,1056,1
100000,,109,1060,1
100000,,109,1063,1
100000,,109,1066,1
100000,,109,1069,1
100000,,109,1072,1
100000,,109,1074,1
100000,,109,1077,1
100000,,109,1079,1
100000,,109,1081,1
100000,,109,1084,1
100000,,109,1086,1
100000,,109,1088,1
100000,,109,1090,1
100000,,109,1092,1
100000,,109,1096,1
100000,,109,1098,1
100000,,109,1100,1
100000,,109,1102,1
100000,,109,1104,1
100000,,109,1109,1
100000,,109,1111,1
100000,,109,1118,1
100000,,109,1120,1
100000,,109,1138,1
100000,,109,1140,1
100000,,109,1172,1
100000,,109,1273,1
100000,,109,1322,1
100000,,109,1333,1
100000,,109,1349,1
100000,,109,1548,1
100000,,109,1636,1
100000,,53000,0,0
100001,,7000,10001,5
100001,,3000,10001,3
100001,,600,10002,1
100001,,7000,10001,5
100001,,3000,10001,3
100001,,600,10002,1
100002,,1400,12001,10
100002,,700,12001,20
100002,,700,12002,10
100002,,350,12002,20
100002,,350,12003,10
100002,,150,12003,20
100002,,120,12221,1
100002,,80,12222,1
100002,,40,12223,1
100002,,120,12226,1
100002,,80,12227,1
100002,,40,12228,1
100002,,120,12231,1
100002,,80,12232,1
100002,,40,12233,1
100002,,120,12236,1
100002,,80,12237,1
100002,,40,12238,1
100002,,120,12241,1
100002,,80,12242,1
100002,,40,12243,1
100002,,120,12246,1
100002,,80,12247,1
100002,,40,12248,1
100002,,3500,19002,3
100002,,700,12151,10
100002,,300,12151,20
100002,,350,12152,10
100002,,150,12152,20
200000,200000~200004是遭遇战掉落,5000,10001,1
200000,,5000,10011,1
200000,,5000,12001,1
200000,,2500,12002,1
200000,,2500,12400,1
200000,,2500,12401,1
200000,,2500,12500,1
200000,,500,6,50
210001,210000是家园探索掉落,2000,13051,15
210001,,800,13051,20
210001,,250,13051,25
210002,,2000,13052,15
210002,,800,13052,20
210002,,250,13052,25
210051,,500,13061,10
210051,,200,13061,15
210051,,70,13061,20
210052,,400,13062,1
210052,,200,13062,2
210052,,2400,0,0
210061,,1000,13066,5
210061,,500,13066,10
210061,,200,13066,25
10000001,10000000以后是活动掉落,80,10131,1
10000001,,500,6,100
10000001,,360,13001,1
10000001,,100,13001,2
10000001,,5,13002,1
10000002,,300,3,10000
10000002,,100,3,20000
10000002,,300,1,20000
10000002,,100,1,40000
10000002,,300,12500,1
10000002,,100,12500,2
10000003,,100,12201,1
10000003,,20,12201,2
10000003,,300,12151,10
10000003,,80,12151,20
10000003,,10,12152,10
10000003,,800,12001,40
10000003,,200,12001,20
10000003,,400,12002,10
10000003,,100,12002,20
10010001,集字活动掉落(挂机),12,18001,1
10010001,,9,18002,1
10010001,,7,18003,1
10010001,,5,18004,1
10010001,,67,0,0
10010002,秘境集字活动,15,18001,1
10010002,,15,18002,1
10010002,,10,18003,1
10010002,,10,18004,1
10010002,,50,0,0
10010003,地底集字活动,15,18001,1
10010003,,15,18002,1
10010003,,10,18003,1
10010003,,10,18004,1
10010003,,50,0,0
10010004,特殊副本集字活动,15,18001,1
10010004,,15,18002,1
10010004,,10,18003,1
10010004,,10,18004,1
10010004,,50,0,0
10010005,中秋集字掉落(挂机),10,18005,1
10010005,,8,18006,1
10010005,,7,18007,1
10010005,,5,18008,1
10010005,,3,10302,1
10010005,,67,0,0
10010006,秘境中秋集字,15,18005,1
10010006,,15,18006,1
10010006,,10,18007,1
10010006,,10,18008,1
10010006,,5,10302,1
10010006,,45,0,0
10010007,地底中秋集字,15,18005,1
10010007,,15,18006,1
10010007,,10,18007,1
10010007,,10,18008,1
10010007,,5,10302,1
10010007,,45,0,0
10010008,特殊副本中秋集字,15,18005,1
10010008,,15,18006,1
10010008,,10,18007,1
10010008,,10,18008,1
10010008,,5,10302,1
10010008,,45,0,0
