"1为初级,2为中级,3为高级",掉落ID,品阶,随机池(1=绿  2=蓝  3=紫 4=紫橙 5=橙 6=橙红),宝可梦名字,种族值总和
2,1023,1,1,阿柏蛇,275
2,1027,2,2,穿山鼠,300
2,1035,2,2,皮皮,323
2,1036,3,4,皮可西,483
2,1038,4,6,九尾,505
2,1041,1,1,超音蝠,245
2,1042,3,4,大嘴蝠,455
2,1044,2,2,臭臭花,395
2,1045,3,4,霸王花,490
2,1046,1,1,派拉斯,275
2,1048,2,2,毛球,305
2,1052,1,1,喵喵,275
2,1053,3,4,猫老大,440
2,1062,4,6,快泳蛙,510
2,1069,1,1,喇叭芽,275
2,1070,2,2,口呆花,355
2,1072,3,3,玛瑙水母,335
2,1073,4,6,毒刺水母,515
2,1074,1,1,小拳石,270
2,1075,2,2,隆隆石,390
2,1077,3,3,小火马,360
2,1081,2,2,小磁怪,325
2,1086,2,2,小海狮,325
2,1088,2,2,臭泥,325
2,1601,4,6,齿轮怪,520
2,1096,2,2,素利普,328
2,1097,3,4,素利柏,483
2,1098,2,2,大钳蟹,325
2,1529,3,4,螺钉地鼠,328
2,1104,2,2,卡拉卡拉,320
2,1107,3,4,艾比朗,455
2,1108,2,2,大舌头,355
2,1109,2,2,瓦斯弹,340
2,1110,3,4,双弹瓦斯,490
2,1119,3,4,金鱼王,450
2,1121,4,6,宝石海星,520
2,1128,3,4,肯泰罗,490
2,1138,2,2,菊石兽,355
2,1139,3,4,多刺菊石兽,495
2,1170,2,2,灯笼鱼,330
2,1174,1,1,宝宝丁,210
2,1182,3,4,美丽花,490
2,1203,3,4,麒麟奇,455
2,1211,1,1,千针鱼,330
2,1220,2,2,小山猪,250
2,1232,4,5,顿甲,500
2,1241,3,4,大奶罐,490
2,1261,2,2,土狼犬,220
2,1204,3,3,榛果球,290
2,1278,2,2,长翅鸥,270
2,1279,3,4,大嘴鸥,440
2,1285,2,2,蘑蘑菇,295
2,1286,3,4,斗笠菇,460
2,1302,4,4,勾魂眼,380
2,1303,4,4,大嘴娃,380
2,1312,1,1,负电拍拍,300
2,1476,4,5,大朝北鼻,525
2,1322,2,2,呆火驼,305
2,1344,3,4,念力土偶,500
2,1346,4,5,摇篮百合,495
2,1363,2,2,海豹球,290
2,1365,4,6,帝牙海狮,530
2,1377,6,6,雷吉洛克,580
2,1378,6,6,雷吉艾斯,580
2,1379,6,6,雷吉斯奇鲁,580
2,1434,2,2,臭鼬噗,329
2,1435,3,4,坦克臭鼬,479
2,1463,3,4,大舌舔,515
2,1473,4,6,象牙猪,530
2,1477,4,6,黑夜魔灵,525
2,1480,4,6,电冰箱,525
2,1483,4,6,除草机,525
2,1484,4,6,微波炉,525
2,1517,3,3,食梦梦,292
2,1527,2,2,滚滚蝙蝠,323
2,1528,3,4,心蝙蝠,425
2,1531,4,5,差不多娃娃,445
2,1544,3,3,车轮球,360
2,1559,3,3,滑滑小子,348
2,1560,4,5,头巾混混,488
2,1202,3,3,果然翁,405
2,1564,2,2,原盖海龟,355
2,1568,2,2,破破袋,329
2,1569,3,4,灰尘山,474
2,1580,2,2,鸭宝宝,305
2,1581,3,4,舞天鹅,473
2,1594,3,4,保姆曼波,470
2,1597,2,2,种子铁球,305
2,1622,3,3,泥偶小人,303
2,1623,4,5,泥偶巨人,483
2,1630,4,6,秃鹰娜,510
2,1978,2,2,冰雪穿山鼠,300
2,1980,1,1,坏喵喵,275
2,1001,2,2,妙蛙种子,318
2,1002,3,4,妙蛙草,405
2,1003,4,6,妙蛙花,525
2,1004,2,2,小火龙,309
2,1005,3,4,火恐龙,405
2,1006,4,6,喷火龙,534
2,1007,2,2,杰尼龟,314
2,1008,3,4,卡咪龟,405
2,1009,4,6,水箭龟,530
2,1092,2,2,鬼斯,310
2,1093,3,4,鬼斯通,405
2,1094,4,6,耿鬼,500
2,1134,4,6,水伊布,525
2,1135,4,6,雷伊布,525
2,1136,4,6,火伊布,525
2,1152,2,2,菊草叶,318
2,1153,3,4,月桂叶,405
2,1154,4,6,大竺葵,525
2,1155,2,2,火球鼠,309
2,1156,3,4,火岩鼠,405
2,1157,4,6,火暴兽,534
2,1158,2,2,小锯鳄,314
2,1159,3,4,蓝鳄,405
2,1160,4,6,大力鳄,530
2,1169,4,6,叉字蝠,535
2,1205,4,6,佛烈托斯,465
2,1228,3,4,戴鲁比,330
2,1229,4,6,黑鲁加,500
2,1270,2,2,莲叶童子,220
2,1271,3,4,莲帽小童,340
2,1272,4,6,乐天河童,480
2,1294,3,4,吼爆弹,360
2,1295,4,6,爆音怪,490
2,1296,2,4,幕下力士,237
2,1297,4,6,铁掌力士,474
2,1320,3,4,吼吼鲸,400
2,1321,4,6,吼鲸王,500
2,1341,3,4,龙虾小兵,308
2,1342,4,6,铁螯龙虾,468
2,1396,2,2,姆克儿,245
2,1397,3,4,姆克鸟,340
2,1398,4,6,姆克鹰,485
2,1408,3,4,头盖龙,350
2,1409,4,6,战槌龙,495
2,1415,2,2,三蜜蜂,244
2,1416,4,6,蜂女王,474
2,1436,3,4,铜镜怪,300
2,1437,4,6,青铜钟,500
2,1453,3,4,不良蛙,300
2,1454,4,6,毒骷蛙,490
2,1111,2,2,铁甲犀牛,345
2,1112,3,4,铁甲暴龙,485
2,1464,4,6,超铁暴龙,535
2,1506,2,2,小约克,275
2,1507,3,4,哈约克,370
2,1508,4,6,长毛狗,500
2,1522,3,4,斑斑马,295
2,1523,4,6,雷电斑马,497
2,1532,2,2,搬运小匠,305
2,1533,3,4,铁骨土人,405
2,1534,4,6,修建老匠,505
2,1566,3,4,始祖小鸟,401
2,1567,4,6,始祖大鸟,567
2,1574,2,2,哥德宝宝,290
2,1575,3,4,哥德小童,390
2,1576,4,6,哥德小姐,490
2,1577,2,2,单卵细胞球,290
2,1578,3,4,双卵细胞球,370
2,1579,4,6,人造细胞卵,490
2,1587,4,5,电飞鼠,428
2,1595,3,4,电电虫,319
2,1596,4,5,电蜘蛛,472
2,1624,3,4,驹刀小兵,340
2,1625,4,6,劈斩司令,490
2,1632,4,6,铁蚁,484
2,1982,4,6,长颈椰蛋树,535
2,1985,3,4,迷之嘎拉嘎拉,430
2,301018,5,6,超·大比鸟,579
2,301024,5,6,超·阿柏怪,568
2,301053,5,6,超·猫老大,530
2,301057,5,6,超·火爆猴,525
2,301089,5,6,超·臭臭泥,589
2,301094,5,6,超·耿鬼,600
2,301115,5,6,超·袋兽,590
2,301141,5,6,超·镰刀盔,585
2,301169,5,6,超·叉字蝠,603
2,301185,5,6,超·树才怪,500
2,301189,5,6,超·毽子棉,540
2,301199,5,6,超·呆呆王,590
2,301275,5,6,超·狡猾天狗,570
2,301302,5,6,超·勾魂眼,480
2,301303,5,6,超·大嘴娃,480
2,301308,5,6,超·恰雷姆,510
2,301319,5,6,超·巨牙鲨,560
2,301323,5,6,超·喷火驼,560
2,301321,5,6,超·吼鲸王,600
2,301344,5,6,超·念力土偶,580
2,301346,5,6,超·摇篮百合,535
2,301354,5,6,超·诅咒娃娃,555
2,301357,5,6,超·热带龙,580
2,301359,5,6,超·阿勃梭鲁,565
2,301460,5,6,超·暴雪王,594
2,301452,5,6,超·龙王蝎,590
2,301531,5,6,超·差不多娃娃,545
2,301549,5,6,超·裙儿小姐,615
2,301560,5,6,超·头巾混混,548
2,301563,5,6,超·死神棺,581
2,301555,5,6,超·达摩狒狒,580
2,301621,5,6,超·赤面龙,575
3,1021,1,1,烈雀,260
3,1023,1,1,阿柏蛇,275
3,1035,2,2,皮皮,323
3,1036,3,4,皮可西,483
3,1037,1,1,六尾,269
3,1038,4,6,九尾,505
3,1039,2,2,胖丁,280
3,1040,3,4,胖可丁,435
3,1041,1,1,超音蝠,245
3,1042,3,4,大嘴蝠,455
3,1043,1,1,走路草,270
3,1044,2,2,臭臭花,395
3,1045,3,4,霸王花,490
3,1530,4,6,龙头地鼠,508
3,1046,1,1,派拉斯,275
3,1048,2,2,毛球,305
3,1050,1,1,地鼠,265
3,1054,2,2,可达鸭,320
3,1056,2,2,猴怪,305
3,1057,3,4,火爆猴,455
3,1060,1,1,蚊香蝌蚪,260
3,1061,2,2,蚊香蛙,385
3,1062,4,6,快泳蛙,510
3,1069,1,1,喇叭芽,275
3,1070,2,2,口呆花,355
3,1072,3,3,玛瑙水母,335
3,1073,4,6,毒刺水母,515
3,1074,1,1,小拳石,270
3,1075,2,2,隆隆石,390
3,1076,3,4,隆隆岩,495
3,1078,4,5,烈焰马,500
3,1081,2,2,小磁怪,325
3,1083,2,2,大葱鸭,347
3,1084,2,2,嘟嘟,310
3,1086,2,2,小海狮,325
3,1088,2,2,臭泥,325
3,1601,4,6,齿轮怪,520
3,1096,2,2,素利普,328
3,1098,2,2,大钳蟹,325
3,1099,3,4,巨钳蟹,475
3,1529,3,4,螺钉地鼠,328
3,1106,3,4,沙瓦朗,455
3,1107,3,4,艾比朗,455
3,1108,2,2,大舌头,355
3,1109,2,2,瓦斯弹,340
3,1110,3,4,双弹瓦斯,490
3,1118,2,2,角金鱼,320
3,1120,3,3,海星星,340
3,1121,4,6,宝石海星,520
3,1122,3,4,吸盘魔偶,460
3,1124,3,4,迷唇姐,455
3,1127,4,6,大甲,500
3,1128,3,4,肯泰罗,490
3,1129,1,1,鲤鱼王,200
3,1138,2,2,菊石兽,355
3,1139,3,4,多刺菊石兽,495
3,1140,2,2,化石盔,355
3,1141,3,4,镰刀盔,495
3,1170,2,2,灯笼鱼,330
3,1171,3,4,电灯怪,460
3,1174,1,1,宝宝丁,210
3,1180,3,3,茸茸羊,365
3,1182,3,4,美丽花,490
3,1185,3,4,树才怪,410
3,1186,4,5,蚊香蛙皇,500
3,1202,3,4,果然翁,405
3,1203,3,4,麒麟奇,455
3,1206,3,4,土龙弟弟,415
3,1211,1,1,千针鱼,330
3,1220,2,2,小山猪,250
3,1221,3,4,长毛猪,450
3,1227,3,4,盔甲鸟,465
3,1231,2,2,小小象,330
3,1232,4,5,顿甲,500
3,1235,1,1,图图犬,250
3,1241,3,4,大奶罐,490
3,1261,2,2,土狼犬,220
3,1262,3,4,大狼犬,420
3,1179,2,2,咩利羊,280
3,1204,3,3,榛果球,290
3,1275,4,5,狡猾天狗,480
3,1278,2,2,长翅鸥,270
3,1279,3,4,大嘴鸥,440
3,1285,2,2,蘑蘑菇,295
3,1286,3,4,斗笠菇,460
3,1302,4,4,勾魂眼,380
3,1308,4,4,恰雷姆,410
3,1310,4,5,雷电兽,475
3,1318,3,3,利牙鱼,305
3,1299,3,3,朝北鼻,375
3,1476,4,5,大朝北鼻,525
3,1322,2,2,呆火驼,305
3,1323,4,5,喷火驼,460
3,1628,4,5,勇士雄鹰,510
3,1344,3,4,念力土偶,500
3,1346,4,5,摇篮百合,495
3,1349,2,2,丑丑鱼,200
3,1354,4,5,诅咒娃娃,455
3,1355,2,2,夜巡灵,295
3,1356,3,4,彷徨夜灵,455
3,1359,4,5,阿勃梭鲁,465
3,1363,2,2,海豹球,290
3,1364,3,4,海魔狮,410
3,1365,4,6,帝牙海狮,530
3,1377,6,6,雷吉洛克,580
3,1378,6,6,雷吉艾斯,580
3,1379,6,6,雷吉斯奇鲁,580
3,1425,3,3,飘飘球,348
3,1426,4,5,随风球,498
3,1345,3,3,触手百合,355
3,1332,4,5,梦歌仙人掌,475
3,1434,2,2,臭鼬噗,329
3,1435,3,4,坦克臭鼬,479
3,1451,3,3,钳尾蝎,330
3,1452,4,5,龙王蝎,500
3,1459,3,4,雪笠怪,405
3,1463,3,4,大舌舔,515
3,1473,4,6,象牙猪,530
3,1477,4,6,黑夜魔灵,525
3,1480,4,6,电冰箱,525
3,1483,4,6,除草机,525
3,1484,4,6,微波炉,525
3,1517,3,3,食梦梦,292
3,1518,4,5,梦梦蚀,487
3,1527,2,2,滚滚蝙蝠,323
3,1531,4,5,差不多娃娃,445
3,1543,2,2,百足蜈蚣,260
3,1544,3,3,车轮球,360
3,1545,4,5,蜈蚣王,485
3,1548,2,2,百合根娃娃,280
3,1554,3,3,火红不倒翁,315
3,1555,4,5,达摩狒狒,480
3,1559,3,3,滑滑小子,348
3,1202,3,3,果然翁,405
3,1564,2,2,原盖海龟,355
3,1565,3,4,肋骨海龟,495
3,1568,2,2,破破袋,329
3,1569,3,4,灰尘山,474
3,1287,2,2,懒人獭,280
3,1288,4,5,过动猿,440
3,1580,2,2,鸭宝宝,305
3,1581,3,4,舞天鹅,473
3,1590,2,2,哎呀球菇,294
3,1591,3,4,败露球菇,464
3,1597,2,2,种子铁球,305
3,1598,3,4,坚果哑铃,489
3,1613,2,2,喷嚏熊,305
3,1614,4,6,冻原熊,505
3,1621,3,4,赤面龙,485
3,1622,3,3,泥偶小人,303
3,1623,4,5,泥偶巨人,483
3,1630,4,6,秃鹰娜,510
3,1631,3,4,熔蚁兽,484
3,1679,2,2,独剑鞘,325
3,1680,3,4,双剑鞘,438
3,1976,1,1,黑夜小拉达,257
3,1978,2,2,冰雪穿山鼠,300
3,1979,3,4,冰雪穿山王,415
3,1980,1,1,坏喵喵,275
3,1983,1,1,寒冰六尾,275
3,1002,3,4,妙蛙草,405
3,1003,4,6,妙蛙花,525
3,1005,3,4,火恐龙,405
3,1006,4,6,喷火龙,534
3,1008,3,4,卡咪龟,405
3,1009,4,6,水箭龟,530
3,1093,3,4,鬼斯通,405
3,1094,4,6,耿鬼,500
3,1134,4,6,水伊布,525
3,1135,4,6,雷伊布,525
3,1136,4,6,火伊布,525
3,1153,3,4,月桂叶,405
3,1154,4,6,大竺葵,525
3,1156,3,4,火岩鼠,405
3,1157,4,6,火暴兽,534
3,1159,3,4,蓝鳄,405
3,1160,4,6,大力鳄,530
3,1169,4,6,叉字蝠,535
3,1205,4,6,佛烈托斯,465
3,1229,4,6,黑鲁加,500
3,1272,4,6,乐天河童,480
3,1297,4,6,铁掌力士,474
3,1321,4,6,吼鲸王,500
3,1342,4,6,铁螯龙虾,468
3,1398,4,6,姆克鹰,485
3,1409,4,6,战槌龙,495
3,1416,4,6,蜂女王,474
3,1437,4,6,青铜钟,500
3,1454,4,6,毒骷蛙,490
3,1112,3,4,铁甲暴龙,485
3,1464,4,6,超铁暴龙,535
3,1508,4,6,长毛狗,500
3,1522,3,4,斑斑马,295
3,1523,4,6,雷电斑马,497
3,1532,2,2,搬运小匠,305
3,1533,3,4,铁骨土人,405
3,1534,4,6,修建老匠,505
3,1566,3,4,始祖小鸟,401
3,1567,4,6,始祖大鸟,567
3,1574,2,2,哥德宝宝,290
3,1575,3,4,哥德小童,390
3,1576,4,6,哥德小姐,490
3,1577,2,2,单卵细胞球,290
3,1578,3,4,双卵细胞球,370
3,1579,4,6,人造细胞卵,490
3,1587,4,5,电飞鼠,428
3,1595,3,4,电电虫,319
3,1596,4,5,电蜘蛛,472
3,1624,3,4,驹刀小兵,340
3,1625,4,6,劈斩司令,490
3,1632,4,6,铁蚁,484
3,1982,4,6,长颈椰蛋树,535
3,1985,3,4,迷之嘎拉嘎拉,430
3,301018,5,6,超·大比鸟,579
3,301024,5,6,超·阿柏怪,568
3,301053,5,6,超·猫老大,530
3,301057,5,6,超·火爆猴,525
3,301089,5,6,超·臭臭泥,589
3,301094,5,6,超·耿鬼,600
3,301115,5,6,超·袋兽,590
3,301141,5,6,超·镰刀盔,585
3,301169,5,6,超·叉字蝠,603
3,301185,5,6,超·树才怪,500
3,301189,5,6,超·毽子棉,540
3,301199,5,6,超·呆呆王,590
3,301275,5,6,超·狡猾天狗,570
3,301302,5,6,超·勾魂眼,480
3,301303,5,6,超·大嘴娃,480
3,301308,5,6,超·恰雷姆,510
3,301319,5,6,超·巨牙鲨,560
3,301323,5,6,超·喷火驼,560
3,301321,5,6,超·吼鲸王,600
3,301344,5,6,超·念力土偶,580
3,301346,5,6,超·摇篮百合,535
3,301354,5,6,超·诅咒娃娃,555
3,301357,5,6,超·热带龙,580
3,301359,5,6,超·阿勃梭鲁,565
3,301460,5,6,超·暴雪王,594
3,301452,5,6,超·龙王蝎,590
3,301531,5,6,超·差不多娃娃,545
3,301549,5,6,超·裙儿小姐,615
3,301560,5,6,超·头巾混混,548
3,301563,5,6,超·死神棺,581
3,301555,5,6,超·达摩狒狒,580
3,301621,5,6,超·赤面龙,575
