道具ID,道具名
601584,双倍多多冰碎片
601630,秃鹰娜碎片
601638,勾帕路翁碎片
601639,代拉基翁碎片
601640,毕力吉翁碎片
601614,冻原熊碎片
601986,格斗皮卡丘碎片
601987,贵妇皮卡丘碎片
601988,学者皮卡丘碎片
601989,明星皮卡丘碎片
601990,摇滚皮卡丘碎片
601984,极冰九尾碎片
601982,长颈椰蛋树碎片
601784,杖尾鳞甲龙碎片
601706,黏美龙碎片
601724,狙射树枭碎片
601727,炽焰咆哮虎碎片
601730,西狮海壬碎片
601002,妙蛙草碎片
601005,火恐龙碎片
601008,卡咪龟碎片
601012,巴大蝴碎片
601020,拉达碎片
601022,大嘴雀碎片
601024,阿柏怪碎片
601025,皮卡丘碎片
601028,穿山王碎片
601030,尼多娜碎片
601033,尼多力诺碎片
601036,皮可西碎片
601040,胖可丁碎片
601042,大嘴蝠碎片
601045,霸王花碎片
601047,派拉斯特碎片
601049,摩鲁蛾碎片
601051,三地鼠碎片
601053,猫老大碎片
601055,哥达鸭碎片
601057,火爆猴碎片
601058,卡蒂狗碎片
601064,勇基拉碎片
601067,豪力碎片
601071,大食花碎片
601072,玛瑙水母碎片
601076,隆隆岩碎片
601077,小火马碎片
601080,呆河马碎片
601082,三合一磁怪碎片
601085,嘟嘟利碎片
601087,白海狮碎片
601089,臭臭泥碎片
601090,大舌贝碎片
601093,鬼斯通碎片
601097,素利柏碎片
601099,巨钳蟹碎片
601101,顽皮弹碎片
601105,嘎拉嘎拉碎片
601106,沙瓦朗碎片
601107,艾比朗碎片
601110,双弹瓦斯碎片
601112,铁甲暴龙碎片
601113,吉利蛋碎片
601114,蔓藤怪碎片
601117,海刺龙碎片
601119,金鱼王碎片
601121,宝石海星碎片
601122,吸盘魔偶碎片
601123,飞天螳螂碎片
601124,迷唇姐碎片
601125,电击兽碎片
601126,鸭嘴火兽碎片
601128,肯泰罗碎片
601133,伊布碎片
601139,多刺菊石兽碎片
601141,镰刀盔碎片
601148,哈克龙碎片
601153,月桂叶碎片
601156,火岩鼠碎片
601159,蓝鳄碎片
601171,电灯怪碎片
601176,波克基古碎片
601180,茸茸羊碎片
601182,美丽花碎片
601185,树才怪碎片
601120,海星星碎片
601202,果然翁碎片
601203,麒麟奇碎片
601206,土龙弟弟碎片
601215,狃拉碎片
601227,盔甲鸟碎片
601228,戴鲁比碎片
601247,沙基拉斯碎片
601253,森林蜥蜴碎片
601256,力壮鸡碎片
601259,沼跃鱼碎片
601274,长鼻叶碎片
601281,奇鲁莉安碎片
601291,铁面忍者碎片
601305,可多拉碎片
601307,玛沙那碎片
601309,落雷兽碎片
601318,利牙鱼碎片
601320,吼吼鲸碎片
601356,彷徨夜灵碎片
601361,雪童子碎片
601372,甲壳龙碎片
601375,金属怪碎片
601391,猛火猴碎片
601394,波皇子碎片
601425,飘飘球碎片
601427,卷卷耳碎片
601430,乌鸦头头碎片
601444,尖牙陆鲨碎片
601446,小卡比兽碎片
601459,雪笠怪碎片
601496,青藤蛇碎片
601499,炒炒猪碎片
601502,双刃丸碎片
601562,哭哭面具碎片
601611,斧牙龙碎片
601621,赤面龙碎片
601622,泥偶小人碎片
601634,双首暴龙碎片
601651,胖胖哈力碎片
601654,长尾火狐碎片
601657,呱头蛙碎片
601221,长毛猪碎片
601241,大奶罐碎片
601329,超音波幼虫碎片
601344,念力土偶碎片
601345,触手百合碎片
601348,太古盔甲碎片
601364,海魔狮碎片
601536,蓝蟾蜍碎片
601541,宝包茧碎片
601565,肋骨海龟碎片
601572,泡沫栗鼠碎片
601598,坚果哑铃碎片
601608,灯火幽灵碎片
601463,大舌舔碎片
601585,四季鹿碎片
601680,双剑鞘碎片
601698,冰雪龙碎片
601279,大嘴鸥碎片
601286,斗笠菇碎片
601451,钳尾蝎碎片
601517,食梦梦碎片
601528,心蝙蝠碎片
601544,车轮球碎片
601552,混混鳄碎片
601554,火红不倒翁碎片
601559,滑滑小子碎片
601570,索罗亚碎片
601575,哥德小童碎片
601581,舞天鹅碎片
601583,多多冰碎片
601591,败露球菇碎片
601594,保姆曼波碎片
601629,秃鹰丫头碎片
601631,熔蚁兽碎片
601977,黑夜拉达碎片
601979,冰雪穿山王碎片
601981,黑猫老大碎片
601985,迷之嘎拉嘎拉碎片
601783,鳞甲龙碎片
601705,黏美儿碎片
601720,胡帕碎片
601723,投羽枭碎片
601726,炎热喵碎片
601729,花漾海狮碎片
601150,超梦碎片
601151,梦幻碎片
601249,洛奇亚碎片
601250,凤王碎片
601251,雪拉比碎片
601382,海皇牙碎片
601383,固拉多碎片
601384,烈空坐碎片
601385,基拉祈碎片
601486,雷吉奇卡斯碎片
601488,克雷色利亚碎片
601491,达克莱伊碎片
601492,谢米碎片
601493,阿尔宙斯碎片
601643,莱希拉姆碎片
601644,捷克罗姆碎片
601649,盖诺赛克特碎片
601716,哲尔尼亚斯碎片
601717,伊裴尔塔尔碎片
601791,索尔迦雷欧碎片
601793,虚吾伊德碎片
601794,爆肌蚊碎片
601795,费洛美螂碎片
601796,电束木碎片
601797,铁火辉夜碎片
601798,纸御剑碎片
601799,恶食大王碎片
601800,奈克洛兹玛碎片
601811,暗·闪电鸟
601812,暗·火焰鸟
601813,暗·雷公
601487,骑拉帝纳碎片
601646,酋雷姆碎片
601718,基格尔德碎片
601719,蒂安希碎片
601792,露奈雅拉碎片
601975,水晶大钢蛇
601647,凯路迪欧碎片
601801,玛机雅娜
601802,玛夏多
601803,毒贝比
601804,四颚针龙
601805,垒磊石
601806,砰头小丑
601814,帝牙卢卡
601815,帕路奇亚
631718,超·基格尔德碎片
601213,壶壶碎片
601272,乐天河童碎片
601450,河马兽碎片
601469,远古巨蜓碎片
601476,大朝北鼻碎片
601508,长毛狗碎片
601526,庞岩怪碎片
601615,几何雪花碎片
601620,师父鼬碎片
601205,佛烈托斯碎片
601204,榛果球碎片
601271,莲帽小童碎片
601449,沙河马碎片
601299,朝北鼻碎片
601507,哈约克碎片
601525,地幔岩碎片
601619,功夫鼬碎片
601014,铁壳蛹碎片
601017,比比鸟碎片
601061,蚊香蛙碎片
601102,蛋蛋碎片
601188,毽子花碎片
601095,大岩蛇碎片
601231,小小象碎片
601296,幕下力士碎片
601322,呆火驼碎片
601333,青绵鸟碎片
601349,丑丑鱼碎片
601415,三蜜蜂碎片
601447,利欧路碎片
601548,百合根娃娃碎片
601613,喷嚏熊碎片
601627,毛头小鹰碎片
601636,燃烧虫碎片
601037,六尾碎片
601129,鲤鱼王碎片
601983,寒冰六尾碎片
601132,百变怪碎片
601288,过动猿碎片
601294,吼爆弹碎片
601331,刺球仙人掌碎片
601341,龙虾小兵碎片
601347,太古羽虫碎片
601397,姆克鸟碎片
601404,勒克猫碎片
601408,头盖龙碎片
601200,梦妖碎片
601198,黑暗鸦碎片
601436,铜镜怪碎片
601453,不良蛙碎片
601207,天蝎碎片
601233,3D龙 Ⅱ碎片
601522,斑斑马碎片
601529,螺钉地鼠碎片
601566,始祖小鸟碎片
601578,双卵细胞球碎片
601595,电电虫碎片
601600,齿轮组碎片
601603,麻麻鳗碎片
601624,驹刀小兵碎片
801001,炎爪·Ⅰ
801002,炎爪·Ⅱ
801003,炎爪·Ⅲ
801004,炎爪·Ⅳ
801005,炎爪·Ⅴ
801006,炎爪·Ⅵ
801007,炎爪·Ⅶ
801008,炎爪·Ⅷ
801009,炎爪·Ⅸ
801010,炎爪·Ⅹ
801011,炎爪·Ⅰ
801012,炎爪·Ⅱ
801013,炎爪·Ⅲ
801014,炎爪·Ⅳ
801015,炎爪·Ⅴ
801016,炎爪·Ⅵ
801017,炎爪·Ⅶ
801018,炎爪·Ⅷ
801019,炎爪·Ⅸ
801020,炎爪·Ⅹ
801021,炎爪·Ⅰ
801022,炎爪·Ⅱ
801023,炎爪·Ⅲ
801024,炎爪·Ⅳ
801025,炎爪·Ⅴ
801026,炎爪·Ⅵ
801027,炎爪·Ⅶ
801028,炎爪·Ⅷ
801029,炎爪·Ⅸ
801030,炎爪·Ⅹ
801031,炎爪·Ⅰ
801032,炎爪·Ⅱ
801033,炎爪·Ⅲ
801034,炎爪·Ⅳ
801035,炎爪·Ⅴ
801036,炎爪·Ⅵ
801037,炎爪·Ⅶ
801038,炎爪·Ⅷ
801039,炎爪·Ⅸ
801040,炎爪·Ⅹ
801041,炎爪·Ⅰ
801042,炎爪·Ⅱ
801043,炎爪·Ⅲ
801044,炎爪·Ⅳ
801045,炎爪·Ⅴ
801046,炎爪·Ⅵ
801047,炎爪·Ⅶ
801048,炎爪·Ⅷ
801049,炎爪·Ⅸ
801050,炎爪·Ⅹ
801051,火焰拳·Ⅰ
801052,火焰拳·Ⅱ
801053,火焰拳·Ⅲ
801054,火焰拳·Ⅳ
801055,火焰拳·Ⅴ
801056,火焰拳·Ⅵ
801057,火焰拳·Ⅶ
801058,火焰拳·Ⅷ
801059,火焰拳·Ⅸ
801060,火焰拳·Ⅹ
801061,火焰拳·Ⅰ
801062,火焰拳·Ⅱ
801063,火焰拳·Ⅲ
801064,火焰拳·Ⅳ
801065,火焰拳·Ⅴ
801066,火焰拳·Ⅵ
801067,火焰拳·Ⅶ
801068,火焰拳·Ⅷ
801069,火焰拳·Ⅸ
801070,火焰拳·Ⅹ
801071,火焰拳·Ⅰ
801072,火焰拳·Ⅱ
801073,火焰拳·Ⅲ
801074,火焰拳·Ⅳ
801075,火焰拳·Ⅴ
801076,火焰拳·Ⅵ
801077,火焰拳·Ⅶ
801078,火焰拳·Ⅷ
801079,火焰拳·Ⅸ
801080,火焰拳·Ⅹ
801081,火焰拳·Ⅰ
801082,火焰拳·Ⅱ
801083,火焰拳·Ⅲ
801084,火焰拳·Ⅳ
801085,火焰拳·Ⅴ
801086,火焰拳·Ⅵ
801087,火焰拳·Ⅶ
801088,火焰拳·Ⅷ
801089,火焰拳·Ⅸ
801090,火焰拳·Ⅹ
801091,火焰拳·Ⅰ
801092,火焰拳·Ⅱ
801093,火焰拳·Ⅲ
801094,火焰拳·Ⅳ
801095,火焰拳·Ⅴ
801096,火焰拳·Ⅵ
801097,火焰拳·Ⅶ
801098,火焰拳·Ⅷ
801099,火焰拳·Ⅸ
801100,火焰拳·Ⅹ
801101,爆裂拳·Ⅰ
801102,爆裂拳·Ⅱ
801103,爆裂拳·Ⅲ
801104,爆裂拳·Ⅳ
801105,爆裂拳·Ⅴ
801106,爆裂拳·Ⅵ
801107,爆裂拳·Ⅶ
801108,爆裂拳·Ⅷ
801109,爆裂拳·Ⅸ
801110,爆裂拳·Ⅹ
801111,爆裂拳·Ⅰ
801112,爆裂拳·Ⅱ
801113,爆裂拳·Ⅲ
801114,爆裂拳·Ⅳ
801115,爆裂拳·Ⅴ
801116,爆裂拳·Ⅵ
801117,爆裂拳·Ⅶ
801118,爆裂拳·Ⅷ
801119,爆裂拳·Ⅸ
801120,爆裂拳·Ⅹ
801121,爆裂拳·Ⅰ
801122,爆裂拳·Ⅱ
801123,爆裂拳·Ⅲ
801124,爆裂拳·Ⅳ
801125,爆裂拳·Ⅴ
801126,爆裂拳·Ⅵ
801127,爆裂拳·Ⅶ
801128,爆裂拳·Ⅷ
801129,爆裂拳·Ⅸ
801130,爆裂拳·Ⅹ
801131,爆裂拳·Ⅰ
801132,爆裂拳·Ⅱ
801133,爆裂拳·Ⅲ
801134,爆裂拳·Ⅳ
801135,爆裂拳·Ⅴ
801136,爆裂拳·Ⅵ
801137,爆裂拳·Ⅶ
801138,爆裂拳·Ⅷ
801139,爆裂拳·Ⅸ
801140,爆裂拳·Ⅹ
801141,爆裂拳·Ⅰ
801142,爆裂拳·Ⅱ
801143,爆裂拳·Ⅲ
801144,爆裂拳·Ⅳ
801145,爆裂拳·Ⅴ
801146,爆裂拳·Ⅵ
801147,爆裂拳·Ⅶ
801148,爆裂拳·Ⅷ
801149,爆裂拳·Ⅸ
801150,爆裂拳·Ⅹ
801151,火轮·Ⅰ
801152,火轮·Ⅱ
801153,火轮·Ⅲ
801154,火轮·Ⅳ
801155,火轮·Ⅴ
801156,火轮·Ⅵ
801157,火轮·Ⅶ
801158,火轮·Ⅷ
801159,火轮·Ⅸ
801160,火轮·Ⅹ
801161,火轮·Ⅰ
801162,火轮·Ⅱ
801163,火轮·Ⅲ
801164,火轮·Ⅳ
801165,火轮·Ⅴ
801166,火轮·Ⅵ
801167,火轮·Ⅶ
801168,火轮·Ⅷ
801169,火轮·Ⅸ
801170,火轮·Ⅹ
801171,火轮·Ⅰ
801172,火轮·Ⅱ
801173,火轮·Ⅲ
801174,火轮·Ⅳ
801175,火轮·Ⅴ
801176,火轮·Ⅵ
801177,火轮·Ⅶ
801178,火轮·Ⅷ
801179,火轮·Ⅸ
801180,火轮·Ⅹ
801181,火轮·Ⅰ
801182,火轮·Ⅱ
801183,火轮·Ⅲ
801184,火轮·Ⅳ
801185,火轮·Ⅴ
801186,火轮·Ⅵ
801187,火轮·Ⅶ
801188,火轮·Ⅷ
801189,火轮·Ⅸ
801190,火轮·Ⅹ
801191,火轮·Ⅰ
801192,火轮·Ⅱ
801193,火轮·Ⅲ
801194,火轮·Ⅳ
801195,火轮·Ⅴ
801196,火轮·Ⅵ
801197,火轮·Ⅶ
801198,火轮·Ⅷ
801199,火轮·Ⅸ
801200,火轮·Ⅹ
801201,火焰漩涡·Ⅰ
801202,火焰漩涡·Ⅱ
801203,火焰漩涡·Ⅲ
801204,火焰漩涡·Ⅳ
801205,火焰漩涡·Ⅴ
801206,火焰漩涡·Ⅵ
801207,火焰漩涡·Ⅶ
801208,火焰漩涡·Ⅷ
801209,火焰漩涡·Ⅸ
801210,火焰漩涡·Ⅹ
801211,火焰漩涡·Ⅰ
801212,火焰漩涡·Ⅱ
801213,火焰漩涡·Ⅲ
801214,火焰漩涡·Ⅳ
801215,火焰漩涡·Ⅴ
801216,火焰漩涡·Ⅵ
801217,火焰漩涡·Ⅶ
801218,火焰漩涡·Ⅷ
801219,火焰漩涡·Ⅸ
801220,火焰漩涡·Ⅹ
801221,火焰漩涡·Ⅰ
801222,火焰漩涡·Ⅱ
801223,火焰漩涡·Ⅲ
801224,火焰漩涡·Ⅳ
801225,火焰漩涡·Ⅴ
801226,火焰漩涡·Ⅵ
801227,火焰漩涡·Ⅶ
801228,火焰漩涡·Ⅷ
801229,火焰漩涡·Ⅸ
801230,火焰漩涡·Ⅹ
801231,火焰漩涡·Ⅰ
801232,火焰漩涡·Ⅱ
801233,火焰漩涡·Ⅲ
801234,火焰漩涡·Ⅳ
801235,火焰漩涡·Ⅴ
801236,火焰漩涡·Ⅵ
801237,火焰漩涡·Ⅶ
801238,火焰漩涡·Ⅷ
801239,火焰漩涡·Ⅸ
801240,火焰漩涡·Ⅹ
801241,火焰漩涡·Ⅰ
801242,火焰漩涡·Ⅱ
801243,火焰漩涡·Ⅲ
801244,火焰漩涡·Ⅳ
801245,火焰漩涡·Ⅴ
801246,火焰漩涡·Ⅵ
801247,火焰漩涡·Ⅶ
801248,火焰漩涡·Ⅷ
801249,火焰漩涡·Ⅸ
801250,火焰漩涡·Ⅹ
801251,圣之火·Ⅰ
801252,圣之火·Ⅱ
801253,圣之火·Ⅲ
801254,圣之火·Ⅳ
801255,圣之火·Ⅴ
